,open,high,low,close,volume
20181109,60800,60800,59500,59900,4772
20181108,60700,61800,60100,60600,5113
20181107,62200,63000,60000,60400,7082
20181106,62200,63000,61200,62200,4852
20181105,64100,64100,61500,62000,5184
20181102,62100,64200,62000,64200,6013
20181101,61000,62600,60900,61900,4368
20181031,61100,61100,58600,60900,1004
20181030,59200,61100,58500,60800,9013
20181029,64500,64500,59600,60200,3168
20181026,64200,65500,59900,62900,6922
20181025,64300,66000,63000,64700,7912
20181024,68200,69300,66200,66300,5252
20181023,70800,70800,67500,69000,7189
20181022,71600,71600,70000,70200,1746
20181019,68800,71600,68300,71000,10688
20181018,71300,71400,68700,70600,9309
20181017,75100,76400,69900,71400,7225
20181016,73100,76400,72200,73700,7035
20181015,71700,74400,71500,73100,3190
20181012,70200,74700,70200,73000,7392
20181011,68500,71800,68300,71600,9654
20181010,71100,73300,70500,71600,7145
20181008,70300,72900,70100,72900,6473
20181005,71500,72400,67600,71900,10158
20181004,71800,73100,68500,71500,10477
20181002,70800,73800,70400,70700,4877
20181001,70700,72400,70100,70800,6509
20180928,74000,74000,72600,72700,4236
20180927,74200,75600,71500,74000,13912
20180921,75500,76600,73600,74300,10878
20180920,82400,83700,74400,75700,31286
20180919,79500,83400,79500,83000,18079
20180918,77600,80900,77600,79400,16249
20180917,79200,80200,77900,78000,5484
20180914,77900,80000,77700,79200,12488
20180913,81100,81800,76800,77100,30192
20180912,83500,85900,81000,81300,17304
20180911,82000,84400,81900,82900,8424
20180910,85200,85200,81000,82100,15900
20180907,86400,86500,83400,85400,12767
20180906,86300,88700,85000,86600,17528
20180905,80600,89000,78600,86700,49684
20180904,74500,80000,73800,80000,35122
20180903,76500,76500,73500,74500,20230
20180831,76300,77500,74200,76500,16889
20180830,78000,78400,75000,76400,23302
20180829,74300,78800,74200,77700,32827
20180828,70200,75800,70000,73800,45079
20180827,71000,71500,69200,70600,32033
20180824,62100,73500,61900,70100,182988
20180823,60500,63100,60100,62000,21510
20180822,60500,60500,59900,60300,3943
20180821,61200,61200,60000,60300,8640
20180820,61800,61900,60600,60900,6290
20180817,60800,63200,60300,61100,20903
20180816,60600,62000,60000,61200,12559
20180814,58700,60400,58500,60000,10403
20180813,58900,59000,58000,58700,3953
20180810,58700,58900,58100,58900,1320
20180809,58600,58700,58300,58600,1004
20180808,57800,58600,57800,58600,4295
20180807,57500,58000,57300,58000,7672
20180806,57000,57700,57000,57600,1441
20180803,57000,57000,56600,57000,1840
20180802,56700,57100,56300,57100,2378
20180801,55900,56800,55800,56800,1254
20180731,55900,56100,55500,55900,1122
20180730,56000,56300,55200,55900,1341
20180727,55400,56300,55000,56200,2406
20180726,55500,55900,55100,55400,844
20180725,55000,55800,54700,55400,1413
20180724,55100,55400,54800,55000,2831
20180723,56200,56400,54600,55600,6553
20180720,56700,57000,55700,56200,2723
20180719,56200,57100,56200,56900,1571
20180718,56200,57300,56000,56600,2127
20180717,56600,56600,56000,56400,1682
20180716,57000,57000,56000,56300,3822
20180713,57000,57000,56300,56800,1529
20180712,57000,57500,56100,57000,2385
20180711,57700,57800,56800,57200,1557
20180710,57900,57900,56900,57700,2841
20180709,57800,58200,57000,57900,1814
20180706,57700,58100,57300,57900,2406
20180705,58700,58800,57500,57600,3485
20180704,57500,58500,57300,58500,4781
20180703,57100,57500,56900,57200,5810
20180702,58300,58400,57000,57000,3138
20180629,58700,59000,57800,58000,2189
20180628,58800,58800,58300,58500,2489
20180627,60300,60300,58400,58600,8865
20180626,60000,60700,59500,60300,2343
20180625,60000,60500,59800,60300,3956
20180622,60400,60400,58000,59800,6361
20180621,60400,60500,59800,60400,3399
20180620,59900,60400,59500,60400,2596
20180619,59600,60500,59500,59900,6293
20180618,60000,60900,55200,59500,31966
20180615,62300,62300,60500,60900,8661
20180614,62600,62900,61700,62400,10311
20180612,62300,62700,62000,62600,6063
20180611,62200,62600,62000,62300,4391
20180608,63400,63800,61900,62300,10072
20180607,62100,63600,62000,63000,16852
20180605,62100,62200,61500,62100,6102
20180604,60700,62100,60600,62000,8841
20180601,61400,61700,60600,60700,7559
20180531,60800,61500,60200,61000,8907
20180530,61900,61900,60000,60300,10060
20180529,62600,62600,61600,61900,6233
20180528,60200,62800,60000,62400,21697
20180525,59400,60600,59100,59900,9441
20180524,60600,61400,60200,60700,15315
20180523,60900,61200,59500,60600,16455
20180521,57800,60900,57700,60800,37133
20180518,56900,57400,56400,57100,6442
20180517,54400,57800,54200,56700,22374
20180516,55100,55600,54200,54400,14802
20180515,53700,55400,53400,55000,20235
20180514,53400,54800,53100,53600,12937
20180511,53100,53900,52900,53300,9589
20180510,53400,53600,52800,53200,7349
20180509,53900,53900,52900,53300,6665
20180508,53600,54500,53500,53500,7872
20180504,53000,54800,52900,53600,8273
20180503,52700,52900,52500,52900,2123
20180502,52300,53400,52200,52800,9737
20180430,52300,52500,51800,52200,1239
20180427,51400,52600,51400,52200,5896
20180426,51300,52000,51300,51400,7712
20180425,51300,51700,51200,51300,3035
20180424,50600,51500,50600,51400,5888
20180423,50000,51000,49950,50700,9866
20180420,50100,50200,49950,50000,1652
20180419,50100,50200,50000,50100,3799
20180418,50200,50300,49950,50200,3430
20180417,50200,50300,50000,50100,624
20180416,50300,50300,49950,50200,3313
20180413,50300,50300,50000,50100,1422
20180412,50100,50500,49950,50200,8978
20180411,50200,50600,49950,50100,10249
20180410,50100,50200,49950,50200,3075
20180409,50200,50300,50000,50000,940
20180406,50200,50300,50000,50300,987
20180405,50300,50300,50000,50300,1790
20180404,50400,50800,49900,50400,2590
20180403,50100,50500,49850,50400,2104
20180402,50400,50700,49950,50300,2683
20180330,50200,50600,50100,50500,1797
20180329,50400,50900,50200,50300,2120
20180328,50200,50500,49950,50300,3853
20180327,50500,51000,50000,50400,2560
20180326,50800,51000,50300,50400,3965
20180323,51300,51400,50400,51200,3330
20180322,51300,51500,50600,51300,1989
20180321,51500,51600,51100,51200,706
20180320,51400,52300,51100,51200,1276
20180319,51500,51600,51100,51400,857
20180316,51400,51700,51200,51500,3088
20180315,51400,51600,51200,51400,1539
20180314,51700,51900,51000,51300,6982
20180313,51900,51900,51500,51800,1253
20180312,51700,52300,51300,52000,2563
20180309,51700,51800,51200,51800,2063
20180308,51900,52000,51500,51800,1941
20180307,51800,52500,51500,51900,1201
20180306,52000,52000,51300,51900,1333
20180305,52100,53300,51600,52000,3005
20180302,52100,52100,51300,52100,4227
20180228,52000,52400,51800,52100,3521
20180227,52300,52400,51800,51800,1729
20180226,52000,52300,51900,52200,1699
20180223,52300,52600,52100,52100,2610
20180222,52300,52700,52000,52300,5545
20180221,52000,53900,51800,52500,4609
20180220,51800,52700,51700,52000,2366
20180219,52000,52500,51700,52000,1021
20180214,51900,52800,51600,52200,890
20180213,51900,51900,51500,51900,2222
20180212,52300,52600,51500,51700,11197
20180209,52100,53000,51700,52100,1957
20180208,52300,52800,52000,52400,4391
20180207,52500,54900,52000,52400,7125
20180206,51700,52500,51100,52400,7094
20180205,53200,53500,51900,52300,14011
20180202,54200,54200,53100,53500,4990
20180201,53300,54200,53300,54200,4016
20180131,53300,53900,53000,53500,5676
20180130,54100,54300,52800,53600,11890
20180129,56000,56000,53900,54000,14266
20180126,57500,57700,55700,56100,8120
20180125,55000,56900,54000,56900,22612
20180124,52300,54200,52200,54000,9030
20180123,53000,53400,51700,52900,10250
20180122,53500,53600,51900,53400,5121
20180119,53200,53600,53100,53600,1406
20180118,53300,53600,52900,53400,1107
20180117,53900,53900,52800,53500,2834
20180116,54000,54000,53000,53800,882
20180115,53400,53500,52500,53500,2714
20180112,53900,53900,52900,53500,3118
20180111,54400,54400,53200,53900,2452
20180110,54000,54000,53100,53700,1264
20180109,53800,53800,53400,53700,597
20180108,54000,54000,53000,53700,1555
20180105,53900,54200,53600,54000,2213
20180104,53400,53900,53400,53900,1600
20180103,53900,53900,53400,53700,531
20180102,53500,53700,53300,53700,466
20171228,53600,53900,53400,53700,2055
20171227,54000,54100,53500,53700,442
20171226,53109,54093,53109,53797,2947
20171222,52421,53109,52421,53109,992
20171221,52716,52716,52126,52617,2486
20171220,52912,52912,52421,52912,753
20171219,53011,53109,52716,52912,3173
20171218,52716,53011,52617,53011,1246
20171215,52814,53011,52519,52814,3891
20171214,52814,53011,52617,53011,640
20171213,53109,53109,52421,52814,1859
20171212,53109,53109,52617,53011,1814
20171211,53011,53207,52617,53011,1439
20171208,53207,53207,52814,53011,1067
20171207,53109,53306,52912,53207,1077
20171206,53207,53601,53109,53207,1481
20171205,52912,53306,52912,53207,1888
20171204,53306,53306,52814,53011,4478
20171201,53109,53404,52617,53306,4100
20171130,53109,53797,53011,53011,2576
20171129,53306,53404,52912,53207,1180
20171128,53207,53207,52814,53109,2246
20171127,53306,53502,52421,53207,3001
20171124,52814,53207,52421,53207,2697
20171123,53109,53404,52814,53306,2693
20171122,53797,53797,53207,53404,677
20171121,53502,53601,53306,53502,1619
20171120,53994,53994,53306,53502,433
20171117,53306,53797,53306,53404,1223
20171116,53994,53994,53306,53601,695
20171115,53699,53797,53109,53502,4607
20171114,54093,54093,53601,53797,1927
20171113,53404,53601,53207,53502,2575
20171110,53404,53797,53207,53404,2179
20171109,53797,54191,53306,53896,6271
20171108,54683,54683,53699,53994,3246
20171107,54683,54781,54289,54683,713
20171106,54289,54781,53601,54781,3385
20171103,54388,54584,54289,54584,346
20171102,54289,54781,53601,54781,1771
20171101,54388,54683,53896,54191,1650
20171031,54584,54683,54191,54683,1543
20171030,54584,54879,54093,54584,2141
20171027,54584,55076,54584,54879,1055
20171026,54978,55076,54093,54879,2023
20171025,54683,55076,54093,54781,1071
20171024,54978,55076,54781,54978,74
20171023,54879,55076,54781,54781,198
20171020,55371,55764,54584,55174,968
20171019,54879,55469,53797,55469,4215
20171018,54879,55273,54388,54879,1644
20171017,55863,55863,54683,55371,1301
20171016,55568,55568,54584,55469,3194
20171013,55863,55961,55076,55961,2038
20171012,55764,56158,55666,55666,1435
20171011,55764,55961,55174,55961,1189
20171010,56060,56355,55076,55961,2528
20170929,56060,56158,55076,56060,3314
20170928,56256,56551,55568,55568,507
20170927,56551,56551,55568,56256,729
20170926,55863,56060,55371,55961,4406
20170925,56551,56551,55371,56256,1550
20170922,56453,56453,54093,56355,9729
20170921,56060,56945,55469,56453,6532
20170920,56256,56551,55863,56551,1261
20170919,57830,57830,55863,56551,2433
20170918,56748,58813,56650,57240,1869
20170915,56650,58125,55764,57043,3334
20170914,56650,56945,56256,56256,979
20170913,57240,57240,56650,57043,1447
20170912,57535,57535,56158,57338,2537
20170911,56945,57338,56551,57338,1309
20170908,56846,57240,56650,57240,1482
20170907,56945,57141,56748,57141,634
20170906,56650,57240,56453,57141,2398
20170905,56945,57043,56551,56748,1147
20170904,56748,57043,56453,56846,1366
20170901,57436,57535,57043,57141,1537
20170831,57141,57535,57141,57436,932
20170830,57240,57731,57141,57338,534
20170829,57436,57535,57141,57240,815
20170828,57141,58912,56748,58912,1721
20170825,57240,57436,56846,57141,1423
20170824,57535,58027,56748,58027,1911
20170823,57141,58027,56453,58027,633
20170822,56551,57731,56453,57338,576
20170821,56650,56945,56256,56846,1395
20170818,57535,57535,56256,56256,2226
20170817,57043,57043,56355,57043,1066
20170816,56355,57043,56256,57043,2537
20170814,56256,56748,55469,56355,1541
20170811,56551,57928,55273,56256,3314
20170810,56748,57043,56060,56748,1156
20170809,56551,57338,56060,56945,3558
20170808,56846,56945,56355,56945,1941
20170807,56945,57043,56355,56650,2806
20170804,57043,57240,56256,56945,3042
20170803,56748,57436,56355,56945,1668
20170802,56945,57633,56650,56650,4103
