,open,high,low,close,volume
20181109,3005,3040,2925,3040,16738
20181108,3015,3040,2970,3040,59290
20181107,3010,3020,2900,3020,63246
20181106,3010,3015,2960,3015,22057
20181105,3000,3020,2925,3010,56057
20181102,2890,2995,2890,2990,51492
20181101,2860,2975,2860,2925,68438
20181031,2735,2900,2720,2855,81075
20181030,2490,2770,2490,2750,509528
20181029,2995,3070,2780,2895,88668
20181026,3010,3195,2975,3045,50058
20181025,3010,3065,2985,2995,38315
20181024,3170,3195,3000,3070,37506
20181023,3260,3270,3120,3195,65718
20181022,3315,3315,3215,3260,24200
20181019,3295,3330,3265,3315,43253
20181018,3300,3350,3260,3315,51464
20181017,3295,3330,3260,3285,61584
20181016,3250,3290,3230,3275,33973
20181015,3270,3290,3115,3255,34242
20181012,3135,3295,3110,3270,33485
20181011,3270,3270,3085,3210,69505
20181010,3435,3505,3100,3275,49168
20181008,3470,3560,3425,3425,21138
20181005,3570,3585,3410,3505,43745
20181004,3595,3615,3530,3585,47106
20181002,3700,3715,3585,3595,80048
20181001,3735,3760,3690,3695,44019
20180928,3705,3755,3675,3720,40599
20180927,3760,3760,3705,3705,46340
20180921,3665,3735,3640,3680,62493
20180920,3815,3815,3625,3630,107215
20180919,3830,3850,3715,3740,156616
20180918,3850,3905,3810,3825,116049
20180917,3890,3910,3850,3880,108731
20180914,3840,3885,3780,3875,115905
20180913,3850,3870,3815,3835,52129
20180912,3885,3925,3800,3835,114953
20180911,3930,3940,3850,3865,150642
20180910,3770,3930,3770,3925,159334
20180907,3805,3830,3755,3790,90581
20180906,3830,3890,3740,3805,184854
20180905,3895,3925,3790,3815,223032
20180904,3875,3940,3855,3895,76215
20180903,3880,3975,3840,3865,191071
20180831,3880,3935,3835,3875,106163
20180830,3825,4155,3740,3905,607412
20180829,3765,3825,3725,3790,76294
20180828,3820,3880,3710,3765,105362
20180827,3850,3890,3755,3820,273566
20180824,4060,4070,3980,4025,128874
20180823,3975,4070,3880,4060,294486
20180822,4000,4010,3900,3940,132933
20180821,3940,4100,3930,4005,231592
20180820,4070,4130,3900,3915,276487
20180817,4020,4110,3980,4060,365071
20180816,3860,4245,3830,4115,2904114
20180814,3735,3820,3705,3785,421475
20180813,4015,4180,3705,3705,1449701
20180810,3545,4450,3525,4105,6382673
20180809,3585,3585,3515,3545,11293
20180808,3550,3590,3515,3590,13898
20180807,3540,3555,3500,3550,23620
20180806,3535,3570,3510,3550,17195
20180803,3540,3545,3495,3540,4054
20180802,3540,3545,3460,3540,8269
20180801,3545,3560,3505,3540,7369
20180731,3520,3540,3445,3540,8075
20180730,3480,3540,3425,3520,19750
20180727,3505,3515,3320,3480,19767
20180726,3415,3580,3415,3480,50429
20180725,3555,3555,3395,3395,42814
20180724,3380,3580,3375,3525,76296
20180723,3410,3490,3365,3420,29279
20180720,3420,3485,3350,3420,49301
20180719,3485,3495,3420,3420,42209
20180718,3555,3625,3495,3495,42085
20180717,3560,3595,3535,3550,37369
20180716,3640,3710,3540,3575,31441
20180713,3635,3675,3585,3640,22734
20180712,3640,3675,3595,3635,11015
20180711,3685,3715,3605,3670,14836
20180710,3585,3680,3585,3670,31945
20180709,3595,3645,3490,3605,29196
20180706,3605,3680,3560,3620,39450
20180705,3595,3645,3545,3565,31783
20180704,3545,3680,3545,3610,34040
20180703,3605,3655,3515,3540,80455
20180702,3715,3755,3600,3605,69434
20180629,3780,3845,3585,3715,127816
20180628,3945,4005,3650,3820,93541
20180627,4150,4160,4000,4040,69058
20180626,4135,4190,4050,4130,28680
20180625,4295,4295,4070,4245,42251
20180622,4550,4550,4220,4225,93789
20180621,4345,4590,4345,4400,267952
20180620,4120,4500,4120,4330,201877
20180619,4185,4265,4100,4120,62580
20180618,4345,4345,4100,4230,120931
20180615,3990,4105,3990,4100,45391
20180614,4230,4230,3880,3970,145874
20180612,4410,4475,4305,4340,82590
20180611,4385,4500,4355,4400,95054
20180608,4405,4535,4345,4385,76188
20180607,4345,4495,4270,4390,95434
20180605,4415,4470,4290,4335,60241
20180604,4600,4700,4365,4490,111352
