,open,high,low,close,volume
20181109,9740,10050,9450,9980,133154
20181108,9690,9990,9560,9740,131886
20181107,9640,9900,9500,9570,144059
20181106,9520,9760,9420,9640,81099
20181105,9290,9940,9200,9510,172127
20181102,9340,9460,9130,9310,113927
20181101,9000,9410,9000,9210,117366
20181031,8250,9500,8160,9050,546775
20181030,7500,8320,7500,8230,295343
20181029,8270,8550,7770,7900,103108
20181026,8730,8790,8210,8370,151816
20181025,8600,8780,8460,8580,146074
20181024,9120,9260,8800,8800,80856
20181023,9580,9630,8990,9080,105290
20181022,9780,9910,9550,9580,110564
20181019,9570,9820,9550,9780,34401
20181018,9820,9990,9650,9680,47239
20181017,9650,10050,9650,9890,81996
20181016,9350,9750,9350,9600,53432
20181015,9600,9600,9360,9370,44621
20181012,9060,9660,9060,9600,95130
20181011,9500,9770,9230,9250,181929
20181010,10250,10250,9800,9900,183815
20181008,10600,10650,10100,10100,168229
20181005,10800,10900,10350,10600,113619
20181004,10950,11100,10800,10950,42691
20181002,11250,11250,10850,10900,84470
20181001,11250,11500,11100,11150,42239
20180928,11300,11500,11150,11350,81785
20180927,11100,11300,11000,11250,59632
20180921,11100,11100,10900,11100,27217
20180920,10800,11100,10750,11050,96411
20180919,11050,11150,10650,10750,92323
20180918,10950,11100,10800,10950,92846
20180917,11300,11300,11000,11050,135163
20180914,11500,11550,11200,11350,102381
20180913,11550,11700,11400,11500,73528
20180912,11600,11700,11350,11600,80433
20180911,11450,11550,11200,11550,41874
20180910,11450,11550,11350,11400,36395
20180907,11450,11600,11350,11450,37238
20180906,11350,11600,11250,11500,55464
20180905,11450,11550,11350,11400,42718
20180904,11500,11600,11400,11450,41102
20180903,11700,11700,11450,11550,34494
20180831,11500,11800,11500,11600,71357
20180830,11500,11650,11350,11600,93124
20180829,11700,11700,11300,11600,54304
20180828,11450,11700,11400,11650,62377
20180827,11400,11600,11400,11450,41732
20180824,11750,11800,11350,11400,86605
20180823,11450,11700,11300,11700,68284
20180822,11400,12150,11150,11450,150405
20180821,11300,11450,11250,11450,40869
20180820,11050,11400,10700,11350,96590
20180817,10700,11350,10650,10900,116104
