,open,high,low,close,volume
20181109,125000,125500,121000,124500,37597
20181108,122500,125500,121500,124000,52730
20181107,126000,127500,119500,121000,74029
20181106,121500,122000,119500,121500,22053
20181105,122500,124500,119000,121000,34205
20181102,118500,125000,117000,124000,64090
20181101,118000,123500,116500,118500,67807
20181031,120000,121500,114500,119500,88109
20181030,123500,124500,114500,120500,85145
20181029,120500,125500,119500,122500,58383
20181026,123500,124000,116500,121500,45968
20181025,120500,123500,120000,123500,49445
20181024,128000,128000,120500,123500,68299
20181023,129500,133500,124500,126500,85957
20181022,127000,131500,125500,130500,58949
20181019,127500,128500,124000,127000,22743
20181018,129500,132000,125000,128000,42971
20181017,132500,133000,129000,130500,32138
20181016,129500,132500,127500,130500,36076
20181015,129000,134000,128000,129000,40742
20181012,127500,131500,124500,130000,67737
20181011,125000,130000,122500,127500,66265
20181010,133000,136000,128500,130000,48852
20181008,132500,135500,131000,134000,35372
20181005,136000,136500,130000,132000,82183
20181004,137000,139500,134000,137000,45812
20181002,139500,139500,135000,136500,53473
20181001,136000,143000,135500,141000,86522
20180928,137500,138000,134500,136500,54663
20180927,136000,140000,134000,138000,68297
20180921,139500,139500,135000,136000,111900
20180920,142000,142000,137000,137500,102854
20180919,142000,147500,141000,142500,110959
20180918,138500,144000,137000,143000,95085
20180917,140000,140000,136500,139000,67735
20180914,139000,141000,136500,140500,69777
20180913,139000,145000,136000,139000,149674
20180912,136500,141000,133000,136500,189486
20180911,125000,140500,124500,136000,316760
20180910,129000,129500,125000,126000,61943
20180907,125000,129000,124000,127500,103836
20180906,123500,125000,121500,125000,71201
20180905,121500,124500,119500,121500,68436
20180904,120500,121500,118500,120500,53259
20180903,117000,121000,116500,120500,44306
20180831,117000,119500,117000,117000,91515
20180830,115000,119000,114500,117500,91666
20180829,116500,119000,114500,116000,167128
20180828,107500,113000,107500,112500,96024
20180827,108500,109000,107500,107500,19582
20180824,108500,110000,107000,108000,39626
20180823,106000,110000,105500,109000,57246
20180822,107000,108000,106000,106500,32204
20180821,109000,109500,106000,107000,49648
20180820,109500,110000,108000,109500,25915
20180817,110000,110500,108500,109500,31933
20180816,108000,110500,107500,110000,36356
20180814,106500,110000,106500,109000,34286
20180813,110000,111500,106500,107000,42453
20180810,109000,112500,108000,111000,72285
20180809,108500,110500,108500,109000,71551
20180808,107000,110000,105000,109500,92191
20180807,108000,109000,106500,107500,84310
20180806,109000,110000,107000,108500,64519
20180803,104500,110000,104000,109000,116887
20180802,104500,108500,104000,104000,104399
20180801,105000,106000,103000,104500,103512
20180731,101500,104000,101500,104000,48304
20180730,101000,104000,101000,101500,59978
20180727,99900,103000,98500,101500,81553
20180726,101000,101500,98900,100000,32983
20180725,98900,100500,98300,99800,25349
20180724,97600,98200,96600,98000,26092
20180723,96500,98400,96000,96600,45027
20180720,97000,97500,95900,96600,33704
20180719,98700,98900,96200,97300,44885
20180718,99200,99700,98200,98300,22723
20180717,99500,100000,99200,99300,17501
20180716,100000,101000,99300,100000,30868
20180713,100500,102000,99200,100000,42043
20180712,101000,101500,99700,100500,22537
20180711,99100,101500,98500,101000,43287
20180710,101000,102000,99800,100000,52255
20180709,102000,102500,100000,101500,32132
20180706,99500,102500,99400,102500,27345
20180705,99000,100500,98600,99500,19596
20180704,99000,99900,98800,99000,18460
20180703,100500,101000,97900,99800,40708
20180702,104000,105500,99500,99900,35883
20180629,103500,106000,101500,104000,39889
20180628,102000,105000,100000,104500,49631
20180627,105000,105000,102000,102000,40457
20180626,102500,106000,102500,104000,57101
20180625,101000,103000,100000,102500,24418
20180622,98600,101000,98600,100500,51532
20180621,104000,105000,101000,101000,48960
20180620,104000,105000,102500,104000,36340
20180619,104000,106000,103000,104500,53854
20180618,107500,108500,104000,104500,55005
20180615,106000,110500,106000,108000,158926
20180614,107000,108000,105500,105500,40521
20180612,109000,109000,107000,107500,38902
20180611,106500,109500,106500,109000,35901
20180608,107500,108000,106000,106500,27255
20180607,107500,109000,107000,108500,36384
20180605,106500,108500,105000,107500,32885
20180604,107500,108500,105500,106500,30681
20180601,104500,107500,103000,106000,49921
20180531,106000,107000,104500,104500,43583
20180530,107500,108500,104500,105500,41028
20180529,109500,111500,107500,108000,45593
20180528,111000,112000,109500,110500,66169
20180525,107500,109500,107500,109000,39722
20180524,112500,114000,109500,110000,41091
