,open,high,low,close,volume
20181109,76700,78000,76700,77900,425
20181108,77500,79700,77500,77600,35
20181107,76900,80800,76900,77000,1752
20181106,74800,76500,74800,76500,36
20181105,75300,75500,74600,75500,104
20181102,75200,75600,74600,75600,162
20181101,75600,75600,74000,75200,574
20181031,74900,75200,73900,75000,437
20181030,74500,75300,73700,75300,969
20181029,75200,75200,73700,74900,558
20181026,75700,76500,73800,75400,761
20181025,76900,76900,74800,75700,695
20181024,77500,79500,76900,76900,321
20181023,78600,79000,78400,78500,100
20181022,79500,79500,79500,79500,0
20181019,80000,80000,78000,79500,147
20181018,79100,79500,78600,79500,77
20181017,79700,80100,77300,79500,412
20181016,79500,79500,79500,79500,3
20181015,79000,80300,78100,79200,31
20181012,79000,79000,77200,78800,448
20181011,79000,79000,77000,77200,382
20181010,81400,81400,77900,79800,464
20181008,82500,82500,79800,80100,278
20181005,81400,82800,81000,82000,113
20181004,83000,83000,81400,82500,424
20181002,82900,82900,81600,82900,274
20181001,81800,82700,81500,82700,448
20180928,80500,82800,80500,81800,379
20180927,80000,81600,79500,81600,472
20180921,81500,81700,80900,80900,706
20180920,81900,81900,80100,81400,285
20180919,81000,81500,80700,81100,602
20180918,80100,80500,79600,80500,146
20180917,80500,80500,79500,80100,390
20180914,79900,80100,79500,80100,336
20180913,79300,79900,79000,79700,221
20180912,78900,79000,77700,79000,1253
20180911,78300,79000,76900,78900,1804
20180910,76900,77400,76900,77400,68
20180907,77200,77200,76600,76900,959
20180906,76800,76900,76400,76900,403
20180905,77100,77100,76300,76800,236
20180904,76600,77000,76200,77000,3
20180903,76900,76900,76000,76800,40
20180831,75800,77600,75800,77200,113
20180830,76100,76400,76100,76400,70
20180829,76100,76500,75600,76100,181
20180828,74600,76000,74600,76000,1010
20180827,75100,76000,74500,76000,87
20180824,74200,75400,74200,75300,253
20180823,75900,75900,74800,75400,191
20180822,75500,75500,74800,75500,19
20180821,75700,76000,75200,75500,92
20180820,75100,75800,74600,75700,62
20180817,75100,75100,74400,75100,138
20180816,74500,75300,74400,75000,290
20180814,74300,75800,74300,75500,20
20180813,75300,75600,74100,75300,151
20180810,75500,75800,74400,75300,128
20180809,75500,75500,74200,74200,165
20180808,75200,75300,74500,75300,43
20180807,74900,75800,74000,75200,162
20180806,74900,75700,73700,75400,655
20180803,74100,75300,74100,74900,348
20180802,73900,75400,73600,74700,452
20180801,73500,75500,73500,74700,252
20180731,74700,75600,73900,75300,162
20180730,74800,75900,73600,73900,231
20180727,73800,75200,73300,74900,25
20180726,73800,75400,73200,73600,132
20180725,75700,75700,73000,73800,752
20180724,74500,74500,74400,74400,6
20180723,74900,74900,74900,74900,8
20180720,73300,74400,72500,74400,137
20180719,73300,74700,73200,74700,69
20180718,74700,74700,73200,74400,44
20180717,74000,74000,74000,74000,16
20180716,74000,74000,73100,74000,19
20180713,74000,74500,72100,74000,134
20180712,73200,74000,73200,74000,12
20180711,75300,75300,72500,73200,573
20180710,74000,75400,73500,75400,75
20180709,74600,78900,74400,75400,88
20180706,73100,75500,73100,75400,4
20180705,73900,75800,72500,73200,384
20180704,74000,74000,74000,74000,3
20180703,74900,74900,73100,74000,131
20180702,75800,76400,73600,74900,282
20180629,76200,76200,74000,75800,52
20180628,76800,76800,73800,75500,263
20180627,76400,77600,76300,77000,74
20180626,76300,76300,75300,76300,646
20180625,76300,76300,75900,76300,49
20180622,76400,77300,74800,76300,192
20180621,76700,78900,75500,76400,210
20180620,76700,76700,76700,76700,52
20180619,76500,76700,76100,76700,339
20180618,77800,77800,76500,77100,118
20180615,79400,79400,76900,77800,30
20180614,77600,77600,76700,77500,332
20180612,77700,78000,76400,77600,193
20180611,77600,79600,77000,77600,158
20180608,77700,77700,76500,77600,161
20180607,78000,78000,76300,77700,157
20180605,78000,78000,77800,77800,22
20180604,76400,77000,76000,77000,148
20180601,79100,79100,75400,76500,1430
20180531,77700,77700,76100,76100,67
20180530,77700,77700,75500,77500,71
20180529,78000,78000,76700,77700,26
20180528,77300,78000,76500,77600,137
20180525,78500,78500,76100,77300,175
20180524,78300,79000,77900,78500,228
20180523,78900,78900,76800,78300,313
20180521,78800,78900,78000,78900,276
20180518,78900,78900,76300,78000,226
20180517,77000,77900,77000,77900,216
20180516,79700,79800,76700,79000,270
20180515,78900,78900,76600,78000,65
20180514,76100,78200,76100,77300,396
20180511,76100,76100,75600,75900,131
20180510,75900,75900,74700,75700,140
20180509,76000,76000,75200,75700,288
20180508,76100,76100,76000,76000,8
20180504,75700,75900,75000,75900,1493
20180503,75500,75800,74500,75700,211
20180502,75500,75500,75200,75500,369
20180430,72800,75700,72600,74000,2126
20180427,72400,72700,72100,72600,231
20180426,72200,72300,72200,72200,294
20180425,72000,72100,71800,72100,131
20180424,72100,72100,72000,72000,2
20180423,71500,72100,71100,72000,340
20180420,72100,72100,71800,72100,47
20180419,71900,72100,71900,72000,13
20180418,71700,72000,71700,71900,12
20180417,71400,71800,71400,71700,41
20180416,71800,71800,68200,71400,355
20180413,71800,71800,70600,71700,182
20180412,71600,71700,71100,71500,53
20180411,70100,71600,70100,71100,44
20180410,70900,70900,70400,70900,47
20180409,70800,71400,70800,70900,33
20180406,70700,71000,70100,70800,68
20180405,70600,71000,70500,70700,15
20180404,71100,71100,69900,70500,227
20180403,71800,72100,71100,71800,13
20180402,71900,71900,71300,71800,53
20180330,71400,72000,71300,72000,84
20180329,71200,72800,70900,72100,466
20180328,71900,71900,71600,71800,30
20180327,72200,72200,71600,71900,91
20180326,71900,72300,71500,71900,418
20180323,71700,72300,71500,71900,32
20180322,72200,72600,71700,72200,169
20180321,72200,72800,71600,72200,200
20180320,72200,72200,72200,72200,14
20180319,72400,72400,71600,72200,196
20180316,72100,72900,72100,72400,48
20180315,72300,72300,71000,72100,11
20180314,71800,72300,71400,72300,80
20180313,71900,71900,70600,71800,28
20180312,72000,72000,71500,71900,119
20180309,70900,72500,70900,71500,31
20180308,71200,71200,70000,70900,279
20180307,71100,71100,69600,71100,159
20180306,71400,71900,70600,70700,54
20180305,71200,72300,70500,71300,87
20180302,72300,72300,71000,71100,9
20180228,71000,72300,71000,72300,329
20180227,72400,72400,72400,72400,3
20180226,72500,72500,71800,72400,15
20180223,72400,72500,72000,72500,44
20180222,72000,72400,72000,72400,21
20180221,71900,72300,71900,72000,7
20180220,71500,71900,71500,71900,38
20180219,71700,72800,71400,72000,19
20180214,71800,72200,70800,71700,19
20180213,72500,72500,71300,71800,8
20180212,71700,72700,70800,71300,29
20180209,71500,72800,71500,71700,56
20180208,70500,71900,70500,71500,19
20180207,71100,71900,70500,70500,118
20180206,71400,71400,69500,71100,235
20180205,71800,71900,71200,71500,52
20180202,72000,72000,71000,71800,247
20180201,71300,72500,71000,72000,397
20180131,72300,72300,71000,72000,423
20180130,72600,72600,71600,72300,403
20180129,71500,72600,71500,72600,161
20180126,72200,72200,70900,71500,29
20180125,70800,72100,70800,71600,307
20180124,71500,72200,71200,71700,47
20180123,72100,72100,70900,71500,151
20180122,71700,73000,70800,71600,224
20180119,71800,71800,71500,71700,13
20180118,72300,72300,70700,71800,76
20180117,70600,72300,70600,72300,71
20180116,70600,71000,70300,70500,2015
20180115,71900,71900,71000,71000,354
20180112,71800,72100,71600,71900,88
20180111,72000,72000,71100,71800,62
20180110,72400,72700,70900,71700,635
20180109,70200,72600,70200,71000,166
20180108,72300,72300,70000,71800,70
20180105,71800,71800,71600,71700,43
20180104,72200,72700,70000,71800,412
20180103,73600,73600,72000,72200,134
20180102,73700,74000,73600,73600,10
20171228,73400,74100,72900,73400,105
20171227,75700,75700,72200,73500,449
20171226,79700,79700,77900,78800,1395
20171222,78100,80800,78100,78200,1126
20171221,78600,78600,78000,78200,47
20171220,78000,78300,77100,78300,442
20171219,77800,78000,73200,78000,72
20171218,77700,77800,77700,77800,21
20171215,78700,78700,77600,78000,16
20171214,78500,78500,77200,77800,38
20171213,76800,77900,76700,77800,65
20171212,77200,77500,76700,76800,139
20171211,77500,77500,77200,77200,8
20171208,77500,77500,76700,77500,339
20171207,77900,78000,77500,77500,93
20171206,78000,78000,77700,77900,260
20171205,77300,78400,77300,78000,407
20171204,77400,77400,77000,77400,44
20171201,77400,77400,77400,77400,37
20171130,77700,77700,77400,77400,89
20171129,77700,78000,77700,77700,186
20171128,77700,78500,77700,77700,106
20171127,78400,78400,77600,77700,682
20171124,78600,78600,78000,78400,263
20171123,78100,78600,78000,78600,55
20171122,77800,78500,77800,78100,607
20171121,78100,78400,77100,77800,139
20171120,80000,80000,76500,78400,395
20171117,79100,80800,79100,80100,11
20171116,78500,80900,78500,80900,54
20171115,80000,80300,79400,79400,37
20171114,80900,80900,79600,80000,122
20171113,80300,81900,80200,80800,176
20171110,79400,80700,79400,80300,31
20171109,80600,80600,80000,80400,197
20171108,80400,80700,80000,80500,111
20171107,80000,80700,80000,80400,481
20171106,80100,82000,79700,80000,190
20171103,79700,79700,79200,79700,30
20171102,79900,79900,79200,79500,116
20171101,80100,80200,75400,79700,158
20171031,80300,80300,79500,80100,403
20171030,80000,80200,79600,80000,422
20171027,80100,80200,79800,80000,737
20171026,80000,80200,79600,80000,28
20171025,80100,80100,79400,80000,94
20171024,80100,80100,79600,80000,130
20171023,80600,80600,79100,80000,430
20171020,81200,81500,80700,81000,148
20171019,81400,81400,80400,81200,40
20171018,84000,84000,80500,81400,82
20171017,81200,81500,80900,81500,62
20171016,83300,83300,80400,80900,233
20171013,81600,81600,80000,80700,108
20171012,79700,81500,79700,80400,259
20171011,79600,79600,78700,79400,109
20171010,78800,79000,77900,78700,520
20170929,79400,79400,78700,79200,91
20170928,78300,79400,77900,79200,149
20170927,78000,78400,77800,78300,223
20170926,78000,78000,77700,78000,76
20170925,77800,78100,77200,78100,246
20170922,78500,78900,78000,78900,158
20170921,78900,79400,78500,79000,395
20170920,79400,79500,79400,79500,191
20170919,79000,79400,78800,79400,57
20170918,79400,79400,79000,79000,96
20170915,79000,79500,78400,79400,300
20170914,79100,79600,78600,79200,84
20170913,78100,79400,77800,79000,458
20170912,76700,78100,76700,78100,121
20170911,76300,76700,75800,76700,31
20170908,76200,77000,75500,76400,427
20170907,75800,76300,75400,76200,45
20170906,76100,79900,75500,75700,514
20170905,76300,77000,75700,76000,931
20170904,76400,77200,76400,77200,79
20170901,77800,77800,76700,77400,64
20170831,77800,77800,77800,77800,22
20170830,78100,78100,76400,78000,845
20170829,77400,78100,77400,78100,21
20170828,76300,77600,76300,77600,51
20170825,76700,77600,76300,77600,12
20170824,77900,77900,76200,77400,63
20170823,77000,78200,75300,77600,604
20170822,78500,78500,76300,77000,283
20170821,83000,83000,74800,76600,2238
20170818,74600,75900,74600,75900,104
20170817,75400,76400,74800,75600,786
20170816,74500,74600,74500,74600,83
20170814,75500,75500,73300,74700,128
20170811,74100,75700,73900,74700,105
20170810,75300,75300,73900,75000,149
20170809,75800,75800,73900,74900,97
20170808,75200,75200,74100,74800,203
20170807,76000,76000,73900,75200,54
20170804,74700,74800,74700,74700,77
20170803,74100,75000,73400,74500,664
20170802,74800,74800,73400,73600,207
20170801,73000,74900,73000,74800,856
20170731,71600,74000,71600,73000,168
20170728,73000,73000,71700,72700,123
20170727,72100,73000,72100,73000,15
20170726,72800,73200,72600,73000,232
20170725,71600,72900,71600,72800,68
20170724,72600,73000,71400,71600,77
20170721,71700,72900,71700,72600,25
20170720,72500,72500,71500,72500,101
20170719,71700,73000,71700,73000,56
20170718,71300,71800,71300,71800,184
20170717,71500,71900,71000,71800,142
20170714,72500,73000,71200,73000,177
20170713,73000,73200,72500,73200,265
20170712,74100,74100,73100,73100,171
20170711,72900,74400,72900,74300,23
20170710,73000,74400,72900,74400,83
20170707,73400,73500,72800,73500,54
20170706,74400,74400,73500,73500,6
20170705,75700,75700,74200,74200,59
20170704,72600,75800,72600,75100,103
20170703,75500,75500,74100,74300,39
20170630,73800,74200,73800,74200,191
20170629,73200,73800,73200,73800,17
20170628,73400,74000,72600,73200,133
20170627,73500,73600,73400,73400,178
20170626,73400,73600,73300,73500,417
20170623,73000,73400,72400,73400,322
20170622,71600,73300,71600,73100,105
20170621,71600,72900,70600,72700,299
20170620,72000,72200,71900,72200,109
20170619,72900,73100,72200,72200,1074
20170616,73700,74300,72200,73000,554
20170615,75000,75000,73700,73700,153
20170614,74400,76300,74400,75300,217
20170613,74000,75300,73900,75300,39
20170612,76100,76100,74800,75300,48
20170609,73000,75700,72800,75100,1624
20170608,74000,74000,72800,73300,226
20170607,73900,74000,73500,74000,135
20170605,74400,74400,73900,73900,211
20170602,75400,75400,74400,74900,53
20170601,74800,75500,74200,75000,119
20170531,74500,75000,74000,74800,145
20170530,74900,75200,74100,74500,3372
20170529,73700,74900,73300,74300,879
20170526,73300,73800,73100,73700,556
20170525,73100,73900,72700,73300,75
20170524,71500,73900,71500,73100,1351
20170523,70600,72500,70600,71400,779
20170522,70400,70600,70400,70500,367
20170519,69900,70400,68700,70400,402
20170518,69900,70100,69400,70000,75
20170517,69400,70000,69400,70000,387
20170516,69300,69400,68900,69400,277
20170515,69300,69500,69300,69300,265
20170512,68500,69500,68300,69300,2312
20170511,68000,68600,68000,68600,411
20170510,67600,68100,67600,68000,311
20170508,67800,68000,67400,67900,194
20170504,67800,67800,67100,67800,384
20170502,67700,67900,67100,67800,68
20170428,67600,67700,67200,67600,112
20170427,67500,67700,67400,67700,301
20170426,67400,67900,67100,67700,430
20170425,67500,67500,67000,67400,371
20170424,67900,67900,67200,67500,52
20170421,67000,67200,66800,67200,44
20170420,66600,67000,66600,67000,5
20170419,67200,67200,66900,67200,32
20170418,67100,67200,67100,67200,24
20170417,66800,67200,66200,67200,801
20170414,67100,67100,66800,66900,95
20170413,67000,67500,66700,67300,135
20170412,66400,67100,66400,67000,818
20170411,66300,66900,66200,66400,357
20170410,66200,66200,66100,66100,29
20170407,65900,66200,65600,66200,240
20170406,66100,66100,65400,65900,1244
20170405,65900,66000,65500,65900,263
20170404,66000,66000,65200,65900,189
20170403,66000,66000,65600,66000,151
20170331,65700,65700,65400,65500,241
20170330,65700,65700,65400,65700,55
20170329,65800,65800,65200,65700,189
20170328,65700,65800,65400,65800,142
20170327,66000,66000,65400,65800,64
20170324,65800,66000,65500,66000,319
20170323,65600,65800,65500,65800,849
20170322,65200,65600,65200,65600,35
20170321,65500,65900,65000,65600,412
20170320,65200,66000,64900,65800,517
20170317,65700,65700,65300,65500,81
20170316,65800,65900,65000,65900,795
20170315,66000,66000,65500,66000,568
20170314,66000,66000,65900,66000,22
20170313,65500,66100,65500,66100,238
20170310,66500,66500,65500,66000,129
20170309,65800,66200,65600,66100,72
20170308,66400,66400,65900,66100,141
20170307,65900,66200,65400,66100,328
20170306,65600,66000,65600,66000,32
20170303,65700,66000,65600,66000,275
20170302,66100,66200,65600,66000,131
20170228,66300,66300,65600,66200,905
20170227,66300,66300,66000,66300,120
20170224,66200,66500,65700,66300,397
20170223,65800,66100,65600,66000,528
20170222,66400,66400,65900,66200,81
20170221,66300,66400,65900,66400,17
20170220,66200,66400,65900,66400,135
20170217,66500,66600,65900,66200,296
20170216,66500,66700,65700,66400,136
20170215,66600,66700,65900,66300,258
20170214,66500,66600,66400,66600,684
20170213,66500,66500,66300,66400,265
20170210,66300,66300,65700,66300,18
20170209,66300,66300,66000,66300,47
20170208,65800,66500,65800,66300,25
20170207,66200,66300,65500,65500,197
20170206,66500,66500,66100,66200,22
20170203,66600,66600,66000,66500,147
20170202,66100,66900,65100,66600,172
20170201,66000,66200,64800,66100,236
20170131,66000,66000,65000,66000,115
20170126,65200,66500,64100,66300,296
20170125,66000,66300,65000,66100,351
20170124,65900,66400,65900,66400,32
20170123,65700,66400,65700,66400,90
20170120,65900,66400,65900,66400,12
20170119,65900,65900,64800,65900,31
20170118,65900,65900,65900,65900,4
20170117,66000,66000,65600,65900,56
20170116,65800,65800,64800,65600,8
20170113,65900,65900,65300,65800,19
20170112,65900,66500,65100,65900,55
20170111,65800,65900,65200,65900,126
20170110,65800,65900,65800,65800,24
20170109,66000,66000,65900,65900,14
20170106,65100,66000,64500,66000,269
20170105,64500,65400,64200,65100,56
20170104,64300,64600,64300,64500,91
20170103,65500,65900,63900,64000,423
20170102,66100,66100,65500,65900,22
20161229,66200,66200,66200,66200,2
20161228,66700,66900,65600,66200,472
20161227,70300,70900,70300,70900,712
20161226,70000,70300,69900,70300,710
20161223,69900,70100,69700,70000,880
20161222,69500,69900,69400,69900,496
20161221,70200,70200,69100,69900,599
20161220,70200,70200,69500,70000,526
20161219,69900,70200,69800,69900,723
20161216,69900,70000,69300,69900,1180
20161215,68000,68000,67400,68000,256
20161214,67800,68400,67200,68000,164
20161213,67100,67800,67000,67600,1394
20161212,67600,67600,67000,67100,779
20161209,67400,67400,66600,67400,186
20161208,67500,67700,66900,67500,60
20161207,67800,67800,67100,67500,81
20161206,67300,67900,67300,67600,212
20161205,67800,67900,67100,67900,1187
20161202,68000,68000,67600,67900,452
20161201,67500,67800,67300,67800,238
20161130,67100,67700,66800,67300,76
20161129,67000,67100,66000,67100,787
20161128,66700,67200,66100,67100,86
