,open,high,low,close,volume
20181109,78200,78500,77800,78200,1211
20181108,78400,78400,77500,78300,1757
20181107,77600,78900,77200,77700,3987
20181106,76400,77200,76400,77000,1239
20181105,76500,76500,75200,76400,2038
20181102,76000,76400,75400,76400,2356
20181101,76100,76100,74500,75300,4947
20181031,75500,75500,74400,75400,1668
20181030,74700,75400,73500,74700,9401
20181029,75800,76300,74700,75400,5053
20181026,77200,78000,75100,75900,4718
20181025,76800,77900,76500,77200,2254
20181024,79500,79500,76700,78000,2147
20181023,80500,80500,78400,79000,2712
20181022,79900,80500,79100,80400,1109
20181019,78900,80000,78700,79700,632
20181018,80500,80500,79000,79700,964
20181017,80200,81400,79800,80400,3534
20181016,79400,79600,78800,79400,2275
20181015,78600,80000,78600,79200,1241
20181012,78300,79500,77800,79300,2803
20181011,78700,80400,77700,78300,4311
20181010,80800,81600,79600,80700,2843
20181008,82700,82900,80500,81700,2557
20181005,82400,83000,81100,82200,2114
20181004,83300,83800,81700,83500,3059
20181002,84200,84300,82200,83300,1934
20181001,82400,84200,81900,83900,5423
20180928,82200,82500,81600,82400,2827
20180927,81700,82500,81000,82200,1744
20180921,82400,82800,82200,82200,2851
20180920,82500,82600,81900,82300,5313
20180919,81600,82800,81300,82500,7646
20180918,81200,81400,80500,81400,4146
20180917,81000,81300,80800,81200,2010
20180914,81000,81300,80500,81000,1569
20180913,80100,81200,80100,81000,14068
20180912,80000,80600,78900,80100,5540
20180911,77900,80300,77800,80100,16986
20180910,77900,78000,77600,77900,3515
20180907,76700,77800,76700,77600,8154
20180906,76800,77500,76700,77000,4743
20180905,77300,77500,76900,77000,5352
20180904,77500,77500,77000,77300,2754
20180903,77200,77500,77100,77400,1871
20180831,77200,77200,76900,77200,830
20180830,76900,77300,76800,77200,1629
20180829,76800,77700,76600,77200,4524
20180828,75900,76700,75900,76600,6083
20180827,75600,76000,75600,75900,1164
20180824,75800,75800,75300,75600,1070
20180823,75600,75700,75300,75400,1127
20180822,75600,75600,74800,75500,2221
20180821,75900,76000,75000,75600,3329
20180820,75900,76000,75600,75700,1267
20180817,75800,75800,75100,75700,2564
20180816,75300,76000,74900,75100,2733
20180814,75700,75900,75000,75300,2470
20180813,75800,76000,74900,75700,2208
20180810,75600,76200,75600,75800,1536
20180809,76000,76100,75700,75800,359
20180808,75900,76100,75200,76100,1275
20180807,76300,76300,75700,75900,487
20180806,76000,76100,75600,76100,886
20180803,76400,76400,75400,76000,723
20180802,76200,76200,75000,75500,4884
20180801,76000,76300,75200,75800,1898
20180731,75000,75900,74900,75800,1110
20180730,74800,75300,74800,75000,645
20180727,74800,75100,74100,74800,2407
20180726,74900,75100,74000,74800,1233
20180725,74300,74900,74000,74900,1137
20180724,73900,75000,73600,74300,1110
20180723,74100,74100,73000,73800,1559
20180720,73300,73900,72700,73400,670
20180719,74200,74200,73300,73300,1860
20180718,73900,74000,73700,74000,912
20180717,74000,74000,73600,73900,268
20180716,74000,74000,73500,73900,1138
20180713,73900,74200,73500,73800,3732
20180712,74000,74100,73200,73900,3652
20180711,74000,74000,73100,73900,2270
20180710,74400,74600,73400,74200,2219
20180709,74500,74500,74100,74400,1553
20180706,73300,74500,73300,74500,2818
20180705,73500,74000,72700,73700,3854
20180704,73200,73800,72600,73700,3277
20180703,74500,74500,73200,74000,1408
20180702,75900,75900,73300,73400,6787
20180629,76400,76400,75200,76100,1414
20180628,75700,76400,74800,76400,5284
20180627,77400,77400,75900,76800,3117
20180626,76800,77200,75700,76900,1557
20180625,76000,76900,75600,76900,1511
20180622,76900,76900,75800,75900,1702
20180621,77200,77800,75700,76900,3369
20180620,77200,77700,76900,77400,665
20180619,77400,77700,76900,77200,2066
20180618,77900,77900,76900,77400,3496
20180615,78000,78200,77600,77900,1688
20180614,77800,78000,77400,77800,1121
20180612,78000,78300,77700,77800,1508
20180611,77800,78300,77700,77800,1747
20180608,78000,78000,77500,78000,882
20180607,77900,78100,77500,78000,1194
20180605,77900,77900,77300,77800,1468
20180604,77900,78000,77400,77900,743
20180601,77400,77700,76700,77700,1580
20180531,77300,77600,76700,77400,783
20180530,77400,77700,76100,77300,4389
20180529,77700,78100,77000,77900,3323
20180528,78200,78200,77400,78100,4312
20180525,77400,77900,76700,77500,4904
20180524,77900,78200,77300,78000,2138
20180523,77700,78300,77400,77900,1857
20180521,78500,78500,77600,77700,2154
20180518,78300,78300,77600,78000,1449
20180517,78300,78300,76900,77900,1792
20180516,77600,78500,77000,77900,2777
20180515,77800,78500,77500,78000,5785
