,open,high,low,close,volume
20181109,2630,2670,2600,2620,241139
20181108,2605,2665,2605,2630,158423
20181107,2630,2665,2555,2590,230522
20181106,2630,2680,2610,2630,249537
20181105,2590,2645,2570,2630,232181
20181102,2480,2615,2480,2590,333381
20181101,2475,2530,2460,2485,245937
20181031,2450,2510,2420,2475,240471
20181030,2325,2445,2325,2420,432567
20181029,2570,2600,2365,2390,668826
20181026,2670,2705,2550,2580,527099
20181025,2605,2680,2595,2660,521822
20181024,2790,2810,2695,2720,313914
20181023,2820,2835,2710,2775,226177
20181022,2750,2845,2720,2810,326555
20181019,2690,2750,2650,2750,268160
20181018,2725,2730,2670,2700,197083
20181017,2695,2775,2695,2725,308720
20181016,2630,2690,2625,2660,115795
20181015,2645,2675,2610,2635,197376
20181012,2550,2675,2550,2630,545428
20181011,2640,2690,2540,2645,660350
20181010,2835,2875,2700,2700,549690
20181008,2770,2830,2730,2815,565225
20181005,2685,2725,2650,2710,273357
20181004,2730,2740,2665,2685,162565
20181002,2740,2750,2715,2720,170043
20181001,2775,2775,2710,2740,189025
20180928,2750,2760,2700,2750,212177
20180927,2690,2750,2690,2730,277796
20180921,2590,2690,2565,2690,420555
20180920,2620,2650,2570,2570,406262
20180919,2715,2735,2610,2620,383381
20180918,2695,2750,2695,2705,159238
20180917,2725,2745,2700,2730,352667
20180914,2720,2760,2685,2725,422897
20180913,2625,2695,2600,2695,275322
20180912,2660,2660,2605,2620,204039
20180911,2565,2700,2565,2625,622487
20180910,2600,2600,2560,2585,120506
20180907,2570,2600,2565,2590,205330
20180906,2585,2600,2555,2570,241595
20180905,2560,2590,2545,2575,152804
20180904,2580,2585,2545,2550,141799
20180903,2585,2590,2550,2570,179654
20180831,2605,2605,2550,2585,276465
20180830,2650,2660,2575,2600,255589
20180829,2575,2645,2555,2640,290577
20180828,2550,2585,2545,2580,266449
20180827,2560,2575,2535,2560,245267
20180824,2505,2570,2505,2550,406746
20180823,2580,2605,2460,2505,1491259
20180822,2730,2745,2505,2540,957895
20180821,2705,2755,2695,2730,175797
20180820,2700,2780,2695,2705,177071
20180817,2715,2755,2690,2705,124386
20180816,2700,2755,2680,2715,159509
20180814,2740,2765,2690,2730,83180
20180813,2795,2815,2705,2725,180343
20180810,2820,2835,2790,2815,124054
20180809,2895,2895,2815,2835,164136
20180808,2880,2905,2870,2890,198272
20180807,2910,2950,2840,2880,288455
20180806,2730,2880,2725,2865,439802
20180803,2675,2735,2675,2730,75774
20180802,2730,2735,2665,2670,121340
20180801,2680,2750,2680,2730,159504
20180731,2615,2680,2615,2680,131897
20180730,2575,2640,2560,2615,223900
20180727,2535,2575,2510,2560,304275
20180726,2570,2610,2525,2550,275966
20180725,2640,2640,2525,2570,543371
20180724,2565,2645,2535,2645,263905
20180723,2660,2660,2565,2565,208028
20180720,2600,2650,2600,2635,111129
20180719,2625,2655,2600,2625,123210
20180718,2700,2700,2625,2625,91447
20180717,2710,2710,2670,2680,62993
20180716,2725,2735,2675,2690,78692
20180713,2660,2730,2650,2695,149498
20180712,2650,2670,2600,2645,127360
20180711,2650,2685,2610,2635,177696
20180710,2655,2800,2655,2690,130283
20180709,2655,2660,2620,2650,89434
20180706,2605,2665,2600,2655,136596
20180705,2630,2655,2575,2605,111559
20180704,2600,2675,2595,2630,184610
20180703,2705,2745,2570,2605,676473
20180702,2830,2830,2705,2705,199086
20180629,2770,2830,2735,2830,206609
20180628,2775,2805,2765,2765,125495
20180627,2845,2845,2785,2785,214687
20180626,2815,2860,2795,2820,207580
