,open,high,low,close,volume
20181109,632000,650000,632000,639000,1211
20181108,626000,645000,626000,638000,1947
20181107,652000,658000,616000,621000,3466
20181106,657000,659000,647000,650000,1712
20181105,667000,683000,637000,651000,2963
20181102,655000,685000,655000,675000,1403
20181101,651000,681000,650000,655000,2970
20181031,663000,675000,653000,656000,2961
20181030,680000,684000,661000,671000,1961
20181029,706000,706000,672000,680000,1574
20181026,678000,696000,674000,694000,1716
20181025,699000,700000,662000,685000,2476
20181024,703000,703000,689000,694000,2899
20181023,712000,721000,684000,691000,1723
20181022,697000,725000,692000,712000,1924
20181019,707000,719000,690000,697000,3622
20181018,722000,733000,706000,711000,1414
20181017,758000,765000,717000,722000,2015
20181016,752000,759000,744000,746000,2148
20181015,733000,764000,733000,752000,2223
20181012,780000,780000,740000,742000,2083
20181011,819000,821000,751000,757000,2647
20181010,807000,822000,806000,822000,12879
20181008,795000,817000,795000,816000,1667
20181005,797000,797000,780000,789000,1095
20181004,785000,796000,782000,793000,1671
20181002,795000,805000,777000,791000,2467
20181001,824000,835000,800000,801000,1803
20180928,857000,857000,821000,830000,1968
20180927,816000,846000,816000,844000,1519
20180921,834000,834000,814000,829000,1479
20180920,805000,835000,804000,815000,2158
20180919,811000,818000,810000,813000,893
20180918,809000,816000,807000,815000,651
20180917,818000,827000,812000,813000,806
20180914,834000,834000,822000,829000,949
20180913,836000,836000,818000,834000,1798
20180912,828000,832000,810000,829000,2114
20180911,806000,836000,805000,831000,3605
20180910,797000,817000,797000,814000,2349
20180907,815000,815000,800000,807000,1904
20180906,808000,821000,803000,807000,2428
20180905,806000,817000,801000,810000,953
20180904,812000,819000,802000,811000,2098
20180903,820000,832000,815000,818000,2505
20180831,801000,821000,800000,820000,2295
20180830,814000,825000,791000,796000,4029
20180829,825000,826000,815000,817000,2997
20180828,818000,835000,813000,818000,4217
20180827,845000,847000,815000,815000,4781
20180824,824000,845000,824000,845000,4326
20180823,829000,840000,820000,825000,4109
20180822,856000,866000,823000,825000,4538
20180821,864000,878000,859000,860000,2934
20180820,876000,884000,862000,864000,1746
20180817,848000,888000,844000,861000,3521
20180816,863000,863000,851000,856000,2474
20180814,849000,862000,833000,861000,1913
20180813,833000,859000,833000,843000,2151
20180810,848000,865000,842000,849000,2695
20180809,852000,863000,832000,847000,3601
20180808,882000,884000,850000,851000,3435
20180807,883000,895000,875000,893000,1592
20180806,861000,902000,861000,890000,2982
20180803,854000,871000,854000,866000,2427
20180802,877000,893000,850000,853000,3382
20180801,888000,918000,868000,886000,4609
20180731,898000,900000,865000,884000,7624
20180730,892000,900000,887000,896000,2523
20180727,895000,896000,877000,891000,1742
20180726,875000,888000,863000,883000,3269
20180725,868000,890000,857000,867000,3002
20180724,867000,880000,849000,874000,3445
20180723,854000,864000,845000,863000,2704
20180720,824000,856000,824000,845000,2905
20180719,839000,849000,819000,829000,3559
20180718,866000,867000,840000,841000,2792
20180717,873000,873000,855000,867000,1295
20180716,878000,884000,863000,873000,2581
20180713,896000,896000,880000,886000,1901
20180712,852000,897000,848000,896000,5986
20180711,835000,847000,817000,842000,2524
20180710,851000,861000,843000,846000,2058
20180709,835000,860000,835000,858000,5072
20180706,814000,839000,811000,836000,3415
20180705,844000,851000,806000,818000,3678
20180704,836000,854000,835000,840000,2694
20180703,870000,876000,835000,842000,3525
20180702,855000,870000,840000,870000,5852
20180629,815000,868000,804000,852000,6114
20180628,810000,820000,801000,819000,2201
20180627,781000,804000,776000,804000,2581
20180626,810000,815000,771000,789000,2423
20180625,772000,787000,758000,787000,1511
20180622,764000,789000,764000,772000,2215
20180621,752000,796000,752000,775000,3543
20180620,757000,776000,741000,763000,5858
20180619,776000,793000,759000,759000,4038
20180618,786000,799000,780000,783000,3850
20180615,806000,817000,778000,793000,9388
20180614,802000,822000,785000,822000,8515
20180612,814000,833000,795000,809000,4467
20180611,780000,810000,767000,809000,6186
20180608,759000,780000,753000,769000,4405
20180607,735000,769000,733000,765000,4365
20180605,756000,756000,734000,741000,3831
20180604,724000,750000,700000,748000,4854
20180601,703000,727000,700000,724000,2434
20180531,710000,719000,703000,706000,1900
20180530,706000,715000,697000,709000,3076
20180529,733000,733000,710000,710000,2028
20180528,739000,749000,726000,737000,1699
20180525,728000,734000,719000,730000,1524
20180524,717000,728000,706000,723000,2387
20180523,727000,740000,713000,720000,1366
20180521,705000,734000,702000,729000,1770
20180518,720000,720000,700000,705000,2607
20180517,717000,728000,711000,721000,1536
20180516,721000,730000,718000,721000,2236
20180515,724000,736000,716000,736000,2133
20180514,732000,738000,717000,735000,1982
20180511,720000,731000,713000,729000,3293
20180510,705000,723000,701000,721000,2118
20180509,713000,732000,702000,712000,2565
20180508,743000,749000,714000,718000,2603
20180504,756000,780000,738000,743000,3658
20180503,772000,780000,753000,770000,3614
20180502,752000,774000,752000,772000,4305
20180430,736000,755000,735000,745000,2096
20180427,760000,769000,731000,736000,4406
20180426,760000,767000,754000,760000,3485
20180425,735000,755000,725000,752000,4565
20180424,716000,737000,716000,724000,2445
20180423,726000,728000,709000,717000,809
20180420,703000,730000,703000,726000,2731
20180419,704000,720000,702000,705000,2941
20180418,684000,718000,680000,709000,5732
20180417,680000,706000,676000,688000,2428
20180416,689000,689000,672000,682000,2075
20180413,683000,696000,680000,680000,2331
20180412,693000,707000,688000,690000,2752
20180411,693000,704000,674000,698000,7331
20180410,690000,708000,688000,694000,2901
20180409,701000,710000,685000,694000,3105
20180406,687000,710000,685000,701000,5506
20180405,673000,699000,673000,687000,2986
20180404,678000,695000,657000,669000,4921
20180403,657000,681000,657000,678000,4045
20180402,662000,680000,659000,664000,4635
20180330,651000,662000,647000,662000,2081
20180329,642000,655000,640000,651000,2407
20180328,641000,648000,636000,647000,2962
20180327,614000,649000,606000,643000,5594
20180326,617000,626000,561000,617000,2638
20180323,610000,628000,610000,616000,1587
20180322,630000,630000,617000,626000,2273
20180321,611000,630000,605000,625000,1974
20180320,616000,634000,603000,619000,2140
20180319,624000,630000,617000,619000,2977
20180316,608000,620000,598000,615000,1633
20180315,608000,612000,594000,611000,932
20180314,594000,602000,593000,599000,663
20180313,600000,606000,599000,602000,1284
20180312,611000,611000,603000,606000,2273
20180309,598000,610000,596000,601000,1526
20180308,593000,602000,586000,602000,2055
20180307,590000,599000,584000,594000,1251
20180306,581000,603000,573000,598000,2517
20180305,570000,581000,567000,568000,1506
20180302,580000,582000,571000,575000,1981
20180228,604000,604000,583000,585000,1857
20180227,606000,612000,600000,601000,898
20180226,599000,611000,592000,611000,2105
20180223,586000,594000,575000,592000,684
20180222,581000,587000,568000,582000,752
20180221,591000,594000,581000,585000,757
20180220,591000,598000,584000,584000,788
20180219,585000,597000,580000,595000,1370
20180214,589000,596000,571000,575000,2931
20180213,617000,617000,594000,603000,1816
20180212,612000,613000,601000,608000,1885
20180209,598000,622000,583000,619000,4367
20180208,604000,604000,589000,599000,1442
20180207,612000,617000,590000,590000,2619
20180206,610000,616000,590000,616000,3236
20180205,623000,623000,606000,613000,1559
20180202,631000,640000,613000,615000,1884
20180201,631000,639000,623000,639000,1922
20180131,641000,641000,597000,637000,3883
20180130,639000,647000,635000,638000,1985
20180129,645000,648000,631000,642000,2010
20180126,630000,651000,630000,647000,3289
20180125,627000,649000,627000,635000,2818
20180124,613000,639000,610000,636000,5790
20180123,571000,620000,566000,610000,9824
20180122,555000,570000,549000,570000,2863
20180119,544000,555000,543000,549000,1710
20180118,546000,553000,545000,546000,1113
20180117,549000,553000,547000,549000,1369
20180116,545000,554000,545000,549000,1172
20180115,545000,550000,542000,549000,956
20180112,551000,557000,544000,545000,2602
20180111,556000,560000,548000,553000,1529
20180110,549000,561000,548000,551000,1448
20180109,553000,556000,548000,550000,1284
20180108,556000,564000,555000,555000,1379
20180105,564000,566000,556000,560000,673
20180104,562000,570000,562000,563000,1639
20180103,565000,565000,556000,562000,1794
20180102,553000,565000,553000,565000,1087
20171228,560000,567000,553000,553000,2099
20171227,555000,565000,553000,555000,1049
20171226,559000,563000,557000,560000,1535
20171222,567000,567000,548000,558000,1633
20171221,557000,567000,552000,567000,1610
20171220,555000,565000,551000,565000,1249
20171219,565000,565000,556000,559000,832
20171218,551000,567000,551000,566000,1874
20171215,553000,555000,546000,554000,1153
20171214,548000,554000,544000,548000,2597
20171213,541000,555000,540000,546000,2887
20171212,549000,551000,536000,541000,2686
20171211,552000,558000,546000,549000,1946
20171208,560000,565000,553000,555000,2205
20171207,570000,572000,560000,566000,1392
20171206,559000,571000,557000,570000,2366
20171205,563000,567000,552000,567000,1921
20171204,561000,562000,553000,553000,1454
20171201,561000,567000,558000,558000,1854
20171130,570000,570000,559000,567000,2609
20171129,564000,568000,561000,563000,1126
20171128,566000,570000,564000,564000,983
20171127,566000,573000,565000,569000,846
20171124,568000,571000,566000,566000,955
20171123,569000,574000,566000,567000,1752
20171122,576000,584000,568000,569000,2991
20171121,577000,586000,572000,581000,2095
20171120,567000,583000,566000,577000,2766
20171117,570000,574000,564000,568000,1689
20171116,582000,582000,570000,571000,1951
20171115,575000,583000,575000,581000,1495
20171114,573000,580000,566000,580000,3141
20171113,573000,585000,569000,578000,2921
20171110,572000,579000,572000,577000,1197
20171109,580000,580000,572000,578000,1804
20171108,573000,582000,572000,574000,2126
20171107,582000,590000,573000,576000,2843
20171106,585000,593000,576000,589000,2241
20171103,590000,593000,580000,589000,1540
20171102,591000,595000,580000,580000,3479
20171101,599000,604000,588000,595000,4626
20171031,610000,620000,597000,599000,11986
20171030,595000,625000,561000,625000,23555
20171027,594989,594989,594989,594989,0
20171026,594989,594989,594989,594989,0
20171025,594989,594989,594989,594989,0
20171024,594989,594989,594989,594989,0
20171023,594989,594989,594989,594989,0
20171020,594989,594989,594989,594989,0
20171019,594989,594989,594989,594989,0
20171018,594989,594989,594989,594989,0
20171017,594989,594989,594989,594989,0
20171016,594989,594989,594989,594989,0
20171013,594989,594989,594989,594989,0
20171012,594989,594989,594989,594989,0
20171011,594989,594989,594989,594989,0
20171010,594989,594989,594989,594989,0
20170929,594989,594989,594989,594989,0
20170928,594989,594989,594989,594989,0
20170927,578353,614561,578353,594989,17994
20170926,540187,586181,530401,577374,7182
20170925,568567,572481,529423,548995,7565
