,open,high,low,close,volume
20181109,17100,17400,16850,17400,912
20181108,17250,17250,16700,17150,2652
20181107,17500,17650,16700,17250,5285
20181106,17450,17550,17150,17550,1132
20181105,17300,17700,16550,17550,5426
20181102,17100,17500,17100,17400,2413
20181101,17000,17250,16650,17050,2325
20181031,16350,17050,15850,17050,4064
20181030,15300,16300,15200,16300,14596
20181029,16100,17650,15900,15900,13891
20181026,17350,17850,16000,17100,12963
20181025,17200,17350,16600,16950,6449
20181024,17300,17700,17100,17400,3789
20181023,17850,17850,17200,17350,2558
20181022,17250,17850,17150,17850,3578
20181019,17250,17600,17150,17550,4457
20181018,17400,17650,17400,17550,1622
20181017,17750,18250,17500,17500,3224
20181016,17200,19250,17150,17650,3594
20181015,17750,17750,17050,17050,5600
20181012,17100,18450,17100,17750,8545
20181011,17900,18050,17300,17300,15441
20181010,18550,18900,18050,18450,11849
20181008,18650,18950,18550,18700,4614
20181005,19000,19200,18700,18850,4496
20181004,19250,19500,18900,19200,4064
20181002,19700,19700,19050,19250,3677
20181001,19450,19700,19350,19650,2374
20180928,19500,19650,19200,19550,2584
20180927,19950,19950,19400,19400,4412
20180921,19350,19800,19350,19700,1443
20180920,19950,20200,19450,19450,4357
20180919,20250,20250,19400,19950,3844
20180918,20000,20350,19600,20200,1924
20180917,19400,20100,19400,20000,3356
20180914,19550,20000,19150,19550,5141
20180913,19800,19900,19500,19550,4730
20180912,20150,20200,19350,19950,8993
20180911,20150,20300,19700,20150,7413
20180910,20050,20050,19250,19500,8532
20180907,19850,19850,19150,19400,3924
20180906,19450,20200,19350,19500,5193
20180905,19750,20000,19350,19350,5147
20180904,19650,20300,19400,19750,4110
20180903,19400,20000,19400,19700,1779
20180831,20550,20550,19300,19400,4409
20180830,19000,20850,19000,19800,18170
20180829,19200,19200,18950,19000,5398
20180828,19250,19350,19050,19250,2424
20180827,19200,19400,19000,19250,7923
20180824,20250,20250,19200,19650,14735
20180823,20250,20600,20050,20050,6554
20180822,21100,21100,20300,20300,7074
20180821,21050,21050,20450,20950,20713
20180820,21200,21300,20150,20900,7888
20180817,20000,21000,19600,20800,16477
20180816,19550,20000,19450,19800,13355
20180814,19650,19650,19300,19600,2717
20180813,19500,20200,19150,19650,19513
20180810,19500,19500,19050,19400,6482
20180809,19000,19400,18950,19250,5904
20180808,19400,19400,19100,19250,1985
20180807,19350,19400,18950,19400,5740
20180806,19050,19400,18700,19350,7803
20180803,18950,19150,18850,19100,6680
20180802,18650,19100,18650,18850,2814
20180801,18950,19000,18450,19000,4447
20180731,19250,19400,18600,18950,5914
20180730,18600,19250,18600,19000,14005
20180727,18800,18850,18500,18600,1690
20180726,18400,18650,18350,18650,3934
20180725,18450,18500,18000,18350,9334
20180724,17950,18550,17750,18350,12857
20180723,18200,18450,17750,17950,16518
20180720,18450,18550,18050,18350,8815
20180719,18700,18850,18300,18350,9348
20180718,18700,18950,18400,18700,16254
20180717,18850,18900,18500,18750,7400
20180716,18950,19100,18550,18750,8532
20180713,18850,19100,18650,18900,9206
20180712,18600,18800,18450,18700,4010
20180711,18400,18700,18200,18600,18349
20180710,18600,19000,18400,18550,10768
