,open,high,low,close,volume
20181109,18000,18800,17900,18700,185383
20181108,18000,18450,17850,18000,232839
20181107,18050,18250,17800,17950,148854
20181106,17850,18150,17600,18000,125735
20181105,17900,17950,17700,17900,59631
20181102,17850,18100,17750,17800,113598
20181101,18400,18400,17800,17800,128301
20181031,17750,18300,17400,18200,169006
20181030,18100,18300,17550,17650,185907
20181029,18550,18800,18100,18100,149769
20181026,18450,18800,18300,18600,132021
20181025,18550,18650,18150,18550,144002
20181024,18400,18850,18400,18750,178446
20181023,19000,19100,18300,18400,168851
20181022,18350,19200,18300,19000,253728
20181019,18450,18500,18150,18400,233577
20181018,18650,18700,18250,18450,134368
20181017,18400,18800,18350,18550,179005
20181016,18550,18550,18150,18300,100556
20181015,18650,18700,18250,18400,146127
20181012,18700,18750,18250,18500,105666
20181011,19200,19300,18750,18750,223663
20181010,19350,19550,19050,19250,180484
20181008,19450,19650,19150,19450,148710
20181005,19600,19650,19400,19450,217846
20181004,19450,19550,19250,19450,164504
20181002,19650,19650,19350,19450,149734
20181001,19400,19600,19200,19600,195929
20180928,19600,19600,19050,19350,261479
20180927,18600,19600,18600,19600,580989
20180921,18400,18750,18400,18550,149274
20180920,18150,18350,18000,18350,94888
20180919,18400,18400,17950,18100,145155
20180918,18300,18400,18150,18400,66623
20180917,18550,18600,18300,18350,32938
20180914,18300,18650,18200,18550,96708
20180913,17850,18500,17750,18300,154174
20180912,17950,18000,17750,17800,173017
20180911,18000,18150,17850,17900,147407
20180910,18300,18300,17950,18100,95335
20180907,18400,18400,18150,18250,91229
20180906,18450,18650,18250,18300,73886
20180905,18450,18550,18250,18400,115613
20180904,18550,18600,18300,18400,122823
20180903,18550,18650,18400,18550,167894
20180831,18050,18550,18000,18250,223458
20180830,18000,18200,17850,18000,275128
20180829,18150,18300,17950,17950,200868
20180828,18200,18300,17950,18150,316463
20180827,18550,18550,18100,18150,236646
20180824,18600,18600,18250,18550,170272
20180823,18400,18650,18350,18550,115536
20180822,18900,18900,18350,18350,257782
20180821,18700,18950,18300,18950,169711
20180820,18750,19000,18650,18800,148964
20180817,18950,18950,18600,18650,138426
20180816,18700,19100,18450,18600,136910
20180814,18600,19200,18600,18950,163503
20180813,18900,19100,18400,18600,137832
20180810,19450,19450,18950,19100,82708
20180809,18800,19450,18650,19350,177588
20180808,18600,19000,18600,18800,51421
20180807,19050,19100,18500,18750,112560
20180806,18600,19250,18400,19150,187678
20180803,18650,18750,18300,18600,85495
20180802,18950,18950,18500,18550,51424
20180801,18450,19000,18300,18700,178973
20180731,18700,18750,18400,18400,83894
20180730,18600,18700,18450,18650,36192
20180727,18300,18700,18200,18650,73193
20180726,18550,18700,18200,18300,86954
20180725,18550,18850,18350,18700,116559
20180724,18500,18550,18150,18550,119345
20180723,18300,18550,17800,18350,247192
20180720,18700,18750,18200,18250,480636
20180719,18750,18750,18450,18700,90378
20180718,18500,18800,18500,18650,81359
20180717,18700,18800,18100,18600,292269
20180716,19000,19000,18650,18700,117336
20180713,19050,19150,18900,18950,98390
20180712,19250,19250,18850,19200,148353
20180711,19450,19450,19100,19150,94326
20180710,19750,19800,19300,19350,91067
20180709,19650,19800,19400,19500,56588
20180706,19250,19850,19250,19550,124927
20180705,19300,19850,19200,19250,61570
20180704,19350,19800,19100,19450,71738
20180703,19250,19400,18800,19300,106532
20180702,19200,19250,19050,19150,133206
20180629,19350,19500,19000,19200,170484
20180628,19350,19950,19050,19300,230866
20180627,19400,19500,19200,19200,172450
20180626,19500,19500,19400,19400,99673
20180625,19800,19850,19450,19550,205908
20180622,19700,20050,19650,20000,213612
20180621,20550,20650,19600,19700,386376
20180620,21100,21150,20600,20700,131528
20180619,20900,21900,20450,21100,589870
20180618,20200,20950,20200,20900,193891
20180615,20950,20950,20150,20150,233158
20180614,20300,21350,20300,20950,264226
20180612,20350,20750,20250,20700,115329
20180611,20550,20850,20050,20150,192628
20180608,20150,20600,20100,20400,144030
