,open,high,low,close,volume
20181109,246000,249500,246000,249500,7
20181108,252000,252000,246000,250000,10
20181107,249000,249000,248500,248500,72
20181106,250000,250000,249000,249000,108
20181105,249000,250000,249000,250000,79
20181102,249000,249500,249000,249000,200
20181101,245500,249000,245500,249000,7
20181031,244000,245000,244000,245000,547
20181030,240000,244500,240000,244000,266
20181029,246000,246000,240000,240000,503
20181026,245500,248000,245500,246000,153
20181025,251000,251000,245500,245500,251
20181024,250500,251000,249000,251000,394
20181023,252500,252500,250500,250500,229
20181022,252500,252500,252000,252500,287
20181019,252500,252500,252000,252500,321
20181018,251000,252500,249000,252500,92
20181017,255000,259000,251000,251000,55
20181016,249000,251000,249000,251000,123
20181015,243500,249500,243500,249000,22
20181012,242500,243500,242000,243500,313
20181011,242500,244500,242500,243500,105
20181010,250000,250000,246500,249500,178
20181008,250000,250000,247000,248500,151
20181005,251000,251500,247000,250500,232
20181004,250500,252500,250500,252500,5
20181002,252000,253500,250500,253000,14
20181001,256500,256500,250500,253500,16
20180928,258500,258500,256500,256500,33
20180927,257000,257000,253000,253500,75
20180921,251000,255000,251000,253500,99
20180920,254000,254000,251000,251000,73
20180919,251000,251000,251000,251000,32
20180918,251000,251000,251000,251000,114
20180917,250500,250500,250500,250500,81
20180914,250000,251000,250000,251000,95
20180913,250000,252000,250000,252000,58
20180912,252000,252000,251000,251000,314
20180911,250000,252000,250000,252000,87
20180910,250000,250000,250000,250000,103
20180907,253000,253000,250000,250000,13
20180906,250000,254000,250000,250000,174
20180905,252500,254000,252500,253500,47
20180904,250000,250000,250000,250000,2
20180903,249500,258000,249000,249500,100
20180831,251000,251000,249500,249500,11
20180830,250500,251000,248500,251000,13
20180829,250000,250000,250000,250000,2
20180828,257000,257000,248000,248000,244
20180827,249000,250000,249000,249500,155
20180824,245500,250000,245500,249000,214
20180823,249500,250000,249500,250000,23
20180822,249500,249500,249000,249500,14
20180821,249500,249500,249500,249500,1
20180820,250000,250000,249500,249500,27
20180817,252000,252000,250000,252000,18
20180816,250000,252000,250000,252000,16
20180814,252500,252500,250000,252500,73
20180813,251500,251500,249000,251500,81
20180810,253000,253000,250000,251500,114
20180809,250000,251000,250000,251000,36
20180808,248000,250000,248000,250000,27
20180807,253500,253500,251500,251500,42
20180806,250500,251500,250500,251500,112
20180803,252000,252000,250500,250500,92
