,open,high,low,close,volume
20181109,2440,2440,2385,2430,29070
20181108,2430,2465,2400,2420,148584
20181107,2385,2465,2375,2390,172659
20181106,2370,2390,2330,2385,81073
20181105,2425,2425,2305,2360,208072
20181102,2340,2430,2330,2405,375205
20181101,2345,2355,2290,2320,301126
20181031,2315,2340,2250,2325,215828
20181030,2245,2305,2155,2305,247264
20181029,2320,2395,2185,2250,339527
20181026,2440,2470,2275,2410,290964
20181025,2400,2460,2345,2430,226644
20181024,2510,2535,2470,2480,92612
20181023,2605,2645,2505,2505,92343
20181022,2640,2640,2550,2600,62301
20181019,2570,2635,2525,2630,53238
20181018,2590,2645,2555,2610,21843
20181017,2545,2645,2545,2590,62311
20181016,2510,2565,2475,2535,53841
20181015,2575,2590,2520,2540,59447
20181012,2480,2595,2425,2580,114923
20181011,2505,2660,2485,2485,262009
20181010,2755,2785,2645,2665,322761
20181008,2925,2925,2750,2785,241047
20181005,2915,2950,2855,2930,329568
20181004,3220,3230,2910,2995,824332
20181002,3130,3260,3130,3195,925940
20181001,3180,3185,3100,3160,665682
20180928,3015,3190,2965,3145,1095740
20180927,2940,3000,2900,2980,239950
20180921,2915,2980,2840,2905,177051
20180920,3010,3020,2915,2920,146080
20180919,3035,3035,2955,3005,91224
20180918,3035,3060,2995,3015,128317
20180917,3060,3080,3000,3065,116891
20180914,3000,3080,2980,3065,209243
20180913,3035,3035,2955,3030,149959
20180912,3020,3040,2955,3040,131399
20180911,2990,3025,2950,3025,192217
20180910,3090,3100,3000,3015,421178
20180907,3060,3060,2920,2975,293741
20180906,2905,3100,2885,3040,704486
20180905,2845,2895,2820,2895,117616
20180904,2830,2855,2795,2840,154374
20180903,2870,2880,2810,2835,67096
20180831,2880,2885,2865,2870,30310
20180830,2850,2875,2845,2875,131350
20180829,2820,2860,2820,2825,92501
20180828,2815,2855,2800,2820,111935
20180827,2855,2885,2800,2820,106469
20180824,2910,2915,2860,2885,72011
20180823,2850,2915,2845,2910,143945
20180822,2880,2885,2820,2845,202531
20180821,2920,2940,2825,2875,323452
20180820,2935,2960,2900,2920,103339
20180817,2995,3050,2935,2970,150898
20180816,3010,3035,2920,3005,88025
20180814,2950,3010,2950,3010,69307
20180813,3075,3075,2980,3000,85907
20180810,3070,3070,3020,3055,66597
20180809,3090,3090,3020,3075,97009
20180808,3110,3110,3050,3090,65936
20180807,3070,3105,3030,3095,112536
20180806,3050,3110,3050,3080,33769
20180803,3085,3110,3065,3095,59494
20180802,3110,3180,3050,3090,225677
20180801,3050,3115,3020,3075,189839
20180731,3060,3100,3005,3050,120111
20180730,2975,3040,2960,3025,142923
20180727,2930,2995,2905,2955,96095
20180726,2920,2955,2890,2955,142296
20180725,3000,3025,2935,2955,114839
20180724,3020,3040,2970,3015,81205
20180723,3045,3060,2970,3035,93316
20180720,3015,3080,2990,3035,115942
20180719,3095,3145,3000,3070,165365
20180718,3110,3170,3070,3130,78841
20180717,3155,3155,3075,3140,56518
20180716,3170,3200,3065,3155,69819
20180713,3090,3150,3080,3140,57666
20180712,3050,3100,3050,3100,35509
20180711,3100,3100,3005,3085,105462
20180710,3060,3125,3040,3125,80540
20180709,3020,3080,2980,3075,104227
20180706,3035,3070,2975,3065,145816
20180705,3025,3125,2925,3060,250405
20180704,3095,3095,2985,3050,245792
20180703,3060,3105,2970,3095,295322
20180702,3285,3330,3080,3130,214871
20180629,3300,3350,3260,3330,80795
20180628,3350,3365,3260,3330,120185
20180627,3440,3480,3280,3330,193566
20180626,3510,3520,3400,3470,108894
20180625,3500,3595,3480,3580,69800
20180622,3645,3645,3500,3535,160896
20180621,3525,3600,3515,3535,111199
20180620,3530,3565,3370,3525,111183
20180619,3400,3530,3400,3530,209479
20180618,3745,3760,3465,3465,398511
20180615,3680,3750,3660,3730,161336
20180614,3785,3785,3605,3700,295896
20180612,3630,3810,3630,3785,490829
20180611,3755,3790,3590,3625,743430
20180608,3810,3815,3725,3750,176859
20180607,3770,3825,3740,3740,288663
20180605,3900,3900,3770,3770,328519
20180604,3870,3920,3860,3900,107208
20180601,3930,3935,3860,3890,161030
20180531,3880,3955,3840,3945,249516
20180530,3900,3910,3750,3875,460027
20180529,3940,3940,3805,3900,212719
20180528,3890,3950,3850,3900,238717
