,open,high,low,close,volume
20181109,1455,1490,1415,1470,62985
20181108,1415,1475,1410,1455,120313
20181107,1435,1545,1370,1385,184763
20181106,1455,1485,1420,1435,80481
20181105,1455,1480,1410,1455,39256
20181102,1370,1460,1370,1455,113806
20181101,1295,1520,1295,1365,478395
20181031,1300,1330,1260,1290,61948
20181030,1230,1320,1180,1295,231318
20181029,1390,1440,1265,1265,184448
20181026,1500,1525,1365,1365,146916
20181025,1500,1555,1470,1500,65611
20181024,1630,1635,1520,1535,89462
20181023,1700,1705,1600,1610,97731
20181022,1700,1700,1660,1660,41570
20181019,1700,1715,1640,1700,49193
20181018,1700,1750,1675,1690,68303
20181017,1675,1720,1670,1705,78809
20181016,1620,1695,1620,1680,104477
20181015,1590,1700,1590,1615,143449
20181012,1505,1630,1505,1615,112281
20181011,1630,1705,1550,1550,259254
20181010,1830,1880,1655,1705,247508
20181008,1845,1885,1820,1860,50715
20181005,1945,1950,1850,1860,159506
20181004,1920,1965,1895,1950,157090
20181002,1985,1985,1925,1925,70175
20181001,1955,2050,1940,1985,95608
20180928,2000,2005,1950,1955,112155
20180927,2070,2100,2010,2010,69662
20180921,2005,2085,2000,2070,197944
20180920,1945,2060,1945,2005,174726
20180919,2010,2030,1930,1930,199136
20180918,2050,2080,1985,1985,297757
20180917,2155,2155,2035,2050,112092
20180914,2100,2130,2055,2100,195170
20180913,2090,2150,2040,2100,97432
20180912,2135,2160,2035,2095,232909
20180911,2180,2190,2095,2125,299429
20180910,2045,2140,2015,2130,442836
20180907,1955,2070,1955,2025,197683
20180906,2010,2030,1950,1950,231387
20180905,1975,2015,1965,1970,173990
20180904,2020,2020,1985,1995,140574
20180903,2020,2055,1950,1995,191193
20180831,1965,2030,1930,2005,247883
20180830,1875,2060,1875,1970,758998
20180829,1905,1915,1855,1865,228718
20180828,1995,2035,1915,1920,311857
20180827,2030,2040,1960,1990,466915
20180824,2140,2200,2110,2160,325467
20180823,2485,2515,2145,2145,3018809
20180822,2185,2185,2130,2150,360491
20180821,2070,2190,2050,2175,657003
20180820,2140,2155,2060,2070,325100
20180817,2080,2150,2040,2120,774398
20180816,1980,2075,1925,2050,1111539
20180814,1925,1975,1890,1970,387858
20180813,2000,2060,1895,1925,1002461
20180810,1810,2150,1810,1980,5055401
20180809,1785,1825,1775,1785,104602
20180808,1770,2000,1740,1795,1134468
20180807,1750,1765,1735,1760,28637
20180806,1795,1795,1745,1750,43779
20180803,1765,1795,1765,1795,40382
20180802,1755,1800,1755,1760,56193
20180801,1770,1800,1760,1780,27484
20180731,1765,1800,1750,1770,63788
20180730,1805,1810,1760,1795,54048
20180727,1730,1800,1730,1795,112709
20180726,1700,1790,1670,1750,221055
20180725,1670,1705,1640,1650,66258
20180724,1600,1700,1600,1665,101759
20180723,1745,1745,1620,1620,104545
20180720,1735,1750,1715,1750,44041
20180719,1760,1765,1715,1735,105653
20180718,1845,1845,1755,1760,71753
20180717,1805,1825,1785,1790,55495
20180716,1810,1820,1795,1795,83658
20180713,1795,1820,1770,1820,64824
20180712,1775,1815,1765,1785,92544
20180711,1760,1810,1730,1775,123086
20180710,1720,1765,1715,1765,79701
20180709,1770,1805,1705,1710,166546
20180706,1780,1815,1705,1810,145889
20180705,1755,1775,1735,1745,98088
20180704,1750,1775,1735,1760,102542
20180703,1825,1825,1730,1760,193318
20180702,1900,1905,1730,1785,154726
20180629,1880,1915,1820,1900,168368
20180628,1915,1925,1835,1835,204232
20180627,2005,2020,1885,1920,311868
20180626,2040,2080,1980,2000,168972
20180625,1970,2105,1945,2090,196621
20180622,2030,2055,1905,1965,273367
20180621,2065,2110,2010,2030,245106
20180620,1950,2070,1945,2065,256487
20180619,2105,2180,1970,1985,422152
20180618,2150,2170,2075,2120,350867
20180615,2060,2250,2060,2130,612296
20180614,2235,2250,2015,2055,711947
20180612,2330,2370,2235,2295,385234
20180611,2355,2450,2295,2320,689579
20180608,2420,2435,2305,2315,415689
20180607,2450,2535,2395,2420,726741
20180605,2595,2625,2370,2420,3410452
20180604,2840,2870,2585,2605,224623
20180601,2850,2855,2650,2690,285881
20180531,2795,2980,2780,2830,342345
20180530,2830,2850,2715,2775,512483
20180529,3020,3020,2720,2845,397208
20180528,2815,3110,2735,2995,1066402
20180525,2370,2555,2340,2460,671444
20180524,2940,2940,2755,2860,255549
