,open,high,low,close,volume
20181109,2495,2630,2450,2525,6495747
20181108,2405,2450,2355,2450,1532919
20181107,2535,2535,2285,2390,3129409
20181106,2365,2445,2290,2370,2709499
20181105,2705,2755,2445,2470,6022915
20181102,2245,2370,2245,2330,552605
20181101,2170,2305,2170,2230,513642
20181031,2140,2245,2095,2160,547686
20181030,1860,2145,1855,2125,1614136
20181029,2100,2190,1960,1960,1079143
20181026,2260,2340,2135,2135,847472
20181025,2220,2330,2200,2240,1070387
20181024,2470,2500,2315,2320,526668
20181023,2570,2610,2400,2430,731901
20181022,2475,2620,2475,2575,864250
20181019,2480,2530,2420,2500,501973
20181018,2545,2575,2500,2520,439390
20181017,2600,2600,2540,2540,1013875
20181016,2495,2595,2495,2535,804929
20181015,2500,2635,2495,2495,1477752
20181012,2350,2535,2350,2495,1275551
20181011,2300,2680,2300,2380,3780609
20181010,2650,2715,2480,2480,1273173
20181008,2755,2825,2675,2675,937334
20181005,2910,2960,2740,2775,1382040
20181004,2985,3035,2915,2915,990733
20181002,2985,3075,2980,2985,1690968
20181001,2995,3045,2970,2985,880271
20180928,3095,3100,2980,2985,1310090
20180927,2955,3095,2955,3085,1490473
20180921,2920,3010,2915,2960,884035
20180920,2950,3040,2940,2940,1330018
20180919,3085,3130,2980,2980,2190141
20180918,3215,3230,3065,3065,4000036
20180917,3230,3485,3215,3260,16081239
20180914,3235,3275,3155,3185,7233882
20180913,2930,3300,2920,3300,14660308
20180912,2995,2995,2905,2915,1043781
20180911,3025,3050,2970,2970,1180799
20180910,3090,3105,2985,3005,1264847
20180907,3060,3145,3055,3070,2285271
20180906,3040,3100,3025,3050,1769430
20180905,3120,3165,3030,3040,1882716
20180904,3005,3160,2975,3095,3401785
20180903,2965,3000,2925,2990,688261
20180831,2910,2970,2810,2960,1241856
20180830,2995,3010,2940,2950,925386
20180829,3040,3055,2985,2990,828185
20180828,3035,3080,2990,3030,939837
20180827,3090,3090,2995,3000,1098234
20180824,3075,3140,3035,3075,1014829
20180823,3120,3170,3065,3075,1390964
20180822,3170,3185,3095,3095,1422744
20180821,3075,3165,3060,3165,1620059
20180820,3265,3300,3100,3100,4692628
20180817,3035,3185,3005,3125,5035068
20180816,2940,3045,2835,3005,1723616
20180814,2940,3120,2925,3005,2999967
20180813,3005,3075,2900,2925,2214924
20180810,3260,3350,3050,3050,4565764
20180809,3125,3200,3020,3200,4864608
20180808,3055,3160,3010,3075,3813060
20180807,2890,3220,2885,3085,16861499
20180806,2790,2900,2750,2845,3560422
20180803,2765,2845,2720,2780,2712466
20180802,2740,2935,2680,2710,7711893
20180801,2645,2710,2610,2680,1100727
20180731,2715,2735,2590,2605,1285273
20180730,2655,2740,2615,2710,1065543
20180727,2685,2715,2590,2655,1152629
20180726,2640,2795,2640,2665,2555401
20180725,2515,2915,2510,2670,9635623
20180724,2430,2625,2405,2495,2838767
20180723,2540,2545,2395,2395,1534441
20180720,2610,2645,2500,2525,1290700
20180719,2540,2800,2540,2625,4145521
20180718,2725,2740,2550,2570,1805878
20180717,2740,2785,2700,2715,1155473
20180716,2800,2820,2710,2720,1448163
20180713,2835,2865,2770,2800,1302486
20180712,2850,2870,2750,2835,1796191
20180711,2915,2950,2820,2825,1932488
20180710,2895,3010,2875,2890,3357768
20180709,2775,3095,2775,2895,7910211
20180706,2830,2940,2645,2775,3985090
20180705,3100,3100,2820,2820,3459802
20180704,3065,3150,3020,3100,3835686
20180703,3330,3340,2965,3065,6834782
20180702,3300,3575,3050,3140,10025066
20180629,3640,4130,3350,3350,35442838
20180628,3690,3935,3350,3690,14209823
20180627,4140,4650,3650,3740,35749446
20180626,3600,4420,3580,4165,58314170
20180625,3275,3440,3225,3440,4582234
20180622,3370,3415,3170,3270,3298260
20180621,3230,3420,3225,3350,7241375
20180620,3335,3525,3175,3195,12899488
