,open,high,low,close,volume
20181109,1425,1470,1355,1440,14241641
20181108,1425,1480,1385,1410,14094148
20181107,1365,1470,1335,1420,41538621
20181106,1260,1370,1240,1370,68368415
20181105,1200,1265,1155,1200,22656727
20181102,1150,1190,1140,1175,11591484
20181101,1160,1200,1110,1125,13559821
20181031,1065,1210,1065,1150,24912065
20181030,1115,1130,999,1085,17563810
20181029,1260,1305,1100,1120,19531876
20181026,1250,1345,1225,1245,25759603
20181025,1190,1310,1180,1245,20740652
20181024,1210,1345,1190,1230,47758210
20181023,1175,1290,1165,1205,35141377
20181022,1180,1265,1160,1200,36466299
20181019,1215,1230,1130,1170,54282576
20181018,903,1170,903,1170,62487331
20181017,924,960,901,903,8542788
20181016,894,907,868,895,6180631
20181015,980,1030,869,888,18071888
20181012,984,1080,954,975,16183798
20181011,1020,1075,980,1020,30550130
20181010,888,1100,884,995,49206732
20181008,864,949,850,903,6934261
20181005,841,849,823,843,387149
20181004,840,860,838,840,413471
20181002,879,879,844,846,614573
20181001,856,883,856,879,1253956
20180928,845,864,839,857,621683
20180927,860,875,840,847,1149745
20180921,818,835,818,831,228166
20180920,847,854,811,820,1097797
20180919,877,884,848,848,1482180
20180918,886,900,876,884,859678
20180917,880,886,872,886,543702
20180914,875,883,872,880,426020
20180913,899,899,874,875,664024
20180912,890,908,873,883,1264706
20180911,868,904,864,883,1719344
20180910,875,875,861,864,505852
20180907,864,872,860,871,496624
20180906,879,884,865,865,786126
20180905,870,890,859,879,2574197
20180904,865,894,860,866,1926464
20180903,876,880,860,863,1116201
20180831,891,901,878,878,1160658
20180830,900,904,880,888,1543495
20180829,889,925,886,899,4454561
20180828,891,907,873,884,2546882
20180827,857,950,846,889,14955029
20180824,883,894,849,860,6497362
20180823,794,1030,790,874,44434032
20180822,806,806,787,793,277155
20180821,785,800,785,800,296111
20180820,801,805,794,794,254159
20180817,782,805,782,799,297577
20180816,836,836,775,790,1137988
20180814,837,847,830,830,739799
20180813,878,882,845,853,412707
20180810,878,883,871,876,261248
20180809,885,894,878,878,286213
20180808,895,908,887,892,533658
20180807,889,898,875,892,720761
20180806,851,950,851,888,3609805
20180803,849,859,840,851,228829
20180802,851,853,843,849,141742
20180801,845,852,845,851,254873
20180731,849,849,844,849,132476
20180730,842,852,841,849,195142
20180727,834,847,834,847,164621
20180726,830,835,825,835,224141
20180725,840,843,828,828,330367
20180724,836,845,830,841,176256
20180723,843,850,833,835,326415
20180720,829,856,829,842,171656
20180719,846,854,840,842,319675
20180718,860,865,845,850,306174
20180717,868,868,856,859,224837
20180716,871,871,855,864,241432
20180713,863,879,863,871,244965
20180712,844,872,844,864,352512
20180711,847,865,846,850,350844
20180710,834,850,834,847,318832
20180709,853,853,835,835,369239
20180706,846,853,843,853,207268
20180705,855,868,842,849,217681
20180704,845,866,845,855,271636
20180703,842,862,840,845,455739
20180702,892,894,840,850,511148
20180629,887,906,882,891,298072
20180628,910,915,895,895,371475
20180627,897,917,888,915,487135
20180626,900,907,889,895,217887
20180625,882,912,882,904,261968
20180622,902,908,882,890,611643
20180621,914,927,907,911,305406
20180620,898,929,898,927,337938
20180619,916,935,915,919,407586
20180618,952,960,918,922,924929
20180615,956,963,949,961,394225
20180614,974,981,950,957,846191
20180612,981,985,975,976,413079
20180611,985,986,976,979,654175
20180608,989,992,980,983,378366
20180607,977,986,977,986,416514
20180605,985,990,977,977,526512
20180604,988,995,979,985,598458
20180601,992,992,980,987,503835
20180531,980,994,980,991,409453
20180530,1005,1005,971,979,1039560
20180529,1015,1015,994,1000,973735
20180528,1000,1030,994,1010,976478
20180525,999,1010,981,998,1270030
20180524,1045,1055,1005,1015,1951323
20180523,1075,1075,1040,1050,1054228
20180521,1080,1085,1060,1075,870688
20180518,1085,1100,1075,1080,753000
20180517,1105,1115,1085,1090,865327
20180516,1135,1140,1080,1100,2475321
20180515,1145,1175,1140,1160,1147456
20180514,1155,1165,1135,1145,707038
20180511,1135,1155,1125,1155,840239
