,open,high,low,close,volume
20181109,22150,22200,21850,22150,356
20181108,22250,22250,21850,22150,583
20181107,22150,22150,21800,21950,482
20181106,21950,22000,21850,21900,205
20181105,22250,22250,21850,22000,762
20181102,22050,22250,21950,22250,1608
20181101,21950,22400,21750,21950,1059
20181031,22200,22200,21950,21950,1556
20181030,22400,22400,21650,22250,3243
20181029,22350,22550,22350,22400,1190
20181026,22200,23100,22050,22400,2009
20181025,21500,22350,21500,22050,2063
20181024,22200,22300,22000,22000,326
20181023,22500,22500,22000,22350,1647
20181022,22450,22550,22400,22550,358
20181019,22500,22500,22350,22450,575
20181018,22500,22500,22200,22500,542
20181017,22950,22950,22400,22500,1505
20181016,22950,22950,22300,22600,306
20181015,22450,23000,22300,22700,397
20181012,22000,22500,22000,22500,2168
20181011,22500,22650,22050,22300,1359
20181010,23200,23200,22650,23000,736
20181008,22800,23450,22800,23000,837
20181005,23300,23300,22450,22800,4009
20181004,23150,23150,22900,23150,524
20181002,22850,23300,22850,23000,337
20181001,22850,23300,22850,23000,1059
20180928,23000,23200,22850,22950,794
20180927,23000,23400,23000,23000,874
20180921,23000,23250,22650,23000,5213
20180920,23250,23400,22900,23000,1760
20180919,23300,23300,22950,23250,831
20180918,23250,23300,22850,23250,302
20180917,23600,23600,23000,23250,522
20180914,23150,23600,23000,23200,3123
20180913,23000,23050,22800,23000,801
20180912,22950,23050,22900,23000,550
20180911,23050,23050,22700,23000,310
20180910,23050,23050,22850,23000,689
20180907,22950,23050,22850,22950,259
20180906,23000,23000,22750,22900,841
20180905,23050,23050,22850,22950,325
20180904,22850,23050,22850,23050,980
20180903,23100,23150,22850,22850,526
20180831,22750,23000,22650,22850,1132
20180830,23000,23000,22800,22900,506
20180829,22750,22950,22750,22950,807
20180828,23100,23150,22950,22950,1098
20180827,23200,23200,22900,23000,330
20180824,22800,22950,22550,22950,14331
20180823,23250,23250,22550,22800,521
20180822,23000,23150,22800,23150,2122
20180821,22750,22850,22650,22850,1460
20180820,23000,23050,22400,22650,9210
20180817,24250,24250,22750,23000,12711
20180816,23700,23750,23500,23650,524
20180814,23650,23900,23550,23750,1196
20180813,24100,24100,23700,23700,357
20180810,23350,24200,23350,24100,1026
20180809,23600,23750,23400,23650,797
20180808,24000,24000,23550,23800,298
20180807,23950,24000,23700,24000,154
20180806,23700,24000,23650,23650,1223
20180803,24050,24050,23600,23750,705
20180802,23850,24200,23850,23850,774
20180801,23700,24100,23700,23850,394
20180731,23300,24000,23300,23950,1120
20180730,23850,23850,23550,23550,82
20180727,23200,24100,23200,23900,415
20180726,23550,23750,23500,23550,763
20180725,24200,24200,23500,23550,903
20180724,24300,24350,23850,23850,1308
20180723,23800,24100,23800,23800,1677
20180720,23300,23950,23300,23800,1246
20180719,23100,23500,23100,23350,738
20180718,24600,24600,22600,23100,3628
20180717,24500,24800,24200,24500,1877
20180716,23900,24550,23850,24500,2583
20180713,23900,24500,23900,24250,1158
20180712,23500,23950,23100,23900,534
20180711,23500,23600,23000,23500,2962
20180710,22950,23200,22900,23200,1196
20180709,22950,22950,22650,22900,1324
20180706,23000,23000,22550,22900,2040
20180705,22550,22800,22400,22800,2080
20180704,22300,22550,22150,22250,1979
20180703,22350,22450,21850,22300,5878
20180702,22600,22750,22200,22200,1142
20180629,22700,22900,22300,22400,1575
20180628,23000,23000,22050,22400,2268
20180627,22950,22950,22600,22600,1382
20180626,23000,23250,22350,22600,6868
20180625,22450,23150,22150,23100,4828
20180622,22650,22650,21750,22400,5890
20180621,22850,22850,22400,22400,3552
20180620,21900,22600,21850,22350,5551
20180619,23950,23950,21750,21750,36218
20180618,24200,24350,23850,23950,7345
20180615,25150,25550,24350,24400,7091
20180614,24900,27000,24650,25400,34820
20180612,24750,25000,24500,24700,5560
20180611,24050,24850,24000,24500,2462
20180608,24600,24600,24000,24050,4659
20180607,23900,24850,23900,24500,3652
20180605,23950,23950,23750,23900,1753
20180604,23900,24250,23900,23900,1448
20180601,24150,24150,23900,23900,2552
20180531,24200,24700,23900,23900,2859
20180530,24800,24800,24200,24200,2257
20180529,24800,24800,24500,24550,1500
20180528,24150,24850,24150,24800,1572
20180525,24200,24350,23900,24150,2893
20180524,24350,24650,24350,24350,6161
20180523,24250,25000,24250,24350,4587
20180521,24900,24900,24100,24400,1693
20180518,23800,24500,23800,24300,4900
20180517,23800,24050,23750,23800,3493
20180516,24000,24250,23750,23800,6027
20180515,24300,24400,24050,24150,3712
20180514,24500,24950,24200,24300,3348
20180511,24150,24950,24150,24500,2580
20180510,24000,24500,24000,24500,3773
20180509,24800,24800,23900,24000,4433
20180508,24850,25000,24700,24850,1983
20180504,24950,24950,24550,24850,3384
20180503,24700,24700,24350,24500,3308
20180502,24550,24650,24000,24150,1502
20180430,24150,24500,23800,24350,4966
20180427,23800,24500,23750,24500,4800
20180426,23800,23950,23650,23700,3931
20180425,23500,23950,23500,23900,3108
20180424,23700,23900,23650,23700,4120
20180423,23900,24000,23600,23700,2053
20180420,23850,23950,23450,23900,4871
20180419,23600,23950,23600,23900,3364
20180418,23550,23950,23550,23700,3390
20180417,24000,24000,23550,23650,4406
20180416,24100,24100,23750,24000,1100
20180413,23800,23950,23300,23850,3087
20180412,23700,24000,23500,23550,14083
20180411,24050,24100,23650,23800,8678
20180410,24700,24750,23850,24050,19665
20180409,25550,26100,24150,25150,19019
20180406,26200,27150,25650,26100,7063
20180405,26800,28200,26250,26300,4863
20180404,27300,27300,26400,26800,7283
20180403,27050,27300,26150,27300,5567
20180402,26850,27400,26850,27050,1129
20180330,27100,27750,26400,27150,3351
20180329,26600,28000,26250,26900,3475
20180328,26850,26850,26600,26600,20433
20180327,27850,27850,26800,26950,17033
20180326,26600,27100,26050,26950,24281
20180323,26800,27150,26350,26600,20490
20180322,27100,27300,27000,27150,16235
20180321,26900,27500,26900,27100,14485
20180320,27700,28800,26800,27200,39439
20180319,27200,27700,26700,27450,5219
20180316,27500,27550,26900,27250,5923
20180315,27850,27950,27500,27500,283
20180314,28200,28200,27300,27850,15905
20180313,28100,28100,27500,27500,843
20180312,27600,28200,27100,28100,25822
20180309,27200,28350,26850,27300,36451
20180308,27350,27400,26650,27100,33181
20180307,27250,27800,27100,27350,36882
20180306,28000,28000,27150,27400,32229
20180305,28100,28100,26750,27150,3326
20180302,28500,28500,28000,28100,2088
20180228,28400,28550,28250,28500,32662
20180227,28400,28500,28250,28450,56101
20180226,28450,28700,28400,28450,36215
20180223,28150,28400,28150,28300,49513
20180222,28200,28350,28150,28300,23039
20180221,28300,28450,28100,28350,51594
20180220,28300,28450,28100,28350,52690
20180219,28100,28350,28050,28300,39444
20180214,28500,28500,28300,28300,2055
20180213,28550,28650,28500,28500,19648
20180212,28600,28700,28300,28600,64895
20180209,28800,28800,28000,28500,4836
20180208,28750,29200,28550,28900,74807
20180207,28700,29100,28600,28750,20492
20180206,28850,28900,28300,28700,52697
20180205,28150,29000,28150,28950,30738
20180202,28900,29100,28100,28950,79411
20180201,28150,29450,28100,28900,105220
20180131,27300,28300,26500,28100,43626
20180130,25200,25650,25100,25600,4945
20180129,25150,25800,25150,25650,6206
20180126,25250,25300,24800,25150,2846
20180125,25100,25350,24750,25250,1274
20180124,25450,25500,25050,25250,3021
20180123,25500,25550,25050,25500,1653
20180122,24900,25450,24900,25200,3565
20180119,25100,25500,25100,25300,1071
20180118,24700,25500,24700,25500,2845
20180117,24900,25350,24450,25250,4640
20180116,24700,25200,24700,24900,5031
20180115,25400,25500,24900,25200,2097
20180112,25300,25600,25200,25500,6261
20180111,25150,25300,25150,25300,2345
20180110,24800,25350,24800,25350,3088
20180109,24900,24950,24500,24800,2270
20180108,24850,24950,24800,24900,6582
20180105,24100,24850,24100,24850,6663
20180104,24650,24900,24500,24750,4608
20180103,25200,25200,24500,24650,5584
20180102,25200,25250,25050,25100,4157
20171228,25950,25950,25000,25150,5363
20171227,26200,26200,25200,25600,7733
20171226,26300,26650,26300,26600,9990
20171222,26550,26600,26300,26600,12713
20171221,26700,26800,26300,26500,7008
20171220,27350,27350,26700,26700,16791
20171219,26700,27300,26700,27300,26528
20171218,26550,27300,26400,27300,6976
20171215,26400,26700,26350,26550,3328
20171214,26500,26850,26400,26550,3353
20171213,26600,26600,26350,26500,4156
20171212,26500,26500,26350,26400,3568
20171211,26450,26550,26050,26450,3525
20171208,26500,26550,26100,26450,4486
20171207,26600,26750,26300,26500,5539
20171206,26400,26600,26400,26600,2283
20171205,26600,26750,26400,26450,4932
20171204,26550,26750,26400,26600,3216
20171201,26600,26750,26450,26550,5648
20171130,26850,26850,26350,26600,2979
20171129,26950,27000,26600,26600,4433
20171128,27000,27000,26700,26750,3588
20171127,26750,26850,26300,26850,4008
20171124,26550,26750,26300,26750,4762
20171123,26600,26800,26500,26650,5480
20171122,26500,27050,26500,26600,10924
20171121,27400,27400,26600,26800,10855
20171120,27400,27600,27400,27450,2455
20171117,27650,27650,27250,27500,3319
20171116,27700,27700,27150,27450,3556
20171115,27700,27950,27700,27850,3261
20171114,27750,28050,27750,27950,3049
20171113,27700,27900,27500,27800,2438
20171110,27450,27800,27400,27750,1649
20171109,27550,27700,27300,27600,2040
20171108,27550,27850,27250,27600,2279
20171107,27800,27950,27600,27750,2325
20171106,27450,27950,27450,27850,2193
20171103,27700,27750,27650,27700,2233
20171102,27700,27700,27400,27550,2861
20171101,27500,27650,27200,27550,2718
20171031,27450,27600,27300,27500,1538
20171030,27900,27900,27300,27400,2874
20171027,27700,27700,27500,27600,2731
20171026,27900,27900,27300,27500,2320
20171025,27900,27900,27450,27450,1580
20171024,27900,28000,27500,27550,1700
20171023,27500,27900,27350,27850,2289
20171020,27450,27600,27250,27600,2786
20171019,27700,27950,27400,27450,744
20171018,27550,27850,27450,27700,2826
20171017,27500,28150,27500,27600,1587
20171016,27500,28300,27100,28000,4670
20171013,27450,27550,27300,27550,4491
20171012,27000,27650,27000,27400,7570
20171011,27000,27350,26800,27300,3285
20171010,26650,27100,26650,27050,6780
20170929,26400,27200,26400,27100,3119
20170928,26100,27000,26100,26900,1004685
20170927,26000,26600,26000,26550,4474
20170926,26500,26500,25700,26450,3066
20170925,26500,26500,26200,26400,5856
20170922,27000,27000,26500,26500,3418
20170921,27250,27250,26900,27000,3767
20170920,26750,27050,26600,26950,2501
20170919,27100,27150,26750,27100,3088
20170918,26900,27350,26900,26900,3432
20170915,26500,27300,26500,27150,3175
20170914,27200,27600,26000,26800,5926
20170913,27000,27050,26800,26950,3638
20170912,27500,27500,26850,26850,6401
20170911,27400,27750,27200,27500,1175
20170908,27300,27700,27300,27700,4260
20170907,27300,27600,27200,27350,1322
20170906,27600,27700,27250,27450,3505
20170905,27700,27750,27350,27450,4928
20170904,27300,27800,27100,27600,4392
