,open,high,low,close,volume
20181109,19650,19650,19550,19650,511
20181108,19650,19650,19600,19650,406
20181107,19700,19700,19500,19650,832
20181106,19700,19700,19450,19700,944
20181105,19700,19700,19650,19650,146
20181102,19550,19700,19550,19600,319
20181101,19600,19700,19550,19550,237
20181031,19600,19600,19500,19600,38
20181030,19600,19600,19500,19600,828
20181029,19700,19750,19550,19600,780
20181026,19850,19900,19700,19700,494
20181025,20000,20000,19800,19850,515
20181024,19950,19950,19900,19950,121
20181023,20100,20150,19900,19900,456
20181022,20200,20200,20000,20000,606
20181019,20200,20300,20100,20300,212
20181018,20200,20200,20200,20200,0
20181017,20200,20200,20050,20200,164
20181016,20050,20200,20050,20200,336
20181015,20100,20200,20000,20150,1182
20181012,20100,20100,20100,20100,73
20181011,20150,20200,20100,20150,221
20181010,20250,20300,20250,20300,95
20181008,20350,20350,20300,20300,190
20181005,20300,20400,20200,20400,151
20181004,20300,20300,20250,20300,143
20181002,20400,20400,20300,20350,141
20181001,20300,20500,20300,20400,457
20180928,20300,20300,20250,20250,731
20180927,20200,20300,20100,20250,3374
20180921,20300,20350,20150,20200,5268
20180920,20350,20400,20250,20300,439
20180919,20350,20350,20300,20350,133
20180918,20350,20400,20350,20350,188
20180917,20400,20400,20200,20350,1574
20180914,20300,20400,20300,20350,10248
20180913,20300,20300,20200,20250,1843
20180912,20300,20350,20300,20300,230
20180911,20350,20350,20350,20350,34
20180910,20400,20400,20250,20400,85
20180907,20350,20400,20250,20400,422
20180906,20300,20400,20300,20400,390
20180905,20400,20400,20300,20400,799
20180904,20500,20500,20350,20400,367
20180903,20350,20400,20300,20400,502
20180831,20300,20350,20300,20350,352
20180830,20250,20350,20150,20250,640
20180829,20400,20400,20350,20350,288
20180828,20200,20450,20200,20450,283
20180827,20500,20550,20350,20550,113
20180824,20400,20400,20350,20350,18
20180823,20350,20400,20350,20350,71
20180822,20400,20400,20200,20300,518
20180821,20400,20400,20400,20400,30
20180820,20400,20400,20250,20350,198
20180817,20400,20400,20200,20400,69
20180816,20400,20400,20250,20400,232
20180814,20450,20700,20400,20500,66
20180813,20400,20500,20300,20450,88
20180810,20600,20600,20200,20550,207
20180809,20600,20600,20600,20600,25
20180808,20600,20600,20600,20600,24
20180807,20750,20750,20500,20600,159
20180806,20700,20750,20700,20750,49
20180803,20900,20900,20300,20700,314
20180802,20800,20800,20300,20600,335
20180801,20300,20650,20300,20400,692
20180731,20600,20600,20300,20400,1254
20180730,20900,20900,20300,20400,447
20180727,20850,20850,20450,20850,51
20180726,20850,20850,20800,20850,11
20180725,20900,20900,20900,20900,27
20180724,20750,20750,20500,20750,21
20180723,20450,20750,20450,20750,190
20180720,20900,20900,20500,20500,52
20180719,20950,20950,20450,20800,119
20180718,20750,20800,20650,20650,586
20180717,20700,20950,20700,20950,667
20180716,20650,20650,20650,20650,2
20180713,20600,20700,20600,20700,120
20180712,20200,20450,20200,20450,160
20180711,20600,20700,20600,20700,46
20180710,20350,20600,20350,20600,129
20180709,20300,20400,20300,20350,90
20180706,20250,20300,20250,20300,37
20180705,20200,20200,20050,20200,188
20180704,20850,20850,20100,20200,160
20180703,21050,21050,20200,20650,158
20180702,20950,20950,20200,20200,751
20180629,20800,20800,20500,20650,221
20180628,21300,21300,20800,20800,15
20180627,20950,21000,20850,20850,9
20180626,20750,20750,20600,20650,77
20180625,20850,20850,20600,20750,337
20180622,20900,20900,20750,20750,23
20180621,20900,20900,20700,20700,222
20180620,21350,21350,20650,20750,1117
20180619,21500,21500,20650,20650,1725
20180618,21350,21350,21250,21350,235
20180615,21600,21600,21200,21350,315
20180614,21400,21650,21400,21650,819
20180612,21400,21450,21150,21400,88
20180611,21100,21400,21100,21400,517
20180608,21250,21650,21250,21400,16
20180607,21350,21400,21250,21350,62
20180605,21350,21350,21250,21250,74
20180604,21550,21600,21450,21550,86
20180601,21350,21550,21350,21550,38
20180531,21200,21350,21200,21350,483
20180530,21450,21450,21300,21300,336
20180529,21800,21800,21300,21450,112
20180528,21900,21900,21350,21500,701
20180525,21450,21500,21350,21400,255
20180524,21800,21800,21550,21550,135
20180523,21550,21600,21500,21600,605
20180521,21600,21600,21550,21550,668
20180518,21600,21600,21600,21600,52
20180517,21300,21550,21300,21550,224
20180516,21400,21400,21300,21350,1727
20180515,21800,21800,21550,21750,2756
20180514,21700,21800,21700,21800,71
20180511,21550,21700,21550,21700,209
20180510,21550,21550,21350,21500,1022
20180509,21800,21800,21050,21600,248
20180508,21800,21850,21700,21800,202
20180504,21650,21800,21650,21750,1593
20180503,21650,21650,21650,21650,288
20180502,21200,21550,21200,21550,56
20180430,21400,21700,21400,21500,531
20180427,21200,21350,21200,21350,1294
20180426,21350,21350,21200,21200,277
20180425,21400,21500,21050,21100,947
20180424,21150,21250,21150,21250,3035
20180423,21050,21300,21050,21100,1376
20180420,20900,21200,20900,21050,85
20180419,20950,21150,20950,21050,612
20180418,20850,21150,20850,21150,546
20180417,21000,21000,20800,20850,173
20180416,21200,21200,21000,21000,144
20180413,20900,21050,20800,21000,150
20180412,21100,21100,20600,20900,653
20180411,20800,20850,20700,20800,434
20180410,21000,21200,21000,21150,399
20180409,21100,21200,21000,21200,118
20180406,21200,21200,20700,21100,99
20180405,20900,21050,20900,20950,160
20180404,21000,21000,20600,21000,1210
20180403,21250,21250,20550,21000,16
20180402,21000,21000,20650,20900,84
20180330,21050,21050,20600,21000,279
20180329,20900,21000,20700,20950,140
20180328,20900,20950,20500,20900,309
20180327,20800,21100,20500,20950,3673
20180326,20300,20750,20300,20600,157
20180323,20200,20200,19600,19900,2934
20180322,19950,20750,19950,20200,459
20180321,20500,20500,19700,20050,6743
20180320,21100,21100,19750,20150,6613
20180319,21300,21300,20800,21200,991
20180316,21300,21300,21150,21200,263
20180315,21350,21350,20900,21250,294
20180314,21500,21500,21000,21300,2061
20180313,22100,22100,20900,21100,5709
20180312,21150,21700,21150,21650,399
20180309,21750,21950,21000,21100,3559
20180308,22950,22950,21200,21750,11737
20180307,23050,23050,22750,22950,1344
20180306,23150,23150,22700,23050,744
20180305,23000,23000,22700,22950,42
20180302,23200,23200,22800,23000,2032
20180228,23550,23550,22800,23200,2391
20180227,23300,23300,22950,23200,110
20180226,23350,23350,23100,23150,484
20180223,23200,23200,23100,23100,320
20180222,23150,23150,22950,22950,15
20180221,22950,23000,22300,22950,949
20180220,23250,23250,22950,22950,633
20180219,23100,23500,22950,22950,1290
20180214,23250,23250,22800,23100,105
20180213,23300,23300,23050,23050,13
20180212,23250,23250,22650,23000,714
20180209,23200,23200,22550,22900,156
20180208,23700,23700,22700,22950,142
20180207,23300,23300,22550,22750,1530
20180206,23500,23500,22400,23300,886
20180205,23750,23750,23500,23500,32
20180202,24000,24000,23350,23650,308
20180201,23100,23850,23100,23800,3752
20180131,23000,23300,22700,23300,14563
20180130,22800,22800,22550,22700,734
20180129,22450,22600,22450,22600,936
20180126,22400,22450,22150,22400,254
20180125,22450,22450,22050,22400,428
20180124,22500,22500,21850,22450,336
20180123,22500,22500,22000,22450,2351
