,open,high,low,close,volume
20181109,4755,5610,4680,4820,719420
20181108,4595,4835,4595,4770,65138
20181107,4710,4760,4500,4595,48212
20181106,4760,4830,4620,4680,40197
20181105,4710,4860,4600,4760,42495
20181102,4410,4730,4410,4710,60995
20181101,4260,4490,4260,4410,55862
20181031,4240,4350,4195,4310,63530
20181030,3930,4310,3930,4300,93826
20181029,4560,4805,4210,4220,90679
20181026,4840,4840,4400,4560,93747
20181025,4870,4900,4700,4780,81796
20181024,5050,5080,4930,4950,69482
20181023,5160,5200,5020,5020,51453
20181022,5320,5320,5080,5140,46677
20181019,5400,5400,5170,5270,62638
20181018,5400,5530,5300,5320,107504
20181017,5310,5640,5300,5370,95118
20181016,5110,5330,5110,5300,85252
20181015,5180,5280,5130,5190,66419
20181012,4805,5160,4805,5130,80454
20181011,5000,5210,4875,4985,221424
20181010,5490,5600,5090,5150,156064
20181008,5310,5500,5300,5460,131383
20181005,5260,5440,5000,5400,426425
20181004,5400,5600,5230,5260,213918
20181002,5500,5520,5370,5480,113201
20181001,5590,5640,5490,5510,78031
20180928,5700,5700,5520,5590,84784
20180927,5840,5840,5690,5700,60010
20180921,5560,5800,5550,5790,106516
20180920,5860,5860,5580,5580,160168
20180919,5880,6170,5500,5720,313459
20180918,5850,6280,5750,5880,941856
20180917,5750,5790,5610,5740,131422
20180914,5450,5900,5340,5720,679899
20180913,5720,5930,5720,5880,125380
20180912,5920,5920,5710,5780,119186
20180911,6150,6150,5780,5910,188422
20180910,5850,6070,5740,6020,330644
20180907,5670,5850,5640,5750,136247
20180906,5600,5920,5590,5640,205211
20180905,5600,5780,5500,5550,125243
20180904,5470,5630,5390,5630,186894
20180903,5420,5470,5350,5470,76497
20180831,5430,5430,5280,5370,170220
20180830,5490,5590,5400,5430,196761
20180829,5610,5640,5480,5530,82062
20180828,5650,5650,5530,5560,76336
20180827,5710,5740,5550,5600,167961
20180824,6070,6070,5860,5910,81173
20180823,5930,6290,5930,6010,129550
20180822,5710,6190,5710,5980,291064
20180821,5730,5760,5690,5750,98037
20180820,5620,5780,5600,5730,119912
20180817,5690,5740,5530,5650,89293
20180816,5710,5780,5400,5620,117211
20180814,5600,5710,5540,5690,74117
20180813,5890,5970,5570,5600,188567
20180810,5820,5890,5690,5840,177388
20180809,5840,5840,5680,5740,99883
20180808,5830,5900,5710,5790,106468
20180807,5800,5870,5700,5790,69059
20180806,5920,6000,5780,5800,72202
20180803,5990,5990,5870,5920,49155
20180802,5860,5960,5810,5900,92267
20180801,5830,5920,5790,5860,72836
20180731,5910,6000,5740,5810,105904
20180730,5780,5940,5720,5910,96202
20180727,5870,5910,5650,5790,167560
20180726,5630,6380,5560,5910,1031035
20180725,5700,5750,5510,5560,72881
20180724,5230,5910,5230,5700,215545
20180723,5730,5730,5360,5360,190563
20180720,5950,5950,5650,5730,114646
20180719,5930,5980,5770,5830,96427
20180718,6150,6150,5880,5920,196515
20180717,6120,6230,6090,6120,50255
20180716,6270,6270,6090,6140,66883
20180713,6070,6290,6070,6160,130367
20180712,6010,6130,5970,6040,76940
20180711,5970,6150,5960,6060,114809
20180710,5740,6050,5740,5950,139172
20180709,6000,6000,5660,5730,250682
20180706,6100,6190,6000,6120,136707
20180705,6180,6250,5990,6110,161631
20180704,6250,6330,6170,6180,97310
20180703,6310,6330,6010,6270,274947
20180702,6560,6730,6260,6310,150795
20180629,6600,6830,6400,6560,283045
20180628,6570,6660,6370,6410,145717
20180627,6900,7020,6570,6570,268179
20180626,7020,7280,6870,6910,276606
20180625,6800,7450,6710,7150,629754
20180622,6610,6810,6510,6720,274062
20180621,6790,6790,6540,6560,249471
20180620,6450,7000,6450,6780,278600
20180619,6840,6990,6550,6580,329984
20180618,6950,7190,6790,6860,279936
20180615,6980,7090,6910,6950,263287
20180614,7210,7290,6920,6920,574009
20180612,7750,7780,7390,7400,504763
20180611,7450,7700,7400,7700,347934
20180608,7650,7680,7450,7460,339566
20180607,7600,7900,7560,7570,571247
20180605,7720,7770,7450,7690,472962
20180604,8090,8230,7630,7720,574422
20180601,8280,8350,7800,7900,927703
20180531,8000,8830,8000,8290,2355777
20180530,8140,8300,7700,7860,1054866
20180529,9150,9160,8030,8030,2285184
20180528,8620,9670,8620,9120,4808823
20180525,8000,8340,7700,7870,2101049
20180524,10300,12100,9240,9270,9607491
20180523,9700,10450,9400,10350,1574422
20180521,9750,10250,9650,10000,966456
20180518,9950,9950,9630,9720,780493
20180517,9200,9910,9200,9480,1146936
20180516,9000,9750,8910,9140,1502463
20180515,9800,10400,9530,10100,2007009
20180514,9230,9700,9160,9630,1218455
20180511,9800,9990,9140,9160,1690760
20180510,9150,9320,8960,9050,717808
20180509,8740,9460,8180,9030,1309763
20180508,9200,9380,8720,8720,836595
20180504,9340,9630,9300,9400,992451
20180503,9550,9940,9210,9360,1491691
20180502,9670,10200,9150,9420,2051883
20180430,9540,10600,9310,9710,4465842
20180427,9350,9970,8900,9050,2226874
20180426,9540,9710,9010,9160,1746666
20180425,10600,10950,9860,9910,1872468
20180424,12100,12300,9900,11050,7880920
20180423,10100,10750,9900,10750,1239420
20180420,8900,8900,8000,8300,1276371
20180419,7400,8840,7370,8570,4581464
20180418,6780,7060,6750,7030,268070
20180417,6820,6860,6710,6790,92906
20180416,6750,6920,6700,6850,99121
20180413,6790,6980,6780,6790,117525
20180412,6600,6940,6590,6820,243078
20180411,6390,6680,6360,6620,151380
20180410,6450,6620,6350,6370,194862
20180409,6480,6640,6400,6450,167132
20180406,6980,7000,6300,6570,361700
20180405,7100,7100,6900,6920,249524
20180404,7000,7360,6970,7120,384534
20180403,6900,7050,6870,6950,175432
20180402,7300,7490,6880,6980,530716
20180330,7300,7440,7230,7320,234425
20180329,7600,7610,7280,7300,335300
20180328,7400,7970,7360,7570,423600
20180327,7730,7900,7350,7470,374817
20180326,8080,8170,7720,7730,489665
20180323,7780,8790,7210,8080,1952173
20180322,8170,8260,7880,8000,224730
20180321,7860,8190,7850,8100,273614
20180320,8110,8110,7780,7850,342963
20180319,8350,8690,8110,8110,1076230
20180316,8240,8390,8020,8160,198950
20180315,8000,8180,7800,8170,171476
20180314,8340,8340,7750,8100,553714
20180313,8850,8890,8320,8440,662868
20180312,7910,9390,7720,8750,3342694
20180309,7390,7850,7250,7580,228988
20180308,7450,7450,7220,7390,40545
20180307,7220,7490,7200,7290,120945
20180306,7250,7320,7150,7150,47529
20180305,7370,7370,7150,7230,55559
20180302,7370,7410,7230,7250,58589
20180228,7560,7580,7360,7420,75305
20180227,7630,7630,7410,7570,58303
20180226,7850,7850,7480,7570,74480
20180223,7740,7950,7700,7810,61510
20180222,7840,7950,7630,7720,109952
20180221,7330,8030,7290,8000,293940
20180220,7310,7420,7260,7330,54570
20180219,7250,7480,7200,7380,65543
20180214,7020,7350,7010,7250,54305
20180213,7230,7230,7090,7110,68025
20180212,7280,7330,7120,7140,85686
20180209,7160,7320,7160,7270,59468
20180208,7350,7530,7290,7460,57753
20180207,7700,7700,7220,7290,110076
20180206,7420,7700,7100,7600,145562
20180205,7800,7860,7500,7620,109958
20180202,8110,8110,7820,7940,134779
20180201,7910,8180,7810,8120,113223
20180131,8000,8000,7710,7890,108603
20180130,8290,8290,7920,8010,136493
20180129,7910,8220,7900,8190,161046
20180126,7860,8020,7830,7900,64390
20180125,7720,8080,7720,7830,203105
20180124,7580,8030,7540,7700,237565
20180123,7410,7700,7410,7600,115608
20180122,7560,7600,7430,7560,68435
20180119,7620,7690,7530,7540,79015
20180118,7400,7670,7400,7620,131036
20180117,7360,7440,7270,7400,94747
20180116,7350,7510,7190,7400,106319
20180115,7480,7490,7210,7360,194724
20180112,7570,7740,7390,7470,183827
20180111,7750,7850,7480,7520,176194
20180110,8080,8080,7760,7850,105931
20180109,8100,8130,7870,8000,155381
20180108,7920,8270,7830,8070,242482
20180105,8080,8350,7790,7910,398915
20180104,6980,8840,6970,8080,1197882
20180103,7130,7130,6950,6970,178228
20180102,7090,7260,7010,7130,101526
20171228,6880,7070,6870,6960,108787
20171227,7000,7050,6830,6890,115201
20171226,7010,7180,6940,7050,94414
20171222,7100,7160,6950,7010,85980
20171221,7410,7420,7040,7100,193707
20171220,7460,7670,7350,7370,98798
20171219,7850,7850,7330,7470,261418
20171218,8090,8180,7850,7850,157611
20171215,8110,8310,7960,8090,166989
20171214,8130,8200,7980,8020,151850
20171213,7470,8350,7410,8070,845110
20171212,7610,7680,7450,7460,135865
20171211,7670,7780,7550,7640,130702
20171208,7970,7970,7680,7690,181708
20171207,8050,8090,7830,7900,153523
20171206,8250,8250,7980,8040,152532
20171205,7950,8180,7800,8150,192933
20171204,7880,8000,7850,7890,118572
20171201,7980,8030,7860,7900,152437
20171130,7910,8210,7900,7960,174021
20171129,7910,8120,7870,7920,148841
20171128,8030,8150,7880,7900,97844
20171127,8180,8210,8020,8030,120364
20171124,7940,8310,7850,8080,223750
20171123,7830,7960,7800,7880,126872
20171122,8000,8040,7760,7900,262501
20171121,8250,8300,7930,8000,350358
20171120,8350,8350,8150,8200,177353
20171117,8230,8530,8100,8390,255399
20171116,8600,8610,8260,8300,245128
20171115,8860,8880,8480,8650,328700
20171114,8890,8920,8790,8880,113035
20171113,8850,9140,8800,8890,180267
20171110,9000,9050,8750,8840,261835
20171109,9020,9070,8850,9000,152336
20171108,9290,9290,9010,9030,243201
20171107,9400,9680,9150,9280,328661
20171106,9000,9650,8830,9350,254846
20171103,9140,9210,8920,8990,169388
20171102,9150,9380,9050,9140,158923
20171101,9090,9200,9030,9070,91165
20171031,9330,9420,9060,9090,161808
20171030,9510,9570,9290,9330,116800
20171027,8790,9700,8790,9450,475196
20171026,8970,9090,8810,8820,136242
20171025,8940,9090,8870,8990,110079
20171024,9020,9190,8960,8960,157874
20171023,9330,9400,9070,9120,130773
20171020,9240,9410,9050,9330,177484
20171019,9410,9650,9100,9240,176531
20171018,9700,9890,9330,9400,328447
20171017,10400,10600,9930,9930,306536
20171016,10400,10650,10150,10300,139800
20171013,10400,10500,10000,10400,224854
20171012,10150,10900,9970,10200,524865
