,open,high,low,close,volume
20181109,2750,2750,2670,2695,207695
20181108,2780,2790,2700,2740,186952
20181107,2745,2795,2700,2720,267979
20181106,2745,2770,2650,2740,150315
20181105,2705,2780,2650,2725,187498
20181102,2615,2730,2615,2720,240478
20181101,2495,2670,2495,2615,379183
20181031,2595,2605,2500,2575,267284
20181030,2430,2560,2320,2545,577199
20181029,2650,2745,2490,2500,588844
20181026,2845,2845,2585,2630,518480
20181025,2770,2840,2725,2785,283300
20181024,2915,2975,2840,2855,241632
20181023,3055,3055,2895,2910,278418
20181022,2970,3045,2935,3035,215249
20181019,2920,2990,2875,2975,217978
20181018,2975,3005,2925,2950,249927
20181017,2970,2990,2935,2960,306622
20181016,2895,2950,2895,2920,270645
20181015,3000,3040,2895,2900,446315
20181012,2800,2970,2760,2955,561366
20181011,2925,2990,2825,2890,720438
20181010,3105,3140,3005,3005,656719
20181008,3125,3220,3125,3140,543996
20181005,3265,3325,3155,3195,825733
20181004,3360,3390,3250,3320,718579
20181002,3635,3685,3345,3345,1394983
20181001,3650,3740,3570,3630,1602766
20180928,3480,3750,3450,3630,6123623
20180927,3275,3465,3235,3420,1466831
20180921,3300,3305,3235,3285,356304
20180920,3190,3365,3185,3255,994373
20180919,3350,3355,3165,3185,741479
20180918,3340,3390,3290,3315,591431
20180917,3315,3425,3280,3315,1327596
20180914,3230,3310,3145,3270,450733
20180913,3250,3250,3185,3210,252826
20180912,3255,3280,3220,3235,314126
20180911,3210,3260,3150,3260,496936
20180910,3280,3280,3185,3215,382472
20180907,3240,3290,3200,3215,325251
20180906,3315,3330,3240,3245,346002
20180905,3325,3375,3245,3315,524299
20180904,3295,3345,3270,3320,251599
20180903,3345,3380,3285,3295,348965
20180831,3315,3375,3290,3345,433803
20180830,3350,3360,3275,3335,426546
20180829,3340,3345,3255,3335,527037
20180828,3400,3475,3270,3340,1051331
20180827,3350,3440,3300,3345,1304221
20180824,3210,3315,3170,3280,1123461
20180823,3120,3185,3120,3160,250654
20180822,3180,3230,3120,3120,254283
20180821,3100,3250,3095,3165,788559
20180820,3030,3105,3030,3085,387744
20180817,3115,3115,2975,3050,290686
20180816,2995,2995,2890,2965,204603
20180814,2970,3030,2940,3010,109387
20180813,3080,3100,2965,2975,262048
20180810,3100,3115,3060,3100,198241
20180809,3040,3100,3030,3090,194391
20180808,3065,3085,3035,3050,130065
20180807,3030,3055,3000,3055,125945
20180806,3055,3090,2990,3020,143654
20180803,3035,3065,3020,3055,105362
20180802,3080,3110,2980,3035,199381
20180801,3015,3115,3010,3080,320300
20180731,2935,3055,2935,3015,169402
20180730,2920,2970,2890,2950,116003
20180727,3000,3000,2900,2955,107490
20180726,2885,2960,2845,2945,242007
20180725,3070,3070,2865,2880,350626
20180724,2920,3075,2915,2990,206524
20180723,3165,3165,2965,2970,306136
20180720,3070,3155,3050,3125,242498
20180719,3025,3130,2990,3080,322753
20180718,3225,3230,3050,3080,469448
20180717,3220,3220,3175,3205,179825
20180716,3195,3250,3185,3215,235001
20180713,3130,3230,3130,3195,287262
20180712,3100,3220,3095,3170,360645
