,open,high,low,close,volume
20181109,276000,281500,276000,280000,40447
20181108,281500,283000,276500,276500,83800
20181107,276000,281000,275500,279000,76532
20181106,279000,281000,275000,278000,73088
20181105,273000,276000,271500,276000,49068
20181102,271500,278000,271500,277000,52671
20181101,275500,277500,270500,272500,88477
20181031,271000,280000,268500,278500,127620
20181030,284000,285000,271500,274500,83995
20181029,285000,286500,280000,282500,150720
20181026,278500,286500,278000,281500,80139
20181025,282000,283500,276500,281500,94110
20181024,281000,286000,277500,281500,92950
20181023,282000,285500,277000,278000,64361
20181022,276000,287500,274500,286000,57555
20181019,278000,281000,275000,278500,47277
20181018,276500,281500,273500,278000,68289
20181017,277500,283000,275000,280000,63146
20181016,275500,277000,270000,273000,42230
20181015,269500,277000,269500,274500,55158
20181012,278500,278500,268500,272000,94863
20181011,285000,288000,274000,277500,125307
20181010,283500,286500,283000,285500,58050
20181008,283500,285500,283000,284000,47143
20181005,284000,285000,283000,283000,80844
20181004,284500,287500,283000,284500,75951
20181002,280500,285000,280000,285000,93198
20181001,281500,285000,279500,284500,66550
20180928,274000,285000,273500,284000,229368
20180927,271000,274000,268000,272500,245571
20180921,261000,265000,261000,265000,139265
20180920,259000,259500,256500,258000,47793
20180919,257000,260000,256500,259000,61351
20180918,256500,258000,256000,257500,57877
20180917,258000,260000,257500,258000,46198
20180914,257500,260000,257500,258500,86161
20180913,259500,260500,258000,258000,139963
20180912,261500,262000,260000,261500,58925
20180911,261500,263000,259500,260000,58912
20180910,264000,266000,262500,263000,47452
20180907,263000,267000,262000,267000,71890
20180906,261500,265000,259000,260000,54504
20180905,262000,263000,260000,260500,51319
20180904,262500,263000,261500,262500,40363
20180903,263500,265000,262500,264000,44117
20180831,262500,265000,261000,265000,63625
20180830,265500,266000,261000,261000,68112
20180829,265000,268000,265000,266000,40667
20180828,265000,269000,264000,267500,57847
20180827,270500,271500,264500,266000,84948
20180824,270000,271500,268500,270000,42059
20180823,269000,271000,268500,271000,47300
20180822,268500,270500,268000,270500,32927
20180821,271000,274500,269000,270000,56786
20180820,273500,275500,271500,272500,32851
20180817,270500,273500,268000,272000,37578
20180816,270000,275000,267500,272000,54282
20180814,275000,275000,271500,272500,54406
20180813,277000,279500,272000,274500,71764
20180810,276000,281000,275500,278500,68536
20180809,278500,279500,276000,279000,55403
20180808,274500,279500,274500,277000,52259
20180807,274000,279000,273500,277000,67567
20180806,265500,280000,265500,276000,166159
20180803,265000,266500,263000,265500,79160
20180802,271000,272500,266000,267000,54016
20180801,273500,275500,271500,273000,47208
20180731,277500,277500,271500,273000,68152
20180730,269500,275000,269500,275000,44774
20180727,273000,273000,268500,270500,18384
20180726,272000,275500,268500,270500,43668
20180725,270000,273000,266000,271000,87307
20180724,273500,274500,270000,272000,45264
20180723,270000,275000,269500,273500,66928
20180720,264000,269000,264000,267500,46831
