,open,high,low,close,volume
20181109,180500,181500,179500,181500,4621
20181108,180500,181500,179500,180500,4483
20181107,179500,180000,178500,179500,1309
20181106,177500,180000,177000,179500,3182
20181105,178500,178500,177000,177500,2942
20181102,177000,179000,177000,178500,3853
20181101,179500,179500,176000,177000,10149
20181031,178000,178500,177000,178000,4564
20181030,179000,179000,177000,178000,7491
20181029,181000,181000,178500,179000,5384
20181026,180500,182500,179000,181000,7161
20181025,180000,181500,178500,181000,7018
20181024,179500,181500,179500,181000,2992
20181023,181000,182000,178000,179500,5323
20181022,180500,182500,179000,182500,3762
20181019,179000,180500,179000,180500,2093
20181018,180500,181500,179000,180000,2808
20181017,180000,181500,178500,181000,5211
20181016,179000,180000,178500,178500,2649
20181015,179500,179500,178000,178500,6200
20181012,179500,180000,178000,179000,5632
20181011,180500,181500,178000,180500,13592
20181010,183500,183500,181000,181500,14591
20181008,183000,184500,181500,182500,5429
20181005,184000,184500,181000,182000,13477
20181004,185500,186500,183000,183500,18207
20181002,185500,187000,184500,185000,5288
20181001,184000,185500,184000,185500,6662
20180928,183500,185000,183000,183500,18115
20180927,182000,184000,182000,183000,13934
20180921,181500,182500,181000,182000,8891
20180920,180500,181500,179500,181500,4101
20180919,179500,181000,179500,180000,11344
20180918,180500,180500,178000,179500,15727
20180917,182000,182000,179000,180500,7632
20180914,180500,182000,180500,181000,1898
20180913,181500,182000,180500,180500,3434
20180912,180000,181500,180000,181500,5837
20180911,183000,183000,179000,179500,13787
20180910,183500,183500,182500,183500,1948
20180907,182500,184000,182500,183500,3877
20180906,183000,183500,181500,183000,1566
20180905,182000,183000,181500,183000,1331
20180904,182500,182500,181500,182500,1463
20180903,182500,183000,181500,182500,1766
20180831,181500,183000,181000,181500,3266
20180830,184000,184500,181000,181500,6914
20180829,184000,184500,183000,184500,2083
20180828,183000,184000,182500,183500,710
20180827,185000,185000,183000,183500,831
20180824,184000,185000,183500,184500,807
20180823,184000,184500,182500,183000,1001
20180822,184000,184500,183000,184500,1525
20180821,184000,184500,182500,183500,941
20180820,184500,185000,182000,183500,2275
20180817,183500,184000,181000,183000,3454
20180816,182500,184500,182000,184000,2350
20180814,185500,185500,182500,183000,4615
20180813,187000,187500,185000,186500,1021
20180810,188000,189000,187000,187000,2806
20180809,189500,189500,187000,187500,3974
20180808,188500,190000,188000,189500,3366
20180807,188000,189000,187500,188500,2537
20180806,185500,190000,185500,188000,10089
20180803,186500,186500,184500,185500,1073
20180802,186000,187500,185500,187000,2689
20180801,185500,187500,185500,186500,2474
20180731,186000,187500,185000,185000,4613
20180730,187000,187000,185500,186000,1144
20180727,184500,186000,184500,186000,1254
20180726,186000,187000,184500,185500,3586
20180725,185000,187500,185000,185500,5690
20180724,188000,188000,185000,187000,2893
20180723,185000,188000,185000,188000,17394
20180720,186500,187000,184000,185000,2058
20180719,187000,187500,185000,187000,8604
20180718,186000,187000,185000,187000,5583
20180717,184500,186000,184000,184500,3988
20180716,185500,185500,184000,185500,3022
20180713,184500,185000,183500,185000,4618
20180712,184500,185000,184000,185000,3918
20180711,184000,185500,182000,185000,10368
20180710,185000,185500,183500,185000,5298
20180709,183500,185500,182500,185000,4785
20180706,182000,185500,182000,184500,5217
20180705,183000,183000,181000,183000,2108
20180704,182000,183000,181000,183000,1427
20180703,182000,182500,180500,182500,3927
20180702,183000,184000,180500,182000,3509
20180629,184000,184000,180000,182500,4629
20180628,183000,183500,181500,183500,2427
20180627,183500,185000,183000,184000,3432
20180626,183000,184500,182000,183500,3690
20180625,184000,184500,182000,183000,2242
20180622,182500,185000,182000,184500,3544
20180621,185500,185500,182000,183500,3507
20180620,185000,186000,184000,185500,2945
20180619,186000,187000,183000,185000,4673
20180618,185000,187000,184000,186000,5730
20180615,186000,186000,183500,185500,7143
20180614,185500,186500,185000,186000,2885
20180612,184000,188000,184000,186500,5454
20180611,187000,187000,183000,185000,5027
20180608,185000,186000,184000,185000,2814
20180607,182000,185000,182000,185000,3565
20180605,180500,183000,180500,182000,4142
20180604,180500,183000,180000,182000,6289
20180601,179000,181500,179000,181000,3142
20180531,180000,181000,180000,180500,4481
20180530,179500,180500,177500,179000,7373
20180529,179500,180500,179000,179500,6152
20180528,179500,180000,178500,179500,2420
20180525,178000,180000,177500,179000,9416
20180524,178500,179000,178000,178000,12621
20180523,180000,180000,178000,179000,17714
20180521,179000,180000,178500,180000,3688
20180518,179000,180000,178500,180000,8217
20180517,180000,180000,178500,180000,3468
20180516,179500,180500,178000,180000,10293
20180515,180500,180500,179500,179500,6102
20180514,180000,181000,179500,180500,8564
20180511,181500,181500,179000,180000,13617
