,open,high,low,close,volume
20181109,41200,41200,40750,41050,304
20181108,41200,41650,40600,41200,1158
20181107,42000,42050,40250,41200,1871
20181106,40800,41700,40300,41700,2664
20181105,40750,41000,39900,40900,1794
20181102,40250,40300,39800,40300,4101
20181101,39850,40450,39650,39850,5509
20181031,39050,39550,38950,39500,9724
20181030,38200,39900,38000,39450,10457
20181029,40150,40150,38050,38300,10448
20181026,40250,40350,39000,40100,4658
20181025,38050,40400,37900,40200,6413
20181024,39450,39950,39300,39300,1352
20181023,40100,40450,39450,39450,4436
20181022,40950,40950,40350,40450,2845
20181019,40600,41000,40200,40950,3260
20181018,40950,41400,40000,40600,3234
20181017,41350,41600,40900,41200,3756
20181016,41150,41650,40850,41350,3461
20181015,41950,42000,41000,41150,5195
20181012,41000,42000,40700,42000,6682
20181011,41500,42200,41000,41100,11853
20181010,43900,44150,42600,43050,6668
20181008,43250,45000,42950,43900,27256
20181005,41650,43400,41600,43050,13270
20181004,40900,41850,40850,41600,6959
20181002,40900,40900,40700,40850,1350
20181001,40350,40800,40350,40800,3460
20180928,40400,41000,40050,40350,5942
20180927,40450,40500,40150,40350,3096
20180921,40000,40450,40000,40450,1702
20180920,40500,40500,40200,40250,1610
20180919,40450,40550,40150,40500,3038
20180918,40400,40450,40200,40450,1537
20180917,40400,40550,40200,40450,2135
20180914,40600,40600,40300,40450,709
20180913,40100,40550,40100,40300,1963
20180912,40750,40750,39850,40100,4592
20180911,40150,40650,40150,40600,1286
20180910,40200,40400,40100,40150,5040
20180907,40650,40650,40200,40200,519
20180906,40150,40400,40150,40250,2612
20180905,40050,40550,40050,40400,1891
20180904,39800,40700,39800,40600,2468
20180903,40300,40450,39900,40000,2550
20180831,40350,40650,40150,40300,1908
20180830,40700,41000,40550,40700,735
20180829,40550,40850,40550,40700,2834
20180828,40500,41200,40450,41000,5382
20180827,40500,41000,39800,40950,4843
20180824,41300,41300,40550,41000,2764
20180823,41300,41300,40900,41100,2261
20180822,41200,41500,41200,41200,888
20180821,41250,41500,41050,41200,3464
20180820,41250,41950,41250,41250,1665
20180817,41200,41950,40800,41950,1811
20180816,40950,41200,40600,41200,1959
20180814,41000,41400,38850,41000,2549
20180813,41750,42000,40800,41000,1942
20180810,41800,41800,41100,41750,1863
20180809,41850,41900,41250,41800,1422
20180808,41200,41900,41150,41850,1359
20180807,41500,42200,41300,41350,1263
20180806,42150,42150,41500,41500,586
20180803,41200,42400,41150,42150,1308
20180802,41600,41900,41000,41900,2075
20180801,41950,41950,41600,41800,2267
20180731,41400,41900,41150,41800,4538
20180730,41200,41500,41100,41400,2452
20180727,40850,41500,40850,41200,1979
20180726,41100,41400,40600,40850,2072
20180725,41250,41250,40700,41150,2380
20180724,40600,41300,40000,41250,2911
20180723,40500,40650,39800,40600,7249
20180720,40000,40600,39750,40500,4464
20180719,39800,40200,39750,40000,12733
20180718,40350,40350,39750,40000,1870
20180717,40050,40150,39500,40100,1859
20180716,40300,40300,39900,40100,1521
20180713,39800,40250,39800,40250,1694
20180712,39900,40000,39750,40000,739
20180711,39500,40100,39500,39950,3298
20180710,39300,39950,39100,39950,3298
20180709,40200,40400,39050,39050,4730
20180706,39350,40200,39350,40200,1126
20180705,39650,39800,39000,39350,1217
20180704,40000,40000,39100,39450,1662
20180703,38850,40250,38850,39900,4960
20180702,40050,40400,39000,39050,5715
20180629,40500,41200,39900,40600,2864
20180628,40750,41500,40200,40500,2670
20180627,42450,42450,40600,40750,3496
20180626,40750,41800,40550,41600,2916
20180625,40600,41000,40550,40800,1444
20180622,40700,40700,40000,40600,5485
20180621,41550,41600,40650,40650,2524
20180620,41300,41850,41300,41500,1577
20180619,41550,42300,41300,41300,2958
20180618,43000,43000,41300,41300,8003
20180615,43350,43350,42750,43000,2312
20180614,43700,43700,43000,43000,6580
20180612,43900,44200,43850,43850,2308
20180611,43900,44300,43650,43900,3571
20180608,44400,44400,43800,43900,3679
20180607,44300,44300,43800,44250,3115
20180605,44700,44700,43900,44300,1343
20180604,43900,44800,43900,44250,2661
20180601,44000,44500,43900,43900,2034
20180531,44150,44800,43850,44000,2886
