,open,high,low,close,volume
20181109,78300,80800,77500,77800,61323
20181108,76500,79000,75500,77000,84399
20181107,85800,87900,72700,73600,186395
20181106,85000,85400,83700,84700,9137
20181105,85000,85400,83400,84100,8867
20181102,85900,88600,84400,85400,23199
20181101,86400,89000,85600,85800,7312
20181031,84300,87500,84300,86300,10635
20181030,83200,89000,83200,86900,10584
20181029,88500,90300,85300,85300,11932
20181026,90600,90800,87300,88300,7150
20181025,90500,92000,89900,90600,10945
20181024,89800,91700,88900,91600,13118
20181023,88800,89200,86900,87500,10937
20181022,90500,90500,88500,89300,7377
20181019,90200,90800,89300,90700,6936
20181018,90200,92000,89200,90700,6170
20181017,91200,92600,90600,91200,4610
20181016,89100,92400,89000,91200,6470
20181015,90900,90900,88800,89700,7366
20181012,89200,91200,89200,90700,9461
20181011,94500,94500,90500,90500,15079
20181010,96100,97500,94500,95000,8870
20181008,96200,98000,96200,96800,3354
20181005,98200,99300,95600,97700,10320
20181004,99100,99900,98100,98400,6814
20181002,101000,101500,98200,98500,19154
20181001,101500,102500,100000,101000,9272
20180928,102500,103000,101500,101500,12234
20180927,98200,102500,98200,101500,14536
20180921,101000,102500,98000,100000,13538
20180920,101500,103000,99500,99500,22768
20180919,101000,103000,101000,102000,9103
20180918,103000,104000,101000,101500,14451
20180917,107500,107500,103500,104000,13552
20180914,108500,110500,108000,108500,4910
20180913,109000,111000,107000,110000,15319
20180912,105500,108500,105000,108500,8511
20180911,104500,106500,104000,105000,3767
20180910,103500,106500,103000,105000,7707
20180907,102500,106000,102000,104500,9229
20180906,104000,106000,101500,102000,9784
20180905,103000,106000,103000,104500,7698
20180904,101000,106000,100500,104000,11801
20180903,102500,102500,100500,101500,6234
20180831,100500,102000,100000,102000,9311
20180830,102000,103000,100000,100000,12869
20180829,102000,103500,102000,102000,5715
20180828,101500,102500,101000,102000,5511
20180827,102000,103500,101500,101500,5597
20180824,103500,103500,101000,101500,11738
20180823,100500,104500,97800,104000,26053
20180822,102500,103500,99800,100000,15315
20180821,103500,104000,102000,103000,8464
20180820,103000,105500,102000,104000,8157
20180817,101000,104000,101000,102000,5215
20180816,104000,104500,101500,102000,8861
20180814,102500,105000,102000,103000,8877
20180813,106500,108000,101500,103500,14981
20180810,106000,108000,105000,107000,4142
20180809,108000,109000,104500,105000,13008
20180808,115500,116500,106000,107500,29873
20180807,115500,117500,113500,116500,7024
20180806,114000,117000,114000,116500,6057
20180803,113500,116000,113000,115000,8672
20180802,116500,116500,112500,114500,6858
20180801,115500,117000,114500,115000,10455
20180731,112500,116500,112500,114000,11071
20180730,112000,113500,111000,113000,3992
20180727,114500,114500,111000,113000,5262
20180726,110000,113000,110000,112500,5951
20180725,111500,111500,106500,110000,14876
20180724,106500,112000,104500,111000,12512
20180723,100500,106500,100000,105500,15256
20180720,103500,105500,102000,102500,10857
20180719,105000,106500,103000,103500,11120
20180718,107000,108000,104500,105500,12209
20180717,110000,111000,107500,108000,9905
20180716,110000,112500,109000,110500,13726
20180713,111500,112500,108500,111500,13651
20180712,109500,113000,108500,111000,10991
20180711,108500,110500,106000,108500,14799
20180710,115500,116000,109000,109000,26504
20180709,114000,117000,112500,115500,8426
20180706,112000,115000,112000,114500,7619
20180705,112500,115500,111000,113000,6449
20180704,112500,117000,110500,113500,11135
20180703,117000,119000,111000,114500,17210
20180702,117000,121000,116000,117000,13533
20180629,118000,119500,114500,119000,13714
20180628,115500,119000,113500,118000,16081
20180627,110500,115500,109500,114000,21462
20180626,111000,113500,107000,111500,22893
20180625,109500,112000,109000,111000,7461
20180622,111000,112500,109500,110000,12092
20180621,112000,114500,110000,112000,15381
20180620,113000,116500,111500,113500,9278
20180619,114500,118000,113000,113000,14661
20180618,121500,122000,114500,116500,19260
20180615,118500,121500,117500,121000,22417
20180614,119500,123000,117500,118000,21345
20180612,125500,125500,121000,121500,17911
20180611,123000,125500,121500,125000,12820
20180608,123000,124500,121500,123500,12227
20180607,122000,125000,122000,124500,9551
20180605,123000,125000,121000,123500,16464
20180604,122000,124000,119000,123000,22621
20180601,115000,121000,113000,120000,26413
20180531,116000,116000,112500,114500,30322
20180530,113500,117500,112500,116500,26007
20180529,119000,119000,113500,113500,34580
20180528,117000,118500,115500,118500,18677
20180525,116000,117500,113000,115500,21764
20180524,116500,117500,114000,116000,11684
20180523,117000,119500,115500,117500,17229
20180521,118500,121000,115500,119000,26114
20180518,119000,119500,115500,117500,18709
20180517,122500,122500,116500,119000,22424
20180516,116500,121000,111500,120500,68831
20180515,117500,120000,115000,116500,25157
20180514,116500,122000,116000,117500,50231
20180511,113000,118500,111000,115500,36416
20180510,107500,113000,107000,112500,22486
20180509,108500,110000,108000,108000,18840
20180508,113500,114000,107500,108500,31205
20180504,110500,115500,110000,114000,20899
20180503,115000,116000,112500,112500,17488
20180502,110000,117500,110000,115000,47497
20180430,107000,112500,105000,111000,52827
20180427,100500,105500,100000,104000,26804
20180426,101500,104000,100000,101000,15832
20180425,104500,104500,100500,101000,17640
20180424,102500,104500,101500,104500,23699
20180423,104500,107000,101500,103000,25211
20180420,102000,108000,100500,105000,44029
20180419,97000,102500,96500,102000,41972
20180418,97800,99600,96600,97100,24754
20180417,95100,98000,94500,97700,22932
20180416,92700,95900,92300,94800,21078
20180413,91600,92400,90600,91800,30466
20180412,93100,93400,91600,92100,21187
20180411,92000,93500,91200,93500,18117
20180410,93800,94200,91400,91800,39188
20180409,95000,95100,93900,94400,19023
20180406,96800,97200,94900,95600,16695
20180405,97600,98400,96700,96700,15583
20180404,100500,101500,96600,97300,24554
20180403,98200,101500,96700,101000,16223
20180402,97300,99800,97300,98200,7090
20180330,96700,98900,96500,98000,7616
20180329,95700,96800,95100,96400,9784
20180328,98800,100000,95600,95600,19950
20180327,97200,101000,96300,99500,12614
20180326,96100,98000,95700,96900,11841
