,open,high,low,close,volume
20181109,48500,48500,47700,47700,94
20181108,46050,48500,45500,47700,608
20181107,49000,49300,45100,45300,2488
20181106,48950,48950,48900,48950,47
20181105,49000,49000,48000,48950,45
20181102,49000,49200,49000,49200,4
20181101,47800,49000,47800,49000,13
20181031,47000,47800,47000,47800,439
20181030,45050,47800,45050,47800,451
20181029,47700,48950,47600,47600,600
20181026,50200,50200,49000,49000,352
20181025,50700,50700,49100,50200,388
20181024,51100,51800,50600,50600,2656
20181023,52300,52300,51100,51900,237
20181022,53500,53500,51000,52400,2397
20181019,52400,52400,52300,52400,137
20181018,53000,54600,52600,52600,234
20181017,52900,53000,52500,52500,619
20181016,52200,53100,52000,52300,848
20181015,52500,53800,52500,53700,231
20181012,51200,53000,51200,53000,124
20181011,52000,52000,50100,52000,83
20181010,53900,54000,52200,53100,234
20181008,54400,54800,53800,54800,145
20181005,54500,54500,53500,54400,1627
20181004,54300,54600,54000,54500,350
20181002,55400,56100,54300,54300,2688
20181001,55300,55700,55000,55400,82
20180928,54500,55200,54300,55200,126
20180927,56100,56100,54500,54500,27
20180921,55500,55500,55200,55200,20
20180920,56300,56300,55500,55500,35
20180919,55500,56100,55500,55900,171
20180918,56300,56300,55800,56200,70
20180917,56800,56800,55700,56300,103
20180914,56200,56700,55600,56500,209
20180913,56000,56600,56000,56200,1660
20180912,55700,56000,55500,56000,564
20180911,55000,55500,55000,55500,674
20180910,54800,55100,54800,55000,400
20180907,54800,54800,54100,54800,205
20180906,55000,55000,54000,54800,249
20180905,54900,55000,54100,54900,140
20180904,54400,54900,54400,54900,306
20180903,54600,54800,54400,54400,260
20180831,54000,54600,54000,54600,384
20180830,54000,54000,53800,54000,9
20180829,53900,54200,53900,54000,409
20180828,53800,54400,53800,53900,508
20180827,53500,54000,53500,53500,158
20180824,53100,53500,52600,53500,118
20180823,53300,53300,52100,52900,524
20180822,53300,53400,52600,52900,439
20180821,53200,53300,52900,53100,110
20180820,52400,53000,52000,53000,143
20180817,52500,52500,52100,52100,33
20180816,52700,52700,51300,52000,1203
20180814,53800,53800,52000,52700,505
20180813,54000,54000,52300,53000,121
20180810,54400,54400,53000,54000,13
20180809,54600,54600,53000,53900,29
20180808,54900,55100,53000,54200,35
20180807,54800,54800,53900,54600,50
20180806,54000,54500,53700,54500,97
20180803,53000,53700,53000,53700,12
20180802,53900,53900,53400,53400,53
20180801,53300,53800,53300,53700,32
20180731,52900,54700,52900,53000,277
20180730,53000,53300,52200,53000,171
20180727,52900,53000,52500,53000,35
20180726,52700,52800,52000,52800,71
20180725,53000,53000,52000,52700,85
20180724,52600,53000,52600,53000,96
20180723,52300,52300,51500,52200,48
20180720,53000,53000,52300,52300,61
20180719,52500,53000,52100,53000,101
20180718,53600,53800,53100,53400,132
20180717,53600,53600,53300,53300,132
20180716,53500,53600,52500,53300,68
20180713,53900,53900,52500,52900,186
20180712,53900,53900,53100,53700,86
20180711,53100,53600,53000,53600,132
20180710,53900,53900,52900,53500,99
