,open,high,low,close,volume
20181109,15000,15200,14900,15200,8700
20181108,14350,15200,14200,15200,34163
20181107,14450,14700,14000,14350,25369
20181106,14450,14550,14100,14500,22336
20181105,14350,14450,14000,14450,17429
20181102,13800,14500,13700,14400,29881
20181101,13550,14300,13550,13700,12581
20181031,13550,14150,13200,13600,37554
20181030,13200,13850,12650,13200,83341
20181029,13700,14050,13200,13550,52928
20181026,15000,15050,13900,14100,49115
20181025,14800,15000,14600,14800,10722
20181024,14850,15050,14750,14950,7773
20181023,15200,15200,14850,14850,10779
20181022,15150,15200,14900,15150,12222
20181019,15500,15500,15100,15150,9471
20181018,15500,15550,15150,15500,4820
20181017,15200,15500,15200,15500,5309
20181016,15150,15750,15050,15200,38732
20181015,15200,15400,15150,15150,17149
20181012,15000,15350,14950,15200,21133
20181011,15150,15500,14550,15500,61861
20181010,15800,15800,15300,15500,14209
20181008,15550,15900,15500,15700,10987
20181005,16150,16150,15400,15500,52553
20181004,16400,16400,16000,16150,20881
20181002,16500,16650,16200,16400,6058
20181001,16700,16750,16300,16500,2335
20180928,16800,16800,16550,16700,4628
20180927,16350,16900,16350,16700,12350
20180921,16350,16450,16200,16350,3339
20180920,16300,16500,16250,16350,11398
20180919,16300,16550,16300,16300,6890
20180918,16400,16650,16300,16300,6331
20180917,16800,16800,16400,16500,12858
20180914,16650,17050,16400,16900,59819
20180913,16400,16750,16350,16600,30607
20180912,15900,16650,15900,16500,49124
20180911,15450,16100,15450,16000,27739
20180910,15600,15700,15450,15550,13118
20180907,15650,15700,15450,15550,20616
20180906,15400,15650,15300,15550,16789
20180905,15400,15550,15250,15400,23209
20180904,15600,15700,15150,15400,81190
20180903,15700,15900,15600,15700,22267
20180831,15850,15900,15600,15850,15785
20180830,15800,15800,15650,15750,33087
20180829,15500,15850,15500,15700,16707
20180828,15750,15750,15450,15600,22227
20180827,15650,15800,15450,15750,16271
20180824,15900,15900,15600,15750,9232
20180823,15950,15950,15450,15900,26774
20180822,15900,15950,15700,15900,11010
20180821,15500,15950,15500,15900,18948
20180820,15850,15850,15350,15450,42842
20180817,15750,15800,15650,15750,17921
20180816,15700,15850,15600,15700,11828
20180814,15900,16000,15500,15900,30163
20180813,16250,16250,15800,15900,22608
20180810,16350,16350,16200,16300,5429
20180809,16450,16450,16200,16300,21398
20180808,16500,16500,16250,16450,16796
20180807,16400,16450,16200,16450,15806
20180806,16550,16550,16250,16250,15009
20180803,16450,16600,16300,16550,12752
20180802,16650,16650,16400,16450,13326
20180801,16500,16650,16350,16600,18038
20180731,16500,16600,16150,16500,29496
20180730,16550,16600,16450,16500,5077
20180727,16500,16700,16500,16550,9433
20180726,16500,16650,16300,16550,11302
20180725,16750,16800,16350,16500,11044
20180724,16250,16800,16150,16750,23441
20180723,16150,16450,16100,16250,36896
20180720,16400,16450,16050,16250,19573
20180719,16150,16600,16000,16300,70118
20180718,16250,16300,15950,16000,25825
20180717,16100,16300,15900,16150,22329
20180716,15850,16400,15850,16200,60209
20180713,15800,15950,15700,15900,24658
20180712,16100,16100,15800,15800,58307
20180711,16100,16150,15750,16000,32761
20180710,16200,16200,15950,16050,24771
20180709,16300,16400,15950,16000,51449
20180706,16250,16350,16200,16250,14507
20180705,16250,16450,16200,16250,19384
20180704,16500,16500,16200,16250,23025
20180703,16300,16450,16200,16300,45922
20180702,16400,16550,16250,16300,26072
20180629,16500,16550,16350,16500,35166
20180628,16650,16700,16400,16400,13398
20180627,16750,16850,16600,16600,17541
20180626,16800,17000,16650,16800,19778
20180625,17150,17150,16900,17000,10141
20180622,17000,17250,16800,17050,20575
20180621,17400,17450,16850,17200,20638
20180620,16900,17500,16850,17350,22987
20180619,17200,17200,16750,17000,32446
20180618,17450,17450,16950,17050,48179
20180615,17400,17550,17150,17500,33237
20180614,17300,17500,17200,17350,36372
20180612,17500,17600,17300,17350,53017
20180611,17800,17800,17500,17500,9925
20180608,17600,17700,17450,17650,23205
20180607,17650,17750,17500,17600,29453
20180605,18050,18100,17550,17650,46732
20180604,18300,18450,17700,18000,59953
20180601,18100,18450,18000,18250,40413
20180531,18150,18150,17700,18100,56109
20180530,18050,19700,17900,18000,358938
20180529,18400,19450,18000,18100,203205
20180528,18150,18300,18000,18000,40964
20180525,18200,18800,17950,18100,44357
20180524,18100,18500,17900,18450,38570
20180523,18450,18600,18000,18200,19556
20180521,18050,18400,17900,18350,36580
20180518,17700,18050,17450,18000,21890
20180517,17800,17800,17500,17700,8695
20180516,17550,17750,17400,17700,12698
20180515,17650,17700,17450,17550,17794
20180514,17750,17750,17450,17650,18132
20180511,17550,17600,17400,17600,11728
20180510,17500,17650,17400,17450,9322
20180509,17800,17900,17500,17600,32281
20180508,17900,18100,17600,17800,7175
20180504,17600,18050,17450,18000,14700
20180503,17650,17700,17500,17500,7820
20180502,17600,17600,17350,17550,59170
20180430,18100,18200,17450,17500,39498
20180427,18000,18150,17900,18100,9639
20180426,17850,18250,17750,18000,23840
20180425,17700,17800,17400,17700,15189
20180424,17500,17650,17300,17650,10969
20180423,17550,17650,17350,17500,18445
20180420,17500,17650,17350,17550,42199
20180419,17350,17800,17250,17300,76164
20180418,17350,17450,17150,17250,13130
20180417,17350,17350,17200,17200,16146
20180416,17500,17500,17300,17350,14063
20180413,17400,17600,17350,17400,12787
20180412,17450,17700,17350,17400,15567
20180411,17500,17700,17350,17450,15812
20180410,17550,17750,17150,17500,19834
20180409,17500,17600,17350,17350,11744
20180406,17850,17950,17400,17400,39326
20180405,18250,18600,17850,17850,61317
20180404,18450,18450,17800,18300,47377
20180403,18100,18450,17850,18400,16016
20180402,18000,18150,17900,18100,12187
20180330,17800,18000,17650,17950,10265
20180329,17900,18000,17650,17650,24131
20180328,18200,18200,17650,17900,37379
20180327,18400,18400,17900,18250,29815
20180326,17750,18300,17750,18300,32061
20180323,17900,18000,17600,17950,20313
20180322,17950,18100,17850,18000,8958
20180321,17900,17950,17750,17950,12279
20180320,17950,17950,17800,17950,4887
20180319,18000,18050,17700,18050,13592
20180316,18000,18000,17650,18000,15453
