,open,high,low,close,volume
20181109,1660,1740,1655,1715,886604
20181108,1660,1700,1640,1655,931974
20181107,1735,1785,1610,1625,1498531
20181106,1765,1775,1715,1735,566851
20181105,1625,1745,1610,1710,741156
20181102,1585,1660,1585,1655,339361
20181101,1565,1605,1565,1580,236847
20181031,1510,1565,1475,1565,394488
20181030,1400,1525,1380,1500,662935
20181029,1615,1630,1460,1460,743840
20181026,1605,1630,1555,1620,712172
20181025,1605,1625,1570,1595,800310
20181024,1690,1695,1650,1660,249753
20181023,1745,1745,1660,1665,677101
20181022,1715,1775,1715,1745,543750
20181019,1710,1730,1680,1730,196797
20181018,1715,1750,1710,1725,158603
20181017,1720,1770,1700,1715,603488
20181016,1695,1745,1695,1700,432347
20181015,1675,1715,1660,1690,409990
20181012,1575,1705,1575,1670,848982
20181011,1750,1800,1635,1640,1430553
20181010,1930,1950,1820,1855,745599
20181008,1985,2005,1940,1945,285748
20181005,1960,2020,1950,2000,292268
20181004,2075,2075,1985,1995,529726
20181002,2095,2125,2035,2050,442116
20181001,2040,2115,2040,2065,371563
20180928,2080,2085,2040,2040,259117
20180927,2080,2125,2065,2080,288994
20180921,2070,2105,2050,2065,211973
20180920,2110,2140,2060,2065,423593
20180919,2120,2175,2090,2110,655479
20180918,2120,2140,2080,2115,487532
20180917,2155,2180,2095,2120,537460
20180914,2070,2185,2070,2155,1646749
20180913,2050,2090,2040,2070,579307
20180912,2090,2105,2035,2055,1241725
20180911,1950,2205,1950,2090,5687525
20180910,1955,1965,1935,1950,376459
20180907,1925,1945,1920,1940,174175
20180906,1935,1950,1920,1945,213900
20180905,1930,1945,1910,1930,162180
20180904,1940,1950,1915,1935,342750
20180903,1910,1950,1905,1940,482696
20180831,1925,1930,1900,1910,213151
20180830,1915,1950,1910,1925,242984
20180829,1920,1925,1895,1925,267798
20180828,1895,1935,1890,1920,239237
20180827,1900,1910,1870,1880,264201
20180824,1910,1910,1880,1910,355985
20180823,1925,1940,1895,1910,383631
20180822,1905,1945,1890,1930,432558
20180821,1890,1915,1885,1900,392145
20180820,1910,1925,1890,1900,356634
20180817,1990,2000,1890,1900,1074620
20180816,2020,2020,1965,1985,609388
20180814,2030,2075,2015,2050,224037
20180813,2100,2100,2000,2050,435931
20180810,2090,2120,2085,2115,124207
20180809,2100,2130,2075,2100,171843
20180808,2120,2145,2085,2105,232837
20180807,2150,2185,2080,2120,501444
20180806,2250,2250,2125,2160,618604
20180803,2135,2250,2110,2210,1062889
20180802,2130,2135,2090,2125,102216
20180801,2145,2205,2105,2130,565036
20180731,2160,2160,2115,2145,91721
20180730,2130,2160,2120,2155,114672
20180727,2100,2155,2095,2140,199177
20180726,2065,2105,2060,2100,117583
20180725,2055,2100,2040,2075,326649
20180724,1985,2125,1985,2090,236452
20180723,2075,2105,1980,2005,421854
20180720,2070,2115,2035,2105,269905
20180719,2165,2170,2035,2075,656467
20180718,2185,2195,2160,2180,153121
20180717,2160,2180,2140,2175,127549
20180716,2240,2250,2150,2160,553400
20180713,2210,2225,2180,2215,189742
20180712,2230,2270,2185,2210,491180
20180711,2220,2265,2190,2245,238332
20180710,2175,2265,2145,2245,351208
20180709,2160,2200,2135,2170,134579
20180706,2135,2185,2100,2180,305736
20180705,2250,2270,2125,2145,564854
20180704,2190,2290,2185,2270,220378
20180703,2295,2310,2155,2210,569256
20180702,2285,2350,2230,2285,234448
20180629,2305,2330,2230,2320,211194
20180628,2320,2355,2280,2300,213287
20180627,2400,2435,2340,2365,230365
20180626,2420,2425,2350,2400,231825
20180625,2305,2435,2270,2430,440170
20180622,2255,2315,2205,2300,391288
20180621,2330,2380,2215,2275,398467
20180620,2315,2355,2260,2340,406896
20180619,2335,2400,2235,2280,339804
20180618,2445,2475,2205,2340,646365
20180615,2440,2495,2435,2475,227429
20180614,2515,2545,2430,2440,330337
20180612,2530,2575,2510,2535,386311
20180611,2530,2570,2530,2540,249432
20180608,2505,2560,2505,2535,289464
20180607,2530,2555,2470,2535,686808
20180605,2490,2530,2440,2510,733348
20180604,2615,2645,2460,2500,1300890
20180601,2560,2675,2555,2645,1236963
20180531,2510,2550,2450,2520,320592
20180530,2495,2535,2465,2510,381351
20180529,2555,2605,2495,2530,436291
20180528,2540,2635,2540,2565,772730
20180525,2630,2635,2410,2535,1282782
20180524,2710,2710,2615,2685,558747
20180523,2745,2750,2655,2685,471974
