,open,high,low,close,volume
20181109,25300,25650,23550,25300,137686
20181108,25450,25800,25050,25300,87595
20181107,24900,26250,23900,24850,236233
20181106,25700,25700,24300,24900,117466
20181105,24150,25450,23650,25350,165430
20181102,23850,24700,23350,24150,176993
20181101,22100,24500,22100,23300,238040
20181031,21750,22750,20850,21950,181123
20181030,19500,21400,19050,21300,265464
20181029,22300,22950,20200,20300,311640
20181026,25700,25750,22400,22550,305730
20181025,25200,26050,24350,25200,267067
20181024,28850,29300,26550,26800,194494
20181023,30350,30600,28350,28500,194712
20181022,29500,31250,28850,30450,305243
20181019,28100,29850,27500,29650,272707
20181018,27700,28700,27250,27900,83860
20181017,28600,28600,27400,27800,112574
20181016,27150,28800,26900,27800,134869
20181015,28400,28400,26750,26850,130021
20181012,26400,28500,26100,28000,196234
20181011,26900,28100,26300,26400,206965
20181010,30400,30800,28000,28550,260134
20181008,30200,30900,29750,30450,155731
20181005,32150,32650,29850,30300,397414
20181004,32000,33050,31000,32900,518929
20181002,37700,37800,31600,32150,901166
20181001,35300,38700,34950,37350,1021257
20180928,38300,39600,34600,36500,2898369
20180927,27500,35750,27150,35750,2338463
20180921,27550,27600,26650,27500,102161
20180920,26700,27950,26600,27050,121838
20180919,28000,28150,27100,27150,133818
20180918,27250,27950,26300,27950,147095
20180917,28200,28200,27050,27100,149598
20180914,28500,28500,27550,28100,170812
20180913,27250,28450,26950,28300,247564
20180912,27450,28600,27050,27150,425943
20180911,26450,27450,26150,26850,141325
20180910,27450,27450,26000,26550,191333
20180907,28150,28450,27050,27400,202277
20180906,29200,29200,28050,28150,212134
20180905,28100,30450,27550,29200,684690
20180904,28150,28450,27400,28100,202699
20180903,28900,29250,28100,28350,195992
20180831,28550,29450,28100,28800,316172
20180830,28450,28700,27900,28500,200984
20180829,27600,28600,27300,28400,324340
20180828,28800,28900,26650,27300,498397
20180827,26950,28950,26350,28000,933182
20180824,25850,29700,24600,26500,2088395
20180823,23100,24950,23050,24950,287613
20180822,23700,23800,22650,23100,122941
20180821,22900,23900,22650,23150,195782
20180820,22650,22900,22300,22550,69616
20180817,21400,22500,21250,22450,161261
20180816,21200,21300,20500,21150,107009
20180814,21550,22100,21100,21650,69249
20180813,22650,22700,21400,21450,170160
20180810,23050,23650,22500,22900,146466
20180809,23150,23250,22500,23050,98063
20180808,23450,23450,22700,22750,174535
20180807,22300,24400,22000,23500,567773
20180806,22050,22900,21800,22450,176005
20180803,21400,22050,21300,22050,87681
20180802,22200,22350,21200,21500,107035
20180801,21500,22800,21450,22200,233993
20180731,21000,21650,20800,21650,162455
20180730,21850,21850,20700,21300,138743
20180727,21300,21900,21150,21650,167411
20180726,22400,22800,21150,22000,192380
20180725,21200,25150,20200,22400,493953
20180724,20600,21900,20600,21100,97222
20180723,23100,23100,21000,21000,134543
20180720,22000,24050,22000,23100,225850
20180719,23300,23750,22200,22450,128328
20180718,25100,25100,23000,23300,154013
20180717,25500,25600,24550,24800,108554
20180716,26150,26400,25250,25400,146221
20180713,25900,26250,25550,26000,166371
20180712,25100,26400,24800,26400,349056
20180711,25600,25950,25050,25300,206951
20180710,27350,27350,24950,26300,361171
20180709,27750,29600,26500,26600,544447
20180706,29350,31350,26450,27500,789194
20180705,26600,32250,26250,29300,2105857
20180704,25200,26000,24700,26000,344874
20180703,24700,26650,23600,24600,507463
20180702,21800,27000,21800,24400,1809940
20180629,21200,21550,20400,21500,132933
20180628,22700,23200,21200,21200,147696
20180627,22500,23800,21750,23000,386640
20180626,20700,23950,20050,23000,647419
20180625,21250,21500,20400,20900,105011
20180622,20700,22100,20150,21100,165957
20180621,22550,22600,20750,20900,246220
20180620,22400,23450,22150,22450,262710
20180619,24900,24950,22300,22300,521193
20180618,28300,28800,24150,24900,509865
20180615,33050,33850,27300,27850,1736150
20180614,25300,29350,25250,29350,486528
20180612,21500,23200,21000,22600,226020
20180611,22100,22100,21150,21200,89650
20180608,22250,22400,21700,21800,62623
20180607,21300,22750,21050,22500,122696
20180605,21300,23700,21000,21150,359018
20180604,22100,22250,20950,21050,92576
20180601,21519,22380,21232,21949,148374
20180531,22380,22380,21089,21710,94570
20180530,21615,21758,20850,21710,97212
20180529,21423,22475,21136,21232,139877
20180528,21519,21758,19845,21328,229210
20180525,22093,22906,21710,22045,183539
20180524,22380,23193,21806,21997,224740
20180523,25918,26110,22715,22762,450906
20180521,24293,27640,24101,25536,577520
20180518,24101,24819,23910,23958,94628
20180517,23719,24579,23001,24053,227983
20180516,23097,25153,23001,23480,409776
20180515,27018,27497,25058,25345,374582
20180514,28931,28931,26397,26875,354847
20180511,28740,30127,28405,29075,226758
20180510,28501,29983,27497,28692,250911
20180509,27688,28979,26301,28979,262731
20180508,28692,29792,27257,27544,281761
20180504,28979,29361,27640,27975,323255
20180503,30414,31705,29170,29170,216751
20180502,30605,31466,28788,30079,476211
20180430,35339,35530,31752,32279,327159
20180427,35004,36630,33426,35722,276762
20180426,35769,36295,34383,34622,144854
20180425,35769,37778,33665,34430,208629
20180424,35578,38113,34526,35817,247011
20180423,35961,36343,32183,34909,404742
20180420,35435,40599,34717,36678,765582
20180419,41173,42082,33665,34813,881548
20180418,45142,45429,43134,43134,251249
20180417,47151,47246,44138,45812,238956
20180416,46577,49255,46003,46625,322258
20180413,46959,47820,44138,46672,666968
20180412,52219,52985,46194,48489,694250
20180411,52219,55758,51454,53654,567811
20180410,49733,61018,46194,53558,2515744
20180409,37300,47820,36917,47820,1677855
