,open,high,low,close,volume
20181109,12400,12900,12150,12850,2257
20181108,12350,12600,12200,12400,1832
20181107,12500,12800,12250,12300,1286
20181106,12250,12450,12200,12450,879
20181105,12750,12750,12250,12250,2680
20181102,12300,12900,12300,12600,3275
20181101,12000,12750,11950,12000,2978
20181031,12900,14400,12100,12100,11640
20181030,10800,12000,10800,11950,4788
20181029,12500,12500,11250,11500,2906
20181026,12100,12200,11500,11700,8685
20181025,12300,12600,11950,12000,8714
20181024,12450,13000,12300,12300,3052
20181023,12750,12950,12300,12750,2650
20181022,13450,13450,12750,12750,719
20181019,13150,13300,12600,13300,2504
20181018,12850,13150,12750,13150,2390
20181017,13200,13700,12700,12750,13217
20181016,13450,13450,12850,13200,1758
20181015,13200,13350,12700,13150,1862
20181012,12200,13300,12200,12700,7652
20181011,12700,13650,12350,12350,13156
20181010,13750,13950,13350,13350,13192
20181008,14450,14750,14000,14000,5043
20181005,13750,15300,13400,14700,30459
20181004,13900,14250,13750,13750,5649
20181002,13500,16400,13500,14000,89273
20181001,13850,14200,13400,13400,5656
20180928,14300,14300,13700,13850,6859
20180927,14500,14500,14000,14300,3496
20180921,14450,14450,14050,14250,504
20180920,14300,14300,13950,14150,1511
20180919,14250,14600,14050,14200,3138
20180918,14500,14800,14050,14200,3828
20180917,14800,14800,14450,14500,1678
20180914,14800,14950,14600,14800,2525
20180913,14800,15200,14500,14900,15326
20180912,14400,14650,14300,14550,5642
20180911,14400,14700,14300,14700,3468
20180910,14250,14600,13550,14600,3398
20180907,13900,14000,13700,14000,1598
20180906,14050,14050,13900,13900,1450
20180905,14150,14500,13950,14050,3475
20180904,14200,14200,13800,14050,4433
20180903,14200,15100,14000,14150,10838
20180831,14600,14600,14250,14450,1361
20180830,14600,14900,14250,14600,2176
20180829,14750,14800,14300,14600,1248
20180828,14450,14800,14150,14800,7300
20180827,14150,14500,13750,14500,4748
20180824,14150,14300,13950,14200,429
20180823,13950,14250,13800,14200,1787
20180822,14100,14250,13700,13950,3161
20180821,14150,14350,14000,14150,3881
20180820,14200,14500,14000,14400,5575
20180817,14500,14500,14200,14200,1127
20180816,14850,14850,13900,14400,15341
20180814,14650,14950,14350,14850,2158
20180813,15100,15350,14400,14700,4574
20180810,14450,15500,14450,15150,5560
20180809,14950,14950,14500,14650,2494
20180808,15050,15400,15000,15000,3772
20180807,14350,16000,14350,15200,24671
20180806,14350,14650,13500,14600,8718
20180803,14000,14400,13950,14400,7354
20180802,14000,14200,13350,14100,4827
20180801,13500,14300,13500,14000,2872
20180731,13400,14050,13400,13700,1394
20180730,13500,13500,13250,13400,2250
20180727,13450,13500,12900,13400,1627
20180726,12950,13350,12900,13250,2832
20180725,13050,13150,12750,12750,5314
20180724,12700,13200,12600,13100,6774
20180723,13750,13750,12850,12950,3165
20180720,13500,13900,13150,13750,8786
20180719,13650,13650,12900,13500,5246
20180718,13000,13700,12800,13400,3602
20180717,13700,13700,12900,12950,2945
20180716,13100,13100,12800,12800,844
20180713,13450,13450,12950,13150,5226
20180712,13000,13500,12950,13450,1150
20180711,12650,13050,12650,13050,1167
20180710,12800,13250,12800,13000,1007
20180709,12900,13250,12150,13000,3014
20180706,12300,13650,12300,13350,6878
20180705,12500,12750,12300,12750,2381
20180704,12450,12500,12250,12450,1888
20180703,12600,12600,11950,12450,10522
20180702,13400,13400,12150,12300,12970
20180629,13200,13250,12550,12900,24162
20180628,12700,13300,12650,12800,11839
20180627,13200,13300,12700,12700,8188
20180626,13750,13950,12900,12900,10579
20180625,13300,13800,13000,13700,2142
20180622,13900,13900,13150,13300,8234
20180621,14000,14250,13400,13600,7143
20180620,13500,13950,13500,13900,2293
20180619,14550,14550,13450,13650,12910
20180618,14900,14900,14000,14250,14935
20180615,14800,15100,14550,14900,4710
20180614,14750,15100,14600,14800,4155
20180612,15450,15900,14900,14900,9180
20180611,15350,15900,15300,15450,6963
20180608,15700,16600,15150,15450,10936
20180607,15250,15750,15100,15750,8172
20180605,15500,15550,15050,15300,10713
20180604,16150,16200,15200,15650,12872
20180601,16200,16600,16000,16150,20697
20180531,15550,16500,15300,16400,12448
20180530,15300,15800,14850,15550,13143
20180529,16350,16700,15500,15500,17006
20180528,15800,16900,15800,16500,44116
20180525,15000,15600,14800,15550,18010
20180524,16300,16650,15500,15850,5789
20180523,16200,16450,15750,16300,14956
20180521,16600,16650,16000,16350,10782
20180518,15600,16650,15600,16650,11781
20180517,16200,16450,15550,15850,32258
20180516,15850,16500,15800,16100,21882
20180515,17100,17450,16100,17100,46012
20180514,16600,17250,16550,16800,30678
20180511,15800,16600,15600,16400,21096
20180510,15800,16100,15500,16000,21803
20180509,15800,15900,15000,15750,23428
20180508,16450,16600,15400,15400,24988
20180504,16250,16850,16050,16450,20811
20180503,17000,17200,16000,16150,41931
20180502,16300,17300,15850,16700,137011
20180430,15000,16450,15000,16150,64836
20180427,15500,15750,14800,14800,21444
20180426,15800,16250,15650,15850,26723
20180425,16000,16100,15400,15450,14847
20180424,16300,16350,15450,15800,39407
20180423,15300,16200,15150,16200,103593
20180420,15500,15500,14700,15100,16545
20180419,14400,15800,14400,15400,67841
20180418,13750,14500,13750,14400,19454
20180417,13550,13900,13550,13750,983
20180416,13500,13950,13500,13550,3824
20180413,13650,13950,13550,13700,1827
20180412,14000,14000,13550,13650,4929
20180411,13750,14300,13700,14050,2650
20180410,13850,13950,13600,13950,4781
20180409,13500,13900,13500,13900,25637
20180406,13600,13650,13400,13400,5861
20180405,13150,13800,13150,13650,17225
20180404,12900,13400,12700,13300,8709
20180403,12350,12850,12350,12800,3405
20180402,12350,12600,12350,12600,6318
20180330,12300,12550,12300,12500,2727
