,open,high,low,close,volume
20181109,64600,64600,60300,61500,421751
20181108,66000,66700,64500,64500,291729
20181107,64900,66200,61200,64000,302335
20181106,68200,68200,63800,64700,574973
20181105,67000,68300,65700,68200,237746
20181102,66500,68500,65000,67800,524892
20181101,57500,65000,57200,64200,1026413
20181031,58700,59100,55700,56100,367218
20181030,54600,58200,54100,57300,599802
20181029,58500,60700,56100,56100,444194
20181026,64300,64300,58200,58400,552123
20181025,60800,64000,58600,62200,512124
20181024,68700,69000,63900,63900,364565
20181023,72100,72200,67300,67500,327841
20181022,70000,72300,69400,71900,249757
20181019,67000,70900,66600,70300,219198
20181018,70400,70500,68100,68300,160814
20181017,71000,72000,68600,69600,414198
20181016,65600,69400,65600,68600,472434
20181015,64700,67000,63200,64400,333884
20181012,60000,64900,59700,64300,515327
20181011,60500,62300,59200,59800,444053
20181010,66200,67400,62400,63800,374414
20181008,66800,69800,65100,66500,315134
20181005,70100,70300,66300,67400,350247
20181004,70900,72700,69500,70400,303146
20181002,71500,73000,70700,70800,341446
20181001,74300,75500,70800,71200,589750
20180928,80600,80600,74000,74500,826539
20180927,80700,80700,79300,79500,187186
20180921,78800,80800,78700,80800,317380
20180920,81000,81400,78600,78700,290988
20180919,82500,82500,80200,80400,197341
20180918,78600,82600,78000,81800,367938
20180917,81100,81100,78500,79100,390360
20180914,81500,82500,80700,80900,255930
20180913,82000,82700,80100,80600,245226
20180912,84900,85100,81500,82000,405328
20180911,83000,86400,82900,84500,536636
20180910,80700,83500,79600,82900,335851
20180907,83900,84600,80700,81800,429388
20180906,84700,85700,83100,84100,353289
20180905,85900,85900,83600,85200,508692
20180904,84500,87500,84500,86000,483222
20180903,88700,89900,83600,84200,564282
20180831,87200,88300,84500,88000,347688
20180830,87900,89200,87200,87700,276873
20180829,88100,90600,87200,88800,403550
20180828,89300,91900,86800,87200,577387
20180827,83500,88800,83400,88200,745167
20180824,83100,84100,81600,83000,442304
20180823,83800,84000,80600,83500,467813
20180822,82100,85400,81700,82700,1010380
20180821,75000,82400,74700,81400,1372068
20180820,75000,76600,73400,74000,518763
20180817,78000,78100,73300,74000,777709
20180816,71300,77500,70400,77300,870841
20180814,77300,78000,69600,73000,2077358
20180813,74600,78300,73800,77100,739260
20180810,79900,80600,75000,75800,724901
20180809,79100,82000,78600,80300,399504
20180808,84000,84700,79400,79400,563650
20180807,81200,83500,78900,82900,773286
20180806,89000,89300,81100,81800,966714
20180803,89800,90700,88500,88800,296374
20180802,90200,93100,88500,88500,551192
20180801,90400,91400,88400,90300,462642
20180731,91000,94400,88100,89100,743555
20180730,100000,100500,90500,91500,932864
20180727,103500,104000,100000,101000,265309
20180726,102500,104000,99900,102500,353626
20180725,103000,105500,98700,100500,392058
20180724,97800,104500,97500,102000,438239
20180723,100500,101000,97800,97900,290594
20180720,102500,104500,98700,101000,326402
20180719,104000,104500,99400,103000,291485
20180718,107000,108000,100500,103000,276750
20180717,105500,106500,103000,104500,169408
20180716,109000,109500,102000,105000,344902
20180713,106500,109500,105500,107500,291591
20180712,105000,107000,101500,105500,310386
20180711,101000,108500,101000,104500,554174
20180710,101500,104000,99400,103000,475969
20180709,95000,101500,94100,100000,1016747
20180706,91200,94000,88500,92300,424356
20180705,88500,91600,87900,90300,393235
20180704,93900,96200,89800,90300,489737
20180703,92500,96800,91900,95000,861391
20180702,88400,91200,88300,89900,397005
20180629,89000,90100,85500,87600,226351
20180628,88500,90600,87000,88200,249236
20180627,88800,93400,87500,87600,540777
20180626,87000,89300,85200,88800,393471
20180625,90400,91500,88600,89000,241445
20180622,92900,93400,87800,91000,537335
20180621,97500,97700,90900,93500,564394
20180620,87800,94400,86600,94000,830812
20180619,88500,90900,84500,85900,402404
20180618,92100,93600,83600,87200,573892
20180615,92900,93600,89100,92500,479532
20180614,86000,94300,85100,93500,701674
20180612,83200,86100,82100,85900,379631
20180611,85400,85600,82300,83200,301605
20180608,82400,85100,81500,84700,398416
20180607,75900,87400,75900,82900,1203281
20180605,75300,76000,73600,75000,187788
20180604,75800,75800,73500,74700,272039
20180601,71300,76300,70600,75300,719574
20180531,73000,73100,70700,71300,396131
20180530,71500,72900,70600,72700,167660
20180529,73800,74400,71600,72000,215199
20180528,71200,73800,70500,73100,294869
20180525,70100,72600,69700,71600,277828
20180524,72000,72700,69600,70600,365114
20180523,74800,75700,71500,71600,509832
20180521,75800,76600,73400,75000,438345
20180518,71200,75300,71000,74700,980242
20180517,75500,75500,69800,70200,1156920
20180516,74000,75100,69900,72800,841811
20180515,73700,74200,70900,74000,373104
20180514,70700,74500,68400,73000,667357
20180511,70100,72500,68800,70300,510786
20180510,69900,70700,67400,69100,491817
20180509,71400,72800,67500,70900,723091
20180508,70000,74400,69500,72200,637193
20180504,66300,69700,64500,68800,514839
20180503,65300,68400,63800,65800,596672
20180502,63800,66000,62700,63500,432120
20180430,67000,68000,63000,64900,529067
20180427,63600,67300,62800,66500,547100
20180426,60800,64800,60100,62000,559461
20180425,59000,63200,58200,61000,824632
20180424,69700,69700,59600,60300,1399116
20180423,63000,69400,62500,69400,872548
20180420,63400,66800,61100,62200,1032771
20180419,61200,62100,59700,60300,400631
20180418,59600,61900,58300,61000,521084
20180417,57900,63000,57800,58700,1131547
20180416,51800,58900,51500,57400,936743
20180413,52000,53400,49900,51200,824210
20180412,47250,51900,46850,51300,1217213
20180411,45900,47700,45550,46800,755424
20180410,43200,45350,42500,44900,347114
20180409,41900,43250,41450,43050,200778
20180406,42000,43200,41500,42450,237202
20180405,41050,42000,40600,41800,302973
