,open,high,low,close,volume
20181109,6240,6250,6070,6230,49784
20181108,6150,6220,6150,6190,42109
20181107,6080,6160,6050,6110,82730
20181106,5890,6120,5850,6070,77656
20181105,5850,6000,5800,5870,78748
20181102,5730,5880,5690,5850,80852
20181101,5320,5830,5320,5710,221073
20181031,5020,5430,5000,5320,99581
20181030,4755,5090,4750,5060,194250
20181029,5470,5510,5100,5100,118407
20181026,5760,5780,5440,5510,97215
20181025,5850,6020,5660,5720,221024
20181024,6580,6580,6060,6100,119505
20181023,6660,6700,6410,6410,92284
20181022,6800,6860,6660,6670,57646
20181019,6930,6930,6710,6790,46592
20181018,6980,7040,6900,6940,287101
20181017,7070,7070,6920,6950,24169
20181016,6830,6930,6830,6900,26791
20181015,7030,7030,6900,6930,26543
20181012,6640,6990,6640,6950,47868
20181011,6890,7140,6700,6710,97022
20181010,7830,7830,7250,7270,56136
20181008,7900,7970,7710,7710,22172
20181005,7740,7940,7630,7910,47255
20181004,7700,7810,7600,7740,26747
20181002,7670,7740,7590,7650,47439
20181001,7700,7730,7610,7670,21727
20180928,7800,7890,7680,7680,24743
20180927,7840,7850,7760,7800,9028
20180921,7850,7850,7690,7760,36803
20180920,8150,8150,7760,7760,75867
20180919,8080,8160,7890,8000,69987
20180918,8130,8190,8080,8080,28444
20180917,8490,8490,8190,8190,48066
20180914,8560,8650,8420,8480,37591
20180913,8680,8720,8520,8530,38441
20180912,8430,8750,8300,8680,109037
20180911,8500,8630,8330,8430,71355
20180910,8290,8430,8200,8430,68067
20180907,8410,8410,8140,8280,71326
20180906,8450,8710,8200,8380,243949
20180905,8250,8450,8170,8430,117700
20180904,8150,8260,8050,8240,64336
20180903,8100,8160,8010,8140,41732
20180831,8240,8240,8090,8090,24665
20180830,8160,8300,8120,8170,40726
20180829,8100,8220,8050,8220,48159
20180828,8170,8370,8090,8090,68834
20180827,8430,8430,8140,8170,169482
20180824,8750,8850,8580,8680,94326
20180823,8800,9050,8620,8760,636469
20180822,8650,8790,8510,8770,134434
20180821,8600,8700,8470,8660,100035
20180820,8630,8630,8430,8590,68554
20180817,8770,8770,8520,8630,162595
20180816,8680,9020,8500,8800,652814
20180814,8300,8610,8260,8600,210955
20180813,8350,8350,8130,8300,102872
20180810,8430,8450,8320,8350,83296
20180809,8150,8500,8140,8440,138571
20180808,8210,8330,8100,8220,66922
20180807,8400,8400,8170,8320,64805
20180806,8280,8360,8000,8360,116054
20180803,8290,8440,8230,8270,111046
20180802,8240,8380,8230,8330,571738
20180801,7760,8220,7700,8200,226450
20180731,7480,7770,7390,7770,58328
20180730,7590,7590,7370,7550,30140
20180727,7470,7570,7260,7560,52092
20180726,7300,7460,7200,7430,72755
20180725,7390,7430,7150,7330,58870
20180724,7290,7530,7250,7330,39728
20180723,7900,7900,7350,7350,77937
20180720,7710,7830,7620,7770,77964
20180719,7620,7880,7510,7620,112448
20180718,7690,7710,7400,7550,66805
20180717,7560,7740,7480,7700,41048
20180716,7780,7820,7510,7560,101210
20180713,7950,8120,7750,7770,142218
20180712,8020,8180,7900,7990,388148
20180711,7490,8040,7300,7960,146670
20180710,7000,7460,7000,7430,80045
20180709,7000,7000,6710,6970,65613
20180706,6730,7000,6600,6980,62656
20180705,6850,6950,6670,6680,47854
20180704,6910,7000,6750,6850,33946
20180703,6850,7360,6800,7000,61199
20180702,7340,7340,6840,6850,88879
20180629,7380,7500,7230,7280,64176
20180628,7600,7980,7340,7460,81691
20180627,7780,7830,7540,7570,96693
20180626,8000,8050,7650,7780,91208
20180625,8020,8230,8000,8050,119913
20180622,8230,8450,7900,8050,228586
20180621,8700,8720,8230,8430,215623
20180620,8520,8660,8500,8590,141405
20180619,9150,9210,8510,8540,558029
20180618,8460,8780,8330,8490,253976
20180615,8850,8880,8200,8570,636994
20180614,8840,10200,8790,8790,3331640
20180612,8340,8690,8340,8610,194203
20180611,8310,8470,8310,8450,89807
20180608,8210,8440,8170,8390,291168
20180607,8000,8140,7870,8130,134140
20180605,7990,7990,7770,7970,49668
20180604,7930,8000,7800,7950,46939
20180601,7990,8000,7840,7930,46877
20180531,7760,7980,7750,7980,87250
20180530,7670,7750,7500,7710,37911
20180529,7760,7760,7490,7680,62609
20180528,7330,7770,7330,7770,91824
20180525,7380,7450,7080,7200,178750
20180524,7800,7880,7520,7520,74222
20180523,7880,7880,7560,7750,50908
20180521,7970,8030,7800,7880,44695
20180518,8000,8060,7860,7970,65395
20180517,7670,8190,7660,8000,230760
20180516,7890,7950,7610,7670,97880
20180515,8340,8390,8020,8060,187099
20180514,7460,8200,7460,8180,400233
20180511,7520,7570,7360,7450,47475
20180510,7470,7530,7410,7520,19949
20180509,7590,7670,7360,7470,19581
20180508,7670,7690,7450,7520,37219
20180504,7580,7730,7500,7670,41676
20180503,7710,7830,7530,7550,42775
20180502,7830,7970,7640,7850,81704
20180430,7540,7850,7420,7760,108490
20180427,7490,7550,7300,7540,74461
20180426,7410,7480,7300,7440,44803
20180425,7600,7780,7390,7440,92236
20180424,7770,7810,7550,7630,125073
20180423,7300,7720,7270,7700,348558
20180420,7350,7350,7140,7270,83333
20180419,6960,7240,6900,7210,157719
20180418,6990,7060,6900,6940,48920
20180417,7060,7060,6850,6950,57158
20180416,7100,7110,6960,7000,31335
20180413,7110,7130,7040,7100,48687
20180412,6930,7090,6890,7070,69789
20180411,6950,6950,6830,6900,40404
20180410,6640,6900,6510,6900,128968
20180409,6740,6740,6500,6600,80811
20180406,6690,6780,6610,6710,28719
20180405,6760,6820,6580,6690,245196
20180404,6940,6940,6760,6760,55685
20180403,6960,6990,6840,6940,24732
20180402,6880,7070,6880,6990,23198
20180330,6880,6970,6840,6960,25527
20180329,6880,6880,6800,6840,24204
20180328,6830,6840,6770,6840,15216
20180327,6870,6950,6790,6870,35413
20180326,6900,6900,6740,6850,41079
