,open,high,low,close,volume
20181109,5240,5240,5150,5160,8700
20181108,5200,5270,5150,5220,6882
20181107,5180,5340,5050,5170,17568
20181106,5290,5350,5100,5220,8116
20181105,5230,5240,5100,5240,7268
20181102,4905,5250,4905,5230,19825
20181101,4870,5070,4860,4925,22969
20181031,4770,4930,4760,4860,12857
20181030,4405,4830,4405,4810,48688
20181029,4915,5090,4500,4600,61195
20181026,5320,5440,5020,5030,41448
20181025,5380,5520,5270,5310,37729
20181024,5790,5790,5500,5570,12723
20181023,5990,5990,5600,5600,42322
20181022,5850,5990,5780,5800,23016
20181019,5820,5930,5720,5840,14965
20181018,5900,5980,5800,5830,17665
20181017,5750,5950,5750,5870,26194
20181016,5760,5760,5590,5700,21438
20181015,5690,5810,5550,5620,23575
20181012,5450,5830,5450,5690,38804
20181011,5860,5930,5670,5670,65784
20181010,6370,6420,6030,6030,91464
20181008,6370,6580,6370,6430,23457
20181005,6580,6650,6450,6500,43646
20181004,6700,6830,6610,6630,75610
20181002,6680,6770,6660,6680,32194
20181001,6710,6800,6680,6720,38502
20180928,6800,6800,6670,6710,63522
20180927,6870,6970,6770,6800,52727
20180921,7050,7110,6820,6850,98988
20180920,7160,7200,6850,7000,100413
20180919,7200,7740,6910,7050,436952
20180918,7210,7330,7120,7120,95140
20180917,7200,7780,7100,7300,631507
20180914,7050,7370,7020,7100,210932
20180913,7010,7150,7000,7050,53033
20180912,6970,7150,6970,7080,85211
20180911,7250,7280,7070,7070,160016
20180910,7130,7180,6950,7180,234365
20180907,7300,7390,6970,7000,553398
20180906,6660,8250,6660,7400,2471618
20180905,6580,6580,6430,6490,13690
20180904,6430,6680,6410,6510,26469
20180903,6500,6570,6410,6480,25010
20180831,6530,6530,6460,6530,19843
20180830,6440,6550,6440,6530,19776
20180829,6450,6520,6430,6460,9535
20180828,6430,6540,6420,6450,13553
20180827,6600,6600,6390,6430,67915
20180824,6690,6750,6640,6690,18294
20180823,6740,6800,6620,6690,30821
20180822,6790,6790,6670,6740,19573
20180821,6720,6800,6660,6710,15593
20180820,6660,6750,6650,6750,7953
20180817,6660,6780,6620,6700,13066
20180816,6500,6650,6500,6650,27475
20180814,6520,6670,6520,6610,19243
20180813,6840,6930,6610,6610,25461
20180810,6930,7170,6850,6850,34678
20180809,6920,6940,6850,6910,2726
20180808,6750,6930,6750,6900,23802
20180807,6840,6930,6770,6810,6053
20180806,6870,6950,6750,6840,25795
20180803,6800,6970,6730,6840,33722
20180802,6750,6860,6670,6770,8176
20180801,6670,6840,6640,6770,20206
20180731,6810,6850,6540,6640,15626
20180730,6650,6850,6650,6800,8885
20180727,6700,6830,6630,6750,16514
20180726,6520,6930,6520,6700,37641
20180725,6650,6700,6500,6630,12779
20180724,6370,6770,6350,6650,31952
20180723,6420,6500,6360,6360,28957
20180720,6440,6570,6440,6500,13107
20180719,6600,6680,6330,6500,53907
20180718,6640,6740,6560,6660,28111
20180717,6750,6890,6660,6670,22789
20180716,6860,6860,6750,6780,24333
20180713,6800,6940,6710,6850,38529
20180712,6640,6950,6620,6810,41544
20180711,6570,6750,6560,6690,33970
20180710,6470,6730,6470,6660,36120
20180709,6620,6640,6460,6500,74970
20180706,6600,6800,6600,6720,98916
20180705,7110,7160,6650,6670,143947
20180704,7100,7250,7050,7190,68295
20180703,7150,7320,6920,7210,111916
20180702,7620,7620,7030,7210,77581
20180629,7010,7520,7010,7520,67413
20180628,6980,7260,6940,6950,83212
20180627,7790,7850,7020,7080,169249
20180626,7840,8070,7780,7830,69312
20180625,7610,8160,7610,8040,81039
20180622,8140,8150,7700,7750,100855
20180621,8580,8830,8000,8050,331077
20180620,8130,8380,7990,8250,134672
20180619,8350,8500,7990,8130,203186
20180618,7750,9200,7750,8420,1121185
20180615,7540,7910,7520,7730,140427
20180614,8070,8070,7630,7640,75078
20180612,8110,8650,7930,8090,193556
20180611,8110,8260,7940,8100,46899
20180608,8150,8230,7910,8110,55715
20180607,8220,8400,8060,8120,63074
20180605,8030,8350,7870,8310,101951
20180604,8550,8660,8120,8180,158565
20180601,9530,9690,8050,8390,423181
20180531,8790,9350,8510,9140,678790
20180530,8800,9090,8510,8790,688179
20180529,8320,8600,8040,8600,499664
20180528,7650,8600,7610,8400,826638
20180525,7150,7410,7130,7220,229868
20180524,7930,8080,7720,7870,137556
20180523,7790,7900,7650,7900,86138
20180521,7780,8190,7720,7860,180240
20180518,7730,7850,7670,7780,93156
20180517,7830,8000,7690,7780,161723
20180516,8000,8200,7520,7730,237186
20180515,8800,9060,8580,8600,276335
20180514,8600,8870,8490,8760,252444
20180511,8310,8620,8150,8520,223723
