,open,high,low,close,volume
20181109,2100,2105,2040,2090,184918
20181108,2080,2110,2070,2100,144541
20181107,2095,2155,2035,2050,248016
20181106,2065,2140,2060,2095,166106
20181105,2070,2095,2040,2060,149952
20181102,2030,2085,2020,2085,227496
20181101,1975,2050,1975,2015,170048
20181031,1900,2000,1890,1965,314180
20181030,1800,1930,1800,1910,508298
20181029,2000,2040,1810,1910,599930
20181026,2110,2125,1980,2010,601326
20181025,2170,2200,2060,2085,1008496
20181024,2330,2350,2220,2270,353011
20181023,2445,2450,2270,2320,298120
20181022,2420,2440,2390,2420,87913
20181019,2440,2440,2395,2420,80200
20181018,2435,2475,2430,2450,75867
20181017,2380,2455,2380,2435,105124
20181016,2380,2530,2335,2365,170941
20181015,2360,2365,2310,2335,120440
20181012,2260,2400,2260,2355,188490
20181011,2350,2445,2320,2340,337293
20181010,2540,2555,2415,2470,441990
20181008,2510,2600,2510,2555,106550
20181005,2600,2625,2550,2555,347249
20181004,2680,2715,2620,2640,155838
20181002,2680,2715,2645,2680,211617
20181001,2735,2745,2650,2665,219288
20180928,2770,2805,2720,2730,136871
20180927,2795,2820,2750,2770,128361
20180921,2765,2830,2755,2790,198926
20180920,2860,2860,2730,2750,326241
20180919,2910,2950,2795,2810,553167
20180918,2940,2950,2890,2900,314678
20180917,3020,3030,2915,2930,560228
20180914,2940,3020,2900,3000,747588
20180913,2965,2980,2920,2940,392189
20180912,2975,3075,2950,2965,1036224
20180911,2875,3030,2840,2975,1075167
20180910,2830,2890,2810,2860,338322
20180907,2860,2870,2760,2825,743512
20180906,2665,2985,2665,2840,3062416
20180905,2670,2680,2640,2650,79001
20180904,2640,2770,2630,2670,123734
20180903,2655,2670,2630,2655,42207
20180831,2625,2655,2610,2655,60474
20180830,2615,2640,2610,2620,56281
20180829,2640,2650,2610,2625,86319
20180828,2635,2660,2630,2645,97291
20180827,2680,2685,2640,2645,122360
20180824,2720,2720,2685,2705,203393
20180823,2730,2745,2715,2715,80899
20180822,2755,2755,2700,2745,139121
20180821,2720,2765,2710,2755,58207
20180820,2720,2750,2705,2720,77904
20180817,2740,2750,2695,2735,54621
20180816,2725,2740,2650,2740,153258
20180814,2710,2770,2705,2740,82652
20180813,2815,2815,2710,2710,247332
20180810,2870,2870,2800,2820,156418
20180809,2810,2825,2785,2800,123385
20180808,2695,2820,2690,2815,381652
20180807,2715,2730,2690,2705,126059
20180806,2700,2750,2675,2715,133956
20180803,2670,2725,2650,2715,137462
20180802,2665,2685,2640,2660,84172
20180801,2635,2665,2635,2665,90294
20180731,2670,2680,2615,2630,105627
20180730,2635,2670,2590,2670,117520
20180727,2595,2640,2590,2635,152145
20180726,2565,2610,2565,2605,142416
20180725,2640,2640,2555,2555,177885
20180724,2495,2650,2495,2610,287501
20180723,2595,2595,2510,2520,167925
20180720,2550,2570,2530,2550,145359
20180719,2550,2575,2535,2545,118913
20180718,2610,2635,2550,2550,139449
20180717,2645,2650,2605,2605,75702
20180716,2610,2655,2590,2635,116160
20180713,2600,2620,2580,2595,136812
20180712,2600,2605,2565,2590,80744
20180711,2560,2600,2550,2590,149780
20180710,2555,2590,2555,2580,164911
20180709,2575,2600,2535,2545,396561
20180706,2650,2670,2570,2630,245732
20180705,2835,2840,2640,2650,619531
20180704,2820,2870,2805,2830,224002
20180703,2820,2900,2765,2855,390830
20180702,2965,2965,2825,2825,438953
20180629,2920,2970,2875,2960,336553
20180628,2870,2975,2870,2885,239295
20180627,2985,3015,2895,2900,394001
20180626,3050,3070,2970,2970,344912
20180625,2910,3080,2880,3075,444495
20180622,2965,2975,2880,2905,469032
20180621,3150,3225,2935,2970,894303
20180620,2980,3070,2960,3030,510577
20180619,3205,3270,2970,2980,962589
20180618,3160,3240,3125,3190,931870
20180615,3010,3225,3010,3190,901885
20180614,3230,3235,3015,3015,1032427
20180612,3135,3305,3115,3230,3465329
20180611,3100,3135,3065,3100,249640
20180608,3150,3160,3055,3095,354340
20180607,3120,3265,3070,3080,1357022
20180605,2965,3085,2910,3045,575595
20180604,3040,3070,2965,2970,642739
20180601,3125,3155,2990,2995,685958
20180531,2990,3115,2925,3090,618715
20180530,2950,2990,2915,2970,499500
20180529,3010,3015,2885,2920,457792
20180528,2900,3055,2895,3010,1024681
20180525,2840,2865,2760,2775,963544
20180524,2980,3005,2910,2960,232111
20180523,2960,2990,2940,2960,224846
20180521,2995,3000,2945,2970,272066
20180518,2990,3010,2945,2990,267193
20180517,2975,3015,2935,3005,629619
20180516,3100,3200,2915,2915,1741253
20180515,3315,3350,3250,3300,831173
20180514,3300,3350,3240,3295,686903
20180511,3300,3365,3260,3300,572649
20180510,3150,3430,3110,3310,1706955
20180509,3250,3285,3105,3115,914079
20180508,3260,3350,3165,3240,1366242
20180504,3710,3790,3240,3260,7526010
20180503,3120,3125,3030,3090,323844
20180502,3090,3160,3040,3120,816054
20180430,2945,3180,2940,3050,996381
20180427,2925,2960,2905,2935,168943
20180426,2910,2965,2885,2925,245902
20180425,2890,2940,2865,2915,232264
20180424,2925,2965,2850,2905,413291
20180423,2840,2850,2795,2840,197244
20180420,2855,2875,2810,2820,67258
20180419,2740,2850,2725,2850,310287
20180418,2765,2765,2725,2740,59476
20180417,2755,2755,2730,2740,83885
20180416,2765,2770,2725,2730,182351
20180413,2755,2775,2745,2765,170302
20180412,2750,2770,2730,2755,79717
20180411,2750,2770,2720,2745,168717
20180410,2765,2770,2735,2750,114996
20180409,2750,2785,2745,2765,86252
20180406,2805,2830,2760,2790,108638
20180405,2760,2800,2725,2790,140353
20180404,2725,2765,2720,2735,117317
20180403,2700,2740,2700,2715,165881
20180402,2760,2780,2725,2755,84709
20180330,2710,2770,2695,2760,133378
20180329,2655,2700,2645,2675,121406
20180328,2695,2695,2645,2645,133705
20180327,2705,2725,2690,2705,87777
20180326,2675,2710,2650,2705,157199
20180323,2680,2735,2665,2670,287747
20180322,2780,2815,2705,2755,138111
20180321,2810,2850,2780,2780,214982
20180320,2840,2865,2810,2825,138952
20180319,2865,2870,2830,2830,134060
