,open,high,low,close,volume
20181109,75200,76300,75200,76300,17
20181108,76200,76900,74300,76300,484
20181107,75600,77000,74700,76500,294
20181106,75000,77200,75000,75600,33
20181105,76500,76500,74300,76200,299
20181102,77200,77200,75400,76500,163
20181101,76400,77800,76400,76900,59
20181031,76000,76700,75000,76400,142
20181030,77000,78600,74000,77100,327
20181029,77300,79100,75500,77500,223
20181026,79800,79800,75100,78100,532
20181025,75100,78500,75000,78300,379
20181024,76300,77800,74700,76600,120
20181023,78800,78800,76100,76300,380
20181022,79600,80100,76400,78000,867
20181019,79200,79200,76000,78700,264
20181018,77300,78500,76900,77300,419
20181017,78500,79700,77500,77700,367
20181016,79500,79700,77800,78500,1073
20181015,78300,80600,78000,79500,341
20181012,77500,80000,77500,80000,319
20181011,81000,81000,76500,80000,886
20181010,83000,83000,81800,82100,381
20181008,82000,83400,81800,82700,81
20181005,83400,83400,82000,82000,226
20181004,82500,84300,81900,83500,289
20181002,87000,87000,82600,83100,2644
20181001,83000,83200,82000,82700,384
20180928,82600,83200,82200,83000,209
20180927,83300,83300,82100,82600,172
20180921,83400,83400,81400,82800,350
20180920,83900,84500,81600,82900,663
20180919,86000,86400,83200,84600,567
20180918,86100,87000,84500,85000,374
20180917,85800,87100,84600,86100,671
20180914,85100,88200,83800,86700,2194
20180913,84100,85700,83600,84700,833
20180912,84200,84600,82300,84100,1093
20180911,83400,85000,83200,84000,525
20180910,84000,84800,82400,83800,625
20180907,81200,89200,80700,84000,3907
20180906,81500,81500,80300,81200,325
20180905,80600,82000,80500,80800,629
20180904,82400,83100,80500,81300,359
20180903,81100,82700,80700,81900,322
20180831,82800,82800,80500,81900,198
20180830,81300,82000,80100,81900,537
20180829,81900,83100,81000,81200,206
20180828,83000,83300,80900,81900,527
20180827,82500,84800,81700,81700,417
20180824,82700,83900,81000,83700,898
20180823,84400,84400,82200,83500,269
20180822,82500,84600,82500,83800,164
20180821,83800,84400,81800,84100,158
20180820,81300,84000,80800,83700,322
20180817,83500,83500,78000,82200,1472
20180816,80200,83500,80200,82900,290
20180814,84500,84500,82700,82900,153
20180813,85800,85800,83100,83700,435
20180810,87000,87000,84100,84600,136
20180809,83300,85500,83100,85100,707
20180808,83600,84900,83100,84200,186
20180807,82800,86000,81900,83900,491
20180806,83200,84300,81000,82700,493
20180803,82800,83900,82800,83200,235
20180802,83100,84400,82900,83500,542
20180801,84000,85000,82700,84600,1067
20180731,85200,85800,83500,85500,221
20180730,84200,86800,84200,85200,100
20180727,85100,86100,83300,85900,182
20180726,83000,84700,82700,84100,201
20180725,82500,83900,82400,83900,278
20180724,83900,84000,82000,84000,141
20180723,82100,85200,82100,83900,330
20180720,83400,85700,83000,83200,278
20180719,88200,88200,83600,83700,594
20180718,90000,90000,84600,88300,846
20180717,87800,89500,86600,89400,460
20180716,89000,89000,84900,87600,357
20180713,83000,88000,82200,84900,475
20180712,82400,85400,82000,83100,322
20180711,84200,85500,82300,82900,424
20180710,81500,86500,81500,83500,644
20180709,81800,83200,80900,82000,711
20180706,82300,82300,80700,81900,111
20180705,80500,81700,80500,81600,157
20180704,80700,82100,80300,81400,145
20180703,81600,82300,80300,82100,1049
20180702,83000,84400,81600,81600,468
20180629,85000,85000,81500,83300,415
20180628,85000,85000,83200,83300,339
20180627,86300,86300,83800,85000,178
20180626,83800,85700,83100,85000,303
20180625,82700,84400,82700,83800,350
20180622,83300,85600,82100,83100,485
20180621,82800,84500,82000,83600,698
20180620,86400,86400,82500,83300,865
20180619,86100,86100,83400,83500,715
20180618,86600,87000,85100,85100,598
20180615,86000,87000,85500,86600,351
20180614,87500,88700,85300,86500,543
20180612,88700,89800,87300,88200,768
20180611,89400,90200,87400,88700,469
20180608,90500,90500,86400,89400,1846
20180607,88500,90200,87300,88000,935
20180605,91000,91600,87300,88500,898
20180604,89500,91400,88000,90100,1185
20180601,91000,91400,87200,90200,903
20180531,90300,91800,87800,90800,932
20180530,90500,90500,86500,90300,1794
20180529,90900,91000,86100,89600,1415
