,open,high,low,close,volume
20181109,15950,16400,15800,16150,49934
20181108,15850,16250,15750,16100,105330
20181107,15600,16200,15400,15550,103211
20181106,15300,15950,15300,15600,94792
20181105,16200,16350,15150,15250,195198
20181102,16000,16550,15900,16200,91045
20181101,16100,16300,16000,16100,57004
20181031,16000,16200,15750,16200,64511
20181030,16100,16450,15750,16000,74657
20181029,16700,17250,16150,16200,76011
20181026,17150,17250,16800,17150,49834
20181025,16700,17350,16700,17300,83129
20181024,17150,17200,16750,17200,35462
20181023,17300,17400,16800,16950,43879
20181022,17850,17850,17200,17300,34278
20181019,17800,17900,17100,17900,125907
20181018,17350,17900,17300,17800,58668
20181017,17600,17700,17200,17500,19950
20181016,17300,17600,17000,17450,33902
20181015,16800,17250,16800,17200,29323
20181012,17000,17100,16650,17000,62411
20181011,18000,18200,16700,17000,154718
20181010,18500,18800,18200,18200,48524
20181008,18750,18950,18650,18650,18194
20181005,19000,19100,18500,18950,41812
20181004,19300,19350,18700,18900,60937
20181002,19600,19750,19100,19300,56215
20181001,19500,19750,19250,19750,43924
20180928,19550,19650,19300,19500,27741
20180927,19150,19600,19150,19500,44165
20180921,19650,19850,19100,19100,86377
20180920,19650,19650,19450,19450,41730
20180919,20000,20100,19450,19550,77204
20180918,20100,20300,19850,20050,47540
20180917,20450,20550,20100,20150,21839
20180914,20250,20550,20100,20450,48556
20180913,20050,20250,19750,20200,50081
20180912,19900,20150,19700,20000,46531
20180911,20200,20300,19850,19900,70385
20180910,20050,20300,20050,20200,30008
20180907,20200,20250,20000,20150,44956
20180906,20200,20550,20000,20050,68168
20180905,20150,20400,20050,20350,36309
20180904,20650,20650,20050,20150,84866
20180903,20700,20750,20350,20550,31502
20180831,20600,20750,20400,20750,51167
20180830,20400,21200,20250,20600,94527
20180829,20150,21000,20150,20400,67977
20180828,20050,20300,19950,20250,39817
20180827,19950,20200,19950,20050,27035
20180824,20100,20200,19950,20050,48897
20180823,20250,20450,20050,20100,38942
20180822,20500,20600,20300,20300,29986
20180821,20500,21000,20400,20500,58289
20180820,20300,20750,20300,20650,29143
20180817,20300,20550,20200,20350,21608
20180816,20250,20700,20000,20300,51221
20180814,20550,20650,20300,20550,24861
20180813,20350,20650,20200,20550,40319
20180810,20600,20700,20250,20300,53742
20180809,20550,21100,20300,20550,55156
20180808,20750,21150,20550,20550,43390
20180807,21150,21350,20950,21000,31702
20180806,20650,21350,20600,21150,31989
20180803,20500,20900,20400,20550,36388
20180802,20950,21200,20400,20450,54296
20180801,21600,21600,21050,21050,31907
20180731,21150,21450,20900,21450,18655
20180730,20700,21150,20700,21150,18267
20180727,21300,21300,20700,20950,16232
20180726,21050,21500,20800,21050,24193
20180725,20800,21400,20800,21000,66571
20180724,20550,21100,20550,20800,26531
20180723,20050,21600,20050,20350,82535
20180720,20600,20800,20050,20050,41114
20180719,20550,20950,20550,20600,19837
20180718,20550,20900,20450,20750,28531
20180717,20550,20800,20400,20750,32330
20180716,20300,20700,20250,20700,42934
20180713,20400,20650,20250,20450,38348
