,open,high,low,close,volume
20181109,20100,20500,19950,20200,7921
20181108,20150,20550,20100,20200,9577
20181107,20450,20500,19950,20150,6117
20181106,20750,20750,20250,20450,5333
20181105,21400,21400,20250,20350,11334
20181102,20200,21350,20200,21150,5677
20181101,20150,21250,20150,20350,20074
20181031,20350,20950,19950,20350,10971
20181030,20150,20500,19750,20350,17290
20181029,20350,20650,20000,20150,10406
20181026,21150,21500,19900,20350,13512
20181025,21250,21250,20900,21250,4421
20181024,22200,22200,21650,21700,3451
20181023,23050,23050,21900,22200,5217
20181022,22750,23150,22750,23050,1030
20181019,23100,23600,22400,22850,4557
20181018,23400,23400,22700,22950,1552
20181017,23500,23750,22950,23150,5349
20181016,23350,23350,22800,23200,5130
20181015,22700,23250,22400,22800,2696
20181012,21300,22500,21300,22400,7742
20181011,22000,22000,21050,21850,16369
20181010,23800,23800,22000,22500,29509
20181008,23650,24250,23650,23800,21421
20181005,23700,24250,23550,23800,14860
20181004,24300,24400,23750,23850,29135
20181002,24800,24800,24200,24400,21571
20181001,25100,25550,23900,24400,38105
20180928,25800,25800,24950,25250,8324
20180927,24500,26100,24500,25500,9520
20180921,24400,25100,24400,24750,6597
20180920,24750,26300,24150,24650,10179
20180919,27000,27100,24850,25150,15899
20180918,26200,27450,26000,26350,20894
20180917,28400,28550,25600,25900,41786
20180914,28200,29200,28200,28400,15550
20180913,27450,29250,27300,28100,45493
20180912,27700,27750,27150,27450,6642
20180911,26900,27600,26650,27050,6573
20180910,26900,27500,26750,27050,11563
20180907,27500,27500,26300,26800,10626
20180906,25800,27500,25750,27250,39477
20180905,26150,26500,25750,25950,40132
20180904,25650,26150,25000,26000,19248
20180903,24950,26250,24800,25350,20506
20180831,24050,24850,23800,24750,8941
20180830,24200,24200,23800,23800,3931
20180829,24000,24100,23550,24050,6651
20180828,23650,24100,23200,23800,5516
20180827,23100,23600,23000,23450,7129
20180824,22950,23300,22750,23100,2900
20180823,24400,24400,22400,22900,25231
20180822,23900,24100,23500,23500,8145
20180821,23850,24250,23800,24200,7726
20180820,24700,25000,23900,24250,4256
20180817,25200,25250,24000,24600,10702
20180816,24900,25200,23000,24700,31228
20180814,23000,24350,22950,24000,14436
20180813,24100,24100,23000,23400,5402
20180810,24300,24350,23750,23850,5985
20180809,23650,24250,23650,24200,7783
20180808,23200,23950,23200,23750,15658
20180807,23000,23050,22400,22600,2913
20180806,23150,23350,22350,23000,2894
20180803,22000,23050,21950,22850,12428
20180802,21050,22450,21050,21800,13075
20180801,21000,21150,20400,21050,6465
20180731,20750,20900,20500,20850,2128
20180730,20950,20950,20500,20750,1591
