,open,high,low,close,volume
20181109,56200,56800,56200,56800,763
20181108,56300,56600,56200,56200,825
20181107,56600,56800,55600,55800,3276
20181106,56500,57700,55700,56600,16600
20181105,56700,57200,56300,57200,2626
20181102,56400,57300,56400,57200,877
20181101,57100,57200,56100,56400,4833
20181031,55300,56800,55000,56800,9131
20181030,54800,55900,54800,55700,6893
20181029,55800,56500,55700,56000,3170
20181026,56000,57000,55800,56700,2995
20181025,57300,57300,55900,55900,1032
20181024,57100,57600,57100,57500,622
20181023,57200,58000,57000,57700,2245
20181022,57600,58000,57600,57800,2096
20181019,56700,57700,56600,57600,1332
20181018,55700,56700,55500,56700,8444
20181017,56800,57300,55100,55100,2567
20181016,55800,56900,54800,55500,2886
20181015,56000,56400,55300,55800,698
20181012,55800,57000,55600,56000,12182
20181011,57100,57400,55600,56000,7297
20181010,58600,58600,57400,57400,1305
20181008,58400,58700,58100,58600,580
20181005,58000,58700,57300,58500,1187
20181004,58800,59400,57800,58000,1358
20181002,58500,58600,57900,58300,332
20181001,58800,58800,58000,58500,1196
20180928,58800,58800,57700,58300,908
20180927,57100,58400,57100,58400,1061
20180921,58000,58300,57000,57900,2311
20180920,57800,58600,57500,58000,1823
20180919,58400,58500,58200,58400,953
20180918,58300,58400,58100,58400,523
20180917,58500,58500,58200,58300,1330
20180914,58400,58500,58000,58500,1655
20180913,57900,58400,57900,58400,1909
20180912,58100,58500,58000,58200,4021
20180911,58400,58500,58200,58400,1261
20180910,58800,58800,58300,58500,1714
20180907,57700,58900,57700,58800,599
20180906,59100,59300,58300,58300,1931
20180905,58800,59200,58400,58400,497
20180904,59300,59300,58300,58700,856
20180903,59100,59300,58500,59000,716
20180831,58900,59200,58300,59100,2039
20180830,58200,59300,58000,59100,1696
20180829,58100,58800,57900,58200,456
20180828,58300,58800,58200,58800,812
20180827,57700,58400,57300,58400,1325
20180824,57700,58000,57700,57800,1079
20180823,58200,58300,58000,58300,349
20180822,58100,58600,58100,58300,831
20180821,58600,59000,58000,58600,1557
20180820,59000,59000,58500,58700,1560
20180817,58700,59000,58600,58600,6629
20180816,58600,58600,57700,58200,584
20180814,58400,58700,57700,58100,618
20180813,59000,59200,58200,58400,2025
20180810,58800,59000,58400,59000,3065
20180809,58300,58900,58300,58800,3299
20180808,58400,59000,58400,58500,4705
20180807,58700,58700,58300,58400,553
20180806,58100,59000,58000,58700,1978
20180803,58700,58700,57500,58200,120
20180802,58000,59300,57200,57200,5887
20180801,58500,58500,57800,58000,2853
20180731,57400,58000,57300,57900,1104
20180730,57000,57300,57000,57200,395
20180727,57300,57700,57300,57300,2679
20180726,57100,58000,56900,57700,5713
20180725,57200,57400,56900,56900,2890
20180724,57100,57200,55900,57000,3192
20180723,56700,57100,56600,56700,4712
20180720,56600,57100,56600,56700,981
20180719,56600,57100,56600,56700,3396
20180718,56700,56900,56600,56700,992
20180717,56500,56800,56500,56600,2026
20180716,56400,56800,56400,56500,989
20180713,57400,57400,55900,56400,5698
20180712,56600,57100,56600,57000,1761
20180711,57100,57200,56600,57000,813
20180710,56900,57100,56800,56800,805
20180709,56500,57000,56500,56700,1569
20180706,56400,57500,56100,56500,6260
20180705,56400,57500,56400,56600,1497
20180704,56900,57100,56600,56700,2103
20180703,56300,57000,56300,56500,1732
20180702,56600,57200,56400,56500,2929
20180629,56900,57100,56400,56700,4009
20180628,56800,57200,56700,56700,1594
20180627,57400,57400,56300,57000,3999
20180626,56800,57400,56700,56900,7854
20180625,57400,57800,57300,57800,2001
20180622,57000,57900,56900,56900,3454
20180621,57200,57400,56900,57100,3697
20180620,57100,57200,56200,57200,2202
20180619,58600,58600,56000,56200,18848
20180618,59400,59400,58200,58600,3075
20180615,59000,59400,58100,59400,11033
20180614,58300,59000,57500,59000,16133
20180612,59100,59100,58300,58300,5671
20180611,58100,58700,58100,58600,1784
20180608,58300,58700,58100,58100,4426
20180607,58400,58600,58100,58200,5493
20180605,58000,58400,57900,58400,3420
20180604,57400,58500,57400,57900,2965
20180601,57200,58700,57200,57900,2703
20180531,57900,58700,57100,57100,5712
20180530,58600,58600,57900,57900,4839
20180529,58500,58900,58400,58600,2860
20180528,58400,58900,57900,58500,2965
20180525,57600,58400,57500,58000,7764
20180524,57900,58500,57700,58100,5017
20180523,57700,57900,57200,57700,4892
20180521,57700,57700,57300,57500,4510
20180518,57300,57500,57000,57500,4413
20180517,57000,57500,56700,57100,5106
20180516,57400,57400,55700,56100,9229
20180515,58200,58200,57000,57700,6221
20180514,58700,58700,57500,58300,4647
20180511,56900,58500,56900,58300,6076
20180510,57200,57200,56000,56900,5645
20180509,57200,57200,55900,56500,6931
20180508,57900,58100,56400,56800,3472
20180504,57700,58200,57300,57800,3394
20180503,58000,58100,57400,57700,2546
20180502,58000,58200,57200,58000,5419
20180430,58800,58900,58200,58500,2857
20180427,57800,58600,57500,58400,2205
20180426,58200,59000,57300,57800,5439
20180425,57300,58100,57000,58100,3484
20180424,58000,58000,57100,57600,2781
20180423,57800,58500,57500,57500,1827
20180420,57000,58500,56800,58300,4614
20180419,55800,58600,55400,57400,12066
20180418,56100,56400,55500,55600,8575
20180417,56500,56500,55700,56100,881
20180416,55600,56400,55500,56300,1321
20180413,56800,56800,55300,55300,3526
20180412,56900,57000,56300,56700,3563
20180411,57000,57000,56200,56500,7007
20180410,57500,57500,56700,56800,2704
20180409,57000,57200,56500,57200,2159
20180406,56900,57000,56300,57000,2475
20180405,56600,57000,56400,56900,1857
20180404,56700,57000,56500,56500,2342
20180403,57300,57300,55900,56700,11853
20180402,57300,57300,56800,57300,2518
20180330,56700,57200,56200,57200,6686
20180329,57000,57000,56400,56600,9165
20180328,58700,59400,58400,58500,10647
20180327,59000,59000,58600,58900,5694
20180326,58500,58900,58100,58300,17286
20180323,58600,59200,58300,58500,21578
20180322,58900,59400,58700,58800,5681
20180321,58600,59300,58600,58900,2280
20180320,59400,59900,58200,59000,6584
20180319,59500,60000,59300,59400,3458
20180316,59200,59900,59000,59900,4848
20180315,58500,59300,58500,59200,1566
20180314,59300,59300,58400,58900,4070
20180313,59800,59800,58700,59300,5809
20180312,59300,59800,58500,59800,15132
20180309,57600,59000,57500,58900,4271
20180308,58200,58400,56600,57200,15957
20180307,58500,58600,58100,58200,1699
20180306,59000,59700,58300,58500,10007
20180305,60000,60000,58700,59200,2899
20180302,59700,60000,58800,59800,13387
20180228,59300,59600,58900,59500,3257
20180227,58700,59600,58700,59200,1978
20180226,58400,59400,58300,59200,3187
20180223,58100,58500,57500,57800,8747
20180222,57600,58500,57600,58100,4974
20180221,59200,59200,57400,57900,12334
20180220,60100,60100,59000,59100,8755
20180219,60500,60900,60000,60500,2612
20180214,59800,60500,58800,60500,2121
20180213,60500,60500,58600,59900,2331
20180212,59400,60500,59400,59700,1994
20180209,60300,60700,59000,59400,5018
20180208,60100,60700,60100,60300,2071
20180207,60400,61600,60000,60100,4688
20180206,59800,61100,58900,60300,6040
20180205,61500,61500,60000,60600,2216
20180202,62200,62200,60900,61500,2975
20180201,61300,62200,60900,62100,5180
20180131,60900,61500,60500,61300,3559
20180130,61300,61900,60600,60900,5563
20180129,61500,62100,61200,61700,4750
20180126,61400,61400,60100,61200,4548
20180125,61000,61400,60700,61200,5498
20180124,60900,61200,60600,61000,3034
20180123,60000,61200,59900,60900,5634
20180122,60600,60600,59500,59900,101217
20180119,61200,61200,60300,60800,2908
20180118,60500,61200,60200,61200,6677
20180117,59900,60300,59200,60000,3586
20180116,60500,60500,59200,59900,3436
20180115,59900,60500,58600,60300,6406
20180112,57700,59300,57700,59100,7573
20180111,58200,58200,57500,57700,2224
20180110,57600,58300,57300,58200,4774
20180109,57700,58400,57200,58200,3539
20180108,57700,58300,57000,57700,6648
20180105,58300,58500,56900,58200,7874
20180104,58000,58700,58000,58300,2751
20180103,58600,58700,58000,58200,2351
20180102,56900,58600,56900,58600,3425
20171228,57700,57700,56700,56700,3073
20171227,57200,57200,56500,57100,6263
20171226,57200,57700,56600,57200,11845
20171222,58300,59000,55000,57700,20658
20171221,57800,59900,57800,58900,12563
20171220,57300,58000,57200,57800,5198
20171219,57200,58000,56900,58000,19443
20171218,57500,57500,56500,57100,12971
20171215,59100,59500,57100,57100,10513
20171214,58800,59400,58300,59400,7092
20171213,58400,59600,58400,58800,4066
20171212,59000,59000,58100,58400,5202
20171211,58900,59400,58800,59000,5120
20171208,58900,59400,58800,59000,4269
20171207,58700,59200,58700,59100,5723
20171206,58800,59000,58400,58700,5886
20171205,59400,59400,58800,59000,5648
20171204,58500,58900,58300,58800,6768
20171201,58800,59400,58400,58800,5018
20171130,59800,60500,58200,58200,11339
20171129,60700,61000,60200,60700,4822
20171128,61300,61300,60600,60700,4785
20171127,61400,61700,61100,61100,9535
20171124,61400,61400,60800,61400,6587
20171123,61600,61600,60800,61000,7661
20171122,62300,62300,61300,61300,12396
20171121,62600,62600,61500,61700,5769
20171120,62000,62900,61000,62600,15571
20171117,62500,62600,62200,62300,5979
20171116,61500,62400,61500,62200,10872
20171115,61400,61500,60800,61500,6640
20171114,61300,61500,61000,61400,4624
20171113,60900,61600,60500,61200,7182
20171110,59800,60900,59800,60900,1615
20171109,60000,60700,60000,60400,3276
20171108,59700,60700,59700,59900,8319
20171107,60800,60900,59600,60100,6742
20171106,60200,60800,59500,60400,6520
20171103,60900,60900,60300,60300,6556
20171102,60300,60900,60000,60500,3715
20171101,59800,60100,59000,60100,7654
20171031,59600,59700,59400,59400,10082
20171030,59600,59800,59400,59600,6062
20171027,60400,60400,59600,59800,5206
20171026,60400,60400,59100,59800,9428
20171025,59700,60400,58700,60200,6751
20171024,60700,60700,59000,59100,6708
20171023,61100,61100,59800,60700,4351
20171020,61200,61200,60300,60800,5441
20171019,60200,60900,60100,60700,2519
20171018,60100,60900,60000,60200,4352
20171017,61000,61400,60500,60900,24666
20171016,60800,60800,60000,60700,4164
20171013,60200,61000,59200,60700,18751
20171012,59200,60900,59000,59100,17296
20171011,58600,59200,57900,59100,4858
20171010,57100,59600,57100,58600,16465
20170929,55700,57000,55700,57000,5160
20170928,54800,56200,54800,55900,5361
20170927,54700,55300,54200,54400,6445
20170926,56000,56000,54100,54800,9974
20170925,55600,56000,55300,55300,6478
20170922,55800,56700,55300,56200,6453
20170921,56900,56900,56100,56200,5610
20170920,56600,56700,56200,56700,3268
20170919,57600,57600,55700,56100,7388
20170918,57400,57900,57100,57600,2921
20170915,55800,57400,55600,57400,11349
20170914,57300,57400,54300,55700,36941
20170913,57400,57400,57100,57200,3319
20170912,57400,57400,56800,57300,4201
20170911,56800,57400,56400,57000,6109
20170908,57400,57500,56700,56800,5550
20170907,57500,57800,56500,57400,5674
20170906,57900,58000,57300,57700,5917
20170905,59400,59400,57400,57800,4626
20170904,58100,59700,58100,59400,11237
20170901,58900,59700,58900,59500,4505
20170831,58200,59400,58200,58800,6039
20170830,58400,58800,58300,58600,4200
20170829,58400,58500,57500,58200,3652
20170828,58700,58700,57200,57800,3855
20170825,58600,59100,57800,57800,4858
20170824,57400,58700,57300,58100,5290
20170823,57800,57800,56600,57500,2325
20170822,57700,57700,57200,57300,2787
20170821,56800,57700,56200,57700,2526
20170818,57000,57200,56400,56900,3029
20170817,57000,57200,56600,57100,4358
20170816,57400,57400,56700,57000,5347
20170814,56700,57400,56400,57200,4836
20170811,56700,57300,56100,57000,4758
20170810,56400,57500,55600,57300,13678
20170809,57400,57800,56000,56200,9936
20170808,57700,58300,57300,57300,6375
20170807,58400,58400,57400,57700,11241
20170804,58800,59500,57600,57700,7631
20170803,59700,60300,58100,58800,11253
20170802,59600,60000,59200,59700,5062
20170801,59100,60100,59100,59600,8960
20170731,56600,59300,56600,59100,5906
20170728,59200,59200,55800,56600,11425
20170727,59600,59600,58800,58800,7011
20170726,58300,59000,58300,58700,7072
20170725,57000,59300,57000,58000,16602
20170724,56400,56800,56000,56700,10153
20170721,55900,56500,55800,56000,5964
20170720,54600,56000,54600,55800,5732
20170719,54800,55100,54300,54800,5804
20170718,54800,54900,54200,54800,2226
20170717,54900,55200,54300,54800,5136
20170714,54200,54700,54100,54700,2630
20170713,54700,54800,54100,54200,7005
20170712,54900,54900,54000,54200,4032
20170711,54200,54800,54200,54500,3055
20170710,55800,55800,54100,54100,8312
20170707,56000,56000,54100,55800,8829
20170706,55600,56200,55400,56000,5061
20170705,56400,56600,55300,55400,3193
20170704,55700,56800,55700,56500,10216
20170703,55300,56400,55000,55600,7189
20170630,55000,55300,54800,55000,4311
20170629,54200,55200,54200,55000,7160
20170628,54600,54600,53700,54000,4360
20170627,54300,54300,54000,54200,3140
20170626,55300,55300,54100,54300,4776
20170623,54500,54500,53900,54100,3067
20170622,54500,55000,53800,54500,7038
20170621,54600,54600,53600,54600,3210
20170620,54200,54700,53800,54600,11310
20170619,53200,54000,53200,54000,6205
20170616,53400,54100,53200,53700,5608
20170615,53700,54200,53200,53400,5814
20170614,54100,54600,53600,53700,4093
