,open,high,low,close,volume
20181109,51600,52000,51300,51600,783
20181108,50800,52000,50800,51500,3227
20181107,50700,51800,50500,50500,723
20181106,50900,51700,50600,50600,1382
20181105,51100,51100,50500,51000,3515
20181102,50400,51200,50400,51100,854
20181101,50000,50400,49900,50200,1680
20181031,50000,50000,49650,49900,530
20181030,49750,50100,49550,50000,2587
20181029,50800,50800,49600,49750,5799
20181026,50000,50600,49900,50000,2020
20181025,50700,50700,49900,49950,4606
20181024,51000,51000,50600,50700,585
20181023,51200,51300,50900,50900,1507
20181022,51000,51300,51000,51300,863
20181019,50900,51000,50700,50900,1498
20181018,51100,51100,50700,50900,4874
20181017,51000,51300,50600,50900,645
20181016,51100,51100,50600,50900,534
20181015,51400,51400,50600,50900,487
20181012,50600,51000,49000,50600,4341
20181011,51600,51600,50500,50600,2855
20181010,51700,52100,51600,51900,1131
20181008,51900,52000,51800,52000,895
20181005,51900,52000,51600,51900,1734
20181004,52000,52100,51700,51800,1544
20181002,52300,52300,51800,52000,1778
20181001,52000,52200,51900,52000,1438
20180928,52600,52600,51900,52100,694
20180927,52000,52200,51900,52100,1372
20180921,52100,52100,51900,52100,868
20180920,52100,52200,51900,52100,207
20180919,52200,52200,52000,52100,334
20180918,52000,52100,51700,52100,1902
20180917,52100,52100,51100,52000,1303
20180914,52000,52200,51800,52100,634
20180913,52000,52300,51800,52300,1137
20180912,52300,52400,51900,52400,1136
20180911,53000,53000,52100,52300,301
20180910,52800,52800,52200,52400,798
20180907,52800,52800,52500,52800,770
20180906,52700,53000,52500,52800,964
20180905,52700,53000,52300,52700,1207
20180904,52600,52900,52500,52700,451
20180903,52900,53000,52500,52700,602
20180831,52400,53000,52000,52900,1747
20180830,52800,52800,52100,52600,396
20180829,52300,52900,52000,52300,995
20180828,52300,52400,52100,52300,366
20180827,52200,52400,52000,52300,603
20180824,51900,52300,51700,52200,1531
20180823,52300,52300,51800,52100,781
20180822,52300,52400,52000,52300,651
20180821,52200,52800,52100,52300,1152
20180820,52000,52400,51900,52200,937
20180817,52200,52400,52000,52000,1282
20180816,52000,52300,51500,52200,1802
20180814,52200,52300,51300,52200,1956
20180813,52100,52500,51000,51200,2225
20180810,52300,52400,52000,52300,9286
20180809,52100,52300,52100,52300,1211
20180808,52000,52400,51900,52200,4604
20180807,51900,52000,51700,52000,1857
20180806,51400,52100,51400,51900,5198
20180803,51000,51400,51000,51400,630
20180802,50800,51200,50600,51000,13053
20180801,50400,50900,50400,50800,6625
20180731,50500,50700,50400,50500,8020
20180730,50400,50600,50300,50500,3689
20180727,50300,50500,50300,50400,4529
20180726,50100,50300,50000,50300,3998
20180725,50000,50300,50000,50100,2791
20180724,50000,50200,50000,50200,2553
20180723,50300,50400,50100,50200,6140
20180720,50300,50400,50300,50400,3705
20180719,50500,50700,50300,50300,5333
20180718,50200,50500,50200,50500,2770
20180717,50100,50300,50000,50300,2533
20180716,50400,50400,49950,50000,3101
20180713,50000,50200,49950,50100,3673
20180712,50000,50000,49950,50000,2968
20180711,50000,50100,49950,50000,2447
20180710,50000,50300,49950,50000,6180
20180709,49950,50100,49950,50000,3275
20180706,50500,50500,49950,50000,3811
20180705,49950,50100,49900,50000,2322
20180704,50300,50300,49950,50000,3735
20180703,50200,50400,50000,50100,625
20180702,50300,50700,49900,50000,5644
20180629,50500,50500,50200,50300,4257
20180628,50900,50900,50400,50500,3437
20180627,50800,50800,50500,50600,3391
20180626,50800,50900,50400,50600,3065
20180625,50800,50900,50600,50700,3027
20180622,50900,51000,50500,50700,5520
20180621,51000,51100,50800,50900,3685
20180620,50800,51100,50800,50900,3237
20180619,51200,51400,50900,51000,3052
20180618,51500,51500,51100,51200,3512
20180615,51300,51500,51200,51400,2974
20180614,51500,51500,51200,51400,3089
20180612,51600,51600,51400,51500,3248
20180611,51700,51700,51500,51600,3386
20180608,51600,51700,51400,51700,4666
20180607,51500,51800,51500,51700,5815
20180605,51800,51800,51500,51500,2434
20180604,51500,51800,51500,51500,4727
20180601,51500,51700,51500,51700,2905
20180531,51500,51600,51400,51500,1671
20180530,51700,51900,51200,51500,7041
20180529,51600,51900,51500,51900,2740
20180528,51500,51600,51300,51600,2009
20180525,51400,51400,51200,51400,3752
20180524,51400,51600,51300,51400,2744
20180523,51800,51800,51000,51400,5966
20180521,51300,51800,51100,51400,5498
20180518,52600,52600,50900,51200,10941
20180517,51300,51600,50900,51200,29465
20180516,50900,50900,50100,50200,7132
20180515,51500,51500,50500,50900,3292
20180514,51500,51500,50500,51500,1809
20180511,51000,51500,50600,51500,2144
20180510,51000,51300,50400,51000,2778
20180509,51500,51500,50700,51000,3463
20180508,52000,52000,51100,51500,1226
20180504,52100,52100,51400,51700,1654
20180503,51900,51900,51300,51800,1390
20180502,52000,52000,51100,51500,970
20180430,52100,52100,51400,51800,2171
20180427,51700,51800,51200,51400,315
20180426,51700,51700,51000,51500,800
20180425,52400,52400,51100,51300,1024
20180424,52100,52100,51000,51800,2418
20180423,52200,52200,51100,51600,2151
20180420,51800,52000,51000,52000,704
20180419,51300,51700,51000,51700,1527
20180418,51400,51400,50900,51200,1325
20180417,51600,51600,50800,51200,1956
20180416,51400,51400,51100,51300,723
20180413,51700,51700,51100,51100,1147
20180412,51700,51700,51200,51400,399
20180411,51800,51800,51200,51500,524
20180410,52000,52000,51100,51200,1784
20180409,51300,51600,51300,51500,980
20180406,51400,51500,51200,51300,607
20180405,51900,51900,51100,51400,888
20180404,51000,51900,51000,51700,518
20180403,51600,52000,51400,51600,1030
20180402,52000,52100,51500,51800,502
20180330,51900,52100,51500,52000,1447
20180329,52000,52300,51500,51700,3088
20180328,54400,54400,53800,54000,5145
20180327,54600,54600,53600,54100,3774
20180326,54300,54300,53600,53900,1201
20180323,53900,54000,53400,53600,4374
20180322,54500,54600,53900,54500,1020
20180321,54300,54500,54300,54500,578
20180320,54200,54400,54200,54300,662
20180319,53900,54400,53900,54300,634
20180316,54500,54500,54000,54400,297
