,open,high,low,close,volume
20181109,1290,1310,1265,1290,854683
20181108,1290,1305,1285,1300,767449
20181107,1270,1310,1255,1275,1511778
20181106,1280,1300,1255,1255,949665
20181105,1290,1315,1270,1270,719648
20181102,1285,1315,1275,1300,952760
20181101,1280,1305,1270,1290,1462337
20181031,1200,1275,1180,1265,2471069
20181030,1120,1195,1115,1170,1305507
20181029,1235,1250,1160,1160,1082048
20181026,1255,1260,1205,1245,722213
20181025,1245,1275,1220,1240,872567
20181024,1285,1300,1250,1275,792644
20181023,1315,1335,1280,1285,716703
20181022,1320,1345,1300,1330,494858
20181019,1310,1335,1285,1315,842040
20181018,1280,1325,1270,1320,1129969
20181017,1250,1280,1250,1280,652405
20181016,1210,1245,1210,1240,398291
20181015,1195,1230,1195,1215,530335
20181012,1160,1205,1160,1200,1065768
20181011,1210,1240,1165,1180,2243879
20181010,1300,1320,1260,1270,1266442
20181008,1315,1335,1305,1325,354717
20181005,1325,1340,1285,1315,791897
20181004,1370,1370,1315,1335,1051294
20181002,1330,1365,1330,1350,1361706
20181001,1340,1350,1330,1335,558970
20180928,1315,1350,1315,1340,920166
20180927,1310,1325,1305,1310,636666
20180921,1300,1325,1300,1315,394689
20180920,1305,1320,1295,1300,598066
20180919,1325,1335,1295,1300,1165685
20180918,1330,1335,1320,1320,538842
20180917,1340,1350,1325,1335,579258
20180914,1335,1360,1330,1350,856276
20180913,1330,1355,1325,1335,947044
20180912,1335,1350,1320,1320,773080
20180911,1310,1345,1305,1325,905537
20180910,1325,1335,1310,1315,1019339
20180907,1340,1345,1325,1330,1117049
20180906,1360,1370,1345,1345,704902
20180905,1375,1380,1355,1365,762968
20180904,1355,1375,1350,1370,786605
20180903,1355,1365,1350,1350,722395
20180831,1360,1365,1350,1360,618964
20180830,1345,1395,1335,1365,2440115
20180829,1350,1360,1340,1340,637743
20180828,1340,1360,1335,1340,788221
20180827,1350,1360,1335,1335,772351
20180824,1360,1370,1345,1360,728278
20180823,1365,1380,1350,1355,736864
20180822,1365,1390,1350,1360,952883
20180821,1350,1385,1350,1365,963460
20180820,1390,1395,1350,1350,1104044
20180817,1370,1395,1360,1380,1002185
20180816,1350,1365,1325,1360,953993
20180814,1370,1390,1355,1360,1546223
20180813,1395,1400,1330,1345,2545296
20180810,1415,1425,1395,1400,1449295
20180809,1435,1440,1405,1415,1971078
20180808,1450,1470,1435,1435,1456251
20180807,1430,1470,1395,1460,3774457
20180806,1485,1485,1425,1425,3053945
20180803,1480,1500,1475,1485,2104428
20180802,1510,1510,1475,1485,3203573
