,open,high,low,close,volume
20181109,19450,20000,19200,19250,352
20181108,19800,20000,19400,19450,191
20181107,19400,19800,19100,19400,1046
20181106,19200,19800,19200,19550,695
20181105,19350,19850,19150,19600,1381
20181102,20000,20000,19050,19550,1114
20181101,18750,19500,18750,19100,753
20181031,18700,19100,18650,18750,546
20181030,18650,19950,18600,18850,2779
20181029,19400,20250,19000,19500,3748
20181026,20300,20300,19100,19400,1364
20181025,20250,20250,19250,20250,3375
20181024,20150,20700,20100,20200,3201
20181023,20600,20800,20250,20500,1625
20181022,20900,21000,20400,20800,1391
20181019,20600,20900,20400,20900,1177
20181018,21150,21150,20650,20900,1060
20181017,20600,21750,20300,20850,1170
20181016,20300,20650,20050,20500,1554
20181015,20700,20700,20050,20300,1093
20181012,20300,20650,20050,20450,864
20181011,19600,20800,19000,20600,3882
20181010,22000,22000,20300,20300,3249
20181008,21800,22000,21600,21800,1127
20181005,22400,22400,21600,21900,1340
20181004,22350,22350,21400,21900,1534
20181002,22000,22250,21850,21850,1899
20181001,21750,22550,21750,22000,1849
20180928,21750,22050,21750,21750,1335
20180927,22600,22950,21900,22050,2047
20180921,21850,22750,21850,22050,1407
20180920,23000,23000,21850,21850,4490
20180919,23950,23950,22750,23000,3155
20180918,24200,24200,23200,23950,4111
20180917,23350,24450,23200,24050,10189
20180914,23350,23800,23000,23550,7372
20180913,22850,23900,22500,23100,13220
20180912,21900,23300,21650,23050,18611
20180911,21900,21900,21500,21800,1906
20180910,22000,22000,21350,21600,5427
20180907,22250,22600,21950,21950,1172
20180906,22400,22650,22050,22250,726
20180905,22200,22800,22000,22500,3201
20180904,22100,22600,21900,22400,4854
20180903,22000,22600,21800,22300,4220
20180831,21850,22800,21200,22350,5896
20180830,21500,21700,21300,21550,4290
20180829,21350,23200,21300,21550,13981
20180828,20950,21300,20800,21200,3451
20180827,20800,20850,20500,20850,1190
20180824,20700,20850,20500,20800,783
20180823,20800,20800,20500,20700,1059
20180822,20500,20850,20300,20800,3614
20180821,20600,20600,20150,20500,1340
20180820,20550,20650,20500,20500,1914
20180817,20250,20600,20200,20550,4637
20180816,20750,20750,20200,20450,1976
20180814,20400,20600,20200,20500,2226
20180813,21100,21100,20150,20400,1596
20180810,20850,21350,20700,21000,2098
20180809,20500,20900,20400,20850,2459
20180808,20400,20550,20250,20500,1981
20180807,20600,20700,20100,20600,1489
20180806,20450,20550,20200,20450,2097
20180803,20300,20700,20250,20450,3591
20180802,20000,22300,20000,20250,19742
20180801,19950,20150,19750,20000,2021
20180731,20300,20450,19950,19950,2827
20180730,20550,21000,20150,20300,2087
20180727,20350,20750,20000,20700,2137
20180726,20400,20500,19800,20300,3299
20180725,19650,20000,19650,20000,2133
20180724,19650,20300,19600,19900,3547
20180723,20400,20600,19500,20000,4660
20180720,21250,21250,20300,20450,3468
20180719,21300,22000,20850,21250,2202
20180718,22050,22050,21300,21300,2184
20180717,22150,22700,21750,22050,3082
20180716,23000,23000,22050,22100,2842
20180713,22700,23000,22550,22800,1604
