,open,high,low,close,volume
20181109,60500,61100,58700,60400,240432
20181108,63200,63700,60500,60500,332297
20181107,64200,64900,61400,62000,230605
20181106,65000,65300,63700,63900,198228
20181105,65600,65700,63100,64200,168566
20181102,65100,67100,64700,65600,219862
20181101,62100,65500,62000,64700,162600
20181031,62600,62800,60300,62100,284619
20181030,61300,62800,58100,62100,353262
20181029,71900,72500,59700,61900,582796
20181026,75300,75400,71300,72600,153509
20181025,73000,75100,70800,75100,195326
20181024,74500,75900,73000,74500,130940
20181023,77400,77400,73000,73700,202177
20181022,73700,77300,73700,77000,165852
20181019,72200,73300,71800,73300,190604
20181018,77100,77200,72400,73500,247594
20181017,76500,77400,75100,76900,182716
20181016,76100,76300,74400,75000,137953
20181015,75900,76600,73900,74700,252195
20181012,73100,76800,72600,75800,203698
20181011,73800,74500,71700,73200,335022
20181010,77100,78000,74000,76500,236784
20181008,79000,79400,77200,77500,229735
20181005,78500,80500,77000,79900,246172
20181004,92500,92600,78400,79000,609410
20181002,93900,94400,92000,92500,76408
20181001,94000,96000,93800,93900,165102
20180928,93300,94100,92400,93300,101300
20180927,90600,93300,90500,93000,158207
20180921,92400,92400,90000,90400,117342
20180920,93500,93500,90800,91200,104912
20180919,92300,93300,91200,93300,100492
20180918,92000,92800,91800,92300,74201
20180917,94900,95100,92100,93000,109625
20180914,93700,95400,93500,95400,115361
20180913,92400,93700,92100,93100,92597
20180912,93600,93600,91400,92100,96279
20180911,93000,94600,92000,93000,78148
20180910,94900,95100,92800,93400,125275
20180907,96800,96800,94400,95900,99874
20180906,96600,96900,95400,95600,75080
20180905,96000,98400,96000,96600,148930
20180904,95500,95800,94800,95800,77214
20180903,96500,96600,94800,95300,112567
20180831,96100,96500,95500,96400,127213
20180830,99000,99300,96400,96400,144085
20180829,97600,97900,95800,96300,88456
20180828,98200,98200,96400,96900,122725
20180827,100000,100500,98000,98400,103117
20180824,100500,100500,98700,99700,71611
20180823,97900,103000,97600,100500,193374
20180822,96300,97300,96000,96200,68468
20180821,95600,96700,94700,96000,93400
20180820,96100,98400,95400,95500,82755
20180817,97000,97000,95300,96100,92053
20180816,96000,97800,95200,96500,95913
20180814,97900,98300,96300,96900,57060
20180813,98400,98900,96000,97400,81745
20180810,100000,101500,98900,99000,73043
20180809,101500,101500,99000,100500,68870
20180808,101500,103000,100500,101000,60343
20180807,101000,103000,100500,102500,86195
20180806,101000,102500,100500,101500,90470
20180803,99100,102000,98500,101000,100524
20180802,100500,101000,97500,98700,116903
20180801,96300,101000,95800,101000,259450
