,open,high,low,close,volume
20181109,29800,29800,29150,29400,5675
20181108,29850,29950,29500,29600,3957
20181107,30900,30900,29300,29450,9215
20181106,31050,31200,30400,30900,9731
20181105,32250,32250,30500,31000,4937
20181102,30750,32200,30150,32200,12150
20181101,30500,31150,29850,30350,25016
20181031,31700,31700,29650,30000,10760
20181030,32150,32150,29000,31000,11309
20181029,35400,35550,31000,32050,5164
20181026,36000,36550,34600,35400,20863
20181025,36500,36550,34400,36000,27142
20181024,36500,37150,36000,36350,14172
20181023,37650,37650,35900,36400,14773
20181022,37500,38750,37200,37650,20320
20181019,38500,38500,37000,37100,9142
20181018,39350,39350,38200,38550,4484
20181017,40300,40650,37950,39000,36564
20181016,40200,40400,39900,40050,2413
20181015,40000,40900,39250,39950,7917
20181012,37500,40550,37500,40000,6994
20181011,38100,39950,38100,38950,12563
20181010,42850,43800,40200,40450,8867
20181008,45100,45100,43000,43000,14757
20181005,47200,47200,44400,44900,29897
20181004,49900,49900,45500,47300,65929
20181002,50300,50600,49900,49900,1066
20181001,50100,50800,49950,50300,6982
20180928,50000,50400,50000,50100,2988
20180927,49600,50400,49600,50000,2448
20180921,49400,50800,49400,50000,2664
20180920,49350,49650,49000,49200,11430
20180919,49000,49100,48550,49100,4177
20180918,48550,49200,48500,49000,5341
20180917,49300,49450,48500,48550,8007
20180914,48700,49350,48700,49300,3016
20180913,49150,49350,48400,48500,5661
20180912,49100,49350,48850,49150,7376
20180911,49300,49450,49050,49100,6293
20180910,49350,49650,48500,49050,7424
20180907,49950,49950,49150,49350,7944
20180906,50200,50600,49500,49900,20079
20180905,49950,51400,49900,50300,5793
20180904,49850,50000,49550,49950,8968
20180903,50300,50600,49850,49850,14567
20180831,50000,50300,49950,50000,631
20180830,50500,50900,49900,50000,7768
20180829,49950,50400,49900,50000,3920
20180828,50600,51100,49800,50400,2885
20180827,50600,50800,50100,50500,475
20180824,50700,51000,50600,51000,76
20180823,50100,52000,50100,51000,2736
20180822,50500,50700,50000,50400,651
20180821,50300,50500,49950,50400,525
20180820,50200,51000,49850,49900,5286
20180817,50100,50600,49900,50400,1627
20180816,50000,53300,49900,50100,3541
20180814,50000,50900,50000,50500,308
20180813,50700,50700,49900,50000,8609
20180810,51700,52200,50500,50700,1888
20180809,51100,52500,50400,52200,2428
20180808,52600,52600,50200,51200,1241
20180807,51900,52700,51900,52200,167
20180806,52000,52700,52000,52500,204
20180803,52200,52700,52000,52000,746
20180802,52400,52400,51700,52200,1585
20180801,50300,52100,50200,52000,2384
20180731,50300,50300,49900,50000,4142
20180730,50300,50400,49800,49900,93972
20180727,50500,50900,49950,50300,28024
20180726,50400,51000,50300,51000,28936
20180725,51100,51500,50100,50400,13880
20180724,51500,51500,51000,51500,11165
20180723,51300,51500,51000,51500,7612
20180720,51100,51300,51000,51300,9505
20180719,50600,51100,50300,51100,15011
20180718,50900,51100,50600,50800,2327
20180717,51500,51800,50500,50600,2032
20180716,51800,52900,51500,51800,3399
20180713,51600,52000,51500,51500,3520
20180712,51400,51900,51200,51200,3640
20180711,51400,51400,50900,51300,1089
20180710,51400,51400,50900,51400,1575
20180709,52600,52600,50900,51400,5178
20180706,50800,52800,50800,52600,954
20180705,51500,52200,50100,51400,3922
20180704,52400,53000,51400,52000,1502
20180703,52300,53500,52200,53000,2529
20180702,54500,55000,52600,52800,3214
20180629,55100,55300,53700,54500,1552
20180628,54100,56000,54100,54800,5517
20180627,54800,54900,54100,54700,1010
20180626,53600,55200,53600,54800,2743
20180625,55700,55700,53600,54200,2048
20180622,53900,55300,53700,55000,1096
20180621,54100,54300,53400,54100,1605
20180620,54100,54400,53000,54100,3227
20180619,55500,55500,53300,54100,4050
20180618,55700,55700,54800,55100,569
20180615,56400,56700,55700,56000,2634
20180614,56500,56600,55400,56400,3681
20180612,55700,57000,55600,56500,3686
20180611,55900,55900,54800,55600,3813
20180608,56500,56500,55400,56200,1573
20180607,54700,56800,54600,56700,5294
20180605,54800,55000,54200,54900,1715
20180604,54900,54900,53900,54800,2023
20180601,53500,54700,51000,54500,2074
20180531,53600,53800,53000,53800,1916
20180530,53900,54800,53300,53500,2757
20180529,54400,54400,53600,53700,4925
20180528,54700,55500,53800,54200,2557
20180525,55600,55600,54000,54700,8456
20180524,55700,55700,54800,55400,2496
20180523,55000,56300,55000,55700,4171
20180521,54600,55000,54600,55000,2025
20180518,55000,55100,54400,54600,5022
20180517,55800,55800,54600,55100,2941
20180516,55200,56100,54900,55800,1187
20180515,55200,56100,54900,55600,2199
20180514,56900,57000,54600,55500,4542
20180511,56300,57300,56300,56900,2347
20180510,57300,57400,56200,56500,3652
20180509,56300,57500,56100,57000,2133
20180508,56900,57800,56300,57300,3007
20180504,57000,58900,56500,57100,7551
20180503,57900,57900,56100,56500,2660
20180502,57800,58400,57700,58000,2227
20180430,56500,58800,56400,57700,6848
20180427,56900,57200,55700,55900,2539
20180426,57500,57500,56800,56800,11619
20180425,56700,57100,56100,57000,1977
20180424,56400,57200,56200,56700,2735
20180423,56700,57500,55700,56300,583
20180420,57400,57400,56200,56700,2953
20180419,58100,58300,56700,56900,1278
20180418,57500,59100,57500,58100,1510
20180417,57800,58500,57100,58100,1546
20180416,57200,58000,56900,57400,1760
20180413,55100,57000,55000,56900,3125
20180412,57000,57000,54800,55000,2241
20180411,57800,57800,56700,57000,498
20180410,57500,58000,56700,57800,3414
20180409,57000,58000,57000,57800,690
20180406,56800,57700,56600,57000,648
20180405,58000,58400,56600,56700,2749
20180404,60800,60800,57500,58000,15456
20180403,58200,61300,57500,60800,10044
20180402,56400,60000,56400,58000,12024
20180330,53700,55700,53700,55400,4188
20180329,53700,53800,53200,53700,651
20180328,52900,54000,52900,53500,8437
20180327,52500,53800,52400,52900,2806
20180326,52100,52500,51000,52200,18383
20180323,54200,54200,52200,52200,5805
20180322,55100,55100,54300,54500,5444
20180321,54900,55300,54800,55100,15777
20180320,55400,55500,53800,55000,16959
20180319,57800,57800,56000,56100,1723
20180316,56200,56300,55500,56100,2762
20180315,55500,57500,55300,56200,4468
20180314,56400,56400,55500,55500,2185
20180313,56900,57200,56500,56600,546
20180312,57800,57800,56900,57200,616
20180309,55700,57200,55700,57000,4899
20180308,54600,55600,54600,55200,4712
20180307,54500,54700,54300,54300,709
20180306,54500,54700,54100,54300,208
20180305,54500,54900,53800,54500,750
20180302,54500,55100,54000,54500,2027
20180228,56200,56200,54300,55200,2126
20180227,56300,56600,55400,56000,309
20180226,55200,56500,54900,56000,1753
20180223,55200,55200,54900,55200,1482
20180222,55000,55000,54500,54900,1061
20180221,54500,55300,53800,55000,2309
20180220,54200,54700,53900,53900,1626
20180219,55800,56100,54000,54600,2922
20180214,54800,55600,54500,55500,951
20180213,55200,55400,54600,55300,300
20180212,55900,56000,54000,55100,2002
20180209,54600,56000,54600,54600,1319
20180208,55200,56200,55200,56000,1188
20180207,57000,57000,55200,55800,2232
20180206,56600,56700,55000,56500,2614
20180205,58900,59000,56800,57100,6568
20180202,59500,60200,58500,59100,3497
20180201,59100,59900,58500,59100,5472
20180131,59900,59900,58900,59100,8941
20180130,60600,60700,60000,60200,4428
20180129,60600,60900,60000,60500,3102
20180126,60200,60700,59000,60400,3230
20180125,61900,61900,60700,60800,5618
20180124,62100,62800,60600,61900,2642
20180123,62800,63900,62100,62300,1781
20180122,62900,63900,62600,63100,116356
20180119,61000,63400,60500,62500,3687
20180118,60900,61400,60000,61400,490
20180117,60700,61700,60600,61100,684
20180116,60500,61400,60500,61100,794
20180115,60700,60700,59900,60200,1112
20180112,61100,61800,60000,60200,1472
20180111,61300,61800,60700,60900,2202
20180110,58400,61700,58400,60900,8241
20180109,58300,59400,57900,57900,1783
20180108,57900,58300,57700,58100,11776
20180105,57900,58200,57700,57800,737
20180104,61000,61000,57600,57900,4226
20180103,59900,61500,59000,60600,3269
20180102,58700,60300,58700,60300,2213
20171228,58200,58900,58000,58600,504
20171227,58400,58400,57300,58300,2586
20171226,59600,59900,57700,58400,4738
20171222,60200,60200,58700,59600,1563
20171221,60800,60900,59600,60200,5500
20171220,60200,61500,59600,60700,2136
20171219,60500,60500,59800,60200,1129
20171218,60700,61700,60400,60500,2896
20171215,62300,62700,60100,60700,5523
20171214,61900,62800,61500,62200,1878
20171213,61500,61700,61100,61700,1552
20171212,62400,62400,60700,61500,1627
20171211,61700,62700,61700,62400,527
20171208,61900,62100,61500,62000,1163
20171207,62800,62900,61900,61900,1067
20171206,63800,65500,62500,63200,2550
20171205,66300,66300,63800,63800,1335
20171204,63000,65500,62900,65100,6391
20171201,62100,62300,62000,62300,2316
20171130,63900,63900,62100,62100,1669
20171129,63100,64500,62800,63200,4112
20171128,63000,63900,61800,63100,2990
20171127,63100,63600,62500,63000,1948
20171124,63800,63800,62900,63000,746
20171123,63600,64500,63400,63900,6538
20171122,64300,65500,63000,63500,3155
20171121,66300,67200,64900,65200,4960
20171120,67200,67200,66000,66500,4888
20171117,67000,67900,65900,66500,2723
20171116,66900,67100,66400,66900,2890
20171115,67200,67400,66000,66900,9176
20171114,68300,68900,67200,67800,4321
20171113,68000,69100,68000,68200,7942
20171110,66900,68100,66500,67300,3593
20171109,66500,68500,66400,67400,3707
20171108,66200,66900,65300,66200,7573
20171107,66400,66400,64600,66200,7299
20171106,65000,66100,65000,65400,7132
20171103,64800,65100,64000,65100,3362
20171102,64200,64800,62200,64300,2481
20171101,64500,64900,63800,64200,3946
20171031,66000,66000,63500,63600,7737
20171030,64800,66100,63700,66100,10819
20171027,65700,65900,63900,64100,11893
20171026,59900,65500,59900,64800,22590
20171025,57400,60800,57400,59800,57674
20171024,56000,57500,55900,57400,4381
20171023,54900,56800,54600,55500,18704
20171020,56100,57000,54100,54500,5473
20171019,56600,57300,54800,56100,5836
20171018,57200,57800,55600,56300,12511
20171017,59500,59500,56200,57200,7226
20171016,55500,58200,55400,58100,7193
20171013,54500,56900,53900,55300,5294
20171012,53500,54800,53500,54500,4815
20171011,53700,54000,52500,53400,4932
20171010,53000,53700,52000,53400,4685
20170929,51900,53000,51900,52500,25863
20170928,51000,51900,50800,51700,7513
20170927,50900,52000,50600,50900,6692
20170926,51200,51200,50400,50800,25223
20170925,51900,51900,50500,50800,11463
20170922,54200,54200,51300,51300,8112
20170921,52700,53800,51900,53700,7826
20170920,52100,54000,52000,52400,15680
20170919,51400,52600,51400,52100,6400
20170918,52700,53400,51200,51500,17865
20170915,54400,54800,51500,52700,32570
20170914,54500,55700,54200,55000,1772
20170913,56200,56400,53500,54600,4568
20170912,54700,56300,54700,56200,1980
20170911,55000,56000,54100,54700,9636
20170908,57000,58100,54700,55000,10790
20170907,57700,58100,57300,58000,256
20170906,58800,58800,57400,58300,4645
20170905,57400,58800,57000,58500,5036
20170904,57800,58000,56800,56800,3988
20170901,59400,59400,57800,58100,6415
20170831,58900,59200,58000,58900,4827
20170830,59300,59700,58900,59300,6287
20170829,58400,59500,57800,59300,4954
20170828,58100,58600,57600,58400,809
20170825,58200,58200,57300,58100,4619
20170824,56500,58900,56500,58300,9440
20170823,56700,56700,56100,56300,2762
20170822,55900,56900,55800,56700,4459
20170821,56100,56600,55000,56300,524
20170818,56600,56700,56000,56300,1023
20170817,56000,56600,56000,56500,488
20170816,56700,56900,55900,56500,7102
20170814,55900,56600,55800,56500,2788
20170811,55600,56000,55000,55900,3131
20170810,55000,56400,54700,56100,4311
20170809,56000,56000,54900,55100,3964
20170808,55600,56200,54900,56000,9423
20170807,55600,56100,55000,55800,5328
