,open,high,low,close,volume
20181109,106500,109500,105500,108500,2805
20181108,106500,108500,104000,108000,4792
20181107,114000,115000,103000,105500,9995
20181106,112000,114000,111000,114000,1298
20181105,116500,116500,111500,112000,1834
20181102,112000,116500,112000,116500,2333
20181101,115500,118000,110500,111000,1466
20181031,117000,117000,113500,115500,1394
20181030,113000,115000,110500,115000,1989
20181029,114000,115000,107500,115000,5993
20181026,115000,116500,105500,114000,5771
20181025,120000,124000,115000,116000,1796
20181024,124000,126500,121500,125000,972
20181023,123500,125000,121500,123500,379
20181022,122500,125000,120500,125000,1442
20181019,126000,126000,122000,122500,2689
20181018,128000,129000,125000,126000,847
20181017,129500,131500,127500,128000,1483
20181016,129500,129500,127000,129000,1155
20181015,126000,131000,125000,128000,1194
20181012,125500,130500,125500,128500,478
20181011,128000,130500,125500,128000,2439
20181010,134000,134500,127500,131000,4552
20181008,133500,135000,130500,134500,1408
20181005,132000,134500,129500,133500,1203
20181004,133000,134500,130000,132500,1150
20181002,133000,134000,130000,133000,2798
20181001,135500,136000,129500,133000,4963
20180928,136000,136000,133500,135500,856
20180927,136000,136500,134500,136000,2772
20180921,135000,137500,132500,135000,2087
20180920,135000,136500,133000,136000,1960
20180919,135000,137000,133000,136500,1947
20180918,136000,137500,134000,136500,1129
20180917,143500,143500,133500,136500,4556
20180914,136500,140500,136500,140000,2035
20180913,134000,138000,133000,137500,5587
20180912,134500,135500,132500,133500,4016
20180911,134500,136000,132000,135000,2529
20180910,132000,135000,130500,133000,2625
20180907,130500,131500,130000,131000,620
20180906,130000,133500,130000,132000,2312
20180905,132500,132500,130500,131500,1390
20180904,130000,132500,128000,131500,3980
20180903,133500,135000,128500,131500,4954
20180831,126000,130500,125500,130000,2234
20180830,130000,130000,123500,126500,4636
20180829,127500,130500,126500,128500,1431
20180828,125000,128500,124500,127500,1821
20180827,125500,126500,122500,124500,2295
20180824,128500,129000,124000,125500,3118
20180823,131500,132000,127500,128000,3111
20180822,133000,134000,131000,132500,1231
20180821,134500,135000,131500,132000,1162
20180820,133500,137000,133000,134500,1501
20180817,129500,135500,129500,133000,2608
20180816,128500,131000,126500,129500,3611
20180814,128500,130000,127000,127000,2993
20180813,131000,132500,127000,129000,1081
20180810,130000,132500,126000,130500,2720
20180809,128500,130000,128500,129500,236
20180808,127500,130000,125500,130000,1859
20180807,127000,128500,124500,128500,1790
20180806,127000,130000,126000,128500,388
20180803,125000,129000,125000,127500,1333
20180802,126000,129500,125500,127500,1875
20180801,125500,126000,123500,126000,1513
20180731,127500,127500,124500,125500,849
20180730,128500,129500,126000,128000,1715
20180727,128500,129000,125000,128500,1184
20180726,127000,129000,126500,128500,1018
20180725,125000,127000,122500,127000,2696
20180724,123000,127000,123000,125000,2373
20180723,125000,126500,122000,124500,1559
20180720,128500,128500,124500,126000,1002
20180719,124500,129000,124500,128500,1339
20180718,125500,127000,123500,127000,1573
20180717,127500,127500,124000,127500,628
20180716,127000,128000,125000,127500,564
20180713,126000,130000,122500,127000,1824
20180712,122500,126500,120000,125500,2136
20180711,122500,124500,121000,123500,1686
20180710,123000,124000,121500,124000,1049
20180709,126500,126500,120000,123000,2885
20180706,125000,127000,120500,126500,3119
20180705,121500,125000,119500,125000,1808
20180704,120000,123500,120000,123500,518
20180703,121000,122000,117500,121000,2603
20180702,130500,130500,120000,120000,4024
20180629,136500,138500,130500,131500,2232
20180628,131500,135000,129500,135000,3497
20180627,132000,133500,130500,133500,3515
20180626,131500,135500,127000,131500,2820
20180625,133000,135500,129000,131000,2621
20180622,134500,134500,123000,133000,11880
20180621,133500,134500,130000,134000,2860
20180620,133000,136000,130500,133500,1729
20180619,135000,137000,132500,133000,1976
20180618,140500,144000,134500,135000,2849
20180615,142000,142500,139000,140500,2350
20180614,145500,146000,139000,142000,4724
20180612,149000,152500,142000,147500,5779
20180611,146500,152000,141500,148000,8077
20180608,153000,153500,145000,147000,5622
20180607,153500,158500,151000,154500,3307
20180605,157000,159500,152000,154000,5673
20180604,166000,168000,159000,159000,5397
20180601,169000,170000,163000,166000,4064
20180531,172000,178000,166000,171000,3110
20180530,164500,175000,159500,171000,6182
20180529,166000,172000,159500,164500,5243
20180528,157000,172000,155000,168000,17147
20180525,142000,156000,142000,150000,7329
20180524,154500,159000,149500,154500,7860
20180523,163500,163500,151000,155500,13132
20180521,162000,163500,158500,163500,6050
20180518,164500,166500,157000,162500,5034
20180517,152000,166500,152000,165000,25176
20180516,148500,157000,145000,151000,8837
20180515,156000,159500,153500,158000,4454
20180514,148500,157000,148500,156500,7317
20180511,147500,148500,142000,147500,6553
20180510,150500,157500,146000,148000,6484
20180509,150000,152000,143000,149500,5309
20180508,151000,155000,148000,150000,4716
20180504,146500,156500,145000,152000,7511
20180503,159500,159500,145500,148000,11762
20180502,156000,165000,150000,156500,19472
20180430,147000,153000,143000,150500,15949
20180427,145000,145000,141000,142500,5280
20180426,140000,142500,138500,142000,6044
20180425,143500,144500,138000,140000,9357
20180424,139500,142500,139500,140000,8252
20180423,139000,147000,136000,139500,22873
20180420,141000,144000,134500,135500,18484
20180419,137000,143000,134500,140000,20792
20180418,129000,136000,125500,136000,5388
20180417,129000,130000,127000,129000,1336
20180416,127500,129000,125500,129000,1333
20180413,126500,128000,126000,128000,2013
20180412,128500,129500,125500,127500,3161
