,open,high,low,close,volume
20181109,35600,36150,34050,34700,55611
20181108,35250,36250,34950,35950,36508
20181107,35700,36700,34250,34750,67062
20181106,36400,36500,35200,35950,29499
20181105,38500,38500,35850,36200,63160
20181102,37000,38850,37000,38500,44379
20181101,36350,38250,36100,36700,61479
20181031,36750,36900,35250,36050,61943
20181030,33000,36350,33000,36300,69169
20181029,34800,36400,33750,34100,63670
20181026,37000,38000,34550,34800,70211
20181025,35500,37200,34500,36350,96565
20181024,39000,39000,36850,37300,61403
20181023,40050,40500,37800,38500,55042
20181022,38700,40750,38400,40400,47911
20181019,38700,39200,37200,39200,39501
20181018,40000,40150,38700,38800,37383
20181017,40200,40550,39100,40000,53397
20181016,37900,39200,37500,38900,39993
20181015,38900,39700,37500,37900,72413
20181012,36550,38650,36400,38600,62891
20181011,36300,37950,35900,36600,139379
20181010,39600,40500,37850,38450,110222
20181008,40400,41800,40000,40200,58854
20181005,40400,41700,39100,41000,133386
20181004,41900,42800,40150,40900,97868
20181002,40550,42200,40000,41850,135911
20181001,42600,42900,40200,41000,112173
20180928,43700,43850,42600,42900,26123
20180927,43800,44800,42800,43700,73874
20180921,44450,44700,42950,43300,71936
20180920,44400,45100,43500,44450,60360
20180919,46500,46800,43600,44500,92666
20180918,46650,48400,45650,45900,138156
20180917,50100,50100,44550,46200,190688
20180914,49450,50600,48850,50100,97618
20180913,47300,52000,47300,48900,284654
20180912,45800,47900,45250,47050,178768
20180911,44500,46000,44100,44700,33731
20180910,43000,46000,43000,44500,78047
20180907,44200,44500,42350,43650,60367
20180906,44050,45800,43850,44150,74011
20180905,43100,45150,42750,44400,100481
20180904,42500,43200,42000,43100,83754
20180903,42850,44850,40800,42650,221748
20180831,38250,41650,38250,41650,227973
20180830,38500,38800,37750,38600,46293
20180829,37700,38300,37150,38100,43142
20180828,36550,37550,36550,37200,22085
20180827,36650,37100,35750,36450,49380
20180824,35900,36750,35650,36050,39356
20180823,36900,36900,34750,35900,112832
20180822,37000,37300,36450,36800,45620
20180821,36900,37250,35950,37050,88106
20180820,38650,38650,36500,36800,61491
20180817,40200,41000,38500,38800,67612
20180816,39800,40750,38600,40200,132804
20180814,37200,39300,35250,39200,99718
20180813,37800,38000,35600,37500,51802
20180810,37300,39000,37300,37900,18546
20180809,36400,38050,36200,37800,52356
20180808,35500,37800,34900,36400,75303
20180807,35400,35700,34400,34900,14533
20180806,36900,37350,34250,35250,35514
20180803,36000,37400,36000,36900,52653
20180802,35350,37400,35300,35850,68586
20180801,33850,35600,33700,35600,13152
20180731,34300,34300,33600,33900,3932
20180730,34200,34450,33750,34300,5733
20180727,34150,34600,33600,34450,8464
20180726,34100,34500,33500,34200,4862
20180725,34850,34900,33200,34100,7718
20180724,33400,34500,33000,34450,14931
20180723,34150,34750,33050,33400,13487
20180720,34900,35500,33750,34600,10405
20180719,34750,35850,34000,34900,27504
20180718,35000,35800,33700,33850,21162
