,open,high,low,close,volume
20181109,2900,2900,2780,2855,102249
20181108,2840,2890,2800,2840,153464
20181107,2900,2965,2740,2745,218954
20181106,2855,2965,2800,2855,194944
20181105,2845,2910,2775,2845,275001
20181102,2695,2855,2695,2855,278091
20181101,2615,2745,2615,2690,196166
20181031,2695,2700,2550,2615,221493
20181030,2300,2620,2285,2560,566992
20181029,2675,2740,2415,2450,606233
20181026,2855,2875,2620,2675,437317
20181025,2720,2910,2720,2835,282819
20181024,3000,3045,2850,2880,275579
20181023,3050,3090,2985,3000,279320
20181022,3110,3110,3060,3070,115893
20181019,3100,3145,3030,3140,94983
20181018,3105,3200,3075,3105,175152
20181017,3095,3180,3080,3125,199126
20181016,3020,3100,3020,3055,196655
20181015,3075,3180,2980,3020,263440
20181012,2840,3035,2840,3035,615338
20181011,3135,3250,2905,2925,916127
20181010,3495,3525,3260,3300,655647
20181008,3515,3600,3460,3505,172786
20181005,3540,3635,3500,3530,332599
20181004,3730,3860,3580,3580,450946
20181002,3725,3775,3665,3670,239567
20181001,3790,3830,3740,3750,266696
20180928,3910,3910,3745,3745,389869
20180927,3870,3930,3830,3830,620051
20180921,3685,3845,3685,3800,490703
20180920,3750,3810,3685,3685,410483
20180919,3800,3880,3695,3695,656042
20180918,3830,3865,3775,3795,377142
20180917,3845,3855,3780,3820,367129
20180914,3885,3890,3795,3835,367959
20180913,3800,3945,3800,3840,429035
20180912,3870,3875,3730,3815,484247
20180911,3955,3955,3815,3835,723612
20180910,3820,3925,3780,3920,1238621
20180907,3690,3830,3685,3780,576291
20180906,3730,3785,3665,3695,359587
20180905,3760,3775,3710,3710,370576
20180904,3795,3795,3740,3760,303689
20180903,3735,3800,3710,3795,498895
20180831,3710,3720,3660,3705,378033
20180830,3615,3875,3615,3730,1608249
20180829,3610,3640,3585,3610,284054
20180828,3620,3665,3595,3610,448221
20180827,3695,3730,3615,3620,1256970
20180824,3940,3940,3785,3805,742569
20180823,3875,3975,3790,3870,2010101
20180822,3580,3870,3575,3830,2276116
20180821,3650,3660,3535,3595,434459
