,open,high,low,close,volume
20181109,26900,26950,26750,26950,754
20181108,26850,26900,26750,26900,67
20181107,26850,26900,26700,26900,826
20181106,27050,27100,26750,27050,466
20181105,26700,27100,26700,27050,3358
20181102,26850,27300,26850,27200,390
20181101,26800,26850,26650,26850,14076
20181031,26950,27000,26500,26800,5152
20181030,26800,26800,26550,26700,4952
20181029,26700,27000,26700,26850,2266
20181026,26900,27000,26500,26850,10087
20181025,27000,27250,26800,26850,11694
20181024,27300,27300,27000,27250,1529
20181023,27500,27500,27100,27200,120
20181022,27200,27350,27150,27350,198
20181019,27150,27450,27150,27250,110
20181018,27050,27500,27050,27500,348
20181017,27150,27200,27150,27200,115
20181016,27150,27200,27100,27200,66
20181015,27000,27150,26950,27150,190
20181012,27200,27200,26950,27150,338
20181011,27000,28500,26850,27000,2124
20181010,27200,27250,27000,27000,2559
20181008,27200,27200,27000,27200,540
20181005,27150,27200,26950,27200,473
20181004,26950,27250,26950,27150,82
20181002,27400,27400,26950,27250,377
20181001,26950,27300,26950,27300,279
20180928,27100,27100,26950,26950,4145
20180927,27250,27250,27000,27000,2938
20180921,27300,27350,27150,27250,438
20180920,27400,27400,27250,27300,413
20180919,27400,27400,27150,27400,1811
20180918,27350,27400,27150,27400,443
20180917,27350,27400,27350,27350,339
20180914,27300,27350,27150,27350,1764
20180913,27350,27350,27200,27300,1112
20180912,27200,27450,27000,27350,1352
20180911,27200,27250,26950,27200,2223
20180910,27100,27300,27000,27250,1886
20180907,26800,27200,26800,27100,2049
20180906,27000,27250,26600,27250,4510
20180905,27200,27200,26700,27050,9406
20180904,27250,27350,26900,27250,2300
20180903,27350,27550,27350,27500,2595
20180831,27200,27350,27150,27350,2119
20180830,27000,27150,27000,27150,619
20180829,27300,27300,26950,27150,707
20180828,27000,27250,27000,27150,1372
20180827,27100,27100,26950,27100,498
20180824,26950,27100,26750,27100,445
20180823,27300,27450,26800,27250,347
20180822,27150,27350,27150,27300,575
20180821,27000,27100,26900,27100,675
20180820,27400,27400,26800,27100,229
20180817,27150,27200,26850,27150,322
20180816,27200,27800,26900,27150,767
20180814,27200,27200,27200,27200,23
20180813,27150,27450,27150,27200,629
20180810,26900,27200,26900,27150,1504
20180809,27100,27150,27100,27150,45
20180808,27100,27250,26700,27100,1152
20180807,27100,27150,27000,27100,110
20180806,27200,27200,27150,27200,728
20180803,27000,27100,26800,27100,1665
20180802,26950,27000,26900,26900,305
20180801,26950,27200,26950,27000,39
