,open,high,low,close,volume
20181109,668000,684000,668000,677000,755
20181108,680000,688000,666000,673000,1256
20181107,668000,688000,663000,665000,1721
20181106,659000,670000,650000,670000,1227
20181105,660000,665000,651000,658000,1295
20181102,638000,669000,634000,667000,2380
20181101,657000,660000,640000,640000,1870
20181031,672000,672000,657000,657000,1617
20181030,687000,693000,674000,680000,1910
20181029,690000,695000,680000,687000,1128
20181026,688000,698000,682000,690000,988
20181025,701000,701000,679000,696000,1378
20181024,675000,701000,675000,701000,1420
20181023,693000,701000,682000,689000,1389
20181022,703000,708000,689000,696000,1171
20181019,703000,710000,696000,703000,792
20181018,710000,717000,702000,704000,899
20181017,710000,716000,701000,715000,1219
20181016,716000,716000,705000,707000,1108
20181015,712000,718000,705000,711000,941
20181012,720000,722000,707000,713000,892
20181011,740000,754000,716000,716000,1729
20181010,750000,764000,745000,757000,1300
20181008,764000,765000,750000,757000,1274
20181005,765000,766000,745000,764000,1499
20181004,760000,768000,750000,765000,863
20181002,759000,764000,754000,759000,537
20181001,768000,770000,752000,763000,716
20180928,783000,783000,773000,773000,747
20180927,747000,782000,747000,779000,10703
20180921,747000,760000,744000,755000,1198
20180920,734000,745000,734000,745000,1138
20180919,730000,745000,730000,742000,1305
20180918,730000,738000,728000,737000,570
20180917,741000,744000,715000,735000,763
20180914,730000,740000,730000,740000,765
20180913,722000,731000,718000,728000,2152
20180912,719000,721000,705000,716000,1554
20180911,713000,724000,710000,720000,1348
20180910,713000,722000,713000,715000,1064
20180907,715000,719000,706000,716000,918
20180906,704000,720000,703000,713000,1223
20180905,709000,714000,702000,704000,1057
20180904,720000,720000,708000,709000,2617
20180903,722000,727000,720000,724000,552
20180831,722000,728000,715000,726000,1258
20180830,722000,725000,716000,720000,1105
20180829,724000,726000,719000,722000,897
20180828,715000,726000,714000,722000,1009
20180827,710000,718000,710000,713000,773
20180824,708000,712000,706000,707000,1213
20180823,712000,714000,708000,708000,1108
20180822,720000,721000,709000,711000,954
20180821,715000,726000,714000,714000,595
20180820,720000,727000,716000,717000,937
20180817,724000,726000,717000,717000,891
20180816,733000,741000,723000,729000,1329
20180814,734000,746000,730000,745000,690
20180813,750000,756000,735000,740000,1335
20180810,741000,758000,740000,753000,707
20180809,746000,749000,740000,745000,753
20180808,741000,753000,740000,742000,379
20180807,741000,751000,738000,748000,839
20180806,740000,753000,740000,749000,922
20180803,737000,749000,736000,740000,682
20180802,750000,756000,736000,739000,624
20180801,768000,772000,749000,757000,1173
20180731,745000,770000,744000,761000,1434
20180730,736000,747000,733000,743000,672
20180727,745000,749000,735000,743000,576
20180726,740000,747000,735000,741000,592
20180725,731000,740000,724000,732000,1117
20180724,717000,730000,712000,730000,665
20180723,718000,721000,702000,713000,893
20180720,716000,720000,700000,716000,580
20180719,722000,725000,711000,711000,1185
20180718,726000,734000,721000,721000,835
20180717,727000,731000,724000,729000,758
20180716,726000,735000,726000,733000,435
20180713,730000,737000,725000,728000,1022
20180712,728000,738000,724000,732000,1273
20180711,739000,739000,724000,725000,989
20180710,729000,741000,728000,739000,1762
20180709,731000,738000,727000,735000,737
20180706,719000,737000,719000,737000,722
20180705,733000,737000,718000,723000,1947
20180704,765000,765000,728000,733000,3221
20180703,778000,779000,768000,768000,1575
20180702,796000,806000,779000,781000,1886
20180629,803000,810000,794000,802000,971
20180628,796000,809000,787000,802000,1282
20180627,802000,805000,793000,796000,934
20180626,805000,811000,798000,807000,952
20180625,788000,808000,778000,806000,1435
20180622,800000,804000,785000,792000,2596
20180621,807000,811000,800000,802000,1622
20180620,822000,823000,808000,812000,801
20180619,814000,823000,804000,819000,2977
20180618,820000,834000,817000,820000,1047
20180615,838000,841000,821000,824000,1935
20180614,852000,852000,836000,836000,2469
20180612,834000,855000,834000,851000,1419
20180611,838000,845000,826000,840000,1183
20180608,835000,843000,829000,834000,1765
20180607,810000,845000,810000,840000,2452
20180605,808000,818000,807000,816000,1571
20180604,809000,817000,803000,814000,1388
20180601,805000,824000,803000,810000,2296
20180531,829000,829000,806000,806000,6907
20180530,842000,842000,825000,828000,2275
20180529,854000,859000,844000,848000,903
20180528,847000,861000,847000,854000,1253
20180525,864000,864000,845000,849000,1120
20180524,869000,871000,855000,864000,1400
20180523,875000,876000,861000,871000,1789
20180521,884000,887000,871000,880000,955
20180518,878000,883000,872000,882000,2114
20180517,881000,890000,876000,882000,799
20180516,891000,895000,865000,881000,1922
20180515,895000,911000,893000,900000,2012
20180514,865000,906000,865000,898000,3372
20180511,854000,866000,848000,861000,1818
20180510,844000,854000,839000,854000,1868
20180509,845000,849000,841000,844000,1308
