,open,high,low,close,volume
20181109,760,760,733,743,1769138
20181108,739,760,739,760,2425854
20181107,746,761,728,734,2286385
20181106,774,774,740,746,2185773
20181105,767,774,735,752,3295626
20181102,700,789,689,766,12701171
20181101,831,900,827,830,3228655
20181031,837,838,805,825,875368
20181030,779,829,761,820,1734127
20181029,890,908,802,805,2216022
20181026,950,973,868,900,3931627
20181025,879,901,860,887,2089714
20181024,952,968,900,901,2062789
20181023,993,997,941,951,2619236
20181022,999,1010,977,992,1562419
20181019,999,1010,972,999,3310170
20181018,1045,1050,1015,1020,2003955
20181017,1040,1115,997,1055,10764374
20181016,998,1035,994,1015,2276462
20181015,1075,1085,994,998,5433512
20181012,1050,1125,1050,1070,6062901
20181011,1100,1155,1040,1050,6221332
20181010,1240,1255,1135,1140,6819456
20181008,1180,1260,1175,1220,5786374
20181005,1210,1240,1160,1205,6804119
20181004,1210,1265,1145,1245,10987033
20181002,1280,1305,1180,1205,11009045
20181001,1390,1400,1200,1310,39358386
20180928,1185,1285,1115,1285,38390601
20180927,994,995,970,991,437102
20180921,975,985,971,985,332579
20180920,952,984,952,975,316547
20180919,980,992,965,970,480897
20180918,965,988,965,981,372307
20180917,994,994,962,965,1074910
20180914,996,998,981,994,544110
20180913,1000,1015,990,996,519204
20180912,1000,1025,998,1000,1023309
20180911,988,1010,980,1000,719699
20180910,1015,1045,981,986,3308747
20180907,974,994,969,977,512875
20180906,1010,1015,972,972,1294899
20180905,1025,1030,1000,1010,979788
20180904,1010,1030,1005,1025,992330
20180903,1020,1070,996,1010,2937018
20180831,1010,1015,994,1015,599315
20180830,1000,1015,990,999,711447
20180829,988,1030,979,1010,2574951
20180828,957,1020,956,979,2284109
20180827,961,973,945,956,928147
20180824,944,1035,942,956,4826154
20180823,939,967,932,949,577061
20180822,945,948,927,938,255466
20180821,930,948,920,941,492089
20180820,925,930,915,920,341302
20180817,880,939,880,916,352076
20180816,901,910,880,892,408630
20180814,915,920,900,912,217666
20180813,928,930,903,905,333712
20180810,939,945,921,932,548755
20180809,945,994,926,938,1460789
20180808,931,947,928,940,314474
20180807,925,985,913,940,1940662
20180806,908,935,908,922,482220
20180803,900,910,898,908,165701
20180802,913,920,898,898,334335
20180801,901,918,888,913,411286
20180731,903,928,885,901,614875
20180730,884,887,871,885,272686
20180727,882,889,871,884,347250
20180726,886,886,863,881,379238
20180725,904,904,862,875,709410
20180724,887,903,862,900,356740
20180723,920,924,886,889,786623
20180720,915,930,915,916,530993
20180719,945,950,916,922,674328
20180718,969,976,935,950,876161
20180717,970,981,964,968,463644
20180716,990,990,972,975,578476
20180713,988,996,969,988,500699
20180712,955,1025,955,976,3067443
20180711,974,975,958,960,422946
20180710,958,983,947,974,492337
20180709,957,967,940,958,336940
20180706,971,977,935,957,873384
20180705,990,1000,969,970,1085167
20180704,1015,1040,986,993,2305692
20180703,986,1005,970,1005,1354762
20180702,986,1040,958,986,3949337
20180629,969,1010,964,986,2814396
20180628,1100,1120,964,979,12032863
20180627,910,1175,893,1080,25861526
20180626,873,907,859,905,920702
20180625,839,885,830,882,1008001
20180622,925,932,832,848,3397800
20180621,960,970,942,945,403296
20180620,930,979,916,964,962475
20180619,1000,1010,945,945,1434790
20180618,1030,1040,997,1000,1464505
20180615,1035,1055,1025,1045,560381
20180614,1030,1045,1025,1035,519221
