,open,high,low,close,volume
20181109,15800,15900,15350,15400,70913
20181108,15700,15900,15550,15600,96675
20181107,15750,16200,15300,15450,192994
20181106,15300,15450,15050,15250,70447
20181105,15450,15650,15050,15250,80660
20181102,15350,15700,15250,15600,72087
20181101,15500,15800,15200,15250,53587
20181031,15500,15650,15200,15650,71783
20181030,15050,15700,14950,15500,133713
20181029,15600,16300,15500,15700,74219
20181026,16400,16900,15650,15900,88191
20181025,16900,16900,16150,16400,90403
20181024,16800,17250,16600,17150,76169
20181023,16850,17250,16350,16550,75202
20181022,17100,17400,16650,17250,54914
20181019,17250,17300,16750,17100,64512
20181018,16950,17300,16950,17250,45986
20181017,16850,17300,16800,17000,44092
20181016,16650,17100,16350,16850,71830
20181015,16000,16600,16000,16450,58830
20181012,15700,16500,15700,16150,131261
20181011,16050,16700,16000,16150,143476
20181010,16900,17250,16700,16900,107320
20181008,17200,17300,17050,17150,32962
20181005,17550,17550,16800,17200,166256
20181004,18150,18150,17300,17400,122216
20181002,18500,18600,17900,17900,116005
20181001,18600,18800,18450,18500,87722
20180928,18700,18850,18500,18850,116043
20180927,18600,19100,18500,18500,124969
20180921,19200,19250,18600,18700,105232
20180920,18750,19300,18750,18900,114877
20180919,18600,18850,18400,18700,125112
20180918,18750,19000,18500,18600,103183
20180917,19000,19200,18750,19000,89603
20180914,19350,19450,19150,19250,62917
20180913,19600,19600,19150,19200,100394
20180912,19100,19950,19000,19450,243181
20180911,18400,19200,18400,19000,101872
20180910,18450,18650,18300,18500,80818
20180907,19800,19900,18400,18600,260450
20180906,19800,20050,19550,19700,96073
20180905,20000,20150,19850,19850,65859
20180904,20050,20100,19900,20050,49925
20180903,19900,20050,19750,20050,97108
20180831,20150,20200,19550,19900,141571
20180830,20400,20700,20050,20050,82327
20180829,20150,20250,19900,20050,85240
20180828,20100,20200,19900,20050,70550
20180827,20000,20250,20000,20100,46651
20180824,20050,20300,19950,20100,63564
20180823,19950,20400,19900,20100,75488
20180822,20300,20550,19850,19950,114224
20180821,20150,20450,20050,20300,77700
20180820,19900,20250,19900,19950,58749
20180817,20050,20300,19800,19900,89843
20180816,22200,22350,19950,20000,387092
20180814,22150,22400,22100,22200,21555
20180813,22400,22750,22000,22100,51794
20180810,22050,22700,22050,22600,43312
20180809,22600,22700,22000,22050,89959
20180808,22450,22850,22400,22550,46940
20180807,23000,23000,22400,22600,49915
20180806,22600,23300,22600,22800,67975
20180803,22550,22950,22550,22800,41694
20180802,23050,23350,22500,22550,58756
20180801,22800,23400,22650,23050,105462
20180731,22800,22950,22550,22650,40129
20180730,22550,22900,22550,22750,22265
20180727,23000,23050,22750,22750,64388
20180726,23300,23300,22700,22750,67940
20180725,22850,23250,22700,23050,94704
20180724,22700,23100,22200,22800,110791
20180723,22850,23350,22500,22700,85831
20180720,23300,23550,22900,22950,109525
20180719,23700,23800,23200,23300,104888
20180718,23900,24150,23600,23700,67230
20180717,24550,24650,23800,23850,174238
20180716,25300,25600,24450,24650,108828
20180713,25900,25950,25250,25350,89441
20180712,25750,26300,25750,25900,93939
20180711,26000,26400,25550,26100,69502
20180710,26650,26750,26200,26300,54469
20180709,25950,26900,25750,26650,88783
20180706,25350,26150,25350,25950,71487
20180705,25800,26300,25150,25350,54989
20180704,25950,26300,25550,26150,44640
20180703,26350,26700,25400,26150,132902
20180702,27200,27250,26450,26450,93659
20180629,27800,27800,26750,27500,213946
20180628,26100,27700,25700,27600,294505
20180627,25700,26050,25200,25800,99865
20180626,26250,28000,25800,25800,303454
20180625,26050,26450,25450,26150,97386
20180622,26200,26500,25950,26450,78491
20180621,25850,26500,25850,26300,102425
20180620,25500,26500,25250,26050,93922
20180619,25950,26600,25150,25150,147157
20180618,25700,26200,25450,26000,124057
20180615,26500,26500,25550,25600,154828
20180614,26400,26500,25600,26500,237869
20180612,27000,27100,26150,26400,84672
20180611,27000,27250,26650,27000,87186
20180608,26650,27250,26000,27000,272255
20180607,24200,26750,24200,26650,392215
20180605,24950,25150,24300,24350,83912
20180604,24150,25100,24150,24950,130064
20180601,23850,24300,23600,24150,52263
20180531,24000,24000,23500,23950,90532
20180530,23800,24250,23650,24000,79051
20180529,24000,24400,23950,24150,35866
20180528,23700,24200,23650,24100,53551
20180525,24300,24300,23650,23700,68681
20180524,24150,24850,24100,24200,49250
20180523,24000,24500,23850,24250,58636
20180521,24750,24850,24050,24200,69803
20180518,24300,24750,24100,24700,50372
20180517,24500,25050,24400,24450,61989
20180516,24700,25050,24400,24400,83648
20180515,24800,24900,24450,24650,64246
20180514,24650,25200,24400,25000,103381
20180511,23350,24800,23350,24650,111953
20180510,23450,23900,23000,23500,125542
20180509,23800,23800,23400,23650,72394
20180508,24250,24300,23750,23800,88067
20180504,24400,24600,24100,24200,62741
20180503,24900,24900,24300,24400,53290
20180502,24500,24850,24450,24700,63743
20180430,24100,24550,24100,24500,62167
20180427,24000,24350,24000,24100,40967
20180426,24350,24350,23950,24000,100842
20180425,24350,24500,23900,24300,65157
20180424,24450,24550,24200,24250,100451
20180423,24600,24850,24400,24400,73682
20180420,24400,24750,24350,24600,63780
