,open,high,low,close,volume
20181109,15900,16150,15800,15800,891924
20181108,16000,16100,15900,15950,1394020
20181107,15900,16100,15650,15750,1067954
20181106,15750,15950,15650,15850,745565
20181105,15750,15850,15500,15700,1240327
20181102,15750,16000,15650,15900,1269374
20181101,15650,15850,15550,15650,1094757
20181031,15350,15800,15150,15750,2235650
20181030,16100,16100,15400,15400,2462224
20181029,16350,16400,16050,16100,1142868
20181026,16200,16550,16000,16150,1298335
20181025,16250,16300,15900,16150,1730426
20181024,16300,16450,16100,16450,947468
20181023,16450,16500,16050,16150,1095006
20181022,16250,16550,16250,16550,900865
20181019,16250,16450,16150,16350,795911
20181018,16250,16450,16150,16300,818633
20181017,16250,16500,16200,16350,972479
20181016,16300,16350,16050,16100,741589
20181015,16150,16400,16050,16200,719280
20181012,16150,16350,16000,16150,1270465
20181011,16600,16800,16150,16150,3013301
20181010,17100,17100,16700,16950,1230949
20181008,16950,17000,16850,16900,853609
20181005,17100,17200,16800,16800,973128
20181004,16850,17000,16700,17000,1773613
20181002,16800,16950,16550,16700,855384
20181001,16900,17050,16900,16900,1017046
20180928,16750,16900,16650,16900,1669106
20180927,16500,16800,16450,16700,1400704
20180921,16550,16700,16400,16650,2025893
20180920,16100,16400,16100,16400,1361078
20180919,16100,16200,16000,16100,828450
20180918,16250,16300,16000,16100,1689122
20180917,16150,16450,16150,16300,676865
20180914,16450,16500,16200,16300,668998
20180913,16350,16500,16200,16500,1346916
20180912,16250,16350,16150,16300,1056142
20180911,16000,16200,16000,16200,645286
20180910,15850,16100,15850,16100,709975
20180907,15900,16000,15800,16000,806782
20180906,15750,15950,15750,15750,1125829
20180905,16050,16150,15700,15750,1424582
20180904,16050,16200,16050,16100,700806
20180903,16200,16300,16050,16100,885533
20180831,16250,16350,16200,16300,899019
20180830,16600,16600,16250,16250,1185569
20180829,16350,16650,16300,16650,1125916
20180828,16350,16500,16300,16500,900899
20180827,16400,16400,16200,16350,922012
20180824,16200,16350,16200,16350,891123
20180823,16300,16350,16200,16250,744591
20180822,16250,16400,16200,16300,994363
20180821,16300,16450,16150,16350,1089890
20180820,16300,16350,16100,16250,1251060
20180817,16350,16400,16150,16250,735656
20180816,16200,16400,16150,16300,1017333
20180814,16050,16400,16050,16400,1522636
20180813,16150,16250,15850,16100,1830432
20180810,16500,16550,16250,16300,1490283
20180809,16850,16850,16450,16550,1178606
