,open,high,low,close,volume
20181109,3815,3965,3780,3870,287885
20181108,3790,3960,3750,3850,362464
20181107,3845,3950,3600,3710,354525
20181106,3950,3975,3745,3785,390473
20181105,4145,4150,3910,3920,452076
20181102,4040,4100,3925,4070,669115
20181101,3920,4035,3825,3980,924869
20181031,3745,3900,3635,3805,872767
20181030,3800,4115,3590,3740,2182389
20181029,4740,4810,3880,3910,1848933
20181026,4470,4980,4450,4895,5947488
20181025,4230,4460,4155,4395,1343022
20181024,4605,4805,4260,4330,3525588
20181023,4330,4530,4215,4330,1054069
20181022,4555,4590,4345,4405,1078682
20181019,4540,4745,4395,4740,1587333
20181018,5070,5280,4440,4675,3923912
20181017,5040,5410,4595,4770,8749108
20181016,3475,4540,3475,4540,4584579
20181015,3455,3560,3455,3495,21666
20181012,3270,3520,3270,3505,44962
20181011,3510,3600,3415,3415,91435
20181010,3770,3800,3655,3655,94222
20181008,3905,3905,3790,3800,61778
20181005,3995,3995,3850,3895,62282
20181004,4085,4085,3995,3995,36990
20181002,4015,4080,3980,4025,54584
20181001,4100,4100,4030,4030,26431
20180928,4115,4140,4040,4055,58724
20180927,4220,4245,4090,4155,66239
20180921,4090,4170,4060,4170,29149
20180920,4115,4180,4020,4090,48797
20180919,4270,4340,4070,4080,87423
20180918,4240,4485,4160,4265,153496
20180917,4315,4350,4200,4240,66746
20180914,4310,4440,4300,4360,24515
20180913,4380,4435,4300,4310,37676
20180912,4475,4545,4285,4380,52908
20180911,4455,4550,4400,4470,177503
20180910,4205,4400,4205,4395,111206
20180907,4075,4200,4065,4200,70070
20180906,4090,4175,4075,4075,63388
20180905,4150,4180,4100,4120,29813
20180904,4055,4155,4055,4150,35793
20180903,4100,4125,4050,4070,33765
20180831,4095,4130,4040,4095,23014
20180830,4060,4125,4060,4095,22624
20180829,4020,4080,4020,4060,21540
20180828,4090,4145,4035,4045,62055
20180827,4150,4250,4070,4090,104184
20180824,4365,4450,4250,4285,42595
20180823,4335,4400,4330,4365,38745
20180822,4375,4410,4305,4360,28892
20180821,4330,4455,4290,4420,106659
20180820,4280,4350,4250,4320,60682
20180817,4310,4345,4240,4280,120167
20180816,4290,4435,4220,4340,171791
20180814,4125,4300,4125,4290,122711
20180813,4075,4810,4075,4155,1042717
20180810,4105,4195,4055,4110,66863
20180809,4060,4065,4030,4055,14579
