,open,high,low,close,volume
20181109,6480,6480,6270,6380,17199
20181108,6350,6500,6200,6350,26651
20181107,6480,6490,6240,6350,23949
20181106,6370,6570,6320,6420,24380
20181105,6250,6440,6160,6410,17616
20181102,6020,6360,6020,6250,40243
20181101,6160,6300,6000,6070,49973
20181031,6300,6300,6180,6180,17077
20181030,5850,6240,5850,6170,41244
20181029,6320,6590,6060,6060,52668
20181026,6620,6630,6320,6400,54057
20181025,6820,6820,6490,6600,88757
20181024,7160,7220,6930,6930,64129
20181023,7450,7450,7010,7100,75581
20181022,7410,7470,7250,7410,44277
20181019,7480,7480,7180,7410,82544
20181018,7450,7630,7300,7480,169593
20181017,6880,7560,6800,7400,486742
20181016,6540,6780,6490,6770,58174
20181015,6630,6700,6410,6550,27461
20181012,6130,6650,6130,6630,53669
20181011,6380,6500,6150,6360,72633
20181010,6600,6690,6480,6520,10200
20181008,6700,6700,6560,6630,9737
20181005,6870,6870,6520,6630,29636
20181004,6830,6850,6720,6810,24948
20181002,6830,6950,6770,6850,34205
20181001,6790,6870,6650,6850,54677
20180928,6770,6850,6620,6730,31131
20180927,6670,6850,6650,6780,45295
20180921,6400,7030,6270,6670,160776
20180920,6400,6530,6280,6390,57039
20180919,6460,6540,6250,6440,22043
20180918,6480,6550,6400,6500,11656
20180917,6650,6650,6440,6560,23277
20180914,6570,6660,6530,6650,29298
20180913,6720,6720,6450,6530,46671
20180912,6820,6940,6550,6690,76237
20180911,6830,7040,6820,6840,82561
20180910,6700,7020,6700,6850,192739
20180907,6190,6900,6110,6680,275452
20180906,6210,6230,6060,6200,28363
20180905,6450,6450,6130,6230,52705
20180904,6410,6550,6390,6390,19960
20180903,6600,6600,6390,6420,42070
20180831,6400,6830,6380,6580,137644
20180830,5950,6380,5930,6300,106312
20180829,5750,6050,5750,5960,42615
20180828,5550,5790,5520,5770,57285
20180827,5560,5570,5500,5570,14078
20180824,5520,5600,5420,5570,24960
20180823,5570,5590,5380,5510,74439
20180822,5610,5620,5510,5560,26682
20180821,5670,5670,5540,5580,35218
20180820,5690,5690,5550,5630,18378
20180817,5650,5700,5600,5700,18946
20180816,5750,5750,5600,5650,29552
20180814,5730,5760,5670,5760,10432
20180813,5640,5800,5640,5710,17238
20180810,5610,5740,5610,5740,24763
20180809,5790,5800,5600,5600,60634
20180808,5770,5820,5700,5790,25439
20180807,5710,5730,5600,5730,38575
20180806,5670,5740,5670,5710,6714
20180803,5730,5770,5670,5710,11664
20180802,5750,5830,5670,5750,15977
20180801,5670,5780,5660,5740,15767
20180731,5710,5710,5640,5690,7524
20180730,5760,5760,5630,5690,15953
20180727,5720,5730,5610,5730,18118
20180726,5760,5760,5590,5720,17091
20180725,5800,5800,5600,5710,35143
20180724,5770,5840,5700,5740,48455
20180723,6010,6010,5750,5890,37980
20180720,5940,6000,5800,5970,22022
20180719,5980,6040,5900,5940,14861
20180718,6020,6090,5970,6000,6901
20180717,5990,6040,5900,6040,23656
20180716,6020,6090,5960,6050,11904
20180713,5990,6080,5970,6020,4341
20180712,6030,6100,5910,5990,11237
20180711,6040,6040,5910,5940,13722
20180710,6000,6090,5890,6040,31988
20180709,6110,6110,5900,6000,17959
20180706,6020,6100,5910,6060,10141
20180705,6000,6100,5920,6040,19129
20180704,5840,6170,5840,6020,24015
20180703,5860,6060,5860,5990,21802
20180702,6150,6150,5870,5880,32432
20180629,6200,6200,5900,6100,59539
20180628,6200,6340,6130,6170,18260
20180627,6300,6410,6200,6230,9790
20180626,6320,6340,6170,6270,16295
20180625,6230,6330,6130,6330,19032
20180622,6380,6480,6150,6200,55172
20180621,6350,6470,6340,6380,9896
20180620,6410,6640,6350,6420,31535
20180619,6650,6650,6380,6420,44212
20180618,6580,6650,6470,6550,40549
20180615,6600,6670,6500,6660,21093
20180614,6830,6830,6500,6580,41001
20180612,6900,6900,6660,6740,23923
20180611,6840,6840,6710,6800,31791
20180608,6870,6880,6780,6840,21537
20180607,6800,6900,6780,6870,22265
20180605,6800,6850,6730,6800,17810
20180604,6840,6850,6740,6750,24564
20180601,6770,6850,6660,6840,45802
20180531,6780,6790,6690,6700,14648
20180530,6800,6800,6600,6720,54973
20180529,6790,6890,6700,6830,35078
20180528,6660,6790,6590,6780,33839
20180525,6630,6730,6590,6650,34679
20180524,6890,6890,6650,6710,44844
20180523,6860,6940,6800,6810,36487
20180521,6990,7070,6840,6920,44126
20180518,7100,7100,6930,7010,47264
20180517,7080,7110,7010,7060,28727
20180516,7310,7310,6960,7010,122522
20180515,7090,7130,7000,7100,29694
20180514,7190,7190,6890,7090,45079
20180511,6970,7170,6920,7130,63128
20180510,6940,6990,6890,6970,23373
20180509,6900,6920,6720,6890,43537
20180508,6990,6990,6850,6900,27586
20180504,6870,6970,6860,6970,27987
20180503,7030,7060,6870,6870,25511
20180502,6710,7050,6660,7030,50480
20180430,6840,6850,6600,6840,124606
20180427,6930,6930,6710,6770,27777
20180426,6880,6950,6740,6810,58098
20180425,6870,7020,6810,6880,35692
20180424,6990,7070,6910,6950,34725
20180423,7070,7080,6940,6990,49945
20180420,7030,7110,6900,7070,37312
20180419,7100,7100,6940,7020,27081
20180418,7000,7100,6950,7070,41442
20180417,7010,7020,6830,6950,60619
20180416,6980,7120,6890,6970,58968
20180413,7170,7220,6960,6960,118442
20180412,7330,7330,7110,7170,39337
20180411,7310,7340,7110,7220,59333
20180410,7660,7660,7130,7210,101810
20180409,7510,7690,7420,7580,88311
20180406,7310,7670,7300,7510,134273
20180405,6980,7350,6980,7290,128118
20180404,7210,7230,6930,6950,59598
20180403,7140,7230,7060,7210,21067
20180402,7250,7350,7130,7170,37678
20180330,7070,7240,7010,7240,27142
20180329,7060,7140,6960,7040,74498
20180328,7290,7370,7040,7090,95514
20180327,7690,7780,7360,7410,148176
20180326,7550,8000,7520,7670,310470
20180323,7040,7750,6900,7480,406137
20180322,7150,7150,6960,7070,83233
20180321,7270,7320,7040,7150,39012
20180320,7250,7310,7200,7260,34509
20180319,7210,7400,7150,7250,104722
20180316,7100,7180,7010,7160,59019
20180315,6760,7230,6680,7100,125892
20180314,6760,6790,6670,6740,33215
20180313,6610,6740,6500,6740,33062
20180312,6510,6640,6500,6580,22182
20180309,6450,6560,6450,6500,29368
20180308,6610,6610,6420,6510,75647
20180307,6500,6590,6410,6510,22050
20180306,6500,6640,6500,6510,17856
20180305,6790,6790,6480,6480,30619
20180302,6610,6690,6510,6640,27603
20180228,6910,6980,6670,6700,37341
20180227,6920,7010,6850,6910,47011
20180226,6890,6990,6840,6930,44433
20180223,7030,7030,6890,6890,37974
20180222,7050,7070,6890,6900,34882
20180221,7000,7090,6950,7050,35408
20180220,7160,7260,7050,7050,57711
20180219,7250,7320,7110,7140,83591
20180214,7940,8170,7190,7190,531916
20180213,7190,7190,6890,7020,74657
20180212,7150,7240,7010,7020,72786
20180209,6840,7020,6650,7020,66235
20180208,6730,6910,6720,6890,23941
20180207,6900,7090,6680,6720,40296
20180206,6800,6930,6660,6920,56810
20180205,7250,7350,6980,6990,66691
20180202,7510,7520,7250,7360,62974
20180201,7630,7660,7470,7510,41720
20180131,7400,7580,7330,7580,82256
20180130,7610,7620,7400,7410,75815
20180129,7730,7740,7520,7610,94058
20180126,7470,7760,7430,7660,102709
20180125,7550,7590,7370,7570,95219
20180124,7620,7700,7370,7490,215029
20180123,6950,9020,6810,7550,1694436
20180122,6830,7130,6830,6940,116851
20180119,6560,6760,6550,6760,68670
20180118,6700,6790,6500,6560,59403
20180117,6350,7170,6240,6670,251561
20180116,6240,6350,6150,6330,25779
20180115,6170,6200,6090,6200,8830
20180112,6310,6310,6090,6170,16585
20180111,6230,6230,6050,6210,15026
20180110,6300,6300,6110,6110,26223
20180109,6220,6300,6130,6270,18324
