,open,high,low,close,volume
20181109,12200,12250,11600,11850,50550
20181108,12200,12500,12100,12200,46104
20181107,12100,12600,11500,12000,126072
20181106,12000,12150,11700,12000,63750
20181105,11450,12000,11250,11700,73057
20181102,11100,11550,11100,11500,43325
20181101,10950,11350,10900,10950,67704
20181031,10800,10950,10400,10850,89318
20181030,9970,10850,9850,10850,184319
20181029,11150,11600,10300,10400,161176
20181026,12400,12400,11300,11450,139135
20181025,11850,12500,11750,12250,74599
20181024,13000,13100,12250,12400,81996
20181023,13500,13650,12700,12800,65137
20181022,13450,13850,13300,13650,18015
20181019,13150,13800,13150,13600,49388
20181018,13200,13450,13000,13300,40278
20181017,13200,13350,13000,13300,47870
20181016,12650,13350,12650,13000,36347
20181015,12800,13050,12550,12600,50402
20181012,12000,12950,12000,12800,89913
20181011,12600,12950,12050,12100,185280
20181010,14450,14600,13200,13200,114273
20181008,14500,14850,14400,14400,40656
20181005,14600,15100,14400,14600,85354
20181004,14600,14850,14200,14600,76091
20181002,15250,15500,14450,14500,190098
20181001,15950,16050,15300,15300,141503
20180928,15700,16300,15600,16100,256104
20180927,15150,16650,14800,15850,367064
20180921,15250,15450,15000,15200,79713
20180920,15600,16100,15100,15200,177706
20180919,15850,15900,15300,15700,146822
20180918,15000,15700,14950,15600,210157
20180917,14900,15400,14800,14950,65800
20180914,15100,15150,14850,14950,76142
20180913,15150,15250,14900,15050,64580
20180912,14950,15400,14900,15000,146740
20180911,14900,15150,14800,14900,76604
20180910,14700,15100,14700,14850,60832
20180907,14650,14850,14450,14800,40865
20180906,14800,14950,14500,14650,67842
20180905,15150,15400,14850,14900,76337
20180904,15300,15300,15000,15150,73556
20180903,14800,15500,14650,15100,143926
20180831,14300,14800,14300,14800,54656
20180830,14750,14900,14450,14450,67680
20180829,14750,15150,14700,14750,89185
20180828,14900,15600,14600,14700,162370
20180827,15100,15200,14700,14900,102488
20180824,14350,15300,14150,15100,350131
20180823,13950,14400,13950,14350,57903
20180822,14300,14300,13850,13950,48548
20180821,13750,14450,13650,14200,115206
20180820,13450,13850,13300,13650,99811
20180817,13100,13350,12900,13300,64821
20180816,13350,13350,12800,12900,97390
20180814,13250,13650,13100,13600,47382
20180813,13800,13850,13100,13250,90344
20180810,14200,14200,13850,13850,39250
20180809,13800,14100,13800,14050,36668
20180808,14100,14200,13900,13900,51062
20180807,14350,14550,13950,14050,123858
20180806,13550,14150,13450,14050,100939
20180803,13650,13650,13400,13500,27451
20180802,13800,13800,13300,13500,49300
20180801,13650,13900,13500,13850,78997
20180731,13450,13850,13400,13650,83947
20180730,13250,13650,13200,13450,46768
20180727,13400,13600,13200,13300,70867
20180726,12850,14100,12650,13350,208660
20180725,13250,13250,12750,12850,61427
20180724,12800,13250,12750,13150,54109
20180723,13600,13600,12950,13000,77311
20180720,13500,13900,13400,13600,58922
20180719,14250,14400,13250,13550,118491
20180718,14650,14650,13950,14250,79380
20180717,14700,15050,14350,14550,244334
20180716,13900,14600,13900,14400,209867
20180713,13650,13750,13450,13750,75150
20180712,13200,13650,13200,13600,85603
20180711,13500,13550,13150,13300,52768
20180710,13350,13700,13100,13500,92719
20180709,13100,13550,13100,13250,119000
20180706,13500,13500,12850,13300,147090
20180705,13250,14300,13150,13400,342268
20180704,12500,13050,12500,12900,68156
20180703,12400,12850,12200,12700,91263
20180702,12900,13150,12300,12450,84814
