,open,high,low,close,volume
20181109,7560,7560,7180,7300,10710
20181108,7720,7720,7530,7560,9349
20181107,7450,7700,7300,7580,25473
20181106,7250,7450,7180,7290,6139
20181105,7140,7250,6960,7200,10888
20181102,7100,7140,6990,7100,5665
20181101,6860,7300,6790,7050,5487
20181031,6870,6890,6610,6800,1376
20181030,6250,6780,6250,6780,10986
20181029,6860,7080,6510,6670,7653
20181026,7390,7390,6780,6940,9458
20181025,7340,7340,7130,7230,4830
20181024,7610,7630,7320,7580,9007
20181023,7570,7630,7330,7600,10082
20181022,7600,7680,7520,7640,3563
20181019,7460,7590,7320,7590,2304
20181018,7630,7630,7300,7470,3860
20181017,7450,7630,7450,7580,9125
20181016,7570,7670,7350,7450,7081
20181015,7420,7740,7210,7480,3526
20181012,6710,7800,6710,7470,21963
20181011,7420,7740,7250,7270,16753
20181010,8190,8200,7760,7810,12763
20181008,8270,8410,8210,8210,9208
20181005,8500,8570,8250,8390,9906
20181004,8640,8710,8490,8510,9207
20181002,8850,9110,8550,8630,23018
20181001,8920,9250,8820,8930,40921
20180928,8730,8970,8660,8880,22991
20180927,8600,9000,8530,8720,62214
20180921,8580,8660,8510,8600,7155
20180920,8700,8880,8510,8540,40554
20180919,8550,8830,8370,8700,51172
20180918,8470,8610,8360,8540,17370
20180917,8460,8530,8380,8450,9786
20180914,8530,8540,8400,8460,15182
20180913,8590,8590,8400,8500,14849
20180912,8520,8580,8400,8520,18595
20180911,8550,8550,8470,8480,10753
20180910,8540,8630,8470,8470,13669
20180907,8420,8490,8370,8460,8920
20180906,8530,8590,8300,8370,12344
20180905,8600,8700,8500,8530,11839
20180904,8650,8760,8570,8630,6381
20180903,8650,8760,8530,8650,9138
20180831,8640,8670,8610,8650,4424
20180830,8650,8700,8590,8640,4999
20180829,8540,8710,8540,8650,9262
20180828,8680,8850,8530,8580,21564
20180827,8670,8940,8530,8620,36901
20180824,8440,8690,8300,8680,41341
20180823,8400,8490,8360,8390,6597
20180822,8470,8500,8330,8400,7794
20180821,8330,8630,8250,8440,27485
20180820,8300,8400,8220,8280,12442
20180817,8190,8290,8120,8220,17392
20180816,8440,8440,8090,8150,17879
20180814,8310,8450,8150,8450,11236
20180813,8620,8620,8230,8300,18827
20180810,8740,8750,8480,8620,20079
20180809,8760,8760,8520,8590,24500
20180808,9020,9120,8580,8690,105493
20180807,9180,10200,8800,9000,631113
20180806,8430,8840,8380,8760,40444
20180803,8340,8440,8200,8390,7832
20180802,8620,8620,8250,8320,7248
20180801,8650,8650,8430,8540,6948
20180731,8720,8720,8400,8470,17139
20180730,8340,8850,8240,8550,44340
20180727,8350,8430,8170,8240,7319
20180726,8200,8530,8090,8350,25786
20180725,8400,8480,8050,8200,7686
20180724,8030,8420,8030,8260,12381
20180723,8220,8400,7950,8030,9585
20180720,8510,8510,8200,8220,17475
20180719,8670,8670,8320,8320,10042
20180718,9030,9030,8450,8640,15970
20180717,8950,9050,8720,8830,13111
20180716,9120,9120,8780,8890,15923
20180713,8770,8880,8540,8770,10882
20180712,8550,8840,8420,8620,7835
20180711,8450,8570,8320,8510,12428
20180710,8270,8520,8270,8510,11091
20180709,8400,8680,8240,8350,34518
20180706,8500,8800,8300,8500,32487
20180705,8800,9250,8500,8600,67049
20180704,8860,9140,8600,8790,25210
20180703,8500,9340,8500,8880,140650
20180702,9270,9270,8500,8590,15541
20180629,8780,9160,8500,9050,25096
20180628,8860,9080,8330,8820,24526
20180627,9080,9580,8740,8860,66939
20180626,9320,9380,9050,9080,23959
20180625,9700,9830,9310,9310,47959
20180622,10550,10800,9560,9920,113420
20180621,11700,11800,10550,10600,134259
20180620,10700,12200,10250,11550,283817
20180619,11550,11700,10500,10700,167876
20180618,11550,13050,11000,11300,336146
20180615,10100,12650,9870,10750,668346
20180614,9600,9980,9340,9850,89298
20180612,9440,11500,9410,9800,731309
20180611,9680,9680,9280,9410,31286
20180608,9660,9740,9230,9480,89802
20180607,8950,10500,8850,9760,273769
20180605,9270,9270,8630,8920,27092
20180604,9300,9460,9120,9170,44127
20180601,9140,9460,9040,9160,34205
20180531,9050,9250,8800,9150,32606
20180530,9130,9130,8690,8940,39567
20180529,9470,9860,8970,9130,92404
20180528,8800,9100,8800,9100,96246
20180525,8500,8950,8300,8760,71524
20180524,9310,9310,8520,8780,126284
20180523,10700,11050,9150,9280,344486
20180521,10700,11150,10000,10400,476063
20180518,9670,12150,9210,11000,1635507
20180517,8500,9850,8500,9370,267409
20180516,8400,8780,8350,8520,26581
20180515,8780,8780,8320,8530,13685
20180514,8550,8820,8500,8700,48443
20180511,8170,8710,8160,8410,57071
20180510,8180,8180,7960,8170,12498
20180509,7880,8130,7870,8050,19277
20180508,7830,8110,7760,7840,14608
20180504,7700,7830,7700,7740,7741
20180503,7550,7830,7550,7700,6517
20180502,7600,7770,7510,7680,12835
20180430,7980,8190,7650,7780,9865
20180427,8190,8280,7950,8030,11579
20180426,7930,7990,7880,7940,2941
20180425,7750,8000,7750,7920,5775
20180424,7970,8080,7900,7960,1715
20180423,7750,8050,7750,7960,12257
20180420,8050,8250,7960,8130,3396
20180419,8490,8580,7900,8050,20836
20180418,8900,8900,8410,8410,12025
20180417,8910,8910,8660,8810,9570
20180416,8690,8860,8520,8800,10319
20180413,8440,8770,8350,8690,14559
20180412,8680,8730,8390,8400,13779
20180411,8660,8880,8520,8620,22788
20180410,8650,8680,8420,8630,18867
20180409,8260,8590,8220,8430,25430
20180406,8220,8400,8220,8330,9636
20180405,8210,8400,8190,8370,10307
20180404,8450,8450,8090,8170,6166
20180403,8340,8380,8160,8270,8343
20180402,8560,8560,8350,8350,10523
20180330,8510,8620,8450,8560,8015
20180329,8580,8850,8380,8460,48991
20180328,8500,8530,8310,8360,11999
20180327,8480,8710,8350,8470,20815
20180326,8120,8460,8000,8370,25512
20180323,8270,8330,8040,8170,17833
20180322,8470,8600,8280,8400,49588
20180321,8430,8560,8270,8350,38039
20180320,8300,8440,8160,8350,29601
20180319,8850,8850,8250,8300,58521
20180316,8510,8830,8510,8720,50500
20180315,9110,9370,8430,8610,141799
20180314,9030,9350,8560,8870,210463
20180313,10450,11650,8930,9330,1785208
20180312,7600,9710,7480,9710,342130
20180309,7440,7590,7400,7470,3383
20180308,7330,7480,7330,7440,2300
20180307,7380,7460,7320,7330,6989
20180306,7200,7320,7200,7300,1645
20180305,7460,7510,7170,7170,5150
20180302,7360,7580,7360,7460,3312
20180228,7640,7680,7390,7490,10189
20180227,7600,7700,7580,7640,4508
20180226,7670,7680,7490,7600,9282
20180223,7500,7600,7300,7490,6822
20180222,7480,7720,7400,7470,26475
20180221,7310,7460,7290,7370,17750
20180220,7230,7450,7210,7340,12055
20180219,7340,7340,7170,7220,6492
20180214,7340,7410,7150,7270,9407
20180213,7620,7730,7300,7360,20430
20180212,7870,7950,7630,7650,39709
20180209,7400,7830,7230,7660,42895
20180208,7300,7520,7210,7450,29664
20180207,7190,7980,7050,7300,337435
20180206,7110,7200,6810,7030,29234
20180205,6900,7460,6820,7200,90078
20180202,7100,7140,6900,6980,8006
20180201,7090,7170,7040,7100,5626
20180131,7060,7090,6910,7040,2983
20180130,7150,7240,7060,7060,5270
20180129,7100,7190,7100,7170,4329
20180126,7000,7190,7000,7110,10451
20180125,7040,7090,6930,7090,8775
20180124,6950,7050,6850,7040,9619
20180123,6980,7000,6550,6940,19007
20180122,6990,6990,6940,6990,13673
20180119,6760,7050,6760,6880,23010
20180118,6690,6820,6660,6710,16822
20180117,6750,6750,6680,6740,7732
20180116,6620,6810,6620,6730,24829
20180115,6840,6930,6780,6800,9327
20180112,6850,6930,6800,6840,18394
20180111,6790,6830,6660,6830,13241
20180110,6680,6730,6670,6710,3810
20180109,6600,6680,6600,6680,8207
20180108,6630,6650,6520,6640,5432
20180105,6600,6670,6540,6630,13668
20180104,6700,6740,6540,6600,26899
20180103,6760,6790,6640,6700,23146
20180102,6850,6850,6650,6730,16986
20171228,6950,6950,6800,6840,13616
20171227,6980,6980,6840,6930,16212
20171226,6880,7080,6780,6980,5027
20171222,6880,6890,6730,6880,2890
20171221,6890,6940,6750,6810,2301
20171220,6850,6940,6800,6900,826
20171219,6930,6950,6800,6860,4596
20171218,7090,7110,6910,6920,4704
20171215,7030,7030,6920,7030,4700
20171214,7000,7050,6970,6970,4095
20171213,7000,7080,6930,7020,2470
20171212,7030,7030,6940,6950,1777
20171211,6960,7080,6830,6990,5138
20171208,7150,7150,6920,6930,8133
20171207,7390,7390,7060,7130,9032
20171206,7200,7330,7160,7250,7750
20171205,7200,7230,7130,7230,2209
20171204,7220,7260,7140,7200,9104
20171201,7110,7220,7060,7220,2760
20171130,7090,7160,7050,7060,4702
20171129,7270,7270,7090,7120,15475
20171128,7420,7450,7200,7250,26628
20171127,7330,7400,7230,7370,19125
20171124,7490,7570,7320,7330,17098
20171123,7400,7480,7310,7470,6027
20171122,7680,7760,7310,7400,35784
20171121,7680,7880,7530,7650,94924
20171120,7350,7540,7330,7540,21871
20171117,7410,7680,7300,7450,73322
20171116,7460,7460,7230,7330,11714
20171115,7290,7470,7220,7300,33358
20171114,7130,7300,7080,7290,12264
20171113,7280,7280,7070,7170,8196
20171110,7350,7390,7120,7210,18898
20171109,7130,7660,7080,7260,143436
20171108,7160,7170,6950,7080,10103
20171107,7250,7250,7010,7090,12468
20171106,7100,7210,6950,7200,33962
20171103,7030,7140,6960,7030,14168
20171102,7030,7070,6880,6990,8604
20171101,6970,7120,6870,7000,17009
20171031,6900,7090,6860,6880,9360
20171030,7030,7030,6820,6860,7442
20171027,7060,7130,6890,6910,35481
20171026,7130,7850,6980,7020,418468
20171025,7050,7340,6920,6980,89904
20171024,6960,6970,6850,6960,4466
20171023,6830,7070,6780,6890,35624
20171020,6790,6820,6700,6770,3147
20171019,6890,6890,6710,6760,6449
20171018,6850,6850,6720,6840,4183
20171017,6930,6930,6700,6800,7916
20171016,7140,7140,6770,6840,7254
20171013,7140,7140,6880,6930,8367
20171012,7070,7070,6890,6930,1858
20171011,6910,7190,6850,6950,25595
20171010,6970,6970,6700,6810,1356
20170929,6780,6930,6780,6840,2504
20170928,6870,6870,6800,6860,1813
20170927,6800,6840,6600,6800,6967
20170926,6680,6760,6550,6730,3219
20170925,6710,6840,6600,6620,16924
20170922,7060,7090,6810,6830,15325
20170921,7350,7400,7060,7060,41880
20170920,7150,7400,7050,7160,83968
20170919,7070,7800,6950,7090,336337
20170918,7140,7140,6980,6980,5054
20170915,7000,7180,6980,7040,5726
20170914,7000,7050,6930,7040,6064
20170913,7140,7150,6980,7020,11383
20170912,7090,7130,7000,7110,15586
20170911,7200,7200,7050,7120,17149
20170908,7240,7310,7130,7200,6828
20170907,7230,7320,7170,7240,7506
20170906,7180,7200,7090,7200,5213
20170905,7190,7270,7110,7140,17191
20170904,7020,7300,7020,7180,27195
20170901,7260,7470,7240,7320,51248
20170831,7200,7310,7150,7240,25961
20170830,7150,7700,7110,7190,191697
20170829,7070,7360,7050,7100,46327
20170828,7060,7220,7010,7100,36174
20170825,7140,7140,7010,7050,25222
20170824,7170,7350,7090,7110,33347
20170823,7130,7270,7080,7140,39263
20170822,7180,7250,7070,7120,35421
20170821,7510,7700,7180,7180,83292
20170818,7270,7340,7100,7340,74301
20170817,7390,7560,7230,7280,118733
20170816,8030,8220,7210,7290,365111
20170814,7620,9010,7530,7870,1792458
20170811,8010,8760,7210,7510,1710962
20170810,6990,8680,6940,8350,2365765
20170809,6690,7070,6560,6680,32682
20170808,6830,6830,6620,6660,3807
20170807,6700,6960,6700,6830,4032
20170804,6780,6880,6650,6760,10308
20170803,6620,7240,6500,6760,66553
20170802,6590,6660,6450,6580,3079
20170801,6430,6570,6400,6540,5515
20170731,6440,6490,6280,6360,2999
20170728,6620,6620,6260,6370,16463
20170727,6700,6750,6510,6620,8033
20170726,6810,6820,6630,6700,2177
