,open,high,low,close,volume
20181109,17800,17800,17150,17350,716
20181108,17600,18800,17150,17800,2351
20181107,16350,17800,16350,17450,1933
20181106,16500,16600,16200,16350,788
20181105,16400,16700,16400,16600,201
20181102,16150,16450,16150,16450,895
20181101,16650,16700,16050,16150,841
20181031,17150,17150,16150,16450,1048
20181030,17050,17050,16300,16850,169
20181029,17550,17550,16950,16950,80
20181026,17900,17900,17000,17550,846
20181025,17350,17600,17000,17600,213
20181024,17950,17950,17400,17700,75
20181023,17950,17950,17550,17700,168
20181022,17800,18200,17800,18150,365
20181019,17600,17950,17600,17950,145
20181018,17600,18000,17400,17650,262
20181017,17850,17900,17450,17600,288
20181016,17350,17850,17350,17600,219
20181015,17950,18050,17700,17750,120
20181012,16950,17650,16950,17650,324
20181011,17650,17700,16950,16950,200
20181010,18050,18100,17100,17600,1268
20181008,18350,18350,17800,17900,987
20181005,18750,18850,18000,18250,1117
20181004,18650,18650,18250,18350,17
20181002,18500,18500,18300,18300,418
20181001,18900,19000,18650,18650,614
20180928,18650,18800,18600,18600,1007
20180927,18600,18650,18300,18650,913
20180921,18650,18650,18300,18500,810
20180920,18600,18600,18400,18600,516
20180919,18600,18750,18400,18500,492
20180918,18300,18500,18000,18500,996
20180917,18250,18500,18250,18300,377
20180914,18800,18800,17650,18400,733
20180913,18650,18650,18400,18450,655
20180912,18500,18650,18400,18600,471
20180911,18450,18600,18400,18500,297
20180910,18400,18500,18350,18450,166
20180907,18550,18550,18350,18350,101
20180906,18400,18550,18150,18450,555
20180905,18350,18800,18350,18400,1628
20180904,18550,18800,18300,18800,418
20180903,18400,18550,18200,18400,1070
20180831,18650,18800,18000,18000,497
20180830,18500,18650,18450,18500,149
20180829,18450,18650,18450,18500,398
20180828,19150,19150,18400,18650,678
20180827,19000,19200,18600,18650,630
20180824,19400,19400,18750,19050,401
20180823,18900,18900,18500,18750,31
20180822,18650,18900,18500,18850,112
20180821,18700,18900,18500,18650,187
20180820,18800,18800,18350,18700,648
20180817,18150,18800,18150,18800,2306
20180816,18500,18750,18500,18650,69
20180814,18400,18900,18350,18800,136
20180813,18500,18900,18400,18400,383
20180810,19000,19000,18450,18650,933
20180809,19050,19250,18700,18900,655
20180808,19700,19700,18750,19400,1310
20180807,18750,19850,18750,19500,5799
20180806,19000,19000,18700,18750,125
20180803,18950,18950,18600,18800,185
20180802,18700,18900,18500,18900,397
20180801,18750,18750,18300,18700,484
20180731,18700,18700,18500,18650,17
20180730,18400,18650,18400,18650,84
20180727,18800,18850,18550,18700,130
20180726,18250,18650,17850,18650,452
20180725,18350,18450,17950,17950,581
20180724,18000,18300,18000,18300,698
20180723,18550,18650,17800,18000,1280
20180720,19200,19200,18700,18800,337
20180719,19050,19200,18600,19000,454
20180718,19100,19300,19100,19100,215
20180717,19400,19400,18900,19050,96
20180716,19050,19250,18700,19150,312
20180713,18750,19150,18750,18950,875
20180712,18650,19100,18650,19100,169
20180711,19150,19150,18500,19000,880
20180710,18850,18950,18600,18850,201
20180709,18650,19100,18650,18900,495
20180706,19400,19400,18700,19150,857
20180705,19350,19400,19000,19250,33
20180704,18900,19050,18750,19050,1233
20180703,18350,18950,18350,18800,2892
20180702,19150,19250,18500,18500,942
20180629,19600,19650,19200,19400,374
20180628,19500,19800,19000,19500,2695
20180627,20200,20200,19800,20000,1888
20180626,20750,20750,20000,20200,712
20180625,20500,20850,20350,20500,416
20180622,20650,20900,20550,20700,1082
20180621,21100,21100,20700,21000,3226
20180620,20900,21500,20900,21150,1100
20180619,21950,21950,20900,20900,3334
20180618,21950,22300,21500,21700,5820
20180615,21350,22750,21350,21700,6270
20180614,20700,21200,20500,21100,1498
20180612,21500,22450,21000,21200,10419
20180611,21550,21700,21050,21050,241
20180608,21550,21600,20950,21550,1646
20180607,20500,21650,20400,21650,7341
20180605,20350,20650,20000,20600,1860
20180604,20750,20950,20150,20350,1422
20180601,21100,22000,20700,20700,4529
20180531,20300,20850,19650,20700,1792
20180530,20500,20750,19800,20700,1797
20180529,21500,21550,20750,20750,3330
20180528,21400,21500,20750,21100,5182
20180525,20000,21400,20000,21400,3052
20180524,22500,22500,20450,21000,8133
20180523,25100,25100,22500,22500,15347
20180521,22600,25000,22400,25000,35372
20180518,21950,27150,21500,22650,62144
20180517,21400,22000,21400,21850,7013
20180516,21200,21650,21100,21400,2305
20180515,22100,22100,21250,21500,6240
20180514,22450,22650,21950,22350,11555
20180511,20600,22500,20600,21500,15132
20180510,20450,20450,19900,20200,3794
20180509,19350,20300,19350,20300,5239
20180508,18950,19400,18950,19250,3531
20180504,18700,18850,18650,18650,459
20180503,18600,18800,18600,18800,725
20180502,18900,19100,18600,18900,2114
20180430,19450,19450,18900,19200,1087
20180427,20000,20100,19450,19600,1899
20180426,19500,19850,19500,19550,876
20180425,18950,19600,18950,19450,1881
20180424,18950,19100,18850,18950,251
20180423,19100,19100,18700,18800,1749
20180420,18850,19100,18800,19100,1716
20180419,19500,19500,18800,18900,2637
20180418,19750,19800,19550,19550,1342
20180417,19700,19850,19550,19700,2256
20180416,19950,20150,19800,19850,980
20180413,19650,19900,19600,19900,1458
20180412,19900,20150,19650,19800,994
