,open,high,low,close,volume
20181109,2555,2570,2510,2545,168301
20181108,2600,2605,2540,2555,161783
20181107,2530,2630,2500,2530,348336
20181106,2480,2530,2470,2530,189598
20181105,2450,2485,2420,2475,238247
20181102,2380,2490,2380,2480,433214
20181101,2340,2400,2330,2345,388043
20181031,2255,2335,2250,2320,279721
20181030,2180,2270,2160,2250,469009
20181029,2310,2365,2210,2210,409302
20181026,2390,2405,2305,2340,321830
20181025,2350,2405,2320,2370,459431
20181024,2450,2490,2415,2415,254169
20181023,2500,2530,2425,2445,233684
20181022,2450,2530,2445,2515,129747
20181019,2440,2470,2395,2465,206714
20181018,2480,2540,2420,2450,187525
20181017,2455,2515,2445,2500,204848
20181016,2390,2445,2365,2425,208915
20181015,2415,2425,2390,2400,268487
20181012,2305,2435,2305,2430,400476
20181011,2500,2500,2365,2380,1030563
20181010,2710,2710,2550,2575,321368
20181008,2700,2735,2680,2700,206081
20181005,2730,2750,2685,2710,139029
20181004,2835,2895,2715,2740,289103
20181002,2905,2905,2815,2815,204254
20181001,2890,2930,2885,2900,160681
20180928,2850,2910,2825,2900,261515
20180927,2780,2870,2775,2860,306783
20180921,2750,2800,2750,2760,244084
20180920,2795,2820,2725,2740,305519
20180919,2805,2820,2785,2795,148442
20180918,2805,2815,2780,2800,107828
20180917,2880,2880,2800,2830,238760
20180914,2835,2915,2835,2880,325553
20180913,2815,2825,2795,2820,133030
20180912,2800,2800,2765,2800,305757
20180911,2800,2800,2765,2800,159721
20180910,2785,2790,2740,2790,89303
20180907,2750,2790,2725,2780,100371
20180906,2755,2775,2720,2755,145615
20180905,2780,2795,2750,2750,145938
20180904,2805,2805,2775,2800,103769
20180903,2810,2810,2780,2785,89006
20180831,2770,2805,2750,2800,113593
20180830,2805,2810,2765,2785,153096
20180829,2760,2815,2750,2795,189671
20180828,2800,2830,2750,2760,363223
20180827,2715,2780,2705,2760,252765
20180824,2705,2745,2685,2740,169520
20180823,2725,2735,2685,2715,197443
20180822,2745,2760,2715,2715,169788
20180821,2660,2740,2655,2730,373598
20180820,2655,2690,2645,2655,189587
20180817,2615,2655,2600,2650,249061
20180816,2555,2600,2530,2580,319957
20180814,2575,2615,2550,2565,728687
20180813,2650,2675,2545,2575,1046541
20180810,2790,2790,2650,2670,1023202
20180809,2875,2890,2790,2795,608294
20180808,2885,2925,2870,2890,267739
20180807,2905,2910,2850,2880,144242
20180806,2885,2920,2875,2900,141544
20180803,2890,2895,2870,2880,133034
20180802,2920,2935,2855,2870,214098
20180801,2905,2955,2900,2935,225044
20180731,2865,2900,2855,2900,165126
20180730,2855,2875,2835,2870,233800
20180727,2900,2900,2855,2875,223396
20180726,2895,2920,2860,2885,356503
20180725,2850,2910,2835,2855,276215
20180724,2830,2865,2780,2845,271345
20180723,2895,2910,2825,2825,278395
20180720,2885,2940,2850,2895,479212
20180719,2965,3090,2875,2905,941926
20180718,2960,3020,2925,2930,255980
20180717,2980,2995,2945,2945,200741
20180716,3030,3035,2940,2980,237755
20180713,2920,3010,2915,3005,333720
20180712,2915,2925,2855,2900,380550
20180711,2950,2950,2880,2920,275225
20180710,2980,3010,2935,2975,339119
20180709,2945,2950,2880,2945,165086
20180706,2875,2950,2835,2940,412689
20180705,2845,2875,2765,2830,439987
20180704,2850,2925,2845,2860,422539
20180703,2900,2945,2820,2865,526670
20180702,2980,3050,2895,2895,515550
20180629,3035,3060,2950,3005,313347
20180628,3055,3105,3020,3020,371382
20180627,3120,3130,3070,3100,129487
20180626,3100,3135,3045,3115,182730
20180625,3050,3150,3040,3150,271779
20180622,3095,3115,3030,3085,346823
20180621,3175,3200,3095,3105,272637
20180620,3105,3195,3100,3175,265968
20180619,3210,3250,3100,3105,607500
20180618,3320,3335,3170,3220,711422
20180615,3410,3430,3335,3335,251801
20180614,3455,3455,3380,3390,334494
20180612,3525,3530,3475,3480,200509
20180611,3490,3520,3450,3505,315920
20180608,3510,3510,3440,3465,246317
20180607,3470,3530,3455,3510,459193
20180605,3390,3435,3365,3435,276249
20180604,3350,3395,3320,3380,386403
20180601,3370,3385,3320,3340,601525
20180531,3495,3505,3350,3380,703833
20180530,3545,3575,3370,3440,1026823
20180529,3590,3620,3565,3590,290453
20180528,3580,3640,3540,3630,392835
20180525,3500,3530,3460,3495,423310
20180524,3575,3665,3535,3555,413295
20180523,3615,3640,3540,3540,567549
20180521,3670,3680,3610,3615,429501
20180518,3670,3685,3610,3670,447164
20180517,3765,3840,3655,3670,753273
20180516,3755,3765,3705,3740,419914
20180515,3870,3870,3745,3805,685934
20180514,3900,3935,3835,3870,848805
20180511,3680,3920,3680,3855,1717635
20180510,3620,3680,3600,3640,273531
20180509,3685,3705,3520,3610,529808
20180508,3805,3835,3670,3680,500736
20180504,3635,3810,3635,3760,989996
20180503,3670,3740,3665,3680,224565
