,open,high,low,close,volume
20181109,236000,243000,229000,235000,375249
20181108,243500,247000,233000,240000,579572
20181107,254500,256500,236000,237500,637970
20181106,243000,290000,242000,250000,2285194
20181105,231000,231000,229000,231000,530551
20181102,169500,179500,169500,178000,90530
20181101,169000,172500,168000,169000,106220
20181031,183500,184500,164500,167500,330484
20181030,189000,196000,188500,194000,36570
20181029,198000,201500,189000,190000,40872
20181026,203000,204500,193000,197500,33146
20181025,205000,206000,200000,204500,37007
20181024,204500,208500,202500,206500,30655
20181023,206500,208000,199500,201500,33035
20181022,210000,210000,205500,207000,33474
20181019,209500,212000,205500,212000,25898
20181018,209000,211000,208000,209500,21202
20181017,211000,211500,207500,209000,29552
20181016,208500,210000,204000,208500,32554
20181015,209000,212000,206500,208500,29696
20181012,206500,211500,206000,209000,46102
20181011,211500,215000,206500,206500,43401
20181010,221500,222500,214000,215500,26969
20181008,219500,227000,219500,220500,30343
20181005,232500,232500,222000,224500,53296
20181004,232000,235000,230000,233000,22304
20181002,236500,236500,232000,233000,32963
20181001,241000,242000,236000,238000,23900
20180928,240000,243500,240000,242500,34980
20180927,236000,243500,235500,242500,45701
20180921,242500,242500,235500,237500,37337
20180920,236000,245000,235000,238500,47190
20180919,237000,238000,232000,238000,26320
20180918,239000,239000,235500,236500,25233
20180917,239000,241500,238500,239500,18262
20180914,240000,243000,238500,240000,17168
20180913,241000,242500,237000,240000,35355
20180912,241500,244000,237000,239000,23767
20180911,239500,241000,237500,240500,14660
20180910,238500,243000,236500,239500,19182
20180907,238500,241500,236500,241000,21881
20180906,240000,241500,237000,238000,26552
20180905,238000,245000,238000,240500,40395
20180904,237500,239500,235000,238500,39438
20180903,240000,240500,235000,238500,25642
20180831,230000,239500,227500,239000,72966
20180830,231500,232000,227500,229000,20592
20180829,230500,232000,230000,231500,16632
20180828,231000,232000,229000,229500,15484
20180827,231000,234000,230000,231000,17416
20180824,229000,230500,227500,230000,15231
20180823,228000,230500,227500,230000,27539
20180822,227000,229500,227000,227500,14148
20180821,228500,229500,226000,227000,25884
20180820,228000,229000,224500,226500,17676
20180817,220000,227000,219500,226000,30190
