,open,high,low,close,volume
20181109,246000,249000,232500,236000,5606
20181108,259000,270000,240500,250500,12162
20181107,287000,290000,240500,244000,20134
20181106,286000,296000,257500,272500,26556
20181105,228000,228000,228000,228000,1685
20181102,170500,175500,167000,175500,213
20181101,167000,172500,166000,167500,686
20181031,189000,199000,161000,163500,2974
20181030,181000,189500,181000,189500,104
20181029,195000,199500,184000,185000,540
20181026,191000,201500,191000,195500,739
20181025,194000,202500,189500,195000,1259
20181024,195000,200500,194000,198000,1201
20181023,200000,202000,197000,197000,536
20181022,203000,203500,199000,199500,494
20181019,202000,207500,197500,199500,548
20181018,202000,209000,201000,203500,469
20181017,201000,203000,201000,202000,28
20181016,201000,202000,201000,202000,26
20181015,201000,202000,201000,201000,32
20181012,212000,212000,196000,201000,565
20181011,208000,219500,201500,204500,161
20181010,211000,226000,211000,212000,79
20181008,221000,221000,217000,219500,83
20181005,223500,227500,223000,223000,118
20181004,236000,236000,228000,231000,37
20181002,229500,230000,229500,230000,18
20181001,222500,230000,222500,230000,22
20180928,230000,230000,230000,230000,14
20180927,233000,233000,228000,229500,48
20180921,230000,230000,228000,228000,29
20180920,228500,230500,228000,228500,134
20180919,228000,228000,228000,228000,10
20180918,228000,228000,228000,228000,20
20180917,228000,230000,228000,228000,241
20180914,229000,229500,225000,226000,33
20180913,223000,223000,223000,223000,13
20180912,234000,234000,223000,223500,99
20180911,234000,234000,219500,220500,40
20180910,225000,225000,220000,220500,6
20180907,220000,225000,219000,219000,121
20180906,222000,225000,219500,220000,548
20180905,222000,224000,217000,224000,166
20180904,223000,223000,211500,217000,62
20180903,215000,220500,215000,215000,18
20180831,210000,221000,210000,215000,92
20180830,211500,211500,208500,208500,10
20180829,211000,211500,211000,211500,3
20180828,208000,211000,208000,211000,5
20180827,212000,212000,207000,211500,94
20180824,211000,212000,211000,212000,15
20180823,207000,211000,207000,211000,111
20180822,207000,211500,206500,209000,78
20180821,212000,212000,210000,210000,28
20180820,216000,216000,206500,210000,31
20180817,211000,211000,211000,211000,12
20180816,210000,210500,208500,208500,27
20180814,208000,210000,208000,210000,65
20180813,209500,209500,208500,208500,4
20180810,208500,208500,208500,208500,10
20180809,208500,209000,208500,209000,212
20180808,215000,215000,204500,209000,225
20180807,204000,210000,204000,209500,71
20180806,215000,215000,212000,212000,32
20180803,209500,210000,209500,210000,12
20180802,209000,213000,209000,210500,23
20180801,209500,209500,209500,209500,2
20180731,208000,208000,208000,208000,8
20180730,208000,208000,203500,207500,29
20180727,203500,208000,203500,208000,102
20180726,204500,210000,201500,203500,52
20180725,204500,205000,201500,204000,20
20180724,205000,205500,205000,205000,17
20180723,201000,205500,201000,205000,7
20180720,206000,206000,205500,205500,7
20180719,202500,202500,201500,201500,8
20180718,203500,203500,201500,203000,28
20180717,203500,208000,203500,203500,29
20180716,205500,205500,205000,205000,5
20180713,205500,205500,205500,205500,2
20180712,205500,205500,205500,205500,0
20180711,206500,206500,206500,206500,0
20180710,208000,208000,202500,206500,12
20180709,211000,211000,201000,201000,12
20180706,200000,200000,200000,200000,11
20180705,201500,201500,201500,201500,16
20180704,195000,201500,195000,201500,82
20180703,198500,200000,195500,200000,53
20180702,200500,200500,200500,200500,1
20180629,198500,199500,198500,199500,6
20180628,199500,202500,199000,202500,13
20180627,204500,204500,200500,203500,23
20180626,204500,204500,204500,204500,0
20180625,204000,207000,204000,207000,7
20180622,204000,204000,204000,204000,0
20180621,202000,204000,202000,204000,11
20180620,199000,203000,199000,203000,24
20180619,210000,210000,201000,201000,37
20180618,212000,212000,206500,210500,31
20180615,209000,220000,209000,213000,45
20180614,210000,210000,205000,209000,19
20180612,206000,210000,206000,209500,16
20180611,206000,208500,206000,208500,31
20180608,201500,205500,201500,205500,17
20180607,210000,210000,204000,206000,72
20180605,210000,210000,205500,208500,31
20180604,211000,211000,210000,210000,18
20180601,211000,211000,211000,211000,6
20180531,213000,213500,206500,210500,38
20180530,207500,210000,205000,210000,59
20180529,207500,210000,207500,207500,72
20180528,207500,210000,207000,207000,48
20180525,203000,207000,202000,207000,18
20180524,209000,209000,205500,208500,6
20180523,209000,209000,204500,208000,606
20180521,205000,206500,202000,205000,27
20180518,206000,206000,203000,205000,6
20180517,206000,206000,204000,204000,15
20180516,206000,206000,206000,206000,1
20180515,193500,206000,193500,206000,54
20180514,210000,210000,207000,209500,56
20180511,205000,205000,205000,205000,36
20180510,200000,204500,200000,204000,39
20180509,205000,205000,197500,203000,26
20180508,204500,204500,204000,204000,5
20180504,204000,204000,200500,200500,41
20180503,200000,202500,200000,202500,9
20180502,200000,203000,199500,202500,27
20180430,198000,200500,196000,200000,32
20180427,200000,204000,200000,204000,62
20180426,200000,200000,200000,200000,17
20180425,201000,203500,200000,200000,17
20180424,200000,205000,200000,203500,49
20180423,209000,209000,204000,208000,66
20180420,209000,209000,209000,209000,13
20180419,205000,209000,204000,209000,60
20180418,210500,213000,210500,212500,5
20180417,214000,215500,210500,210500,109
20180416,210000,220000,208000,208000,241
20180413,211000,211000,210000,210000,163
20180412,208000,213000,208000,208500,57
20180411,215000,215500,206500,208500,182
20180410,208000,215000,207000,214500,606
20180409,195000,207500,195000,207000,232
20180406,193500,195000,189000,194500,26
20180405,195000,195000,190500,193500,34
20180404,193000,193000,190000,190000,20
20180403,192000,192000,192000,192000,42
20180402,187000,192000,187000,192000,13
20180330,190500,190500,190500,190500,67
20180329,190000,192000,190000,191500,14
20180328,190000,190000,190000,190000,5
20180327,192000,192000,191000,192000,4
20180326,189000,192000,189000,192000,49
20180323,186500,190500,186000,189500,51
20180322,191000,191000,186500,187000,18
20180321,185500,190000,185500,190000,17
20180320,185000,190000,182500,189000,77
20180319,187000,190000,187000,189500,142
20180316,184500,188000,184500,188000,11
20180315,189000,189000,188000,188500,16
20180314,179000,187000,179000,187000,78
20180313,183000,185500,183000,183000,76
20180312,185000,185000,185000,185000,17
20180309,184000,186500,184000,184000,8
20180308,179000,184500,178500,184000,36
20180307,185000,186000,182000,182000,10
20180306,183000,186000,183000,186000,59
20180305,182500,183000,182500,183000,143
20180302,182500,182500,182500,182500,2
20180228,184500,184500,182000,182000,9
20180227,185000,185000,185000,185000,14
20180226,182500,185000,182500,185000,100
20180223,181500,184000,180000,182500,94
20180222,191500,191500,177500,180000,3441
20180221,188000,191500,187000,191500,35
20180220,191000,191000,188000,188000,60
20180219,192500,192500,192500,192500,22
20180214,188500,193000,188500,193000,47
20180213,193000,193000,193000,193000,22
20180212,190000,192000,190000,192000,18
20180209,196500,196500,187500,191500,61
20180208,192000,192000,189500,192000,35
20180207,189000,192500,189000,192500,83
20180206,182000,191000,182000,186000,61
20180205,186500,189500,186500,188000,196
20180202,187000,194000,187000,189000,190
20180201,191000,191000,189000,189000,18
20180131,188500,191000,186500,191000,38
20180130,192000,192500,188000,188500,57
20180129,189000,190500,189000,190500,46
20180126,186000,189000,185000,189000,65
20180125,185000,189000,184500,189000,21
20180124,186000,186500,184000,185000,67
20180123,186000,186500,186000,186000,31
20180122,203000,203000,189000,189000,98
20180119,186500,186500,186000,186000,2
20180118,186500,187000,186500,186500,10
20180117,192000,192000,188500,188500,4
20180116,192000,192000,190000,190000,3
20180115,191000,192000,187000,192000,415
20180112,200500,200500,185000,188000,262
20180111,183500,183500,183500,183500,1
20180110,187000,187000,185000,185000,7
20180109,185000,188000,185000,187500,49
20180108,184500,184500,182500,184500,17
20180105,199000,199000,183500,186500,51
20180104,190000,190000,185000,190000,288
20180103,183500,185500,181500,185000,62
20180102,187000,187000,182000,183500,290
20171228,195000,195000,191000,191000,77
20171227,195000,195500,186500,191500,206
20171226,186455,186455,173612,185504,306
20171222,179320,183601,175515,183601,125
20171221,178844,179320,176942,179320,95
20171220,180747,181698,180747,180747,103
20171219,180747,181698,178369,178844,150
20171218,175515,180747,175515,178369,23
20171215,180747,180747,175039,176942,422
20171214,178844,180271,174088,179320,103
20171213,174088,177893,171234,174564,135
20171212,172185,174088,168380,174088,40
20171211,168856,168856,167429,167429,13
20171208,166478,168856,166478,168856,30
20171207,163148,167429,163148,166953,38
20171206,169331,169331,165051,165051,54
20171205,173137,173137,164575,169331,28
20171204,161245,176942,161245,169807,86
20171201,171234,180271,165526,172661,113
20171130,173137,173137,170283,170758,10
20171129,167904,171710,166953,171234,183
20171128,171234,171234,167429,167904,14
20171127,167429,175039,166953,172661,182
20171124,166002,167429,166002,167429,2
20171123,162197,166478,162197,165526,54
20171122,166478,166478,165051,165051,28
20171121,164099,170283,161245,166953,365
20171120,164575,166478,163624,164099,139
20171117,165526,166002,164575,164575,31
20171116,162197,165526,162197,165526,5
20171115,162197,166002,162197,165526,30
20171114,163624,164575,160770,164099,132
20171113,157916,165051,157916,160770,49
20171110,163148,163148,159343,162197,23
20171109,163624,163624,159343,161721,28
20171108,157916,163624,157916,158391,48
20171107,157916,157916,156965,157916,16
20171106,157916,157916,156489,157916,36
20171103,157440,157440,156013,157440,18
20171102,157916,157916,156013,157440,31
20171101,156013,156965,155062,156965,87
20171031,155538,158391,155538,156013,14
20171030,153635,161245,153635,160294,258
20171027,154111,155062,153635,155062,109
20171026,155538,155538,154111,154111,107
20171025,156489,156489,155062,155062,3
20171024,155062,156489,154586,154586,37
20171023,156013,156489,155062,155062,37
20171020,156489,156489,155062,155538,34
20171019,158867,158867,155062,156489,14
20171018,155062,158867,155062,155538,8
20171017,155062,155062,155062,155062,98
20171016,154586,159343,154586,155062,40
20171013,158867,159343,155062,155062,37
20171012,157916,157916,155062,155062,36
20171011,158391,158391,157916,157916,6
20171010,159343,159343,157916,157916,11
20170929,159343,159818,159343,159818,6
20170928,156965,156965,156965,156965,4
