,open,high,low,close,volume
20181109,21000,21200,20300,21150,1204
20181108,21400,21400,20500,20600,190
20181107,21400,21400,20400,20400,1339
20181106,20450,20450,20400,20450,62
20181105,20350,20350,20100,20150,119
20181102,19750,20350,19750,20350,203
20181101,19700,20600,19700,19700,1087
20181031,19300,21700,19200,19700,1026
20181030,19000,19250,18500,18900,2399
20181029,20250,21500,19250,19300,640
20181026,21900,21900,20050,20100,1195
20181025,21100,21100,19950,19950,1989
20181024,21100,23000,20600,21100,1072
20181023,21600,21600,21050,21100,664
20181022,22000,22000,21600,21600,297
20181019,22300,22450,21200,22000,667
20181018,21900,22500,21700,22100,553
20181017,22500,22500,21700,22000,981
20181016,22800,22800,21500,21900,1028
20181015,22400,22400,21300,22050,1127
20181012,21500,23200,21400,21800,3803
20181011,22350,22350,21700,21900,1293
20181010,24000,24100,22500,22800,3613
20181008,23100,24200,23100,23650,479
20181005,23050,24000,23000,23400,750
20181004,22900,23700,22900,23350,68
20181002,23650,23650,22850,23350,292
20181001,24250,24250,22950,22950,489
20180928,23600,23600,23050,23550,28
20180927,23050,23350,22500,23100,2552
20180921,23100,23600,23100,23550,1205
20180920,25150,25700,23500,23500,3191
20180919,25250,26700,25050,25250,3145
20180918,25000,25900,24600,25250,1347
20180917,25100,26150,24750,25300,1022
20180914,25200,26650,24500,25200,5324
20180913,24500,25500,24350,25200,5935
20180912,23800,24400,23450,24300,786
20180911,23250,24700,23000,23800,778
20180910,23700,24350,23400,23400,1077
20180907,22800,23800,22800,23700,1871
20180906,22300,23900,21800,23200,3662
20180905,22750,22750,21500,22100,1096
20180904,21750,21850,21300,21750,408
20180903,22300,22300,21550,21600,485
20180831,21250,21900,21250,21800,608
20180830,21050,21700,20900,21700,1286
20180829,21950,21950,21400,21500,1255
20180828,21200,22250,21200,21650,84
20180827,21900,21900,20900,21200,272
20180824,21850,22900,20900,21350,904
20180823,21850,21850,21250,21250,71
20180822,21400,21800,21400,21600,377
20180821,21800,21800,20600,21400,670
20180820,20700,21450,20300,21400,740
20180817,20500,21000,20400,20700,216
20180816,20800,21000,20100,20500,875
20180814,21100,21450,20750,20850,633
20180813,21350,21500,20900,21150,885
20180810,21100,21350,20700,21350,946
20180809,21150,21150,20600,20850,929
20180808,20950,21400,20700,20800,2332
20180807,21450,22700,20800,20950,7277
20180806,21400,25750,21200,21400,36848
20180803,21050,21350,20600,21200,222
20180802,21150,21400,20850,21100,97
20180801,21300,21850,20850,21150,863
20180731,20050,22500,20050,21300,270
20180730,21350,21350,21050,21050,82
20180727,20800,22000,20700,21350,266
20180726,20600,20800,20400,20800,371
20180725,20800,20800,20150,20800,382
20180724,20750,21050,20250,20800,605
20180723,21250,21250,20750,20750,1080
20180720,20950,21700,20950,21050,566
20180719,21300,21700,21050,21100,655
20180718,22250,22250,21000,21600,722
20180717,21700,22500,21350,21500,333
20180716,23150,23200,21200,21550,1300
20180713,21900,21900,20550,21200,154
20180712,21400,21400,20450,20500,635
20180711,22900,22900,20600,20600,676
20180710,20750,20950,20600,20600,573
20180709,20750,20950,20700,20700,712
20180706,20700,21050,20700,20700,664
20180705,21500,21500,20650,21050,343
20180704,20200,21500,20000,20750,1885
20180703,19950,21200,19900,20200,1294
20180702,19400,21050,19400,19950,2285
20180629,21900,21900,19750,20150,2001
20180628,20000,21050,20000,20450,549
20180627,21100,21300,20400,20600,3528
20180626,21600,23300,21100,21100,7969
20180625,21100,21700,20750,21450,1818
20180622,21550,22750,21150,21300,4339
20180621,21650,22000,21600,21600,2991
20180620,21850,23000,21450,21650,4361
20180619,22600,23300,21950,21950,4612
20180618,23200,23900,22800,22800,9309
20180615,22550,23500,22550,23000,10991
20180614,22550,23300,22200,22950,16369
20180612,23950,24200,22250,23300,60803
20180611,24200,31200,23200,24000,486927
20180608,22250,24000,22200,24000,5774
20180607,21650,22900,21650,22500,1127
20180605,22350,22600,21800,21950,1328
20180604,21250,22150,21250,21650,1312
20180601,22150,22150,21300,21600,4736
20180531,21600,22500,20950,21500,4807
20180530,21500,21500,20700,20700,7678
20180529,21350,21650,20850,21400,699
20180528,20350,21350,20350,21350,955
20180525,20750,21200,20700,20700,918
20180524,20150,21650,20150,20750,3828
20180523,20500,21450,20000,20150,2354
20180521,20950,21850,20450,20500,1600
20180518,21700,21700,20700,20800,2082
20180517,21400,21400,20700,21300,3968
20180516,20800,21600,20750,21500,1522
20180515,21800,22150,21200,21200,1079
20180514,22350,22800,21650,22100,7772
20180511,21550,21650,20500,21500,1702
20180510,20950,21900,20600,20700,7959
20180509,21850,21850,20600,20950,842
20180508,21350,21850,20450,21050,2222
20180504,21300,21950,20200,20700,1492
20180503,22700,22700,21000,21300,2155
20180502,21900,22400,21100,22250,3668
20180430,20800,21900,20300,21900,8378
20180427,20700,21500,20700,20950,4036
20180426,20550,20800,20050,20700,1830
20180425,20050,20500,19950,20500,2514
20180424,20250,20250,19650,20100,762
20180423,20000,20200,19300,19900,756
20180420,19750,20000,19150,19650,1167
20180419,19750,19750,19100,19450,972
20180418,19700,19700,19000,19150,2116
20180417,20000,20000,19100,19650,68
20180416,18900,19350,18900,19250,1206
20180413,20000,20000,18800,19000,1466
20180412,19500,19500,19200,19250,846
20180411,19100,19450,19000,19350,548
20180410,19350,19850,19200,19450,689
20180409,18600,19450,18600,19450,911
20180406,19450,19450,18950,18950,439
20180405,19250,19250,18850,19000,3404
20180404,19600,19700,19000,19050,416
20180403,18600,19450,18600,19250,3000
20180402,20200,20200,19000,19000,5077
20180330,18750,22500,18750,20400,22867
20180329,18350,19450,18350,18800,1648
20180328,18200,18750,18200,18400,604
20180327,18450,19700,18350,18400,2753
20180326,18700,18700,18050,18450,923
20180323,18800,18800,18300,18400,1552
20180322,19150,19450,18500,18500,2241
20180321,19100,19950,19100,19200,1282
20180320,19900,20100,19150,19150,2933
20180319,19000,20850,18750,20200,13862
