,open,high,low,close,volume
20181109,13450,13450,12750,12900,4157
20181108,13300,13450,12650,13400,7748
20181107,13150,13300,12850,13000,4611
20181106,13000,13200,12850,13000,2581
20181105,13050,13100,12300,13100,2709
20181102,12600,13100,12600,12950,9399
20181101,12700,12850,12700,12750,2091
20181031,12600,12800,12050,12800,3089
20181030,12150,12800,12000,12550,12602
20181029,12950,12950,12400,12600,13904
20181026,13150,13250,12800,12950,6431
20181025,12750,13350,12750,13150,15681
20181024,13450,13450,12850,13350,2673
20181023,13550,13650,13200,13350,11412
20181022,13800,13800,13400,13500,6815
20181019,13550,13800,13500,13800,984
20181018,13550,13800,13550,13800,3592
20181017,13900,13900,13700,13800,2185
20181016,13850,13850,13700,13800,1785
20181015,13900,13900,13450,13800,3859
20181012,13300,13800,13150,13800,7864
20181011,13300,13800,13300,13600,23756
20181010,14000,14250,13900,13950,5688
20181008,14300,14300,14100,14150,2163
20181005,14300,14450,14100,14300,4385
20181004,14800,14800,14350,14400,4384
20181002,15000,15000,14650,14700,2275
20181001,14900,14950,14650,14900,4214
20180928,15100,15100,14650,14900,9825
20180927,14700,15100,14700,15100,12622
20180921,14700,14700,14450,14650,5926
20180920,14800,14800,14400,14700,5612
20180919,14900,14900,14550,14800,4596
20180918,14600,14950,14600,14900,4173
20180917,14850,14900,14600,14850,2625
20180914,14700,14800,14550,14800,4805
20180913,14650,14700,14500,14700,6623
20180912,14700,14800,14450,14700,3320
20180911,14550,14800,14500,14700,5255
20180910,14400,14550,14400,14550,7611
20180907,14450,14550,14300,14450,2995
20180906,14700,14700,14250,14500,22359
20180905,14300,14600,14300,14550,14715
20180904,14400,14400,14150,14400,2027
20180903,14450,14450,14200,14300,4263
20180831,14350,14350,14100,14200,8896
20180830,14150,14200,13950,14100,4275
20180829,14050,14200,13950,14100,3971
20180828,13950,14200,13850,14050,2790
20180827,14150,14150,14000,14100,2462
20180824,14050,14100,13900,14100,7821
20180823,14150,14150,13900,13950,4128
20180822,14100,14150,13950,14050,4548
20180821,14100,14100,13850,14100,4775
20180820,14250,14250,14000,14000,6410
20180817,14050,14450,13950,14100,6113
20180816,13800,14100,13800,14050,6427
20180814,13950,14000,13650,14000,3595
20180813,13900,14000,13650,13700,10682
20180810,14000,14050,13850,14050,5451
20180809,14000,14150,13950,14000,4907
20180808,14250,14500,14000,14000,6608
20180807,13950,14250,13950,14200,4853
20180806,14050,14200,14000,14050,10040
20180803,13950,14200,13950,14050,9465
20180802,14050,14150,13950,13950,2284
20180801,13950,14450,13950,14000,2090
20180731,14100,14100,13850,14000,3640
20180730,14050,14050,13800,13950,3817
20180727,14200,14200,13900,14000,5227
20180726,14000,14150,14000,14050,4243
20180725,14000,14100,13850,14000,7692
20180724,13950,14250,13950,14200,3390
