,open,high,low,close,volume
20181109,17000,17450,17000,17450,874
20181108,16800,17600,16750,17050,1516
20181107,17200,17450,16700,16750,1028
20181106,17250,17400,17150,17200,748
20181105,17550,17850,17200,17400,849
20181102,17200,17600,17200,17550,5588
20181101,16950,17750,16700,17550,4589
20181031,16400,17500,16400,17150,1323
20181030,15950,16400,15750,16400,1038
20181029,17150,17800,15800,15950,3326
20181026,17950,18400,16500,17150,6882
20181025,18450,18500,17750,17850,4227
20181024,18850,19100,18600,18750,2513
20181023,19450,19500,18850,18850,2322
20181022,19800,20300,19400,19450,4267
20181019,19750,20300,19350,19950,445
20181018,19950,20150,19700,19750,723
20181017,20050,20750,19650,20200,1581
20181016,19700,20400,19700,20100,514
20181015,19500,20000,19500,19850,886
20181012,19350,20100,18800,20000,3420
20181011,21250,21250,19500,19500,6526
20181010,21100,24400,21100,21550,25596
20181008,21100,21300,20950,21050,724
20181005,21250,21600,20950,21100,3011
20181004,21800,22150,21450,21550,1047
20181002,22100,22350,21800,21800,1463
20181001,22200,22450,22000,22450,932
20180928,22200,22300,22050,22200,1249
20180927,22250,22650,22000,22200,2065
20180921,22500,22500,22150,22250,211
20180920,21950,23700,21950,22100,3559
20180919,22250,22250,21950,21950,423
20180918,22200,22450,21500,22250,1862
20180917,22350,22650,22150,22500,876
20180914,22500,22700,21950,22400,3963
20180913,21800,22250,21800,22050,799
20180912,22100,22100,21650,22050,887
20180911,22500,22500,21750,22200,2720
20180910,21900,23000,21900,22400,2855
20180907,21950,22550,21900,22050,1702
20180906,22900,24000,21550,22100,11301
20180905,21700,21700,21350,21500,891
20180904,21450,21800,21100,21500,1268
20180903,21000,21950,21000,21000,1420
20180831,21500,21550,21000,21000,4044
20180830,21400,21650,21200,21550,1254
20180829,21800,21800,21100,21400,1919
20180828,21950,21950,21500,21700,1844
20180827,21600,21950,21600,21750,235
20180824,21900,22100,21600,21600,852
20180823,21750,22000,21550,21750,1229
20180822,22000,22000,21350,21850,741
20180821,21300,22100,21300,21500,781
20180820,21850,22000,21450,21500,1105
20180817,21050,21850,21050,21850,1156
20180816,21450,21450,20900,21200,1904
20180814,21550,21850,21150,21450,244
20180813,21500,22450,21100,21550,868
20180810,22100,22800,21500,21500,1321
20180809,21400,22250,21400,21850,1204
20180808,21600,22850,21350,21500,9645
20180807,22150,22300,21300,21600,4817
20180806,21450,25050,20900,22100,49890
20180803,20300,21000,20300,20900,2107
