,open,high,low,close,volume
20181109,6230,6230,6000,6030,1457
20181108,6000,6050,5800,6050,3827
20181107,6230,6230,5920,6000,1303
20181106,5940,6150,5940,6140,2856
20181105,6090,6090,5900,6040,174
20181102,5860,6100,5850,5950,1002
20181101,6100,6100,5760,5860,1199
20181031,5700,5700,5590,5700,3897
20181030,5600,5740,5300,5720,24239
20181029,5860,6210,5740,5740,11193
20181026,6000,6000,5870,5980,10760
20181025,5800,6080,5800,5980,5253
20181024,6000,6160,5810,6030,3630
20181023,6100,6200,6020,6020,5283
20181022,6150,6230,6100,6160,237
20181019,6150,6170,6070,6170,1381
20181018,6160,6190,6110,6150,770
20181017,6100,6280,6070,6130,2722
20181016,6060,6350,6060,6100,8632
20181015,6140,6230,6060,6060,1608
20181012,6020,6500,6000,6140,4790
20181011,6180,6270,6110,6140,4194
20181010,6490,6490,6200,6280,6535
20181008,6350,6520,6350,6490,4088
20181005,6410,6450,6320,6380,3318
20181004,6360,6590,6360,6410,3222
20181002,6530,6580,6400,6410,12868
20181001,6620,6630,6500,6550,3740
20180928,6610,6730,6500,6500,2706
20180927,6510,6870,6480,6630,3130
20180921,6640,6640,6560,6640,386
20180920,6650,6650,6510,6640,1708
20180919,6830,6830,6570,6650,8376
20180918,6900,6900,6640,6830,6136
20180917,6730,6900,6620,6810,7277
20180914,6620,6720,6560,6690,4277
20180913,6620,6710,6560,6620,10285
20180912,6480,6650,6410,6580,7514
20180911,6460,6550,6400,6480,5443
20180910,6410,6500,6410,6420,9119
20180907,6480,6500,6380,6420,1701
20180906,6400,6480,6340,6470,4244
20180905,6420,6450,6380,6450,2204
20180904,6420,6460,6390,6390,1313
20180903,6400,6430,6330,6410,3042
20180831,6250,6390,6210,6390,4076
20180830,6200,6280,6200,6250,823
20180829,6230,6330,6160,6190,4253
20180828,6240,6310,6210,6230,2879
20180827,6310,6310,6210,6280,1168
20180824,6330,6330,6260,6310,668
20180823,6300,6400,6260,6290,3050
20180822,6530,6530,6280,6300,6567
20180821,6290,6370,6210,6330,3753
20180820,6320,6390,6210,6370,897
20180817,6300,6350,6280,6340,3641
20180816,6250,6320,6250,6300,1193
20180814,6310,6310,6260,6300,434
20180813,6320,6360,6270,6270,3704
20180810,6380,6380,6270,6340,1874
20180809,6280,6350,6260,6350,1820
20180808,6320,6380,6300,6350,3161
20180807,6390,6560,6360,6360,3831
20180806,6410,6630,6350,6500,1463
20180803,6310,6450,6310,6410,517
20180802,6340,6340,6250,6310,2087
20180801,6260,6600,6210,6310,2382
20180731,6380,6380,6260,6260,983
20180730,6360,6370,6210,6360,2661
20180727,6360,6370,6200,6360,1017
20180726,6190,6390,6170,6350,727
20180725,6420,6430,6190,6190,4639
20180724,6500,6500,6180,6330,19528
20180723,6590,6590,6470,6500,10912
20180720,6580,6660,6560,6590,9305
20180719,6600,6670,6590,6590,4713
20180718,6670,6680,6620,6660,14709
20180717,6650,6690,6630,6670,8091
20180716,6710,6730,6640,6660,3454
20180713,6680,6740,6610,6690,4789
20180712,6620,6690,6600,6680,6220
20180711,6650,6770,6620,6620,14882
20180710,6680,6760,6630,6650,36818
20180709,8000,8000,6650,6670,147582
20180706,6700,7750,6700,7320,32807
20180705,6740,6740,6600,6730,11178
20180704,6690,6750,6640,6740,5103
20180703,6690,6830,6660,6740,17938
20180702,6790,6790,6690,6740,13769
20180629,6720,6830,6710,6720,16230
20180628,6830,7200,6720,6720,37555
20180627,6770,6890,6770,6830,6092
20180626,6800,6800,6700,6800,16464
20180625,6770,6800,6690,6800,6989
20180622,6800,6800,6610,6760,1594
20180621,6720,6880,6650,6660,4347
20180620,6660,7000,6610,6710,11581
20180619,6650,6900,6640,6660,30273
20180618,6820,6880,6640,6650,58035
20180615,6710,6890,6710,6830,2834
20180614,6710,6840,6660,6680,24994
20180612,6750,6790,6660,6720,17032
20180611,6780,6880,6650,6790,44727
20180608,6950,6950,6730,6750,20082
20180607,7160,7160,6690,6760,11746
20180605,6700,6700,6580,6700,3137
20180604,6770,6820,6700,6700,3424
20180601,6570,6820,6400,6760,12614
20180531,6540,6800,6530,6540,6939
20180530,6740,6740,6490,6490,17534
20180529,6880,6980,6740,6740,14697
20180528,6890,7080,6800,7010,14962
20180525,6510,6820,6510,6690,9721
20180524,7030,7040,6920,6990,6624
20180523,6980,7060,6850,7030,6630
20180521,7030,7050,6810,6990,10852
20180518,6990,7220,6930,7120,12445
20180517,6800,7470,6800,6980,14057
20180516,6950,7040,6720,6800,40371
20180515,7230,7400,7150,7200,17350
20180514,6830,7350,6830,7210,37257
20180511,7060,7190,6830,6900,11361
20180510,6720,7170,6720,7050,25678
20180509,6640,6750,6510,6680,12751
20180508,6960,6960,6640,6640,45315
20180504,6830,7070,6820,6940,27435
20180503,7330,7400,6950,6950,27519
20180502,7300,7800,7080,7420,139367
20180430,6540,7400,6320,7150,236644
20180427,6400,6500,6210,6250,18225
20180426,6520,6610,6360,6400,24981
20180425,6250,6620,6230,6350,41760
20180424,6380,6380,6250,6250,23783
20180423,6210,6720,6100,6390,67456
20180420,6060,6260,6050,6210,24175
20180419,5920,6070,5890,6060,8447
20180418,5900,5960,5880,5920,1741
20180417,5960,5960,5890,5930,3428
20180416,5950,5950,5860,5940,2840
20180413,5870,5990,5870,5940,4550
20180412,5830,5960,5830,5870,3058
20180411,5890,5910,5830,5850,3993
20180410,5950,5950,5850,5850,3087
20180409,5950,5960,5890,5940,5198
20180406,5920,5980,5830,5890,12729
20180405,5890,5900,5820,5880,3163
20180404,5860,5920,5790,5890,4873
20180403,5880,5880,5810,5860,4042
20180402,5970,6000,5830,5850,5440
20180330,5890,5950,5830,5880,5036
20180329,5860,5930,5840,5840,2513
20180328,5900,5900,5780,5800,3277
20180327,5910,5920,5820,5900,1155
20180326,5890,5930,5810,5860,2950
20180323,5860,5920,5810,5900,6342
20180322,5900,5900,5850,5850,719
20180321,5900,5920,5850,5900,2548
20180320,5860,5900,5810,5900,881
20180319,5870,5870,5800,5860,5005
20180316,5890,5890,5810,5870,3208
20180315,5870,5890,5790,5890,3806
20180314,5880,5880,5860,5870,897
20180313,5880,5890,5830,5880,7030
20180312,5880,5940,5790,5880,4312
20180309,5790,5870,5760,5870,4631
20180308,5790,5850,5770,5810,3121
20180307,5900,5900,5790,5830,3411
20180306,5890,5890,5780,5830,2918
20180305,5750,5870,5740,5840,2192
20180302,5780,5830,5770,5770,347
20180228,5820,5820,5750,5780,2663
20180227,5880,5880,5790,5820,2558
20180226,5890,5890,5810,5880,2225
20180223,5900,5900,5800,5890,1811
20180222,5920,5940,5760,5900,7741
20180221,6030,6070,5860,5880,8444
20180220,5990,6360,5820,6030,14090
20180219,5850,5990,5850,5990,8976
20180214,5870,5890,5840,5890,1519
20180213,5860,5890,5860,5870,1626
20180212,5850,5890,5780,5860,2620
20180209,5870,5870,5770,5850,2248
20180208,5830,5880,5800,5880,1165
20180207,5850,5880,5790,5830,3264
20180206,5870,5900,5740,5850,5110
20180205,5900,5930,5860,5900,11274
20180202,5870,5910,5840,5900,5931
20180201,5830,5880,5820,5870,4720
20180131,5780,5840,5770,5830,11924
20180130,5800,5840,5700,5820,16451
20180129,5800,5850,5760,5840,9329
20180126,5740,5790,5710,5790,2893
20180125,5720,5750,5680,5730,2050
20180124,5690,5730,5670,5720,5011
20180123,5720,5730,5690,5720,1357
20180122,5700,5730,5680,5720,1017
20180119,5630,5720,5590,5700,4885
20180118,5750,5750,5620,5620,2332
20180117,5730,5730,5610,5670,2195
20180116,5670,5700,5580,5670,2188
20180115,5670,5750,5650,5670,1205
20180112,5610,5700,5600,5670,2679
20180111,5710,5710,5540,5590,7571
20180110,5770,5780,5600,5710,4989
20180109,5810,5820,5740,5780,1484
20180108,5800,5850,5780,5790,1696
20180105,5830,5850,5780,5780,2473
20180104,5860,5900,5710,5840,5654
20180103,5820,5860,5790,5860,1286
20180102,5900,5900,5800,5820,4673
20171228,5920,5920,5860,5900,1003
20171227,5970,5970,5820,5920,3975
20171226,5870,5980,5870,5970,1608
20171222,5870,5900,5800,5870,3096
20171221,5920,5940,5750,5880,6324
20171220,5920,5950,5910,5920,759
20171219,5920,5960,5880,5920,4069
20171218,5970,6000,5910,5910,4219
20171215,5970,5990,5930,5970,353
20171214,5920,5990,5900,5970,1126
20171213,5950,5990,5850,5920,3342
20171212,5990,5990,5940,5950,1689
20171211,5900,6000,5900,5990,1320
20171208,5930,5980,5900,5900,720
20171207,5910,6000,5900,5950,2803
20171206,5960,5980,5910,5910,928
20171205,5960,6000,5860,5960,3143
20171204,5950,5980,5860,5960,7767
20171201,5970,6020,5920,5950,1996
20171130,5990,6010,5900,5970,896
20171129,5900,6000,5840,5990,9685
20171128,5880,5910,5850,5900,4938
20171127,5810,5870,5790,5870,6933
20171124,5730,5820,5730,5810,3338
20171123,5780,5790,5730,5730,695
20171122,5770,5810,5770,5780,1604
20171121,5810,5810,5730,5770,2626
20171120,5750,5820,5750,5810,540
20171117,5750,5840,5750,5810,2475
20171116,5770,5850,5750,5830,5204
20171115,5800,5800,5700,5770,18025
20171114,5830,5830,5750,5800,2582
20171113,5750,5840,5700,5800,7710
20171110,5780,5800,5740,5800,2184
20171109,5760,5810,5720,5780,3149
20171108,5820,5820,5710,5760,5214
20171107,5810,5840,5770,5790,1734
20171106,5870,5870,5800,5810,1108
20171103,5850,5850,5750,5830,2498
20171102,5830,5880,5740,5820,1275
20171101,5860,5880,5780,5830,2260
20171031,5810,5900,5660,5810,7777
20171030,5900,5900,5750,5810,3104
20171027,5820,5830,5720,5810,929
20171026,5730,5850,5730,5830,76
20171025,5860,5860,5740,5790,1387
20171024,5650,5900,5650,5860,11010
20171023,5690,5730,5650,5650,1143
20171020,5650,5700,5640,5690,177
20171019,5710,5710,5620,5640,519
20171018,5730,5730,5570,5710,1909
20171017,5740,5740,5700,5730,103
20171016,5700,5750,5640,5740,1453
20171013,5750,5750,5650,5700,413
20171012,5660,5720,5660,5700,209
20171011,5710,5730,5660,5660,606
20171010,5660,5660,5520,5660,2005
20170929,5660,5660,5520,5600,577
20170928,5560,5670,5560,5600,299
20170927,5600,5670,5550,5560,609
20170926,5350,5610,5340,5540,8651
20170925,5510,5510,5350,5400,8510
20170922,5570,5630,5500,5520,4600
