,open,high,low,close,volume
20181109,21900,21900,21150,21150,4397
20181108,22000,22500,21500,21900,3679
20181107,22050,22400,21100,21700,9840
20181106,21700,22500,21550,21900,10602
20181105,21200,22100,21100,21900,12286
20181102,20300,21500,20300,21350,16678
20181101,19450,21000,19450,20200,18387
20181031,19750,20200,19150,19450,11280
20181030,18150,20200,18150,19800,16791
20181029,20900,21400,19000,19600,24508
20181026,20600,23400,19300,21300,139294
20181025,20900,21300,19100,20600,62622
20181024,23500,23650,21650,21900,25987
20181023,24650,24650,23350,23400,10615
20181022,23850,24700,23700,24650,12406
20181019,23350,24550,23200,24300,11515
20181018,24400,24500,23550,23850,7387
20181017,25600,25600,24000,24450,20559
20181016,25450,26100,24700,25150,14438
20181015,26150,26900,25000,25450,12559
20181012,25200,26500,25200,26500,10655
20181011,26050,27500,25450,26200,20363
20181010,28000,28950,27450,27950,11530
20181008,27200,29900,27200,28250,35458
20181005,28550,28800,27200,27700,24197
20181004,28900,29400,28050,28900,22114
20181002,31100,31850,28800,28900,75612
20181001,31050,31150,30100,30950,44757
20180928,32000,32200,31350,31700,53900
20180927,33800,34700,31750,32500,255606
20180921,27250,35300,27000,34300,660340
20180920,26150,30450,25700,27350,107543
20180919,26550,26700,24500,26400,4709
20180918,26450,26800,26350,26550,901
20180917,27000,27000,26150,26550,2448
20180914,26100,27000,26100,26600,3972
20180913,26950,27300,26300,26450,5073
20180912,26700,27350,26450,26950,6618
20180911,26450,27200,26450,27000,7181
20180910,26650,27050,26450,26450,6518
20180907,27250,27250,26350,26950,9759
20180906,26250,27350,25800,27150,20171
20180905,25300,29200,25300,26050,81669
20180904,25100,25300,25050,25300,3539
20180903,24950,25500,24950,25150,4246
20180831,24800,25100,24600,25000,6486
20180830,24800,25100,24500,24900,1892
20180829,25050,25050,24750,24800,1897
20180828,24900,25050,24700,24950,6088
20180827,24950,25000,24500,24900,1311
20180824,24400,24950,24350,24850,2865
20180823,24650,24850,24200,24700,3194
20180822,24900,24900,24350,24650,1734
20180821,24450,24900,24400,24700,1991
20180820,24150,25250,23650,24550,5375
20180817,23600,24250,23250,24200,2147
20180816,23300,23750,23000,23250,6570
20180814,23050,23800,23050,23500,3326
20180813,23800,24200,23200,23500,13576
20180810,24400,24650,23900,23900,4564
20180809,24250,24500,24250,24450,2258
20180808,24300,24400,23850,24250,3677
20180807,24050,24650,24000,24300,3212
20180806,24750,24900,24100,24500,4216
20180803,24500,24850,24350,24700,2373
20180802,24300,24900,24200,24650,2131
20180801,23950,24600,23950,24450,4834
20180731,23350,23950,23350,23950,3928
20180730,23350,24000,23350,23900,2727
20180727,23250,23900,23250,23900,2631
20180726,23500,23600,23200,23450,5627
20180725,24150,24500,23350,23350,10613
20180724,24750,24750,24200,24550,2714
20180723,23600,29000,23600,24550,40473
20180720,24000,24300,23600,24100,3225
20180719,24900,24900,23850,24250,8775
20180718,25150,25450,24400,24900,8090
20180717,24700,25150,24600,25150,3506
20180716,25650,25950,24950,25100,4026
20180713,26000,26250,25350,25650,5361
20180712,24650,26800,24550,25750,14880
20180711,24250,24850,24250,24750,2859
20180710,24350,24950,24350,24750,4528
20180709,25650,25650,24450,24750,8004
20180706,24700,25200,23900,25100,10786
20180705,25750,25900,24000,25100,23321
20180704,26750,26750,25450,25750,14010
20180703,26850,27500,25950,26800,8438
20180702,27000,27500,25300,27500,9563
20180629,27300,27850,26950,27500,5606
20180628,27700,27950,26900,27700,4186
20180627,27800,28400,27450,27700,2375
20180626,27600,29250,27300,27700,2948
20180625,27000,27700,26950,27600,2539
20180622,27700,27700,26500,27550,4408
20180621,27250,27800,27000,27650,3149
20180620,26800,27800,26800,27750,4067
20180619,28000,28450,26950,27500,9057
20180618,28350,28800,27950,28250,8373
20180615,29100,29100,28400,28800,4718
20180614,29100,29250,28450,29100,5584
20180612,28650,29250,28650,29250,4839
20180611,29650,29650,28650,28950,2836
20180608,30200,30200,28900,29250,4495
20180607,28600,30100,28350,29300,15679
20180605,28600,28800,28500,28700,2225
20180604,28600,28750,28500,28700,2207
20180601,28350,28600,28150,28550,2464
20180531,29100,29100,28300,28350,4810
20180530,28850,29100,28200,28250,6669
20180529,28550,29150,28550,29000,4376
20180528,29400,29400,28650,29000,6687
20180525,29500,29800,28950,29200,4756
20180524,29900,30350,29500,29500,4513
20180523,30450,30600,29850,30050,6464
20180521,29300,30750,29100,30150,11868
20180518,29250,29500,29000,29300,3431
20180517,29350,29400,28750,29300,3249
20180516,29100,29450,28750,29300,6167
20180515,29250,29450,29000,29300,5837
20180514,29550,29700,29200,29500,4364
20180511,29950,29950,29400,29550,3518
20180510,29800,29800,29050,29450,4278
20180509,29200,29700,29050,29650,6012
20180508,29200,29900,29200,29450,4932
20180504,30000,30000,29350,29450,8455
20180503,30150,30150,29600,29950,8203
20180502,30100,30300,29600,30150,9508
20180430,31100,31100,30200,30350,9182
20180427,31050,31200,30700,31100,3661
20180426,31500,31550,30800,31050,3844
20180425,30750,31100,30700,30950,5643
20180424,30450,31350,30450,31200,5146
20180423,30750,31400,30400,31050,15106
20180420,31850,31850,31000,31050,7004
20180419,32600,32600,30700,30900,15278
20180418,33000,33250,31850,32100,8386
20180417,33250,33500,32700,33050,7859
20180416,33250,33750,33100,33300,9389
20180413,32600,35200,32200,33250,27995
20180412,32700,32750,32100,32450,10227
20180411,31950,34000,31900,32750,28996
20180410,31800,31900,31400,31900,5107
20180409,31050,31750,31050,31700,5230
20180406,31650,31700,30950,31600,2704
20180405,31550,31900,30700,31550,8926
20180404,31600,31600,30750,31300,6132
20180403,31550,31550,31100,31250,4716
20180402,32100,32100,31500,31700,3563
20180330,31700,31950,31200,31900,7280
20180329,31500,31950,31000,31700,7674
20180328,31150,32050,31000,31150,8528
20180327,31100,31150,30600,31100,3163
20180326,29850,31450,29850,30750,8139
20180323,32100,32100,30250,30600,13190
20180322,32250,33350,31900,32250,8881
20180321,30800,33500,30800,32650,23501
20180320,30300,31450,30200,31350,8446
20180319,30900,30900,30300,30550,7458
20180316,31250,31450,30600,30600,46747
20180315,31300,31750,31050,31100,5086
20180314,31550,31800,30850,31300,7041
20180313,31100,31800,31050,31500,3991
20180312,31000,31600,30950,31500,7293
20180309,31000,31450,30950,31000,5770
20180308,30400,31200,30400,31000,7790
20180307,31300,31300,29050,30950,9221
20180306,30750,31200,30700,31000,6608
20180305,30950,31350,30750,31000,8686
20180302,31500,31550,31200,31300,7400
20180228,32850,32850,31500,31850,5553
20180227,33450,33900,31350,32200,38916
20180226,33900,34550,33200,33600,10178
20180223,33200,34000,33200,33550,4636
20180222,33600,33600,33150,33500,6221
20180221,34300,34300,33350,33600,4649
20180220,33850,34500,33300,33550,7431
20180219,33200,33900,33200,33400,7190
20180214,33000,33450,33000,33250,5388
20180213,33200,33500,33050,33050,8630
20180212,33850,34500,33250,33250,5903
20180209,33100,34150,33100,33800,9255
20180208,33550,34950,33550,34450,4676
20180207,34250,35550,33750,34000,12377
20180206,34500,34600,32900,34150,22366
20180205,35700,36100,35000,35050,14337
20180202,37000,37050,35550,36500,14626
20180201,37600,37800,37000,37000,9003
20180131,37700,37950,36900,37600,11403
20180130,37100,37950,37100,37900,14942
20180129,37800,38100,37350,37600,19649
20180126,37100,37650,36850,37650,10418
20180125,38000,38000,37000,37000,20726
20180124,36950,38300,36950,37700,19058
20180123,36900,37650,36450,36900,13540
20180122,35750,39100,35500,37250,96296
20180119,35250,36550,34350,35750,28290
20180118,34150,34500,33900,34150,8468
20180117,34700,34700,33850,34150,13603
20180116,35000,35000,34300,34300,18538
20180115,35100,35100,34350,34800,10449
20180112,34600,35700,34250,34950,26881
20180111,35000,35100,34300,34850,7972
20180110,34850,35400,34200,34450,11654
20180109,36350,36350,35100,35150,10193
20180108,36900,36900,36050,36300,7485
20180105,36000,36800,36000,36400,9395
20180104,36450,36600,36100,36250,7527
20180103,36550,36600,36100,36550,7996
20180102,35800,36750,35200,36500,12443
20171228,35200,35850,34950,35800,10321
20171227,35100,35200,34650,35200,9044
20171226,34200,35500,34200,34700,11250
20171222,34200,34550,33800,34200,9756
20171221,34000,34700,33850,34200,6772
20171220,34250,35700,33650,34000,14729
20171219,34200,35250,33050,33950,27989
20171218,35700,35700,34400,34500,19276
20171215,35500,35500,34750,35450,16745
20171214,37000,37400,34950,35000,39043
20171213,35800,37700,35800,36950,18755
20171212,38000,38000,36000,36200,14420
20171211,37850,38350,37000,37300,14242
20171208,38550,39500,38000,38200,11449
20171207,40350,40350,38250,38750,19497
20171206,41150,41150,39100,40000,20748
20171205,42050,42050,40100,40100,20559
20171204,42300,42600,41150,41200,19126
20171201,41000,44300,40400,42400,95162
20171130,41400,41750,40300,40300,39291
20171129,42000,42000,40700,40900,14995
20171128,41350,42900,40800,40900,20604
20171127,43500,43700,41700,41950,16900
20171124,43000,44300,42400,43100,19011
20171123,42600,43600,42050,43500,23264
20171122,44000,44000,42150,43200,17168
20171121,45100,45100,43150,43150,39467
20171120,45200,46200,44700,45000,19194
20171117,45800,45800,44000,45700,25754
20171116,44000,46200,40650,45000,48409
20171115,47600,47600,43800,43800,79932
20171114,47250,47600,46050,46800,55866
20171113,46400,48500,46150,47150,97624
20171110,44350,52700,44000,46000,441085
20171109,44000,46300,42700,44350,110110
20171108,45000,45200,43250,43600,72301
20171107,40650,45450,40050,44150,161672
20171106,40250,41250,39450,40600,43657
20171103,38850,40450,38850,40000,25673
20171102,39600,39700,38300,38850,24693
20171101,40000,40900,39350,39500,35878
20171031,40100,40650,39200,40000,34556
20171030,39500,41900,37900,40050,75635
20171027,38550,39750,38300,39300,28107
20171026,40000,40200,38200,38200,35175
20171025,39500,42300,39250,39350,148964
20171024,38750,39600,38200,38700,45071
20171023,38000,40200,38000,38750,90434
20171020,39000,39700,37500,38650,107154
20171019,43600,43700,38800,40350,208288
20171018,42700,49300,41000,43150,1121732
20171017,31650,41000,31650,41000,315526
20171016,31750,32400,31550,31550,11056
20171013,32900,32900,31750,31750,10515
20171012,32650,32850,31950,32300,14002
20171011,31750,32550,31750,32200,8358
20171010,32600,33150,31300,31900,15278
20170929,32550,33800,32250,32400,16036
20170928,33400,33800,32550,32550,33741
20170927,30450,37300,30450,33850,162240
20170926,29600,31300,29600,30450,12863
20170925,30500,32600,30050,30550,38345
20170922,32850,33500,31250,31700,39517
20170921,36800,36800,33350,33350,44313
20170920,36700,37250,36200,36600,19263
20170919,36550,36700,35000,36400,27284
20170918,37000,37150,36500,36500,19003
20170915,37300,37400,36650,37000,24027
20170914,36750,37900,36600,37300,88988
20170913,38000,38450,36700,37000,24895
20170912,38250,38900,37750,38250,24905
20170911,36350,38350,36300,38050,54143
20170908,37200,37550,36300,36350,25932
20170907,37550,38100,37150,37400,34240
20170906,38400,38850,37200,37650,38746
20170905,39450,39550,38150,38500,32302
20170904,39300,39800,38850,39250,40270
20170901,39900,41100,39900,40550,20217
20170831,39950,40150,39350,40050,11999
20170830,40300,40800,39600,39800,21198
20170829,40800,41500,40300,40400,31442
20170828,39950,41550,39950,41200,33708
20170825,39450,40050,39350,39950,16129
20170824,40000,40350,39650,39650,18508
20170823,40150,40350,39250,39600,31312
20170822,38850,40800,38850,40100,70935
20170821,38800,39250,38400,38850,37165
20170818,39450,40100,38300,38850,55061
20170817,40050,40600,38050,39800,70198
20170816,43000,43000,40000,40000,62232
20170814,43250,43750,42450,42600,18789
20170811,44700,44700,42100,43250,41581
20170810,44100,45050,44000,44450,23120
20170809,45450,45450,43700,44150,27079
20170808,44850,45600,44800,44800,20130
20170807,44500,46150,44350,44850,36450
20170804,46100,46500,44300,44550,52004
20170803,47950,48300,45300,46250,51448
20170802,47750,49000,47750,47900,36813
20170801,48850,49850,47900,48200,49236
20170731,49800,49900,48350,48850,71017
20170728,54200,54200,50500,50800,90952
20170727,58600,58600,54300,54400,131873
20170726,60100,60200,57700,58200,72806
20170725,59600,63500,59600,60000,129818
20170724,59300,60300,59100,59100,65143
20170721,60200,61100,59500,59700,88140
20170720,63500,64000,60100,60400,139567
20170719,64000,65400,62000,63500,300169
20170718,69600,70000,60100,61800,925224
20170717,47500,61700,44200,61700,450826
20170714,47499,47499,47499,47499,0
20170713,47499,47499,47499,47499,0
20170712,47499,47499,47499,47499,0
20170711,47499,47499,47499,47499,0
20170710,47499,47499,47499,47499,0
20170707,47499,47499,47499,47499,0
20170706,47499,47499,47499,47499,0
20170705,47499,47499,47499,47499,0
20170704,47499,47499,47499,47499,0
20170703,47499,47499,47499,47499,0
20170630,47499,47499,47499,47499,0
20170629,47499,47499,47499,47499,0
20170628,47499,47499,47499,47499,0
