,open,high,low,close,volume
20181109,23400,23550,22500,23050,75111
20181108,23400,24250,23050,23350,157686
20181107,24400,26450,22300,22450,773265
20181106,23300,23800,22400,23700,169327
20181105,22750,24050,21900,23050,195713
20181102,22150,22900,22000,22750,188215
20181101,22000,22650,21250,21600,247481
20181031,20350,23350,20350,20950,476985
20181030,18000,21000,17700,20050,339201
20181029,21100,21900,18650,18650,197709
20181026,24050,24750,21700,21700,158835
20181025,22900,25250,22900,23800,250526
20181024,26800,27550,23800,24000,318981
20181023,25900,30550,25800,26850,1935538
20181022,25300,25350,24000,24900,108935
20181019,26500,27450,26150,26400,167525
20181018,27300,27350,26350,26600,193528
20181017,25200,29750,24650,27100,1350846
20181016,24300,25150,24150,24550,71099
20181015,24500,25750,23900,24300,100103
20181012,23900,25150,23650,24650,111942
20181011,21600,25950,21600,24000,398536
20181010,27700,27800,24250,24250,206715
20181008,28300,29400,28300,28300,80914
20181005,29400,30250,29000,29000,97347
20181004,30550,31500,29300,29850,286518
20181002,27600,31300,27600,29150,528537
20181001,29000,29700,28350,28350,114651
20180928,29650,29700,28400,28700,138267
20180927,31250,31250,29800,29800,121576
20180921,29700,31700,29350,30600,278779
20180920,31250,31400,29000,29850,396085
20180919,32500,34050,30000,30050,684585
20180918,33650,34550,32000,32150,492861
20180917,34100,34550,33200,33500,294502
20180914,34550,34600,32650,33600,299111
20180913,34200,34950,33400,34400,339191
20180912,34950,35000,33100,34200,422634
20180911,37450,37550,34200,34500,1268258
20180910,32650,38550,32600,36700,2366120
20180907,32000,33500,31700,32600,302296
20180906,34500,34800,31250,31500,601503
20180905,34500,35900,32550,33200,751845
20180904,30050,36050,30000,33050,2589739
20180903,30850,30900,29900,30200,166748
20180831,29200,29550,28400,29400,224056
20180830,29250,31950,29200,29750,611153
20180829,29000,30250,28800,29000,229397
20180828,31400,31750,28900,29550,304212
20180827,31400,32800,30700,31150,364317
20180824,35000,35350,34250,34600,224261
20180823,34550,35600,34200,34700,260340
20180822,34200,36750,33600,34700,723108
20180821,34450,34700,33050,34600,324821
20180820,33850,34950,33850,34000,232956
20180817,34500,35300,33950,34500,408808
20180816,34350,36000,32800,34200,1463453
20180814,30550,35350,28750,34150,1887942
20180813,33700,34700,28300,29750,918101
20180810,33400,36800,32400,32900,1903722
20180809,31800,32600,30750,31450,819192
20180808,28000,33550,27300,31850,2888096
20180807,27650,27900,26800,27500,326689
20180806,25300,28500,25050,27300,872020
20180803,26950,29100,25700,25700,991441
20180802,25250,25850,23650,25250,313953
20180801,25050,26100,24300,25150,426480
20180731,27100,27400,24700,25200,463907
20180730,26400,28850,26150,26450,1301961
20180727,24800,29100,24000,26400,3566635
20180726,19550,24800,19300,24800,2148740
20180725,19350,19750,18400,19100,168841
20180724,17350,20150,17350,19150,392248
20180723,18200,18400,16850,17000,106813
20180720,19050,20300,18400,18400,111656
20180719,19150,20500,18500,18800,198238
20180718,20700,20700,19050,19250,132845
20180717,21150,21800,20550,20700,93674
20180716,21000,21500,20150,21000,123356
20180713,19650,21000,19550,20750,240170
20180712,19750,20300,19300,19350,160182
20180711,19050,21150,18350,19850,522651
20180710,18950,19400,18650,18700,181394
20180709,20700,21200,18700,18700,409168
20180706,23300,23950,21450,22800,368571
20180705,24500,25400,22500,22850,684369
20180704,22450,26000,22300,23550,1245039
20180703,21800,22500,20300,22300,225705
20180702,24800,25200,21250,21700,272481
20180629,23600,24800,22600,24600,292415
20180628,22600,23550,22250,23200,375096
20180627,24700,24950,22150,22850,385908
20180626,26300,26400,23700,25000,331617
20180625,27400,28800,26050,26500,330129
20180622,31000,32500,27100,28200,752047
20180621,32200,36200,29100,29600,1143065
20180620,31500,32000,29950,31600,380274
20180619,33800,36300,30300,31300,625969
20180618,34150,41050,33550,34600,2336137
20180615,29750,38550,27750,37500,3835916
20180614,32500,32950,28600,29750,892465
20180612,30000,35300,28600,34600,4100087
20180611,23500,28100,23450,28100,2390332
20180608,19950,25550,19100,21650,2191565
20180607,19700,20100,19250,19850,70714
20180605,19350,19650,18200,19500,101713
20180604,20500,20550,19300,19550,130350
20180601,21450,21500,19300,19300,301670
20180531,19350,20600,19000,20600,288972
20180530,19400,20450,18600,19000,300646
20180529,19350,19600,18450,18500,194753
20180528,18350,19650,17500,19650,345547
20180525,14600,16200,14300,15150,245103
20180524,19000,19400,17700,17800,120895
20180523,18500,19300,17850,18850,116002
20180521,19000,19250,18350,19200,90305
20180518,19300,19400,18200,19300,125427
20180517,18850,19950,18350,19200,205388
20180516,19700,20950,18500,18700,436976
20180515,22800,23450,21350,22200,304670
20180514,22400,24600,21500,22350,633611
20180511,19900,23750,19150,21950,1287435
20180510,19600,20150,18950,19750,186102
20180509,20500,21000,18250,19250,216991
20180508,20750,21550,19950,19950,255466
