,open,high,low,close,volume
20181109,82800,83800,82200,83000,125
20181108,83000,83000,81700,82800,896
20181107,82400,82700,81500,82700,907
20181106,82800,83500,82200,83000,90
20181105,82300,82900,81700,82800,217
20181102,81800,82300,81400,82300,220
20181101,81500,82600,81100,81400,588
20181031,81000,81500,80700,81500,669
20181030,81300,81900,80100,81600,742
20181029,81500,81600,80800,81400,1147
20181026,81400,81800,80000,81300,1390
20181025,82200,82200,81300,81300,427
20181024,81700,82100,81200,81500,422
20181023,82600,82600,81600,81700,156
20181022,82100,82700,81800,82600,337
20181019,83200,83200,81500,82100,907
20181018,81800,83700,81700,83400,497
20181017,82800,83100,82800,83000,66
20181016,82500,82800,81400,82800,365
20181015,82100,82600,82100,82400,382
20181012,81000,82800,81000,82100,277
20181011,82000,83100,81200,82100,518
20181010,84600,84600,82000,83400,760
20181008,84900,85000,83700,84500,486
20181005,83400,85000,83300,84900,1238
20181004,84000,84600,83000,83600,606
20181002,83900,84000,83100,83200,294
20181001,84000,84000,83400,83600,13
20180928,84000,84000,83700,83800,99
20180927,83100,84100,83100,84100,309
20180921,83400,83500,81500,83100,1015
20180920,83900,84000,83100,83700,368
20180919,83900,84100,83000,83900,326
20180918,84500,84500,83600,83700,354
20180917,83600,84600,83600,84600,140
20180914,83900,84600,83900,84500,618
20180913,83900,84600,83700,84400,231
20180912,85000,85000,83500,84800,1067
20180911,84000,87700,83600,84800,2767
20180910,83500,84900,83400,84500,273
20180907,84100,84200,83500,83500,305
20180906,83000,86600,83000,83600,688
20180905,83700,84000,83700,83700,187
20180904,87200,87200,83600,83600,581
20180903,84100,84400,83400,83600,351
20180831,84000,84500,83400,83400,285
20180830,83100,84900,83000,84000,666
20180829,83100,83200,83000,83000,77
20180828,83200,83200,82800,83100,99
20180827,84000,84000,82400,83200,175
20180824,83800,84300,83000,83400,312
20180823,83900,84200,83000,83000,535
20180822,83900,83900,83700,83900,12
20180821,84900,84900,82700,84000,965
20180820,85000,85000,83600,84200,63
20180817,84200,85000,83700,85000,376
20180816,83200,84200,83200,84200,670
20180814,83000,83200,82800,83200,216
20180813,83000,83000,80900,83000,619
20180810,85700,86000,83100,83100,239
20180809,86200,86200,84200,85300,176
20180808,85400,85500,83800,85500,300
20180807,86200,86200,85100,85400,569
20180806,83800,85400,83800,85000,978
20180803,84900,84900,83600,83600,116
20180802,84800,85600,83600,84500,744
20180801,84600,84900,84600,84700,74
20180731,83200,85100,83200,84600,610
20180730,83800,84600,83600,84300,409
20180727,82000,84300,82000,83800,286
